objid,specobjid,Group,RA,Dec,M_r,Lum,z,dist2BGG,lgm,sfr,sSFR,rank_dist,BGG_ID,rank_M,RA_BGG,Dec_BGG,M_BGG
310816576037218304,10247,162.900580454,-1.087878301,-22.216008,0.039515349,1,0.038294986,10.953,-1.061266,-12.014266,1,,11.051,162.900580454,-1.087878301,-22.216008,0.0
310817125793032192,10247,162.910024691,-1.126179847,-21.299873,0.039322997,2,0.038102534,10.62606,0.08761248,-10.53844752,2,,10.65,162.900580454,-1.087878301,-22.216008,2.4786100839231273
310818500182566912,10247,162.94905038,-0.838985236,-19.423393,0.039786105,4,0.03856622,9.395709,-0.173125,-9.568834,4,,9.51,162.900580454,-1.087878301,-22.216008,15.932109284925708
346809085028493312,2454,222.80149453,-0.06085058,-20.660608,0.04418809,3,0.043494962,10.44216,-0.2493622,-10.6915222,3,,10.441,222.748835979,-0.03750439,-22.550685,3.619226818340739
347987492185597952,2454,222.727418691,0.027662027,-19.728062,0.043740498,6,0.0430463,10.05111,-1.213605,-11.264715,4,,10.085,222.748835979,-0.03750439,-22.550685,4.309991288491411
346809909662214144,2454,222.758775754,-0.056016871,-19.634141,0.045150302,7,0.044456437,9.855238,-0.3610175,-10.2162555,2,,9.811,222.748835979,-0.03750439,-22.550685,1.3202331665704308
347986667551877120,2454,222.748835979,-0.03750439,-22.550685,0.043557509,1,0.042863518,11.35226,-0.7933003,-12.1455603,1,,10.939,222.748835979,-0.03750439,-22.550685,0.0
314224238707894272,864,168.310007409,-0.036684521,-19.868711,0.03848151,10,0.03726012,10.06055,-1.632531,-11.693081,3,,10.077,168.271681615,0.003071052,-22.663287,3.469645179527248
314223688952080384,864,168.327647999,0.037101151,-20.051472,0.039111716,9,0.037890524,9.792118,-0.2240445,-10.0161625,4,,9.866,168.271681615,0.003071052,-22.663287,4.115502347368485
313020546944100352,864,168.271681615,0.003071052,-22.663287,0.04085727,1,0.03963597,11.23772,-0.9738976,-12.2116176,1,,11.309,168.271681615,0.003071052,-22.663287,0.0
313019997188286464,864,168.244265504,0.009116295,-18.756224,0.041784515,16,0.040563222,9.621842,-1.610573,-11.232415,2,,9.665,168.271681615,0.003071052,-22.663287,1.763984660450875
347965776830949376,7163,223.408489629,0.02099257,-19.094315,0.04546036,5,0.04477814,9.70014,-1.803425,-11.503565,3,,9.886,223.396096989,0.010396721,-22.032088,1.0244666296255889
4525084724309979136,7163,223.396096989,0.010396721,-22.032088,0.04307272,1,0.042390253,,,,1,,10.983,223.396096989,0.010396721,-22.032088,0.0
347965501953042432,7163,223.403838186,0.005705445,-21.264112,0.044524326,2,0.043841984,10.89773,-1.705437,-12.603167,2,,10.968,223.396096989,0.010396721,-22.032088,0.5687383020451597
347956980737927168,7163,223.426682417,-0.012720527,-20.242279,0.043779899,4,0.043097913,9.71757,0.02892388,-9.68864612,4,,9.801,223.396096989,0.010396721,-22.032088,2.4089076512366536
325547284429301760,1300,187.841752285,0.60997566,-17.849449,0.023000805,10,0.021858169,9.144958,-1.027637,-10.172595,3,,9.197,187.784877284,0.613706212,-21.891383,3.5810374559502067
325547834185115648,1300,187.748080952,0.54209696,-19.015972,0.024934303,5,0.02379078,9.747048,-1.811003,-11.558051,4,,9.825,187.784877284,0.613706212,-21.891383,5.058536692559884
326605563548952576,1300,187.784877284,0.613706212,-21.891383,0.024226106,1,0.023083057,10.93675,-1.602385,-12.539135,1,,11.11,187.784877284,0.613706212,-21.891383,0.0
325550033208371200,1300,187.796026413,0.606226463,-20.644623,0.024230105,2,0.023087118,10.38304,-2.09808,-12.48112,2,,10.483,187.784877284,0.613706212,-21.891383,0.8435293508383827
326663837665224704,3126,189.759222867,0.257056618,-17.43764,0.023037172,7,0.021908503,,,,4,,8.991,189.754670505,0.365546508,-22.087241,6.822619156088687
326659989374527488,3126,189.754670505,0.365546508,-22.087241,0.024143606,1,0.023015194,11.03809,-1.479214,-12.517304,1,,11.153,189.754670505,0.365546508,-22.087241,0.0
