objID,petroMag_r,fiberMag_r,modelMag_r,cModelMag_r,extinction_r
1237664292076454111,15.30272,17.753,15.32644,15.24444,0.05764399
1237664292076388510,15.76855,17.17657,15.79177,15.7127,0.05760324
1237664291011952787,12.99073,15.14163,12.88708,12.88704,0.05589374
1237664291011952667,13.18896,15.48347,13.05609,13.06772,0.05621205
1237664291011887113,13.02489,16.20433,12.86825,12.9839,0.05571194
1237664289935261842,14.49863,16.96285,14.30652,14.41215,0.06571948
1237664289935261729,12.06845,15.28646,11.9607,11.96069,0.06486193
1237664289935196255,14.75319,18.40043,14.73926,14.69599,0.06570257
1237664289935130687,13.88882,17.63384,13.94591,13.87077,0.06792244
1237664289928773832,16.5253,18.62798,16.49247,16.49247,0.08886062
1237664289928773726,14.55617,17.52489,14.60885,14.47757,0.09578615
1237664289399636221,15.0922,17.64497,15.11492,15.04556,0.05361217
1237664289399636012,14.3414,16.99154,14.17496,14.29898,0.05422511
1237664289399439496,15.36975,17.85673,15.0725,15.25248,0.06097427
1237664289399439485,17.01997,18.52454,17.02228,16.97448,0.05796304
1237664289399439413,14.49154,16.3886,14.31726,14.33131,0.06563691
1237664289399374060,16.59106,18.25137,16.64623,16.51322,0.05398343
1237664289399373970,14.39155,16.40416,14.29578,14.2958,0.05677023
1237664131554541775,15.12461,17.20723,15.07563,15.07563,0.08355454
1237664131554541630,13.91863,16.32244,13.8139,13.8139,0.08389005
1237664131016360006,13.38675,16.5772,13.42587,13.42587,0.09411687
1237664130481717277,14.5241,16.70675,14.42931,14.45656,0.07106942
1237664130481651900,16.63566,18.01886,16.544,16.57502,0.06760504
1237664130481651748,13.88694,16.31704,13.75425,13.75425,0.07275365
1237664130479554590,14.23399,16.93277,14.10459,14.16567,0.0756913
1237664092903047228,12.72879,15.14679,12.64163,12.64163,0.05921105
1237664092898918748,15.6516,17.41588,15.5208,15.54739,0.09405454
1237664092898918570,16.24608,18.04022,15.97953,16.11619,0.09046983
1237664092898853172,16.05477,17.38263,15.92507,15.9293,0.09113595
1237664092898853038,14.12548,16.04957,14.11162,14.11162,0.09448399
1237664092898852896,13.24219,16.4876,13.3868,13.42064,0.09323917
1237663917341016282,14.19368,16.88544,14.09401,14.16781,0.1101543
1237663917340950801,17.16054,18.39727,16.9486,17.03389,0.1103081
1237663917339836570,16.44558,17.49039,16.34157,16.36535,0.08905076
1237663917339836556,16.91292,18.74565,16.95056,16.84591,0.08853178
1237663917339771127,13.99279,16.60844,13.84228,13.84228,0.09128944
1237663917339771108,16.37704,17.83768,16.31588,16.31588,0.09148228
1237663917339771027,15.374,17.46581,15.14046,15.29781,0.09534687
1237663916810109132,16.71472,18.44074,16.41401,16.5477,0.312998
1237663916810109034,14.75713,16.64417,14.61586,14.66024,0.3120188
1237663916801851543,14.8831,17.65937,14.92594,14.81852,0.1695698
1237663916801786266,15.76553,17.11323,15.63447,15.64258,0.1675104
1237663916801786001,13.40619,15.89123,13.31293,13.31293,0.1690411
1237663916801785874,13.92531,15.84104,13.86711,13.86711,0.1712141
1237663916801785873,13.15637,15.37365,13.00174,13.00174,0.1724048
1237663916801720625,15.51906,17.04883,15.33521,15.37329,0.1520181
1237663916801654936,14.33927,16.9473,14.17923,14.26796,0.1510203
1237663916275269775,16.90258,18.45236,16.91518,16.90772,0.1464847
1237663916275269716,16.70058,18.08089,16.73103,16.55928,0.1492696
1237663916270158057,16.0998,17.63302,15.97635,15.97851,0.1035286
1237663916268257468,16.00082,17.24883,15.89573,15.89572,0.1942387
1237663916268257450,15.36205,16.80139,15.36099,15.36099,0.2013225
1237663916268257306,13.54206,15.83011,13.38424,13.38616,0.1875642
1237663916268126422,15.28351,16.77275,15.07115,15.15931,0.1720887
1237663916267536572,16.19394,17.44392,16.11573,16.11573,0.09812544
1237663916267536477,13.41905,16.68356,13.14704,13.14701,0.09899473
1237663916267536476,16.05605,17.1214,15.9808,15.99458,0.09825616
1237663789031948495,15.60215,17.22007,15.41086,15.48144,0.1482935
1237663789031948360,13.72212,16.34343,13.63603,13.65164,0.1323489
1237663789031948359,12.88002,16.18185,12.67656,12.69236,0.1376865
1237663789031882835,13.31593,15.87061,13.20538,13.21593,0.1224557
1237663789031686258,13.55155,16.76064,13.46464,13.46464,0.1273432
1237663787427889321,14.16645,16.58173,14.05332,14.05335,0.1566593
1237663787427823775,16.54225,18.74336,16.49824,16.309,0.1746319
1237663787427823763,16.40118,17.66748,16.26262,16.26523,0.1993328
1237663787425857577,15.05846,16.48355,14.91197,14.91197,0.2534571
1237663787425792289,16.47625,18.76485,16.37339,16.37339,0.2469256
1237663787425792287,15.69443,18.74933,15.6186,15.6186,0.2414856
1237663787420811660,16.20083,17.54236,16.11562,16.11562,0.1974952
1237663787420811490,15.51403,17.27374,15.44704,15.44703,0.1924866
1237663787420811489,14.62783,16.75856,14.5061,14.50609,0.191453
1237663787420745954,16.26161,17.56543,16.12366,16.12367,0.154338
1237663787417600310,15.39837,18.24247,15.38356,15.38356,0.148115
1237663787417600254,14.54297,17.72323,14.51892,14.45896,0.1697261
1237663787417469125,15.2652,16.37051,15.14179,15.15039,0.144363
1237663786885906868,15.43496,16.90212,15.34243,15.34243,0.1344038
