objID,petroMag_r,fiberMag_r,modelMag_r,cModelMag_r,extinction_r
1237659161199771728,14.46182,16.27598,14.34689,14.34685,0.04557746
1237659131675213861,14.38063,16.49625,14.30307,14.30307,0.05460528
1237659120414687490,15.1078,16.61395,15.05603,15.05744,0.1197633
1237658801505501410,15.51899,17.57737,15.31706,15.40364,0.0313291
1237658298999898164,15.59437,17.90593,15.617,15.5755,0.06438204
1237658298999832751,16.19641,17.75879,15.9765,16.06995,0.0653629
1237659161201803476,15.25743,16.6681,15.13615,15.155,0.02701302
1237659161201803392,13.78917,15.75297,13.74357,13.74355,0.02695584
1237659161201803332,15.29949,16.54966,15.21883,15.21883,0.02605437
1237659161195249868,15.54986,18.44681,15.53965,15.53965,0.05771647
1237659161195249691,15.62713,18.37888,15.63887,15.55879,0.05040546
1237659161195249685,13.19124,15.84074,13.03341,13.04181,0.05113005
1237659149921091774,16.82977,18.73605,16.81327,16.74449,0.02975851
1237659149920960691,14.54496,16.58091,14.45067,14.45065,0.03046183
1237659133289693298,16.38668,17.48192,16.34003,16.34003,0.04821703
1237659133289693297,14.45603,16.36313,14.39898,14.39895,0.04868591
1237659133289627743,13.38293,15.89673,13.27148,13.27149,0.04737417
1237659131675148445,16.99801,18.68968,17.04887,16.87209,0.05121785
1237659131675148384,17.21799,18.25086,17.21042,17.21042,0.05136786
1237659131675148382,15.28714,17.05817,15.50471,15.5047,0.0516876
1237659120414621821,14.76994,17.12109,14.53064,14.64583,0.1237986
1237659120414490818,14.19055,16.01162,14.06371,14.08916,0.1336171
1237659120404332715,14.92274,17.85195,15.04322,14.96404,0.05750144
1237659119877554442,14.68296,16.85894,14.53722,14.61436,0.148084
1237659119877554253,16.46268,17.37058,16.41844,16.41844,0.1468303
1237659119877554250,13.79241,16.14589,13.65861,13.6596,0.1485427
1237659119877554191,15.45277,17.15635,15.36794,15.36794,0.1532229
1237658917459918989,13.89421,15.96508,13.78293,13.78293,0.0586821
1237658916386242683,15.93971,18.71225,15.89755,15.89754,0.03711909
1237658803114475756,15.88177,18.64702,15.91679,15.80915,0.03817158
1237658803114475562,13.76886,16.1115,13.62612,13.62613,0.03497025
1237658803111854218,15.86365,17.1247,15.72845,15.74156,0.02830184
1237658800968761371,14.79318,18.70098,14.73824,14.88238,0.04921331
1237658800968761369,13.18272,15.83961,13.05297,13.07576,0.0488718
1237658800967254171,15.24535,16.66517,15.21835,15.21835,0.04868947
1237658800967254132,14.45506,17.17317,14.30973,14.40364,0.05184291
1237658800967188670,13.18445,15.69378,13.07232,13.07232,0.04833035
1237658800967188592,13.60658,15.85504,13.44953,13.45308,0.04388346
1237658800967188515,13.96725,16.51276,13.83038,13.88612,0.04357353
1237658612519272647,16.26549,17.87567,16.138,16.14991,0.04539755
1237658612519272452,13.66279,16.17977,13.56048,13.56049,0.04090137
1237658612519206931,14.88531,17.02584,14.88184,14.88201,0.03630273
1237658612519141592,14.47626,16.63033,14.37057,14.39719,0.03648677
1237658612519141394,14.45337,17.63075,14.94769,14.88555,0.03712117
1237658612519141393,15.39557,17.29062,15.23338,15.26591,0.03773632
1237658612519141391,15.37027,16.75064,15.24669,15.24669,0.03583549
1237658612519141389,13.1759,15.87857,13.03904,13.03905,0.03715999
1237658612519075952,13.86622,15.81874,13.73299,13.73297,0.04217143
1237658612519075853,13.22518,15.68618,13.06447,13.06444,0.04463322
1237658611982270552,15.05489,18.21354,15.05031,15.02802,0.04345076
1237658493355622464,15.96941,17.42755,15.75249,15.78868,0.07634744
1237658493355557008,13.0883,16.55691,12.83469,12.93684,0.07835491
1237658493355556921,14.75117,16.6718,14.51657,14.64094,0.07917441
1237658493355556919,14.48311,16.2828,14.40691,14.40689,0.07917687
1237658493355425827,13.85808,16.23991,13.78171,13.78172,0.07532194
1237658493353656373,16.2184,17.62955,16.05863,16.09367,0.0493067
1237658493346250798,14.00764,16.29879,14.02677,14.02677,0.05863152
1237658424075813067,14.39399,17.38056,14.13522,14.2352,0.06552485
1237658311329906831,16.99626,17.72712,16.93851,16.94843,0.05107178
1237658311329906723,16.11837,18.89596,16.07173,16.07173,0.05754019
1237659161200164882,13.74222,15.83778,13.6088,13.60875,0.03593751
1237659161197019316,14.36167,16.78646,14.29435,14.32424,0.04786405
1237659161197019293,15.57006,17.50874,15.35494,15.43596,0.04620889
1237659161197019182,15.7641,18.71184,15.84261,15.75716,0.04706669
1237659161196953825,15.55222,18.33965,15.53127,15.53127,0.05242894
1237659153686856106,15.40413,18.07622,15.04368,15.24466,0.1015164
1237659153685479964,16.79296,18.69821,16.4324,16.64852,0.1732741
1237659153685479679,14.17296,15.95835,14.04314,14.04314,0.1786384
1237659150459142313,16.34633,17.60372,16.22995,16.23578,0.02915017
1237659150459142296,16.14375,18.28742,16.18532,16.15398,0.03408019
1237659150459142239,13.51996,15.82746,13.38172,13.38172,0.02801362
1237659149921157266,15.54667,18.21967,15.54012,15.51934,0.03461434
1237659146705764387,14.05461,15.99993,13.98895,13.98895,0.02277385
1237659146705698902,16.08917,17.70201,15.95656,15.95651,0.02785252
1237659146705698884,15.01956,17.39804,15.02269,14.95025,0.03102307
1237659144558477427,16.17653,17.34695,16.12272,16.12272,0.02035312
1237659133287923957,14.16667,16.79038,14.02368,14.09328,0.0460507
1237659133287923860,15.08678,16.59814,14.96845,14.99442,0.04020747
1237659133287923800,15.82634,17.04521,15.7539,15.75393,0.03972925
1237659133287923758,14.73615,16.68778,14.64855,14.64855,0.04542997
1237659133287923757,14.61799,16.60827,14.49599,14.50777,0.04526013
1237659133284909256,15.32079,16.89079,15.29964,15.29963,0.06026143
1237659133284843828,16.09418,17.98496,16.22181,16.07,0.05490366
1237659133284778240,16.33698,18.53355,16.05815,16.07752,0.04720764
1237659132751642708,12.93098,16.16409,12.99271,12.98193,0.06596388
1237659132751642639,15.76816,17.10725,15.65841,15.67259,0.06441034
1237659132751577262,13.03948,16.17996,12.96084,12.98193,0.06153561
1237659132751577202,14.2819,17.89294,14.25714,14.24842,0.06644781
1237659132751577102,13.48092,16.42005,13.39366,13.44192,0.0604344
1237659120938516594,15.52842,16.93706,15.42149,15.42145,0.04688145
1237659120399613971,13.97167,15.85344,13.84329,13.8433,0.06140704
1237658919069614163,12.90329,15.92133,12.75474,12.75476,0.0378057
1237658919069548563,15.52873,17.8267,15.56498,15.4882,0.03394547
1237658918530056413,15.76706,17.21926,15.59807,15.66524,0.03006659
1237658918530056399,16.96233,17.83112,17.006,16.89671,0.03044619
1237658918530056305,14.26,16.21939,14.24919,14.24919,0.03023798
1237658918529925284,14.50085,16.94245,14.41632,14.49452,0.04123134
1237658917995348143,16.45895,18.49892,16.44594,16.38844,0.03449962
1237658917459918871,13.48783,16.02097,13.34735,13.34737,0.05641321
1237658916923834489,15.56893,18.45899,15.58902,15.44597,0.02990581
1237658916923768882,15.53395,18.14693,15.49453,15.49454,0.03157732
1237658916385390676,13.8402,16.13023,13.73696,13.73696,0.03604588
1237658802577539120,14.84297,16.54659,14.7652,14.7652,0.03709111
1237658802577145925,16.7859,18.65443,16.86998,16.66891,0.02982661
1237658802577145864,15.21901,16.71021,15.13231,15.13232,0.0297067
1237658802577080463,14.07777,17.01138,14.09757,14.10002,0.0306515
1237658802577080326,14.00549,16.01348,13.89277,13.89277,0.03071297
1237658802572361742,13.65061,15.63772,13.5489,13.5608,0.03335554
1237658802572099607,15.08167,16.68572,14.9469,15.01741,0.03526665
1237658802572099605,12.84933,15.19462,12.74576,12.7588,0.03683756
1237658802041716895,16.40802,18.80523,16.4722,16.22834,0.05852685
1237658802041716762,15.03992,16.63356,14.90709,14.9537,0.05736888
1237658802041651318,15.30675,18.19464,15.28345,15.24764,0.05760758
1237658800431104162,16.13695,17.70075,16.26194,16.10363,0.04117275
1237658800431104015,13.74872,16.10359,13.67702,13.67702,0.0419891
1237658614126346384,16.21858,18.51593,16.19084,16.16849,0.03493606
1237658613596618864,15.8481,18.33055,15.83968,15.76143,0.04495121
1237658613596618862,15.82131,17.43439,15.63241,15.70721,0.0454722
1237658613596618841,16.45458,18.64693,16.47656,16.36042,0.03920681
1237658609829871658,16.51775,17.79603,16.35395,16.41771,0.05143329
1237658608219848869,16.84435,18.3837,16.54745,16.66504,0.04075996
1237658608219848819,14.44438,16.63928,14.35627,14.35623,0.04265193
1237658608219848803,16.01562,17.33842,15.89722,15.89722,0.04299653
1237658493892624511,14.74077,17.41206,14.42618,14.5533,0.08428206
1237658493891903616,15.14738,16.42912,15.06046,15.09546,0.09197851
1237658493891903612,14.65897,16.30271,14.5789,14.57892,0.08774471
1237658493891903500,13.51347,16.4848,13.30463,13.35855,0.09135267
1237658493891706939,15.08031,17.29623,14.94932,15.04261,0.07636042
1237658493883711660,16.25855,18.49006,16.27433,16.27434,0.06702839
1237658493883711562,15.19371,18.42028,15.15267,15.13339,0.06768025
1237658493883711521,14.70425,16.50431,14.64576,14.64575,0.06735152
1237658493883580478,14.17363,16.73953,14.20464,14.11836,0.06678589
1237658492809511086,15.03138,18.29932,14.76072,14.88499,0.06043826
1237658492809445563,14.55941,16.76477,14.46245,14.46244,0.06325409
1237658492278735050,17.07756,19.08023,17.04932,17.04932,0.06358156
1237658492278734937,15.33767,17.1945,15.16402,15.21701,0.06700971
1237658492278734920,14.46798,16.73203,14.37002,14.40169,0.06572495
1237658492278669408,14.30506,16.20866,14.18273,14.18274,0.05665972
1237658491749400635,14.62876,16.20026,14.54105,14.57132,0.07073623
1237658491735179378,14.89561,17.27761,14.63815,14.81163,0.05946439
1237658491735048241,15.55067,18.20304,15.59837,15.50678,0.05416719
1237658491734982745,14.26189,16.93252,14.10701,14.15271,0.05463333
1237658491211874420,15.87074,17.88882,15.92955,15.7606,0.06068596
1237658491211809011,16.37951,17.61052,16.24605,16.29426,0.06296676
1237658491211808865,13.71754,15.76506,13.65476,13.65479,0.06138106
1237658491204730988,16.09531,17.22067,15.9742,16.00711,0.05723904
1237658491204665407,16.03645,17.67898,15.87651,15.94617,0.05839466
1237658491204665406,13.97786,16.15076,13.88079,13.88077,0.05745928
1237658491204665353,15.21479,17.43896,15.1386,15.15006,0.05820037
1237658425172164755,14.92167,16.63236,14.90063,14.90063,0.06371076
1237658425165807733,13.97023,15.78702,13.95947,13.95948,0.05997705
1237658425165742187,15.48513,19.26777,15.39869,15.38748,0.05334338
1237658425163841691,17.0314,18.34074,16.80265,16.88383,0.05907809
1237658425163841661,14.27086,16.30589,14.23576,14.2358,0.05848343
1237658425163776192,15.47013,17.71623,15.24218,15.32723,0.06181297
1237658425163776048,14.25841,16.85681,14.11363,14.19403,0.06216059
1237658423555784775,16.09289,17.55745,15.94795,15.94794,0.06831518
1237658313478045858,15.72197,18.38585,15.68381,15.65964,0.04174738
1237658312943796369,15.58263,18.60243,15.52051,15.51965,0.03174688
1237658312943665169,13.55316,15.96962,13.40208,13.40208,0.0379459
1237658312943599687,15.35168,17.49885,15.1792,15.19756,0.04809432
1237658312939798811,15.03117,17.67404,15.10438,14.9925,0.0441225
1237658312939798567,12.64625,16.51844,12.56016,12.62882,0.04593281
1237658311329906902,15.91746,17.05902,15.76021,15.76021,0.05659534
1237658311329906861,14.03332,16.72081,13.9071,13.96196,0.05780907
1237658310794477718,14.99005,16.86565,15.04481,15.04477,0.03070519
1237658310794477714,16.42031,17.52786,16.30385,16.33661,0.03227917
1237658310794412217,14.60338,16.83435,14.47749,14.5068,0.0328161
1237658310794412098,14.90428,16.61791,14.73957,14.73957,0.03219918
1237658310794412097,13.63295,16.2384,13.59532,13.59532,0.03212721
1237658304886079663,14.81729,16.85382,14.70379,14.70903,0.02928635
1237658304886079607,16.97428,18.10082,16.87497,16.88535,0.03185832
1237658304886014057,15.51961,17.81335,15.33636,15.35217,0.02822121
1237658302202970401,17.39514,18.56716,17.26233,17.29924,0.01931892
1237658300056666563,15.36037,17.07215,15.38919,15.31937,0.06131493
1237658300056666510,13.62111,15.74117,13.50754,13.50752,0.06198094
1237658300056666431,15.56139,16.98461,15.49374,15.49644,0.06155622
1237658300056666239,12.83385,16.40379,12.70015,12.72731,0.06302466
1237658300056601430,15.41934,17.84848,15.46063,15.36769,0.06226859
1237658300056600704,13.70089,16.15075,13.58,13.58,0.06371947
