objID,petroMag_r,fiberMag_r,modelMag_r,cModelMag_r,extinction_r
1237662306739290404,15.98736,18.88168,15.94876,15.94873,0.1389306
1237662306740601080,16.44387,18.50578,16.43355,16.41126,0.1015698
1237662636367413337,13.84922,15.80991,13.79672,13.83056,0.07767863
1237662636367478822,13.94783,16.07962,13.82297,13.82295,0.07387098
1237662636367478869,14.0272,15.85575,13.87892,13.87892,0.07539047
1237662636367478910,13.26764,15.37493,13.18607,13.18607,0.07407115
1237662636367478911,13.22177,16.08366,13.19491,13.20877,0.07533361
1237662636367478914,16.2143,16.97484,16.15869,16.15869,0.0733307
1237662636901138665,14.33733,17.56028,14.36204,14.19194,0.05121425
1237662642271027374,14.58795,16.74038,14.44769,14.47083,0.0805582
1237662664291582317,16.3229,17.13379,16.25606,16.25605,0.1409624
1237662698640441555,14.56607,17.28414,14.35415,14.4419,0.04368168
1237662696504230022,15.75042,17.40942,15.58316,15.62105,0.1803397
1237662696501543051,15.9747,17.87589,15.7032,15.84828,0.140262
1237662664291582248,16.87171,18.85167,16.90376,16.81451,0.1491756
1237662664291582035,13.90058,16.92189,13.8387,13.89478,0.1468409
1237662642270896477,15.33803,17.14547,15.35278,15.35278,0.0974401
1237662642270896472,16.11653,18.52593,16.08088,16.08088,0.09263759
1237662642270896262,16.31768,17.39374,16.24296,16.25097,0.08938494
1237662636901269762,15.53514,17.17947,15.34805,15.45358,0.05092387
1237662636901204084,15.86799,19.63111,15.82766,15.82766,0.05102074
1237662530600370324,16.06985,17.71404,16.11587,15.98475,0.05067072
1237662530600370249,14.05528,16.04248,13.94447,13.95702,0.05312902
1237662529529511944,13.06466,16.61049,12.87807,12.94319,0.05396566
1237662501081776441,15.2889,17.07907,15.09526,15.16879,0.05296398
1237662336256835778,15.16751,17.12608,15.0376,15.10645,0.09533802
1237662335719964836,14.6887,16.40774,14.78855,14.78858,0.08582348
1237662307274457227,14.83162,17.57534,14.86973,14.83332,0.1745158
1237662306199667123,16.64712,18.61238,16.68747,16.58457,0.1036256
1237663529186623648,16.3388,17.51647,16.18815,16.18814,0.0790909
1237662698640506996,14.73985,16.79987,14.57845,14.64281,0.04083844
1237662698115105077,16.07474,18.84344,16.05336,16.00084,0.1486671
1237662698115104812,14.14654,16.08196,14.07944,14.0794,0.14312
1237662698115039245,14.86478,17.7841,14.88835,14.78758,0.1543145
1237662697573515596,15.12954,16.93307,14.897,14.957,0.1370941
1237662697573515303,14.07745,15.82862,14.00443,14.00435,0.1299968
1237662697573449901,15.26575,16.82192,15.15433,15.15434,0.1288943
1237662697040183695,16.79452,19.46985,16.84298,16.59949,0.153219
1237662697040183439,14.4779,16.32763,14.3784,14.42334,0.1591803
1237662697037168786,14.89936,17.69667,14.93961,14.91832,0.1037104
1237662697037103314,16.42238,19.18164,16.39015,16.39015,0.09715015
1237662697037103254,15.04025,17.49577,14.79624,14.96681,0.09488814
1237662697036251506,16.12445,17.29074,15.97746,16.0185,0.1016186
1237662697036251461,15.26923,17.55932,15.05541,15.1022,0.09681428
1237662697036251443,16.34005,18.1781,16.0708,16.17685,0.09745508
1237662697036251250,13.14123,15.59089,13.08414,13.08407,0.0970808
1237662696504164651,14.83987,17.3384,14.9056,14.71027,0.1880173
1237662696504164508,13.6235,16.32833,13.51802,13.52742,0.1816907
1237662696501936400,14.62792,17.16714,14.58915,14.58919,0.1439894
1237662696501870746,14.32493,17.05806,14.35396,14.35398,0.1399012
1237662696499380384,16.37914,18.35711,16.38561,16.35121,0.1081856
1237662696499380362,15.44024,17.54259,15.50967,15.40948,0.1095898
1237662696499314794,13.57782,15.80383,13.48091,13.4809,0.1016282
1237662696499183930,14.92523,17.4739,14.93673,14.84818,0.1013929
1237662696499183909,15.56578,17.29673,15.66176,15.52347,0.1003904
1237662695961854020,13.94424,16.0411,13.80909,13.81006,0.1215028
1237662695961788698,15.11524,17.35973,15.11384,15.06903,0.1281477
1237662695961788461,14.15625,16.06385,13.95165,13.95161,0.1279614
1237662695960609039,16.29475,18.42129,16.27818,16.26187,0.08131314
1237662695960608988,15.01045,17.47034,14.86027,14.92584,0.08136243
1237662695960608987,14.06499,16.18988,13.93951,13.94413,0.0809961
1237662665890005019,13.53936,16.41999,13.39765,13.40265,0.1092423
1237662665889939764,15.40305,17.77534,15.47214,15.30923,0.1065406
1237662665889611790,14.19001,15.872,14.04882,14.04881,0.09890752
1237662665889546707,14.73001,17.33423,14.81749,14.67581,0.1041715
1237662665889546613,17.15253,19.45438,17.11628,17.10286,0.1059129
1237662664291647813,14.14608,16.61295,14.0148,14.0176,0.1354543
1237662664291647718,16.79481,18.82094,16.87047,16.66273,0.1340164
1237662664291647614,15.20209,17.10483,15.04814,15.11259,0.1343223
1237662663754645941,14.79481,18.06784,14.88811,14.78667,0.1311836
1237662663754645873,15.28147,16.90279,15.19361,15.19363,0.1276985
1237662663754645845,16.58357,17.75207,16.40714,16.42106,0.1232296
1237662663754645815,15.65731,18.16933,15.71837,15.52986,0.1275821
1237662663754645539,14.69904,16.55599,14.72308,14.72308,0.1345521
1237662662681690152,15.03318,16.71894,14.92669,14.9267,0.2019028
1237662662681624832,15.95729,19.3969,15.88384,15.88384,0.2031615
1237662662681624611,14.07678,17.31929,14.20603,14.05649,0.2032339
1237662662681559448,16.29212,18.77897,15.87015,16.09825,0.1881332
1237662662681559181,13.60142,15.81169,13.50143,13.5014,0.1804268
1237662662680838318,14.40674,17.44762,14.43161,14.31779,0.1774415
1237662662680838298,15.79764,17.10172,15.65291,15.67871,0.161787
1237662662680707319,16.39655,18.97487,16.34754,16.34547,0.1543295
1237662662680707125,13.57963,16.36804,13.57016,13.62775,0.1512315
1237662662678151239,15.42795,17.74016,15.206,15.25406,0.08006119
1237662662678151230,13.99698,15.77379,13.89706,13.89707,0.08148278
1237662662678151198,15.03283,17.68521,15.14946,15.04308,0.08063529
1237662662147244064,14.44627,17.27615,14.24666,14.37024,0.142221
1237662662135578692,14.70306,16.48315,14.64698,14.64698,0.03118614
1237662662135578691,13.39749,16.04455,13.31291,13.31292,0.0305701
1237662662133416147,14.62452,17.18437,14.70967,14.60742,0.05663039
1237662662133416006,15.19526,16.66354,15.06162,15.06248,0.05266298
1237662662133415970,14.53903,16.28253,14.48134,14.48129,0.04902598
1237662642268471448,14.51743,16.31047,14.41133,14.41138,0.07883589
1237662641734025672,15.79984,17.476,15.65301,15.65301,0.09681986
1237662641734025606,15.5192,16.65818,15.41962,15.42941,0.09777921
1237662641734025605,14.29091,16.39775,14.22979,14.22979,0.09670959
1237662641733960172,15.12791,17.6063,15.18352,15.03495,0.1055157
1237662640124658013,15.4063,17.93651,15.39019,15.38681,0.113502
1237662640124067867,14.89367,16.91442,14.80743,14.82331,0.1097638
1237662640121643136,13.34385,15.64317,13.29996,13.29996,0.09824385
1237662640121577756,16.02439,18.91614,16.15597,16.0781,0.125245
1237662640121512017,13.49171,16.18314,14.23004,14.23015,0.1444339
1237662638516994206,14.30369,18.12327,14.40639,14.38542,0.07890925
