objID,petroMag_r,fiberMag_r,modelMag_r,cModelMag_r,extinction_r
1237661959910195401,16.56417,18.09482,16.57954,16.50467,0.05547182
1237661966356381766,14.39197,16.64797,14.36016,14.36016,0.06416286
1237661971730333720,12.97338,15.8883,12.86339,12.8634,0.08217356
1237661971730333900,15.39061,16.57501,15.27199,15.28073,0.08014848
1237662195056640025,12.862,15.64133,12.7122,12.7122,0.02879672
1237662195056640151,15.57594,17.88341,15.22232,15.44891,0.02897418
1237662198284484650,16.16899,17.6855,15.95344,16.11897,0.06986337
1237662223535374354,14.68408,16.38309,14.56726,14.56729,0.0284179
1237662236405530754,14.92504,16.83208,14.82193,14.82193,0.06188289
1237662225133076616,15.37961,17.12256,15.4813,15.36264,0.02883381
1237662224617439529,16.37524,18.59866,16.39157,16.28372,0.02921458
1237662224080633907,16.38257,17.37299,16.26809,16.28464,0.03197728
1237662224060448839,14.68619,17.19952,14.43768,14.57727,0.04964309
1237662223535374440,14.66206,17.69078,14.68569,14.56623,0.03122465
1237662199359013245,15.74885,17.65858,15.50003,15.58752,0.08381244
1237662198821748956,15.09935,17.04221,14.92684,14.9604,0.08156292
1237662198821683697,15.76214,16.78589,15.71216,15.71215,0.07961937
1237662198284157251,15.64073,17.04404,15.49836,15.50515,0.07738239
1237662198284157109,16.68421,18.34698,16.35232,16.52032,0.07583424
1237662198284025951,13.92496,15.64067,13.7474,13.7474,0.06942826
1237662197745320335,16.06041,19.28911,16.07614,15.92514,0.07937118
1237661966358741190,16.6283,19.09106,16.64904,16.49183,0.0300002
1237661965821477083,15.74533,17.67303,15.77332,15.71686,0.03661674
1237661965821477009,13.91307,15.80369,13.83812,13.85996,0.03619853
1237661950802657501,15.77867,17.42475,15.57465,15.65237,0.05160916
1237661950802591974,15.07577,17.16733,14.86169,15.02215,0.06127087
1237661950802591907,15.34178,18.56083,15.42648,15.3264,0.05610724
1237661950802133206,15.56055,17.89569,15.55897,15.53248,0.05748714
1237661950802133052,13.93042,16.54984,13.79445,13.83048,0.05475382
1237661950276600204,15.22165,17.93103,15.21115,15.17383,0.1173469
1237661950276469037,15.75086,17.05197,15.72071,15.72071,0.1086737
1237661950276469020,15.47025,17.3791,15.26579,15.36258,0.1064269
1237662237478551702,13.77511,16.64991,13.83582,13.84074,0.06044839
1237662237478158404,14.80245,16.50804,14.68816,14.74416,0.0624755
1237662237477437668,13.08612,15.59292,12.98376,12.98422,0.05605391
1237662236412674066,15.83664,17.05254,15.73733,15.74341,0.09879718
1237662236393406671,16.17583,18.5221,16.16671,16.16671,0.05955011
1237662225165517232,16.21268,19.35687,16.16287,16.07586,0.1031457
1237662225163420013,15.17847,17.01205,15.0589,15.07873,0.1663929
1237662225163354211,14.65384,16.06658,14.65125,14.65125,0.1500854
1237662225140088946,15.92646,18.45166,15.88316,15.82574,0.05160597
1237662225140088842,13.70471,15.9827,13.56988,13.56988,0.05283253
1237662225133666453,15.77467,18.02094,15.77367,15.77367,0.0378555
1237662225132748827,15.41718,17.50757,15.53585,15.37414,0.03517359
1237662225132683436,14.92617,18.75924,14.88606,14.83944,0.0342144
1237662224623141115,16.36049,18.01242,16.40189,16.27417,0.0836687
1237662224615342283,16.1329,18.79889,16.11433,16.10393,0.04766899
1237662224615342095,13.80241,17.03839,13.65051,13.76106,0.05386961
1237662224612392982,14.4174,15.91995,14.31895,14.31895,0.03337388
1237662224597319823,14.7784,16.5804,14.683,14.71604,0.03284235
1237662224596926575,16.4173,18.19797,16.25241,16.25241,0.03497704
1237662224596926539,13.88987,16.44317,13.79591,13.80957,0.03497801
1237662224596926532,16.85171,19.5452,16.82508,16.7761,0.03471216
1237662224092168567,16.84655,18.63188,16.52106,16.70332,0.1380764
1237662224077422595,13.46694,16.05696,13.31647,13.31649,0.04319869
1237662224077226146,14.08859,16.1099,14.07353,14.07357,0.02701684
1237662224077160482,12.899,15.97398,12.75734,12.78454,0.03789864
1237662224070869225,15.91223,17.31796,15.73801,15.75738,0.03532807
1237662224070869216,15.00043,16.73413,14.87623,14.87621,0.03432015
