objID,petroMag_r,fiberMag_r,modelMag_r,cModelMag_r,extinction_r
1237657851234156610,15.99008,17.62171,16.0196,15.9485,0.01836651
1237657851234025624,16.12572,18.34242,16.1257,16.12568,0.02153294
1237657611263475859,14.49982,17.59801,14.50346,14.42133,0.0253635
1237657611263475731,13.84865,16.50739,13.71679,13.71679,0.02449485
1237657400810471527,14.99372,18.00573,15.02134,14.90594,0.03254266
1237657400810471512,14.84867,16.91321,14.72168,14.76105,0.03138673
1237657400806277320,14.19284,17.58774,14.2151,14.13712,0.06806694
1237655743485575567,15.20193,16.85596,15.07633,15.08209,0.1336799
1237658297923797167,15.06962,18.22634,15.06464,15.04844,0.05893959
1237658297923797032,13.75905,16.12902,13.85779,13.85785,0.05827221
1237658297923731566,15.94694,17.28341,15.81881,15.82699,0.06021513
1237658205595107580,16.22495,17.5613,16.06459,16.11964,0.02572541
1237658205595107573,15.6529,18.51966,15.65495,15.49501,0.02539258
1237658205595107386,14.02665,16.16263,13.98155,13.98153,0.02858528
1237658205595041980,15.81273,18.23761,15.80009,15.75361,0.03249183
1237658205595041863,14.90475,18.01778,14.89887,14.82362,0.0355552
1237658203988361304,14.70192,16.59184,14.71699,14.71699,0.03622844
1237658203971518564,14.02703,16.08208,13.9709,13.97091,0.04238246
1237657878077636811,14.11881,16.79489,14.22631,14.11833,0.09442152
1237657775541190877,16.75917,18.03917,16.82827,16.67665,0.07628597
1237657769628926213,15.06316,17.62194,14.81279,14.96217,0.06502367
1237657629512827188,15.25669,17.61221,15.12101,15.15578,0.07693508
1237657629512827171,15.64977,16.99313,15.5607,15.58917,0.07225328
1237657629512826964,13.37916,15.68228,13.34364,13.34364,0.07744411
1237657629511712956,14.61131,16.75787,14.55449,14.5785,0.08663038
1237657628452389069,15.06007,16.46714,14.92176,14.92174,0.02722582
1237657628452389042,14.57069,16.11202,14.42499,14.42495,0.02685343
1237657628452389021,15.78506,18.5683,15.73034,15.73042,0.02775202
1237657628452388926,13.1154,15.78056,13.00271,13.0027,0.02689242
1237657628446097522,13.22477,15.92619,13.06264,13.10506,0.02108224
1237657608573943931,13.42164,16.20157,13.29584,13.30451,0.07761334
1237657608573812810,14.1499,15.7855,14.27027,14.27027,0.09164898
1237657595152498732,14.18882,17.02706,13.92739,14.05212,0.08554491
1237657595152433341,14.63098,17.08148,14.47407,14.57021,0.08688834
1237657595152433227,14.16632,15.97047,14.06621,14.06618,0.08406062
1237657595152367891,16.37194,19.35722,16.33584,16.25367,0.09152195
1237657595152367644,15.85027,17.77477,15.90887,15.81902,0.09172373
1237657595152302415,16.53276,18.00531,16.32703,16.46678,0.09599014
1237657595152302205,13.53224,15.65641,13.43086,13.43083,0.09649023
1237657591393091821,16.41595,18.56026,16.46262,16.38181,0.02920625
1237657402416758934,16.37849,19.45251,16.34722,16.26836,0.05906691
1237657401347407877,13.12394,16.01857,12.92044,12.92046,0.02512097
1237657400808833194,15.39026,17.90082,15.37518,15.36667,0.03668924
1237657400806277191,16.62217,19.00849,16.53365,16.53365,0.06487805
1237657244046000150,15.19632,17.72374,15.31867,15.27251,0.054457
1237657244045934827,15.83013,18.75236,15.82494,15.80473,0.05488687
1237657117338566713,14.85128,16.65857,15.30334,15.30334,0.06191231
1237657117338566712,13.96344,15.98798,13.8278,13.84455,0.06210163
1237655744019234975,14.76733,16.87196,14.56647,14.623,0.1011588
1237655743486034203,15.69071,17.09301,15.56007,15.59125,0.1233568
1237655743485968661,15.15041,17.11242,15.06314,15.06312,0.1161689
1237658298999832729,15.41638,16.89617,15.27112,15.27981,0.06603499
1237658298999832594,14.29166,16.28424,14.12647,14.12648,0.06631272
1237658205578723439,15.29655,18.13791,15.30643,15.19941,0.03593305
1237658205578657877,15.60875,17.10033,15.64797,15.64796,0.03515842
1237658205578657826,13.99254,16.45527,14.05663,14.0335,0.0361601
1237658205573939256,13.67398,17.219,13.72978,13.68255,0.03213944
1237658205573873789,14.04477,15.978,14.03725,14.05609,0.02899148
1237658205573808201,12.51988,16.85471,12.54483,12.59671,0.03074382
1237658205048995851,15.78118,16.90922,15.69649,15.69649,0.03789652
1237658205048930354,13.92153,17.17224,14.07408,13.99871,0.04643744
1237658205037002810,13.57938,15.80682,13.55477,13.57511,0.0288157
1237658204514812077,15.4438,18.69757,15.39092,15.37889,0.02928187
1237658204514811929,15.67503,17.47015,15.52912,15.663,0.02603096
1237658204514811907,14.64776,16.71229,14.47629,14.50801,0.02549523
1237658204514746433,15.26508,16.98997,15.14102,15.14102,0.02546669
1237658204514746432,14.17993,16.16157,14.0025,14.02275,0.02542789
1237658203961884821,17.25409,18.9999,17.33941,17.27653,0.04289522
1237658203961884806,17.01632,18.17175,17.03158,17.02928,0.0426794
1237658203423310082,14.56094,18.05559,14.58941,14.44121,0.03639689
1237658192145088727,14.526,18.02101,14.50225,14.4582,0.07966846
1237658192144761218,14.36769,17.05944,14.36273,14.34113,0.1034754
1237657878614638621,13.91581,15.91497,13.76028,13.79179,0.09311033
1237657878614638619,12.64756,15.4217,12.50314,12.50315,0.09050807
1237657878077702256,15.0325,16.92183,14.93664,14.93664,0.0928431
1237657878077702252,14.15647,16.27338,13.96326,14.01371,0.09228564
1237657878077702182,13.38519,15.69662,13.37952,13.39901,0.09214537
1237657874868535396,14.63969,17.25432,14.74258,14.66539,0.0384431
1237657874868535323,14.58021,17.63731,14.59713,14.55105,0.03165793
1237657873793482757,14.25448,16.16702,14.13136,14.17712,0.04367412
1237657873793417354,16.81828,17.95904,16.68465,16.72675,0.04117304
1237657873254908052,15.16956,16.38797,15.08707,15.08707,0.0420556
1237657873254907919,15.92055,18.26463,15.98841,15.8868,0.04510743
1237657873254907914,12.96867,15.41589,12.77434,12.77434,0.04464303
1237657873254842442,15.90274,17.3597,15.79029,15.79024,0.04127724
1237657873254842378,13.28536,16.15046,13.14461,13.15231,0.03990823
1237657858222456990,15.74003,17.5339,15.78549,15.78549,0.04211073
1237657858222456920,15.62778,17.76505,15.76152,15.76152,0.04165543
1237657858222391531,16.39439,18.25921,16.36604,16.36604,0.0419912
1237657858222391375,13.81388,16.26514,13.65118,13.65745,0.04153767
1237657856065994763,15.68613,17.84459,16.13573,16.13575,0.02088116
1237657856065994762,14.27362,16.9042,14.36384,14.36384,0.02155403
1237657856065929446,15.86018,18.38402,15.84066,15.77384,0.02148936
1237657856065929429,15.11578,16.99571,15.0162,15.01617,0.02263889
1237657856065929302,15.51082,16.8817,15.34997,15.34997,0.02269599
1237657856065863801,14.61462,16.33399,14.61139,14.61139,0.0234684
1237657776082780208,14.97445,16.51141,14.92222,14.92222,0.05299446
1237657775534702644,13.63745,16.29748,13.46685,13.53171,0.07098358
1237657775534637628,15.79263,17.9469,15.78221,15.74342,0.0733234
1237657775534637474,15.08863,18.02433,15.08946,15.08333,0.08107067
1237657775534637138,15.15365,17.63362,15.16436,15.06515,0.07958443
1237657775006351385,16.71863,18.27329,16.79762,16.73482,0.04313234
1237657775006286005,14.66041,17.28065,14.49457,14.53454,0.04286092
1237657773924352400,15.06202,17.33399,14.82804,14.96959,0.07667656
1237657772321472671,14.43838,16.34561,14.31345,14.31345,0.02106748
1237657772321472648,16.17149,18.32846,16.12972,16.11435,0.02099713
1237657770705289291,14.71245,17.00643,14.79716,14.79716,0.04059037
1237657770705289289,14.09796,16.33139,13.97507,13.97506,0.04139588
1237657770705289247,14.86881,17.09614,14.87457,14.76003,0.04216763
1237657632188727350,14.87493,17.41411,14.69968,14.80194,0.05664571
1237657630590369984,15.50386,17.31174,15.25981,15.39015,0.03906217
1237657630590238967,13.36655,16.70117,13.38358,13.41541,0.05783932
1237657630053433424,14.03583,17.12199,14.0605,14.05496,0.0521294
1237657630042161415,15.25098,18.02475,15.31116,15.11014,0.0704384
1237657629513810174,16.21528,17.83703,16.14352,16.14352,0.04257093
1237657629513810033,14.86931,17.60877,14.57861,14.66856,0.04379636
1237657629512892647,15.33594,17.20679,15.25356,15.25359,0.05387728
1237657629511713101,15.67999,16.69102,15.59652,15.59653,0.08546984
1237657629511712801,15.16599,16.93916,15.17271,15.17269,0.08670525
1237657629505355824,14.32619,16.17709,14.28652,14.28653,0.06742224
1237657628446097434,14.76304,16.53874,14.60789,14.60869,0.01560112
1237657628439412747,16.43969,17.3863,16.32617,16.34757,0.06505626
1237657628439347487,16.42952,18.27931,16.53528,16.39913,0.06740434
1237657628439347343,16.07329,17.46874,15.90995,15.98411,0.06638601
1237657628439347341,13.51616,15.74552,13.4508,13.4508,0.06633007
1237657628432007196,15.55066,16.39937,15.40618,15.40618,0.08403949
1237657628431679510,13.67268,16.27684,13.61766,13.63838,0.08639835
1237657627919384583,15.62122,17.40232,15.48875,15.48875,0.04562306
1237657627919319144,17.22747,18.29792,17.26003,17.1627,0.04592289
1237657627919319142,14.71538,17.17268,14.3414,14.4357,0.04610667
1237657627919319141,14.96154,17.04256,14.85798,14.85797,0.04618232
