objID,petroMag_r,fiberMag_r,modelMag_r,cModelMag_r,extinction_r
1237671932820258894,14.29963,16.1032,14.25591,14.25591,0.06664758
1237671934428381309,13.82699,15.99624,13.78213,13.78213,0.04024065
1237671956981088440,15.08667,18.57523,15.04552,15.00999,0.06420111
1237671956981153874,13.27346,15.80595,13.15876,13.15874,0.05415466
1237671956981219542,15.48303,18.87613,15.46979,15.46979,0.05910429
1237671957518876723,15.31557,16.54226,15.20337,15.20772,0.06665826
1237671957518876726,16.42684,18.27554,16.46618,16.46556,0.06670477
1237671958588424370,13.05278,17.28839,13.56995,13.56995,0.09169454
1237671991338532959,14.19664,17.61216,14.02181,14.11802,0.05957926
1237671991340433429,14.93156,17.27301,14.99747,14.86938,0.05988788
1237671991340433626,14.95992,17.97388,14.96771,14.88415,0.05673722
1237671991340499075,14.86652,17.9961,14.9112,14.73139,0.0509957
1237671991878156520,15.50645,16.62294,15.41717,15.42259,0.06312988
1237671991878221902,13.55379,16.38261,13.39765,13.44524,0.06518967
1237671992947572790,13.72227,16.2916,13.70414,13.70415,0.07702755
1237671992947638320,14.29299,16.19921,14.29908,14.29908,0.07349608
1237671992947703853,12.50104,16.2163,12.60349,12.61492,0.1013227
1237671992949407904,15.22334,16.84669,15.07025,15.14888,0.07606284
1237671992953929929,14.4291,17.27188,14.61041,14.58499,0.1069669
1237673705041691045,15.84995,18.19005,15.93458,15.77851,0.1005837
1237673705041756259,14.29734,16.62321,14.17371,14.17371,0.1017166
1237673705041756411,17.13155,18.95598,16.78408,17.0172,0.1006552
1237673705043198070,13.39073,15.79737,13.2705,13.27048,0.1088449
1237673809192157408,13.98188,16.40988,13.81941,13.83135,0.08546301
1237673809192157411,16.56279,17.53308,16.51383,16.51384,0.08535946
1237673809192223014,14.61729,16.51103,14.63439,14.63442,0.0828374
1237674371289907217,14.9847,17.5388,15.01668,14.93904,0.08701782
1237674599462207503,14.28274,16.32253,14.14211,14.14212,0.04491848
1237674599462273168,15.25926,17.15486,15.05767,15.18245,0.04762973
1237674599462273202,17.10824,19.29689,17.06443,17.06447,0.0446071
1237674599462994088,15.43216,18.55154,15.39155,15.33853,0.04755988
1237674602676289621,13.09219,15.70425,13.0256,13.0256,0.05700499
1237674602676289706,14.43062,16.74725,14.38389,14.39949,0.05835196
1237674602676289826,14.86112,17.97991,14.85721,14.79995,0.05432434
1237674603216633993,14.18524,15.99663,14.03434,14.03434,0.1005825
1237674603216634080,16.76972,18.66421,16.7354,16.7354,0.09896322
1237674603216699610,15.9416,18.86719,15.3625,15.57585,0.1017081
1237674649384124427,13.58424,16.21968,13.46267,13.46447,0.09490669
1237674649384124576,16.37505,17.68161,16.21775,16.28163,0.1045556
1237674649384255499,15.39553,17.09868,15.4314,15.31727,0.1359649
1237674649384255563,15.63087,18.02843,15.61789,15.60357,0.1446439
1237674649384386795,17.04393,19.63471,16.93842,16.93842,0.1325514
1237674649387991118,15.80043,16.97099,15.74839,15.75204,0.07656269
1237674649388056620,13.08156,15.37688,12.99014,12.99014,0.0668024
1237674649388056846,15.84651,18.84722,15.82873,15.75818,0.06607623
1237674650460422277,13.80507,16.16106,13.7435,13.7435,0.1020545
1237674650460422427,14.98718,17.49092,14.78746,14.83311,0.09688918
1237674650460422494,14.8588,16.96098,14.75333,14.76623,0.1019928
1237674650460487907,16.4253,18.90991,16.38393,16.34769,0.1024003
1237674602140139550,15.94135,18.09192,15.92214,15.92215,0.06823154
1237674598925664446,15.64029,16.93724,15.5696,15.56959,0.05724527
1237674598925664381,16.99011,18.8739,16.94941,16.89916,0.05259602
1237674479735013541,16.0087,17.04955,15.92001,15.92,0.03868046
1237674479735013527,17.1559,19.37238,17.107,17.10699,0.0407613
1237674479735013407,16.87411,18.35659,16.71849,16.71847,0.04147839
1237674371291414552,11.68446,15.16608,11.80424,11.80421,0.0989186
1237674368067829775,14.20729,16.44785,14.09395,14.09478,0.1018037
1237674290756583895,15.31923,18.56734,15.2566,15.24275,0.1029717
1237674290756583884,16.79412,18.98549,16.7417,16.71906,0.1039386
1237674290756583782,14.77145,16.66898,14.63302,14.66618,0.1087296
1237673705578758555,16.29895,18.58392,16.33426,16.19469,0.09283163
1237673705578758184,15.19851,17.57965,14.89663,15.04375,0.09445746
1237673705578758181,13.68472,16.00423,13.59417,13.59414,0.09366075
1237671992950587444,13.84572,15.70139,13.84442,13.84442,0.06840622
1237671991875665965,12.72522,15.83169,12.66641,12.67614,0.08316842
1237671991875600389,14.8273,17.00911,14.6617,14.8059,0.08256221
1237671990803562762,15.16755,17.66473,15.21319,15.09523,0.05590775
1237671955902693480,14.8677,17.69232,14.9337,14.79449,0.05088223
1237671955902693479,15.81766,17.66961,15.8483,15.73897,0.05160274
1237671936578093285,16.86226,18.49364,16.90998,16.87211,0.05637786
1237671936578093073,14.28219,16.07965,14.15737,14.15737,0.05457779
1237674648847450200,14.20637,15.86975,14.15016,14.15016,0.1260395
1237671992949342322,13.77861,16.32925,13.55781,13.64679,0.07557781
1237671991875600387,12.69463,15.29113,12.56229,12.56943,0.08078492
1237671936578093441,15.41981,17.78613,15.44735,15.3596,0.0580974
1237671935505138058,17.14903,19.59371,17.17514,17.01358,0.06117317
1237674648847450346,15.15219,17.57022,15.22525,15.13263,0.1238493
