task,model_id,contrast,scope,proxy,outcome,definition,threshold,model_type,effect_type,status,estimate,ci_low,ci_high,p,p_holm,n,n_cg4,n_control,n_clusters,formula,notes
B,B_RG4_satellites_sersic_continuous,CG4_vs_RG4,satellites,simard_sersic_n,sersic_n_valid,continuous valid Simard pure-Sersic n_g; pegged fits excluded,,OLS,beta,ok,0.5725735879505865,0.23556717775739083,0.9095799981437822,0.0008685314317284238,0.03821538299605065,332,170,162,116,sersic_n_valid ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,covariance=cluster
B,B_Control4C_all_concentration_ge_2.6,CG4_vs_Control4C,all,concentration_r90_r50,early_concentration_t2p6,early type if C = petroR90_r / petroR50_r >= 2.6,2.6,logistic,OR,ok,0.868324330937956,0.6631057763896926,1.1370541028973744,0.30474109274525785,1.0,2887,234,2653,760,early_concentration_t2p6 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_Control4C_all_concentration_ge_2.5,CG4_vs_Control4C,all,concentration_r90_r50,early_concentration_t2p5,early type if C = petroR90_r / petroR50_r >= 2.5,2.5,logistic,OR,ok,0.9003892473229114,0.681274129616934,1.18997736953634,0.46083077029237773,1.0,2887,234,2653,760,early_concentration_t2p5 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_Control4C_all_concentration_ge_2.86,CG4_vs_Control4C,all,concentration_r90_r50,early_concentration_t2p86,early type if C = petroR90_r / petroR50_r >= 2.86,2.86,logistic,OR,ok,1.1882666230086425,0.8599761093577135,1.6418799917720046,0.2957538525744021,1.0,2887,234,2653,760,early_concentration_t2p86 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_Control4C_all_concentration_continuous,CG4_vs_Control4C,all,concentration_r90_r50,concentration_r90_r50,continuous C = petroR90_r / petroR50_r,,OLS,beta,ok,0.013936893050207039,-0.05797196527399262,0.0858457513744067,0.7040440810916826,1.0,2887,234,2653,760,concentration_r90_r50 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,covariance=cluster
B,B_Control4C_all_sersic_ge_2.5,CG4_vs_Control4C,all,simard_sersic_n,early_sersic_t2p5,early type if valid Simard pure-Sersic n_g >= 2.5,2.5,logistic,OR,ok,1.3479084825896497,1.001254910203304,1.8145801423018442,0.04904136700752403,1.0,2291,194,2097,753,early_sersic_t2p5 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_Control4C_all_sersic_ge_2,CG4_vs_Control4C,all,simard_sersic_n,early_sersic_t2p0,early type if valid Simard pure-Sersic n_g >= 2,2.0,logistic,OR,ok,1.1772279932576974,0.8519048073883341,1.626784748824418,0.3228030449709103,1.0,2291,194,2097,753,early_sersic_t2p0 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_Control4C_all_sersic_ge_3,CG4_vs_Control4C,all,simard_sersic_n,early_sersic_t3p0,early type if valid Simard pure-Sersic n_g >= 3,3.0,logistic,OR,ok,1.2077020168756722,0.9330763007642663,1.5631563682100795,0.15165096867461725,1.0,2291,194,2097,753,early_sersic_t3p0 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_Control4C_all_sersic_continuous,CG4_vs_Control4C,all,simard_sersic_n,sersic_n_valid,continuous valid Simard pure-Sersic n_g; pegged fits excluded,,OLS,beta,ok,0.18071770356050576,-0.03148416608974819,0.3929195732107597,0.09508444478868376,1.0,2291,194,2097,753,sersic_n_valid ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,covariance=cluster
B,B_Control4C_satellites_concentration_ge_2.6,CG4_vs_Control4C,satellites,concentration_r90_r50,early_concentration_t2p6,early type if C = petroR90_r / petroR50_r >= 2.6,2.6,logistic,OR,ok,0.8802237963249802,0.629180851135129,1.231432791094842,0.4564317647721452,1.0,2175,177,1998,760,early_concentration_t2p6 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_Control4C_satellites_concentration_ge_2.5,CG4_vs_Control4C,satellites,concentration_r90_r50,early_concentration_t2p5,early type if C = petroR90_r / petroR50_r >= 2.5,2.5,logistic,OR,ok,0.8727425347311452,0.6351214810849437,1.1992658957587268,0.4012481244128818,1.0,2175,177,1998,760,early_concentration_t2p5 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_Control4C_satellites_concentration_ge_2.86,CG4_vs_Control4C,satellites,concentration_r90_r50,early_concentration_t2p86,early type if C = petroR90_r / petroR50_r >= 2.86,2.86,logistic,OR,ok,1.2077412436279515,0.8617488226396909,1.6926497295255005,0.2730795480483855,1.0,2175,177,1998,760,early_concentration_t2p86 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_Control4C_satellites_concentration_continuous,CG4_vs_Control4C,satellites,concentration_r90_r50,concentration_r90_r50,continuous C = petroR90_r / petroR50_r,,OLS,beta,ok,0.014252673637533936,-0.07400240086538959,0.10250774814045746,0.7516058621929362,1.0,2175,177,1998,760,concentration_r90_r50 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,covariance=cluster
B,B_Control4C_satellites_sersic_ge_2.5,CG4_vs_Control4C,satellites,simard_sersic_n,early_sersic_t2p5,early type if valid Simard pure-Sersic n_g >= 2.5,2.5,logistic,OR,ok,1.358718844719759,1.0009592714661906,1.8443476689040816,0.04928548378817816,1.0,2043,170,1873,753,early_sersic_t2p5 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_Control4C_satellites_sersic_ge_2,CG4_vs_Control4C,satellites,simard_sersic_n,early_sersic_t2p0,early type if valid Simard pure-Sersic n_g >= 2,2.0,logistic,OR,ok,1.2586033851858185,0.9068070276994585,1.7468793611138749,0.1691001719921159,1.0,2043,170,1873,753,early_sersic_t2p0 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_Control4C_satellites_sersic_ge_3,CG4_vs_Control4C,satellites,simard_sersic_n,early_sersic_t3p0,early type if valid Simard pure-Sersic n_g >= 3,3.0,logistic,OR,ok,1.246379024926894,0.9499538238476155,1.6353012481024654,0.1119608566289152,1.0,2043,170,1873,753,early_sersic_t3p0 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_Control4C_satellites_sersic_continuous,CG4_vs_Control4C,satellites,simard_sersic_n,sersic_n_valid,continuous valid Simard pure-Sersic n_g; pegged fits excluded,,OLS,beta,ok,0.19899090089791527,-0.030207372511840636,0.42818917430767117,0.08882119739258502,1.0,2043,170,1873,753,sersic_n_valid ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,covariance=cluster
