model_id,reason,excluded_n,remaining_n
B_Control4C_satellites_concentration_ge_2.86,missing_covariate:logMstar,114,2175
B_Control4C_satellites_concentration_continuous,input_rows,0,2298
B_Control4C_satellites_concentration_continuous,missing_continuous_outcome,9,2289
B_Control4C_satellites_concentration_continuous,missing_covariate:logMstar,114,2175
B_Control4C_satellites_sersic_ge_2.5,input_rows,0,2298
B_Control4C_satellites_sersic_ge_2.5,missing_or_invalid_sersic_n,235,2063
B_Control4C_satellites_sersic_ge_2.5,missing_covariate:logMstar,20,2043
B_Control4C_satellites_sersic_ge_2,input_rows,0,2298
B_Control4C_satellites_sersic_ge_2,missing_or_invalid_sersic_n,235,2063
B_Control4C_satellites_sersic_ge_2,missing_covariate:logMstar,20,2043
B_Control4C_satellites_sersic_ge_3,input_rows,0,2298
B_Control4C_satellites_sersic_ge_3,missing_or_invalid_sersic_n,235,2063
B_Control4C_satellites_sersic_ge_3,missing_covariate:logMstar,20,2043
B_Control4C_satellites_sersic_continuous,input_rows,0,2298
B_Control4C_satellites_sersic_continuous,missing_continuous_outcome,235,2063
B_Control4C_satellites_sersic_continuous,missing_covariate:logMstar,20,2043
C_CG4_vs_RG4_satellites_cells,input_rows,0,354
C_CG4_vs_RG4_satellites_cells,missing_morphology_or_sfr_cell,58,296
D_CG4_vs_RG4_all_quenched,input_rows,0,472
D_CG4_vs_RG4_all_quenched,missing_sfr_class,23,449
D_CG4_vs_RG4_satellites_quenched,input_rows,0,354
D_CG4_vs_RG4_satellites_quenched,missing_sfr_class,14,340
D_pooled_all_quenched,input_rows,0,4231
D_pooled_all_quenched,missing_sfr_class,262,3969
D_pooled_satellites_quenched,input_rows,0,3465
D_pooled_satellites_quenched,missing_sfr_class,197,3268
