task,model_id,contrast,scope,proxy,outcome,definition,threshold,model_type,effect_type,status,estimate,ci_low,ci_high,p,p_holm,n,n_cg4,n_control,n_clusters,formula,notes
B,B_RG4_satellites_concentration_ge_2.5,CG4_vs_RG4,satellites,concentration_r90_r50,early_concentration_t2p5,early type if C = petroR90_r / petroR50_r >= 2.5,2.5,logistic,OR,ok,1.036944946633354,0.6179517321370825,1.7400304367298407,0.8907395023930719,1.0,343,177,166,116,early_concentration_t2p5 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_RG4_satellites_concentration_ge_2.86,CG4_vs_RG4,satellites,concentration_r90_r50,early_concentration_t2p86,early type if C = petroR90_r / petroR50_r >= 2.86,2.86,logistic,OR,ok,1.8815876958106992,0.9425592521850638,3.756127000842482,0.07309490775033346,1.0,343,177,166,116,early_concentration_t2p86 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_RG4_satellites_concentration_continuous,CG4_vs_RG4,satellites,concentration_r90_r50,concentration_r90_r50,continuous C = petroR90_r / petroR50_r,,OLS,beta,ok,0.12335364699881901,-0.002961719468006746,0.24966901346564477,0.055619049061593775,1.0,343,177,166,116,concentration_r90_r50 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,covariance=cluster
B,B_RG4_satellites_sersic_ge_2.5,CG4_vs_RG4,satellites,simard_sersic_n,early_sersic_t2p5,early type if valid Simard pure-Sersic n_g >= 2.5,2.5,logistic,OR,ok,2.0046662722041053,1.0394775893620498,3.8660639767895906,0.03793922408340221,1.0,332,170,162,116,early_sersic_t2p5 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_RG4_satellites_sersic_ge_2,CG4_vs_RG4,satellites,simard_sersic_n,early_sersic_t2p0,early type if valid Simard pure-Sersic n_g >= 2,2.0,logistic,OR,ok,1.8923420483598616,1.0516171103041398,3.405192244309473,0.033347760031169064,1.0,332,170,162,116,early_sersic_t2p0 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_RG4_satellites_sersic_ge_3,CG4_vs_RG4,satellites,simard_sersic_n,early_sersic_t3p0,early type if valid Simard pure-Sersic n_g >= 3,3.0,logistic,OR,ok,2.2865091175437047,1.1291457425916918,4.630158665444327,0.021597827720712254,0.8639131088284902,332,170,162,116,early_sersic_t3p0 ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,
B,B_RG4_satellites_sersic_continuous,CG4_vs_RG4,satellites,simard_sersic_n,sersic_n_valid,continuous valid Simard pure-Sersic n_g; pegged fits excluded,,OLS,beta,ok,0.5725735879505865,0.23556717775739083,0.9095799981437822,0.0008685314317284238,0.03821538299605065,332,170,162,116,sersic_n_valid ~ is_CG4 + logMstar + z_numeric + log_group_luminosity + velocity_dispersion,covariance=cluster
B,B_Control4C_all_concentration_ge_2.6,CG4_vs_Control4C,all,concentration_r90_r50,early_concentration_t2p6,early type if C = petroR90_r / petroR50_r >= 2.6,2.6,logistic,OR,ok,0.868324330937956,0.6631057763896926,1.1370541028973744,0.30474109274525785,1.0,2887,234,2653,760,early_concentration_t2p6 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_Control4C_all_concentration_ge_2.5,CG4_vs_Control4C,all,concentration_r90_r50,early_concentration_t2p5,early type if C = petroR90_r / petroR50_r >= 2.5,2.5,logistic,OR,ok,0.9003892473229114,0.681274129616934,1.18997736953634,0.46083077029237773,1.0,2887,234,2653,760,early_concentration_t2p5 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_Control4C_all_concentration_ge_2.86,CG4_vs_Control4C,all,concentration_r90_r50,early_concentration_t2p86,early type if C = petroR90_r / petroR50_r >= 2.86,2.86,logistic,OR,ok,1.1882666230086425,0.8599761093577135,1.6418799917720046,0.2957538525744021,1.0,2887,234,2653,760,early_concentration_t2p86 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
B,B_Control4C_all_concentration_continuous,CG4_vs_Control4C,all,concentration_r90_r50,concentration_r90_r50,continuous C = petroR90_r / petroR50_r,,OLS,beta,ok,0.013936893050207039,-0.05797196527399262,0.0858457513744067,0.7040440810916826,1.0,2887,234,2653,760,concentration_r90_r50 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,covariance=cluster
B,B_Control4C_all_sersic_ge_2.5,CG4_vs_Control4C,all,simard_sersic_n,early_sersic_t2p5,early type if valid Simard pure-Sersic n_g >= 2.5,2.5,logistic,OR,ok,1.3479084825896497,1.001254910203304,1.8145801423018442,0.04904136700752403,1.0,2291,194,2097,753,early_sersic_t2p5 ~ is_CG4 + logMstar + z_numeric + is_satellite + log_group_luminosity + velocity_dispersion,
