control,model,outcome,n_cg4_systems_retained,n_cg4_satellite_galaxies_raw,n_cg4_complete,n_control_complete,n_model_complete,n_physical_groups_complete,primary_n_cg4_complete,primary_n_control_complete,primary_odds_ratio,primary_ci95_low,primary_ci95_high,primary_raw_p,aligned_odds_ratio,aligned_ci95_low,aligned_ci95_high,aligned_raw_p,primary_beta,aligned_beta,delta_beta_aligned_minus_primary,attenuation_fraction_abs_beta,decision_classification
Control4B,elliptical_satellites,elliptical,56,168,143,1772,1915,731,157,1772,2.6329422557428486,1.8831238208263272,3.6813218787887583,1.5036813787072624e-08,2.712920449682239,1.8908354845436341,3.8924260870217657,6.012122541686058e-08,0.968101949298694,0.9980257113457711,0.02992376204707714,-0.030909721924177836,Stable
Control4C,elliptical_satellites,elliptical,56,168,143,1744,1887,733,157,1744,1.9320387373593795,1.4032726121748909,2.660048838886629,5.4226720085294193e-05,1.979734289409119,1.3980984378132977,2.80334184679607,0.00011900647785998729,0.6585757859823733,0.6829626384330632,0.024386852450689833,-0.03702968279392912,Stable
RG4,elliptical_satellites,elliptical,56,168,143,142,285,109,157,142,3.0309818230595447,1.718967402388407,5.344400829796283,0.00012709680487124202,3.0302660479384773,1.6621077327321807,5.524619217187817,0.0002967458059388154,1.1088866010466463,1.108650420266837,-0.00023618077980924745,0.00021298911862252027,Stable
