cg4_group,zheng_shen_class,objid,cg4_rank_M,lim_group,lim_rank_M,quartet_satellite,host_halo_satellite,host_status_differs_from_quartet_rank
188,Embedded,1237667781760319651,3,800,7,True,True,False
188,Embedded,1237667781760319656,4,800,8,True,True,False
197,Embedded,1237657591934025821,1,5360,1,False,False,False
197,Embedded,1237657591934025805,2,5360,2,True,True,False
197,Embedded,1237657591934025877,3,5360,3,True,True,False
197,Embedded,1237657591934025822,4,5360,4,True,True,False
204,Predom,1237657858222391375,1,1117,1,False,False,False
204,Predom,1237657858222456920,2,1117,6,True,True,False
204,Predom,1237657858222456990,3,1117,7,True,True,False
204,Predom,1237657858222391531,4,1117,10,True,True,False
206,Embedded,1237657627919319142,1,1741,1,False,False,False
206,Embedded,1237657627919319141,2,1741,2,True,True,False
206,Embedded,1237657627919384583,3,1741,5,True,True,False
206,Embedded,1237657627919319144,4,1741,7,True,True,False
207,Predom,1237661152450183230,1,406,1,False,False,False
207,Predom,1237661152450248784,2,406,3,True,True,False
207,Predom,1237661152450248713,3,406,7,True,True,False
207,Predom,1237661152450248875,4,406,13,True,True,False
214,Isolated,1237661435920646147,1,10818,1,False,False,False
214,Isolated,1237661435920646302,2,10818,2,True,True,False
214,Isolated,1237661435920646283,3,10818,3,True,True,False
214,Isolated,1237661435920580738,4,10818,4,True,True,False
229,Predom,1237665025446510622,1,442,2,False,True,True
229,Predom,1237665025446510739,2,442,6,True,True,False
229,Predom,1237665025446510775,3,442,7,True,True,False
229,Predom,1237665025446510745,4,442,19,True,True,False
231,Embedded,1237661949186474088,1,3047,1,False,False,False
231,Embedded,1237661949186408622,2,3047,2,True,True,False
231,Embedded,1237661949186408636,3,3047,3,True,True,False
231,Embedded,1237661949186474090,4,3047,6,True,True,False
239,Isolated,1237661873482891334,1,11010,1,False,False,False
239,Isolated,1237661873482891502,2,11010,2,True,True,False
239,Isolated,1237661873482956896,3,11010,3,True,True,False
239,Isolated,1237661873482891322,4,11010,4,True,True,False
259,Predom,1237661418747461670,1,1248,1,False,False,False
259,Predom,1237661418747527234,2,1248,5,True,True,False
259,Predom,1237661418747461776,3,1248,6,True,True,False
259,Predom,1237661418747461854,4,1248,7,True,True,False
265,Embedded,1237667783918026937,1,3157,1,False,False,False
265,Embedded,1237667783918092311,2,3157,2,True,True,False
265,Embedded,1237667783918092359,3,3157,3,True,True,False
265,Embedded,1237667783918092392,4,3157,4,True,True,False
271,Embedded,1237655463774191677,1,5093,1,False,False,False
271,Embedded,1237655368756625588,2,5093,2,True,True,False
271,Embedded,1237655463774126344,3,5093,3,True,True,False
271,Embedded,1237655463774126308,4,5093,4,True,True,False
276,Embedded,1237651273515794444,1,1284,1,False,False,False
276,Embedded,1237651273515794443,2,1284,2,True,True,False
276,Embedded,1237651273515794622,3,1284,3,True,True,False
276,Embedded,1237651273515794447,4,1284,6,True,True,False
293,Predom,1237661418750476311,1,310,1,False,False,False
293,Predom,1237661418750476312,2,310,8,True,True,False
293,Predom,1237661418750476514,3,310,11,True,True,False
293,Predom,1237661418750476491,4,310,12,True,True,False
303,Isolated,1237667912217985078,1,10811,1,False,False,False
303,Isolated,1237665567146115211,2,10811,2,True,True,False
303,Isolated,1237665567146115095,3,10811,3,True,True,False
