control,omitted_cg4_group,status,beta,odds_ratio,p,direction_preserved
Control4B,25,ok,0.9731407536568701,2.6462426174754063,1.8649135245433696e-08,True
Control4B,27,ok,0.968101949298694,2.6329422557428486,1.5036813787072624e-08,True
Control4B,28,ok,0.9893832503532372,2.689575166179929,7.379985893104568e-09,True
Control4B,33,ok,0.9343139236301281,2.545466474127246,4.126805937978144e-08,True
Control4B,42,ok,0.9311113776287644,2.537327540260258,4.254737814759855e-08,True
Control4B,52,ok,0.9611545760589466,2.6147136170703122,2.9530511096064486e-08,True
Control4B,61,ok,0.9599932019492443,2.6116787190382804,3.1882926370444676e-08,True
Control4B,63,ok,0.9581938730351284,2.606983675235484,2.406421772169444e-08,True
Control4B,73,ok,0.9770553388464422,2.6566218615971775,1.7629828458675525e-08,True
Control4B,80,ok,0.950573838731782,2.5871938654742666,3.232979285215571e-08,True
Control4B,82,ok,0.9639806185111219,2.622113359821162,2.2450149738270377e-08,True
Control4B,84,ok,1.0161663868068236,2.7625837601674523,1.4724100629777958e-09,True
Control4B,99,ok,0.9864479752346159,2.6816920982614763,1.2271592144286047e-08,True
Control4B,101,ok,0.9747621415697103,2.650536683502478,1.7110108491879567e-08,True
Control4B,106,ok,1.001299102009045,2.721815448613103,4.374745087609016e-09,True
Control4B,112,ok,0.9955297031198268,2.7061574217213815,6.885200744827451e-09,True
Control4B,117,ok,0.9864348076815798,2.6816567871710264,1.1585218297006454e-08,True
Control4B,121,ok,0.952691828735432,2.5926793232406102,2.5994732134852505e-08,True
Control4B,128,ok,0.986096256845312,2.680749063687089,8.815593686307514e-09,True
Control4B,131,ok,0.9396293524923395,2.5590327434197664,3.5834425719947136e-08,True
Control4B,142,ok,0.9853383838695653,2.6787181660953703,1.329552950929632e-08,True
Control4B,147,ok,0.9905466274099065,2.6927059770240875,1.07353214215684e-08,True
Control4B,154,ok,0.9623475817955592,2.617834846867409,2.8968159084908028e-08,True
Control4B,158,ok,0.9848240825786945,2.677340852092212,1.4389314561698087e-08,True
Control4B,165,ok,0.9467548819664966,2.5773323263398136,5.629043308355095e-08,True
Control4B,167,ok,0.9901166664634287,2.6915484674734027,1.7510732885452672e-08,True
Control4B,173,ok,0.9619180549835679,2.616710658063214,3.33045247051474e-08,True
Control4B,175,ok,0.968101949298694,2.6329422557428486,1.5036813787072624e-08,True
Control4B,188,ok,0.9557532287100958,2.600628713578194,3.351244216133616e-08,True
Control4B,197,ok,0.9555766471893719,2.6001695311478707,3.5484401315329535e-08,True
Control4B,204,ok,0.9529003459908882,2.5932199979854182,3.2803621827698066e-08,True
Control4B,206,ok,0.962525288500431,2.6183000950095767,2.5988348605006692e-08,True
Control4B,207,ok,0.9379762534133296,2.554805903403702,3.445490291015326e-08,True
Control4B,214,ok,0.9876940058445396,2.685035651354452,1.1922557317843821e-08,True
Control4B,229,ok,0.9936359075996367,2.70103736262193,8.704425605547884e-09,True
Control4B,231,ok,0.9579756873386037,2.6064149307346884,3.257023486174167e-08,True
Control4B,239,ok,1.0019101753670019,2.72347918579999,4.071144554579022e-09,True
Control4B,259,ok,0.9798626086469066,2.664090193827578,1.6676201472337584e-08,True
Control4B,265,ok,0.9548175013442636,2.598196372304153,3.548906339913574e-08,True
Control4B,271,ok,0.9557043339721429,2.6005015596273355,3.1189786637824016e-08,True
Control4B,276,ok,0.968101949298694,2.6329422557428486,1.5036813787072624e-08,True
Control4B,293,ok,0.9591343747600772,2.609436701235732,3.0661459346156905e-08,True
Control4B,303,ok,0.9921644042972388,2.6970657000968536,8.833022604339697e-09,True
Control4B,309,ok,0.9566706713476392,2.6030157360551187,3.143413423846405e-08,True
Control4B,315,ok,1.0205547911892492,2.774733734849687,9.000713819372371e-10,True
Control4B,316,ok,0.9561084098491939,2.601552571905868,3.6525657633700624e-08,True
Control4B,322,ok,0.9546350071227365,2.5977222597425325,3.3456329623984616e-08,True
Control4B,323,ok,0.973740966299457,2.6478314025065006,1.725640799111663e-08,True
Control4B,330,ok,0.9571675674539818,2.6043094858421094,3.414650953018969e-08,True
Control4B,333,ok,0.948840920938118,2.582714353623024,3.331614412429657e-08,True
Control4B,337,ok,0.9592201633014932,2.609660570606824,2.776205047632549e-08,True
Control4B,341,ok,0.9716963078620108,2.6424230227173173,1.9694411353665398e-08,True
Control4B,354,ok,0.9540548560827796,2.5962156255519777,3.838774088762811e-08,True
Control4B,360,ok,0.9332146291522007,2.542669794357439,3.6688916244140536e-08,True
Control4B,368,ok,0.9684056146954898,2.63374191060529,2.018879009552624e-08,True
Control4B,369,ok,0.9281182892535127,2.5297444487879086,3.77875796326747e-08,True
Control4B,373,ok,0.9393689262043594,2.558366390793215,3.478812897332151e-08,True
Control4B,374,ok,0.9677751128375826,2.6320818548265255,2.378563952249736e-08,True
Control4B,386,ok,0.9726629139293516,2.6449784396853633,1.9230457450051658e-08,True
Control4B,393,ok,0.9694122990184268,2.6363945922798644,2.6582365416758434e-08,True
Control4B,394,ok,0.9462891925769568,2.5761323694474014,3.160836944521255e-08,True
Control4B,405,ok,1.0119512548013736,2.750963612375586,2.147888745711948e-09,True
Control4C,25,ok,0.6638900572797732,1.9423334455748476,6.154664455160753e-05,True
Control4C,27,ok,0.6585757859823733,1.9320387373593795,5.4226720085294193e-05,True
Control4C,28,ok,0.6773806111446512,1.9687141445711722,3.33038856383054e-05,True
Control4C,33,ok,0.6252571529757726,1.8687264442163065,0.00011316763713335006,True
Control4C,42,ok,0.6206555344904198,1.8601470327946332,0.00012011516412969445,True
Control4C,52,ok,0.6560679636211425,1.9271995977984473,7.749808584850431e-05,True
Control4C,61,ok,0.6460217921021966,1.907935547085848,9.46221958060355e-05,True
Control4C,63,ok,0.6498828984571723,1.9153165293606431,7.150559276156092e-05,True
Control4C,73,ok,0.6713345017226011,1.9568469946266214,5.205726579915219e-05,True
Control4C,80,ok,0.6418310174053792,1.8999565498394981,8.92870058161654e-05,True
Control4C,82,ok,0.6557503676723908,1.9265876241990625,6.932701635565936e-05,True
Control4C,84,ok,0.7043964194383213,2.0226254989826327,1.1426921579007635e-05,True
Control4C,99,ok,0.675681683882786,1.9653722820346415,4.3932459212550925e-05,True
Control4C,101,ok,0.6654460009150985,1.9453579593134342,5.541679744255715e-05,True
Control4C,106,ok,0.6897335533700649,1.993184385222643,2.35912860794375e-05,True
Control4C,112,ok,0.6912933513899788,1.9962957762199682,2.221432639727786e-05,True
Control4C,117,ok,0.6814729308456069,1.976787259868184,3.613940101629587e-05,True
Control4C,121,ok,0.6429218460098512,1.9020302075882896,8.190181212775522e-05,True
Control4C,128,ok,0.6759715845199353,1.9659421273067017,3.5644292898402356e-05,True
Control4C,131,ok,0.6344573197024098,1.8859983695370024,0.00010217491566348141,True
Control4C,142,ok,0.6724683318314442,1.959066984975648,4.980519629905334e-05,True
Control4C,147,ok,0.6769860632328287,1.9679375457292563,4.23953262874023e-05,True
Control4C,154,ok,0.6554344858277789,1.9259791462551512,7.871441405667887e-05,True
Control4C,158,ok,0.6701480363180707,1.9545266401478922,5.4065051591485687e-05,True
Control4C,165,ok,0.6388367274123659,1.8942760377495875,0.00012253076413415456,True
Control4C,167,ok,0.6817922295766682,1.9774185463109546,4.773464556850931e-05,True
Control4C,173,ok,0.6555719880346024,1.9262439908459978,7.716017176409572e-05,True
Control4C,175,ok,0.6585757859823733,1.9320387373593795,5.4226720085294193e-05,True
Control4C,188,ok,0.6453618231206261,1.9066767842238463,9.702203764784084e-05,True
Control4C,197,ok,0.6416740850904501,1.899658408654472,0.00010162030618565263,True
Control4C,204,ok,0.6452698090205532,1.9065013511466982,9.344124770879632e-05,True
Control4C,206,ok,0.6560124760893215,1.9270926652161788,7.420504879408253e-05,True
Control4C,207,ok,0.630380737377256,1.8783255918991806,0.00010179092093039389,True
Control4C,214,ok,0.6751511434804278,1.9643298491841705,4.517252096041385e-05,True
Control4C,229,ok,0.6793801772595969,1.9726546570093102,3.950019542287785e-05,True
Control4C,231,ok,0.6493420366491972,1.9142808878944328,8.964921673294135e-05,True
Control4C,239,ok,0.6902865451669679,1.9942869046513902,2.2110010045978735e-05,True
Control4C,259,ok,0.6711787451412424,1.956542226563928,5.129759354621895e-05,True
Control4C,265,ok,0.6429432478221226,1.9020709149173305,9.847768006338878e-05,True
Control4C,271,ok,0.6474458000039301,1.910654397753874,8.86657772767309e-05,True
Control4C,276,ok,0.6585757859823733,1.9320387373593795,5.4226720085294193e-05,True
Control4C,293,ok,0.653325776913217,1.9219220959326317,8.069632364909182e-05,True
Control4C,303,ok,0.6775316590154155,1.9690115371105428,4.038991620191581e-05,True
Control4C,309,ok,0.6493375522473731,1.9142723035089753,8.506035465702308e-05,True
Control4C,315,ok,0.7127803206879084,2.039654275475601,6.38038767357828e-06,True
Control4C,316,ok,0.6491606169138889,1.913933631063019,8.832320283234261e-05,True
Control4C,322,ok,0.6417737802137586,1.8998478047745448,9.918391549675215e-05,True
Control4C,323,ok,0.6645189303305994,1.9435553108933044,5.555914578743982e-05,True
Control4C,330,ok,0.6440773397249665,1.9042292617910972,9.990107027824112e-05,True
Control4C,333,ok,0.6433471413775773,1.9028393042651908,8.547177777083784e-05,True
Control4C,337,ok,0.6524613008190131,1.9202613581632508,8.037740208916553e-05,True
Control4C,341,ok,0.6654423584339701,1.9453508733966847,5.4040775303139354e-05,True
Control4C,354,ok,0.6447430376056786,1.9054973252017953,9.675943992697266e-05,True
Control4C,360,ok,0.6209466607127485,1.8606886492088117,0.00011572886195623597,True
Control4C,368,ok,0.65798318448696,1.9308941474907537,6.655783959755905e-05,True
Control4C,369,ok,0.6192487443200286,1.8575320360405494,0.00011599329627273006,True
Control4C,373,ok,0.6306721363856996,1.8788730138694303,0.00010295879398567987,True
Control4C,374,ok,0.6631511291212346,1.9408987308394812,6.14534847324279e-05,True
Control4C,386,ok,0.6670663206079661,1.9485126162107382,5.7592421307050316e-05,True
Control4C,393,ok,0.6617129874479493,1.9381094496625282,6.565725489634735e-05,True
Control4C,394,ok,0.6377873896763534,1.8922893449589075,9.37682996110964e-05,True
Control4C,405,ok,0.7008673139450197,2.0155000209006064,1.4075663440984358e-05,True
RG4,25,ok,1.1006439355881252,3.0061011363388905,0.00016676954667278483,True
RG4,27,ok,1.1088866010466463,3.0309818230595447,0.00012709680487124202,True
RG4,28,ok,1.1450716594712742,3.1426665505938445,8.587250915706049e-05,True
RG4,33,ok,1.0533901332420246,2.867355376182384,0.00024304660887806696,True
RG4,42,ok,1.0842182152741524,2.9571270780426047,0.00018104877349727614,True
RG4,52,ok,1.1132936143131489,3.0443688769596866,0.00012349286498906923,True
RG4,61,ok,1.0644312972946057,2.8991897380912586,0.0003160853811187842,True
RG4,63,ok,1.1028012202972346,3.012593152400087,0.0001371850252045916,True
RG4,73,ok,1.1052673859055875,3.020031874815015,0.0001189577443688433,True
RG4,80,ok,1.10147828657095,3.008610326403501,0.00013826230326147705,True
RG4,82,ok,1.0900963116327231,2.974560543550183,0.0001721219522562692,True
RG4,84,ok,1.1661073176832648,3.209474824503339,5.223965065835383e-05,True
RG4,99,ok,1.140281314827299,3.127648095223562,0.00011023201282708133,True
RG4,101,ok,1.1123609673944197,3.0415308793376985,0.00012187652204462688,True
RG4,106,ok,1.1517573630130253,3.1637478807179376,6.678134347565541e-05,True
RG4,112,ok,1.1049371823054877,3.0190348140431227,0.00013696111274497558,True
RG4,117,ok,1.1109068176546468,3.0371112521796335,0.00011904641567680897,True
RG4,121,ok,1.0948019367131998,2.9885906946737952,0.0001600682532529664,True
RG4,128,ok,1.1214192595653563,3.0692071151626803,0.00011186640709360773,True
RG4,131,ok,1.124775928111953,3.0795267362334133,0.00011088314400444845,True
