sample,group,n_members,objids_rank_order,dropped,drop_reason,z_group_mean,D_A_kpc,R_pair_rank1_rank2_kpc,R_pair_rank1_rank3_kpc,R_pair_rank1_rank4_kpc,R_pair_rank2_rank3_kpc,R_pair_rank2_rank4_kpc,R_pair_rank3_rank4_kpc,R_pair_med_kpc,R_pair_min_kpc,R_pair_max_kpc,compactness_score_neg_log10_Rmed
CG4,25,4,1237655108898979844;1237655108898914500;1237655108898914492;1237655108898980064,False,,0.038024880750000004,160542.29607886306,132.24365635319697,148.8737753095742,118.05229938419262,81.14111447394738,240.2392000449386,266.9255365156558,140.5587158313856,81.14111447394738,266.9255365156558,-2.147857780716246
CG4,27,4,1237651533872496853;1237651271887618101;1237651271887618204;1237651533872496832,False,,0.045890312749999995,191935.12983664536,199.14160559030134,114.59634657024108,81.30537489648358,256.75972559290335,238.14202387670034,186.8309642883184,192.98628493930988,81.30537489648358,256.75972559290335,-2.2855264458636073
CG4,28,4,1237651192431902873;1237651192431902934;1237651192431902942;1237651192431902951,False,,0.04548640925,190337.57389457565,266.76876890034436,124.41215530436436,167.33066169670832,179.83029274858043,309.41348252124953,135.07161511611915,173.5804772226444,124.41215530436436,309.41348252124953,-2.2395008780336787
CG4,33,4,1237653664714391702;1237653664714391735;1237651753452765233;1237651753452765443,False,,0.043273424750000004,181556.80973477534,73.02283071478061,113.6987087446342,163.1205905196863,40.92564340267292,93.39380218262993,54.92928030565022,83.20831644870526,40.92564340267292,163.1205905196863,-1.9201667350320875
CG4,42,4,1237664093977182232;1237664093977116737;1237664093977182233;1237664093977182234,False,,0.02394379475,102822.14737703203,234.9643710237053,32.25264863606431,28.977246413915417,203.32050800529456,250.52798580822653,55.49116175758225,129.4058348814384,28.977246413915417,250.52798580822653,-2.111953859019547
CG4,52,4,1237664879949906003;1237664879949906001;1237664837006852244;1237664879949906004,False,,0.02732541175,116864.78515973725,120.27541047290556,83.72768486181172,62.84581802627963,95.74520719800455,57.95958857316136,61.68976605087713,73.28675144404568,57.95958857316136,120.27541047290556,-1.865025471301595
CG4,61,4,1237661382235652124;1237661382235652235;1237661382235652234;1237661382235652236,False,,0.0414547705,174305.38478833556,76.30403546804888,84.34402322655095,90.21850843268584,8.233442882435213,26.091497239887808,22.08720210098064,51.19776635396835,8.233442882435213,90.21850843268584,-1.709251014075312
CG4,63,4,1237661381699174422;1237661381699108952;1237661381699108923;1237661381699108924,False,,0.03985396025,167896.06676616456,173.4784499911846,316.3081984743915,303.50723952451335,294.0754640949654,279.8636177321428,14.3162262583874,286.9695409135541,14.3162262583874,316.3081984743915,-2.457835802952923
CG4,73,4,1237664336632741928;1237664336632741895;1237665099004051581;1237664869753487485,False,,0.0222980435,95945.93962023863,154.5637400278602,280.16485349791026,238.70128256738116,344.1635824771236,243.47049379121435,130.58530080694607,241.08588817929774,130.58530080694607,344.1635824771236,-2.382171789949305
CG4,80,4,1237671260670525453;1237671123231768624;1237671260670525479;1237671260670525478,False,,0.03061774375,130425.99474709459,286.8118841491887,62.20214261326131,78.36534839008563,333.4445572019021,357.4938437540867,25.852536892563503,182.58861626963716,25.852536892563503,357.4938437540867,-2.2614736973746568
CG4,82,4,1237664670045765663;1237661136886366310;1237661381701861554;1237661381701861576,False,,0.04547326199999999,190285.54645725383,88.01470766042706,84.21431166002539,247.68176699297,107.06882987911926,331.7682642437451,302.057517272205,177.37529843604463,84.21431166002539,331.7682642437451,-2.248893139171765
CG4,84,4,1237671125379842213;1237671125379907676;1237671125379842214;1237671125379842189,False,,0.0299475355,127674.1885269389,166.84577381334788,32.890453171420276,70.79622474399483,145.33412851105246,220.71366609719732,103.65415748902404,124.49414300003825,32.890453171420276,220.71366609719732,-2.095148919924944
CG4,99,4,1237667536399761464;1237667536399761571;1237667783897383104;1237667783897383027,False,,0.04335695525,181889.1000693663,78.13579175631955,197.92713111345387,150.94866377104537,228.97423334011066,121.34631017792677,154.17069850381222,152.5596811374288,78.13579175631955,228.97423334011066,-2.1834397723268855
CG4,101,4,1237654398613913710;1237654398613913657;1237654398613913659;1237654398613913661,False,,0.031186700749999997,132758.55576641383,78.63888936565745,67.4357944720673,60.42932189614175,45.75145541704943,52.29844122378057,9.833020659980244,56.36388155996116,9.833020659980244,78.63888936565745,-1.7510008936286923
CG4,106,4,1237648721221910580;1237654669739884742;1237654669739884626;1237654669739950159,False,,0.019921494,85967.48260772382,318.56664813338165,284.7079034997649,118.28687559290616,84.34841566939598,274.35721386807444,214.02768941945294,244.1924516437637,84.34841566939598,318.56664813338165,-2.387732235120217
CG4,112,4,1237648721759961111;1237648721759961363;1237648721759961197;1237648721759961421,False,,0.040583446,170819.86281539963,92.53777418063314,96.5697879912625,163.57802760996623,103.18246905766922,204.1747116257129,102.65557393089595,102.91902149428259,92.53777418063314,204.1747116257129,-2.012495648489983
CG4,117,4,1237654602106732592;1237654602106732699;1237654602106732681;1237654602106732720,False,,0.03700237075,156417.08028972126,274.56030909049474,73.83555472560325,95.44083445180023,240.25000557354065,259.4628973473866,151.2213541851787,195.73567987935968,73.83555472560325,274.56030909049474,-2.2916699986897933
CG4,121,4,1237654604791545887;1237654604791545959;1237654604791545888;1237654604791546018,False,,0.02637006775,112909.30563887498,141.4996126212866,29.25474439019133,74.70828310520942,112.82115716827451,83.34612316619516,54.798557731673874,79.02720313570228,29.25474439019133,141.4996126212866,-1.8977766120262165
CG4,128,4,1237664819818987529;1237664819818987565;1237664819818987566;1237664819818987690,False,,0.030547699749999997,130138.61116549405,141.97516950416943,133.55271290148264,128.23621063520574,8.546854144877937,177.77525421230726,173.02638655185206,137.76394120282603,8.546854144877937,177.77525421230726,-2.1391355587477583
CG4,131,4,1237667431715766291;1237667431715766292;1237667431715766293;1237667431715766294,False,,0.0358346275,151693.39870106522,61.07759623336043,69.39609501811229,58.98657741245721,43.839539932837255,46.79082487636138,13.167102643714914,52.888701144409296,13.167102643714914,69.39609501811229,-1.7233629016239709
CG4,142,4,1237662223525871655;1237662223525871715;1237662223525806268;1237662223525806252,False,,0.03649317775,154358.97076582324,72.98659425271356,157.28217954613075,207.13157834462658,157.26863477468356,218.5378361837641,63.542222026632366,157.27540716040716,63.542222026632366,218.5378361837641,-2.196660818176161
CG4,147,4,1237664337177477186;1237664337177477185;1237664337177542740;1237664337177542775,False,,0.03541012625,149972.91182073212,28.294516426634818,147.32625707763125,178.16550456503776,137.18370057502432,172.61437791678352,42.635370198997244,142.25497882632777,28.294516426634818,178.16550456503776,-2.1530674753409995
CG4,154,4,1237657628452388926;1237657628452389042;1237657628452389069;1237657628452389021,False,,0.026913503499999998,115160.4604612165,133.46193212288657,86.75163170389744,63.84693225764808,84.76714819406611,159.47370540126937,81.73359967383307,85.75938994898178,63.84693225764808,159.47370540126937,-1.9332816829977943
CG4,158,4,1237661811196624933;1237661811196625002;1237661811196559464;1237661948639445082,False,,0.036779541,155516.73664275417,99.87135964967652,258.36749579784924,190.00108822513596,239.08692630607638,94.90489982300093,216.81424814352079,203.40766818432837,94.90489982300093,258.36749579784924,-2.3083673211893134
CG4,165,4,1237665126930055238;1237665126930055405;1237665126930055448;1237665126930055406,False,,0.032470518000000004,138009.99852489895,101.69364185461878,86.93218138753552,105.53691042343436,136.55683063517705,20.25784527042957,151.5310692500998,103.61527613902658,20.25784527042957,151.5310692500998,-2.0154237887471
CG4,167,4,1237665370120847454;1237665370120847399;1237665370120782013;1237665370120847519,False,,0.03263194475,138669.15397740927,180.97639022258778,73.40466301823734,60.916868085261235,245.22726117757003,156.41583411432487,131.6679982898602,144.04191620209252,60.916868085261235,245.22726117757003,-2.1584888901948016
CG4,173,4,1237658312939798567;1237655108913594378;1237658312939798811;1237655108913594468,False,,0.0331761215,140889.2920161031,270.3837257505034,85.50905147449927,159.43043212980277,321.680098993609,182.61968070097475,241.824579215282,212.2221299581284,85.50905147449927,321.680098993609,-2.3267906689978477
CG4,175,4,1237648722841043066;1237648722841042953;1237648722840977489;1237648722841043030,False,,0.0405418535,170653.29802431318,114.46269642585264,165.05109256289296,116.5946993144028,60.320893305170195,96.98203983351588,153.5400424044999,115.52869787012773,60.320893305170195,165.05109256289296,-2.0626898784146244
CG4,188,4,1237667733971337221;1237667781760319536;1237667781760319651;1237667781760319656,False,,0.02574089425,110299.26102095483,82.50961597814772,121.90870233484884,38.77973318227422,84.39940799279111,59.00604953898429,83.19185164421516,82.85073381118144,38.77973318227422,121.90870233484884,-1.9182963593303166
CG4,197,4,1237657591934025821;1237657591934025805;1237657591934025877;1237657591934025822,False,,0.03446559675,146138.40219962402,115.03288445420183,209.9006525427302,24.99508512746053,201.53592454896804,94.90176953789909,190.62631584648136,152.8296001503416,24.99508512746053,209.9006525427302,-2.184207476863859
CG4,204,4,1237657858222391375;1237657858222456920;1237657858222456990;1237657858222391531,False,,0.03686628275,155867.27457235067,22.972405509343695,226.62744023168986,104.41703657038447,203.74852295174344,93.18973472261058,196.43085029763623,150.42394343401034,22.972405509343695,226.62744023168986,-2.1773169697240022
CG4,206,4,1237657627919319142;1237657627919319141;1237657627919384583;1237657627919319144,False,,0.04453014825,186549.05427002933,32.35418735067858,52.82723847284136,57.35090605794152,77.34153235739113,25.012905919847718,98.90023107077572,55.08907226539144,25.012905919847718,98.90023107077572,-1.7410654586428116
CG4,207,4,1237661152450183230;1237661152450248784;1237661152450248713;1237661152450248875,False,,0.0405472805,170675.0323931202,159.47396848728567,56.058077332566924,282.03285621446923,104.41728390958485,122.56205708394867,226.74423175590448,141.01801278561717,56.058077332566924,282.03285621446923,-2.149274590341579
CG4,214,4,1237661435920646147;1237661435920646302;1237661435920646283;1237661435920580738,False,,0.040184649,169222.11562780268,228.107967427769,147.00407017800225,221.23040062536253,118.04367831730038,266.9617860519712,158.7520049340688,189.99120277971565,118.04367831730038,266.9617860519712,-2.2787334921492657
CG4,229,4,1237665025446510622;1237665025446510739;1237665025446510775;1237665025446510745,False,,0.037650195,159031.85111557553,136.11725200416632,238.65818103777312,169.27643659987254,215.09491808229214,40.369711527006935,246.1862710457264,192.18567734108234,40.369711527006935,246.1862710457264,-2.283721018694073
CG4,231,4,1237661949186474088;1237661949186408622;1237661949186408636;1237661949186474090,False,,0.03200509975,136108.10308205575,172.9323382216049,96.89386071080189,43.92088558088496,130.55640986572965,183.53794203377925,75.4240498506916,113.72513528826576,43.92088558088496,183.53794203377925,-2.055856462142242
CG4,239,4,1237661873482891334;1237661873482891502;1237661873482956896;1237661873482891322,False,,0.0349343375,148042.44995614758,51.032843957901065,256.2529262581618,127.05615046357704,207.6356259870762,144.66520243342555,273.46574088231785,176.15041421025086,51.032843957901065,273.46574088231785,-2.245883668743573
CG4,259,4,1237661418747461670;1237661418747527234;1237661418747461776;1237661418747461854,False,,0.035524021,150434.69682866774,127.58078959815177,252.7447255771823,86.78389025108179,356.67793803119184,44.494984797034725,328.6529467930023,190.16275758766704,44.494984797034725,356.67793803119184,-2.279125466555756
CG4,265,4,1237667783918026937;1237667783918092311;1237667783918092359;1237667783918092392,False,,0.028526767499999998,121825.8004367311,154.24063731712226,268.57214285383054,114.62841202601871,122.06837582667525,114.03238587108247,187.22927307814797,138.15450657189876,114.03238587108247,268.57214285383054,-2.1403650560812393
CG4,271,4,1237655463774191677;1237655368756625588;1237655463774126344;1237655463774126308,False,,0.036507075,154415.1758902249,222.50393937835835,219.25746696938214,274.3038824647798,62.65650812782399,171.58993322969445,109.96219133253925,195.42370009953828,62.65650812782399,274.3038824647798,-2.290977231840745
CG4,276,4,1237651273515794444;1237651273515794443;1237651273515794622;1237651273515794447,False,,0.0315560815,134271.1843409622,42.91482492873174,228.66625241431527,66.36102811014614,187.2120230766361,23.478667253967124,165.40091498537384,115.88097154776,23.478667253967124,228.66625241431527,-2.064012127678275
CG4,293,4,1237661418750476311;1237661418750476312;1237661418750476514;1237661418750476491,False,,0.04274948525,179471.00726370787,87.64777273996987,174.72584532044954,120.3357810580154,164.53110586811965,99.53851606229445,65.12300445508309,109.93714856015492,65.12300445508309,174.72584532044954,-2.0411444684797226
CG4,303,4,1237667912217985078;1237665567146115211;1237665567146115095;1237667912217919745,False,,0.04064525075,171067.34025966938,140.98957399452374,47.77284344564692,123.40946112297422,106.42282218031514,241.6009677450933,170.47863952695772,132.199517558749,47.77284344564692,241.6009677450933,-2.1212298702634227
CG4,309,4,1237648704057573661;1237648704057573499;1237648704057573747;1237648704057573731,False,,0.04433175225,185761.949354697,139.3446906246095,120.9675831214147,155.6036570546563,91.20218008897527,226.10393699407697,140.90929813748636,140.12699438104795,91.20218008897527,226.10393699407697,-2.1465218068163754
CG4,315,4,1237651735776460868;1237655468597182863;1237655468597182871;1237651735776461018,False,,0.044082939,184774.28758887644,54.319379196903654,141.9341830544725,150.13917211228926,93.18208811781145,203.48132762537958,279.6836372061803,146.03667758338088,54.319379196903654,279.6836372061803,-2.164461943946153
