sample,n_quartets,median_R_pair_med_kpc,q25_R_pair_med_kpc,q75_R_pair_med_kpc,min_R_pair_med_kpc,max_R_pair_med_kpc,n_dropped_missing_coordinates_or_redshift
CG4,62,143.14844751421015,114.17602593373125,177.10467924650555,50.076370688618866,286.9695409135541,0
Control4B,698,447.4604040437556,323.4102691226027,604.383855201292,57.16329785802837,2065.1475680656604,0
Control4C,703,293.09299167198543,187.07393701796138,436.24641579307365,32.319177245432115,1100.859946281545,0
RG4,56,429.5835442673599,292.25011157174356,493.9419848448288,187.08497711089203,773.3771271601322,0
