control,omitted_physical_host,status,beta,odds_ratio,p,direction_preserved
Control4B,Lim:10811,ok,0.9921644042972388,2.6970657000968536,8.833022604339697e-09,True
Control4B,Lim:10818,ok,0.9876940058445396,2.685035651354452,1.1922557317843821e-08,True
Control4B,Lim:10996,ok,0.9848240825786945,2.677340852092212,1.4389314561698087e-08,True
Control4B,Lim:11010,ok,1.0019101753670019,2.72347918579999,4.071144554579022e-09,True
Control4B,Lim:1117,ok,0.9529003459908882,2.5932199979854182,3.2803621827698066e-08,True
Control4B,Lim:11175,ok,0.968101949298694,2.6329422557428486,1.5036813787072624e-08,True
Control4B,Lim:1248,ok,0.9798626086469066,2.664090193827578,1.6676201472337584e-08,True
Control4B,Lim:126,ok,0.9396293524923395,2.5590327434197664,3.5834425719947136e-08,True
Control4B,Lim:1284,ok,0.968101949298694,2.6329422557428486,1.5036813787072624e-08,True
Control4B,Lim:1288,ok,0.9770553388464422,2.6566218615971775,1.7629828458675525e-08,True
Control4B,Lim:1289,ok,0.9571675674539818,2.6043094858421094,3.414650953018969e-08,True
Control4B,Lim:1493,ok,1.0161663868068236,2.7625837601674523,1.4724100629777958e-09,True
Control4B,Lim:1632,ok,0.9540548560827796,2.5962156255519777,3.838774088762811e-08,True
Control4B,Lim:1675,ok,0.9864479752346159,2.6816920982614763,1.2271592144286047e-08,True
Control4B,Lim:1685,ok,0.973740966299457,2.6478314025065006,1.725640799111663e-08,True
Control4B,Lim:1741,ok,0.962525288500431,2.6183000950095767,2.5988348605006692e-08,True
Control4B,Lim:1824,ok,0.9619180549835679,2.616710658063214,3.33045247051474e-08,True
Control4B,Lim:1877,ok,0.9561084098491939,2.601552571905868,3.6525657633700624e-08,True
Control4B,Lim:2044,ok,0.9747621415697103,2.650536683502478,1.7110108491879567e-08,True
Control4B,Lim:2045,ok,0.950573838731782,2.5871938654742666,3.232979285215571e-08,True
Control4B,Lim:225,ok,0.9611545760589466,2.6147136170703122,2.9530511096064486e-08,True
Control4B,Lim:2304,ok,0.9677751128375826,2.6320818548265255,2.378563952249736e-08,True
Control4B,Lim:240,ok,0.9955297031198268,2.7061574217213815,6.885200744827451e-09,True
Control4B,Lim:2542,ok,0.9332146291522007,2.542669794357439,3.6688916244140536e-08,True
Control4B,Lim:30,ok,0.948840920938118,2.582714353623024,3.331614412429657e-08,True
Control4B,Lim:3033,ok,0.9639806185111219,2.622113359821162,2.2450149738270377e-08,True
Control4B,Lim:3047,ok,0.9579756873386037,2.6064149307346884,3.257023486174167e-08,True
Control4B,Lim:3073,ok,0.9393689262043594,2.558366390793215,3.478812897332151e-08,True
Control4B,Lim:3080,ok,0.9864348076815798,2.6816567871710264,1.1585218297006454e-08,True
Control4B,Lim:3099,ok,1.001299102009045,2.721815448613103,4.374745087609016e-09,True
Control4B,Lim:310,ok,0.9591343747600772,2.609436701235732,3.0661459346156905e-08,True
Control4B,Lim:3141,ok,1.0119512548013736,2.750963612375586,2.147888745711948e-09,True
Control4B,Lim:3157,ok,0.9548175013442636,2.598196372304153,3.548906339913574e-08,True
Control4B,Lim:348,ok,0.9592201633014932,2.609660570606824,2.776205047632549e-08,True
Control4B,Lim:36,ok,0.9686208666335062,2.6343088896752653,4.032365293916247e-08,True
Control4B,Lim:369,ok,0.9694122990184268,2.6363945922798644,2.6582365416758434e-08,True
Control4B,Lim:3859,ok,0.9566706713476392,2.6030157360551187,3.143413423846405e-08,True
Control4B,Lim:3863,ok,0.9311113776287644,2.537327540260258,4.254737814759855e-08,True
Control4B,Lim:389,ok,0.9581938730351284,2.606983675235484,2.406421772169444e-08,True
Control4B,Lim:3916,ok,0.9726629139293516,2.6449784396853633,1.9230457450051658e-08,True
Control4B,Lim:3999,ok,0.9853383838695653,2.6787181660953703,1.329552950929632e-08,True
Control4B,Lim:4018,ok,0.952691828735432,2.5926793232406102,2.5994732134852505e-08,True
Control4B,Lim:4038,ok,0.9599932019492443,2.6116787190382804,3.1882926370444676e-08,True
Control4B,Lim:406,ok,0.9379762534133296,2.554805903403702,3.445490291015326e-08,True
Control4B,Lim:442,ok,0.9936359075996367,2.70103736262193,8.704425605547884e-09,True
Control4B,Lim:5093,ok,0.9557043339721429,2.6005015596273355,3.1189786637824016e-08,True
Control4B,Lim:51,ok,0.9684056146954898,2.63374191060529,2.018879009552624e-08,True
Control4B,Lim:5219,ok,0.9462891925769568,2.5761323694474014,3.160836944521255e-08,True
Control4B,Lim:5240,ok,1.0205547911892492,2.774733734849687,9.000713819372371e-10,True
Control4B,Lim:5316,ok,0.9731407536568701,2.6462426174754063,1.8649135245433696e-08,True
Control4B,Lim:5335,ok,0.986096256845312,2.680749063687089,8.815593686307514e-09,True
Control4B,Lim:5360,ok,0.9555766471893719,2.6001695311478707,3.5484401315329535e-08,True
Control4B,Lim:6739,ok,0.9343139236301281,2.545466474127246,4.126805937978144e-08,True
Control4B,Lim:721,ok,0.9281182892535127,2.5297444487879086,3.77875796326747e-08,True
Control4B,Lim:7404,ok,0.9546350071227365,2.5977222597425325,3.3456329623984616e-08,True
Control4B,Lim:757,ok,0.9893832503532372,2.689575166179929,7.379985893104568e-09,True
Control4B,Lim:76,ok,0.9716963078620108,2.6424230227173173,1.9694411353665398e-08,True
Control4B,Lim:800,ok,0.9557532287100958,2.600628713578194,3.351244216133616e-08,True
Control4B,Lim:879,ok,0.9623475817955592,2.617834846867409,2.8968159084908028e-08,True
Control4B,Lim:9952,ok,0.9905466274099065,2.6927059770240875,1.07353214215684e-08,True
Control4C,Lim:10811,ok,0.6775316590154155,1.9690115371105428,4.038991620191581e-05,True
Control4C,Lim:10818,ok,0.6751511434804278,1.9643298491841705,4.517252096041385e-05,True
Control4C,Lim:10996,ok,0.6701480363180707,1.9545266401478922,5.4065051591485687e-05,True
Control4C,Lim:11010,ok,0.6902865451669679,1.9942869046513902,2.2110010045978735e-05,True
Control4C,Lim:1117,ok,0.6452698090205532,1.9065013511466982,9.344124770879632e-05,True
Control4C,Lim:11175,ok,0.6585757859823733,1.9320387373593795,5.4226720085294193e-05,True
Control4C,Lim:1248,ok,0.6711787451412424,1.956542226563928,5.129759354621895e-05,True
Control4C,Lim:126,ok,0.6344573197024098,1.8859983695370024,0.00010217491566348141,True
Control4C,Lim:1284,ok,0.6585757859823733,1.9320387373593795,5.4226720085294193e-05,True
Control4C,Lim:1288,ok,0.6713345017226011,1.9568469946266214,5.205726579915219e-05,True
Control4C,Lim:1289,ok,0.6460776135632391,1.908042053808314,9.464534476666197e-05,True
Control4C,Lim:1493,ok,0.7043964194383213,2.0226254989826327,1.1426921579007635e-05,True
Control4C,Lim:1632,ok,0.6447430376056786,1.9054973252017953,9.675943992697266e-05,True
Control4C,Lim:1675,ok,0.675681683882786,1.9653722820346415,4.3932459212550925e-05,True
Control4C,Lim:1685,ok,0.6645189303305994,1.9435553108933044,5.555914578743982e-05,True
Control4C,Lim:1741,ok,0.6560124760893215,1.9270926652161788,7.420504879408253e-05,True
Control4C,Lim:1824,ok,0.6555719880346024,1.9262439908459978,7.716017176409572e-05,True
Control4C,Lim:1877,ok,0.6491606169138889,1.913933631063019,8.832320283234261e-05,True
Control4C,Lim:2044,ok,0.6654460009150985,1.9453579593134342,5.541679744255715e-05,True
Control4C,Lim:2045,ok,0.6418310174053792,1.8999565498394981,8.92870058161654e-05,True
Control4C,Lim:225,ok,0.6560679636211425,1.9271995977984473,7.749808584850431e-05,True
Control4C,Lim:2304,ok,0.6631511291212346,1.9408987308394812,6.14534847324279e-05,True
Control4C,Lim:240,ok,0.6912933513899788,1.9962957762199682,2.221432639727786e-05,True
