idcg,ra_deg,dec_deg,r_obs,zcmb,iline,g_obs,objid,specObjID,z,SFR,sSFR,lgm,h_alpha_eqw,h_beta_eqw,oiii_5007_eqw,nii_6584_eqw,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,p_E,p_S,log_NII_Ha,log_OIII_Hb,is_AGN,morphology,sSFR_status,sSFR_raw
1,151.45764361,0.63335315,13.5116888,0.02209543,321,14.3461381,1237648722291982368,300665055005927424,0.03704123,-0.6792246,-9.853808,9.11881,-29.268,-7.725473,-8.645249,-3.897695,142.7995,38.72056,61.89884,20.31067,0.0820000022649765,0.611000001430511,-0.8470024368303026,0.2037408805978888,False,Spiral,Passive,-9.853808
1,151.46111145,0.63180208,13.7971942,0.0224315,322,14.578658,1237648722291982369,301760718762436608,0.03264355,-0.7312996,-10.06005,9.28467,-13.41994,-2.849639,-2.146756,-3.663344,128.2808,27.99174,22.77008,32.7762,0.246999993920326,0.684000015258789,-0.5926030586506443,-0.08966533910865743,False,Spiral,Passive,-10.06005
4,223.04597141,-0.25610391,14.2173118,0.04391735,1741,15.0227432,1237648704057573661,313060129362700288,0.03825541,-0.319139,-9.597277,9.225787,-42.93991,-9.289915,-11.79174,-7.591872,385.7111,107.0232,125.3864,71.6879,0.361999988555908,0.555999994277954,-0.7308162786758505,0.06877250115941672,False,Spiral,Passive,-9.597277
4,223.08090398,-0.26921264,16.2695446,0.0442178,1744,16.9252889,1237648704057573747,313121702013855744,0.03804589,-0.07790679,-9.65582,9.514051,-17.33679,-5.275544,-2.181506,-5.592942,163.448,52.41806,24.11368,50.45576,0.337000012397766,0.620000004768372,-0.5104688585813502,-0.33721745028664324,False,Spiral,Passive,-9.65582
4,223.06693001,-0.29362646,14.4509255,0.04408621,1739,15.2483888,1237648704057573499,315276465094551552,0.0400748,-0.2539554,-9.774892,9.467514,-42.23407,-10.45149,-9.734439,-10.5578,479.9044,152.6523,155.8914,114.0964,0.199000000953674,0.767000019550323,-0.6238827901172412,0.009118805131335046,False,Spiral,Passive,-9.774892
4,223.08319793,-0.22581164,16.6157719,0.04516679,1743,17.0649758,1237648704057573731,315328417018963968,0.02491182,0.01662132,-9.853709,9.80332,-17.17665,-3.756795,-1.443181,-5.74455,194.8127,47.10916,17.06931,64.84885,0.0,1.0,-0.4777149865719886,-0.4408893946355655,False,Spiral,Passive,-9.853709
5,222.290849,-2.29153373,14.455484,0.04338611,3970,15.3222111,1237655691940266371,316534856186095616,0.04005589,-0.07067547,-9.746449,9.608947,-26.37826,-7.360508,-4.407361,-7.13423,194.4697,57.54733,36.59154,55.4989,0.287999987602234,0.583999991416931,-0.5445675688339461,-0.1966444909602143,False,Spiral,Passive,-9.746449
5,222.27173642,-2.30895519,15.2765185,0.04332726,3969,16.1335198,1237655691940266355,323162994018117632,0.02085222,-0.69196,-9.96874,9.23562,-45.31585,-11.50465,-26.84285,-6.654374,1016.523,278.6549,653.9125,153.7324,0.714999973773956,0.165000006556511,-0.8203518022549235,0.3704529549887112,False,Elliptical,Passive,-9.96874
5,222.32231948,-2.30689445,16.6206517,0.04458972,3971,17.3455994,1237655691940331751,323198453268113408,0.0353776,-0.7375838,-9.650458,8.858997,-37.70316,-7.764296,-14.37199,-4.443533,199.6383,66.96763,113.2813,27.47713,0.296999990940094,0.44200000166893,-0.8612724945384538,0.22829329485023606,False,Uncertain,Passive,-9.650458
7,138.9791464,10.13251063,13.6879754,0.03228356,8096,14.3962255,1237661069243449478,368180303140775936,0.02203182,-0.2264886,-9.861738,9.585695,-31.76147,-6.408071,-3.121672,-9.551117,817.2174,230.6295,99.66032,241.187,0.025000000372529,0.975000023841858,-0.5299837093653553,-0.3643925801427488,False,Spiral,Passive,-9.861738
