sample,group_uid,objid,specObjID,rank_M,z,M_r,lgm,morphology,sSFR_status,sigma,sigma_err,SN,usable,valid_core,valid_core_sub,spec_choice,loss_reason,Mgb,Mgb_err,Fe5270,Fe5335,MgFe,MgFe_err,D4000n,HdA_sub,Hb_sub
CG4,HMCG:142,1237662223525871715,2293617872116672512,2,0.036408326,-20.549921,10.49055,Elliptical,Quenched,156.7697,3.854524,37.69711,1,1,1,csv_specobjid_with_mpa,ok,4.190038,0.2479836,3.061887,2.822388,3.542377747592236,0.1610259666548095,1.867852,-2.367005,2.05171
CG4,HMCG:142,1237662223525806268,2293608526267836416,3,0.036237967,-20.017474,9.781722,Spiral,Starforming,47.88176,11.17836,16.15515,1,1,1,csv_specobjid_with_mpa,ok,1.596353,0.6137371,1.912293,0.9909135,1.625071545292459,0.394163000749712,1.297071,4.587804,3.408314
CG4,HMCG:142,1237662223525806252,2293609076023650304,4,0.036872435,-19.789352,10.06968,Spiral,Quenched,99.00639,7.992187,18.62097,1,1,1,csv_specobjid_with_mpa,ok,3.052944,0.5213,3.526366,2.446928,3.1373664222037947,0.3294371346648371,1.614807,2.475772,2.978979
CG4,HMCG:147,1237664337177477185,2379141460306978816,2,0.035327794,-21.725017,10.73972,Spiral,Quenched,131.5407,3.197079,40.52264,1,1,1,csv_specobjid_with_mpa,ok,3.759505,0.225489,2.826383,2.903852,3.2722086801442845,0.145884381393248,1.768782,-0.8375767,2.612296
CG4,HMCG:147,1237664337177542740,2379138986405816320,3,0.035172691,-20.587128,10.03356,Spiral,Starforming,67.1545,9.329208,18.56819,1,1,1,csv_specobjid_with_mpa,ok,2.125274,0.5075091,1.248382,1.259264,1.6308370340211926,0.3338957982468113,1.280228,4.25467,3.549976
CG4,HMCG:147,1237664337177542775,2379138161772095488,4,0.035621676,-19.987244,10.14146,Elliptical,Quenched,91.65937,4.399221,27.96344,1,1,1,csv_specobjid_with_mpa,ok,3.491635,0.3344401,3.286608,2.886889,3.3293914047347752,0.2111972199996719,1.770557,-1.442068,2.031725
CG4,HMCG:154,1237657628452389042,990873871349475328,2,0.027166149,-20.911427,10.55819,Elliptical,Quenched,175.1519,4.007421,41.16846,1,1,1,csv_specobjid_with_mpa,ok,4.095674,0.2268022,2.790832,2.597109,3.347861811599075,0.1478257007590125,1.941232,-1.8281,1.69806
CG4,HMCG:154,1237657628452389069,990872496959940608,3,0.025304727,-20.420391,10.35082,Elliptical,Quenched,149.2106,4.041632,37.03248,1,1,1,csv_specobjid_with_mpa,ok,4.437992,0.2521193,3.327009,2.640737,3.72993992245147,0.1623267295076411,1.910635,-2.688649,1.857851
CG4,HMCG:154,1237657628452389021,990871672326219776,4,0.027567081,-19.69342,9.952991,Spiral,Starforming,45.00571,12.48154,13.05639,1,1,1,csv_specobjid_with_mpa,ok,2.054575,0.7333935,2.533992,2.081768,2.2239875760570245,0.4782836038685438,1.296129,5.251686,2.570844
CG4,HMCG:158,1237661811196625002,1809345666153998336,2,0.036676527,-20.516438,10.12929,Spiral,Starforming,73.0417,8.562702,20.94916,1,1,1,csv_specobjid_with_mpa,ok,2.348087,0.4614296,2.028994,1.61607,2.119615913577118,0.294096365699305,1.330314,5.193178,3.555053
CG4,HMCG:158,1237661811196559464,1809356111514462208,3,0.036709879,-20.149264,10.11798,Elliptical,Quenched,75.37252,4.697438,25.74871,1,1,1,csv_specobjid_with_mpa,ok,3.324573,0.3722242,2.458497,2.489134,2.863908540931655,0.2366669690143327,1.698236,0.1893663,2.407756
CG4,HMCG:158,1237661948639445082,1809346490787719168,4,0.036848355,-19.691648,9.965645,Spiral,Starforming,71.9129,42.42599,4.009631,1,1,1,csv_specobjid_with_mpa,ok,1.483823,2.72944,-0.3228537,3.39918,1.0331201446776304,1.7916489462951075,1.684018,-5.782046,2.508219
CG4,HMCG:165,1237665126930055405,2361074010747332608,2,0.032030528,-21.130519,10.72958,Elliptical,Quenched,169.2509,4.307695,36.70692,1,1,1,csv_specobjid_with_mpa,ok,3.774314,0.2554789,3.172207,3.632397,3.5297645428134157,0.1625754867085017,1.8654,-1.025046,2.387945
CG4,HMCG:165,1237665126930055448,2361076209770588160,3,0.032400578,-20.994316,10.52691,Elliptical,Quenched,134.0192,3.997318,33.91025,1,1,1,csv_specobjid_with_mpa,ok,3.76066,0.2759435,2.468008,2.274268,3.012861379175617,0.1791477178832748,1.886384,-1.608791,1.85839
CG4,HMCG:165,1237665126930055406,5231019297321801728,4,0.032779849,-20.484993,,NoGZ,NosSFR,92.23605,5.386236,,0,0,0,other_no_mpa,no_MPA_result(BOSS/not-run),,,,,,,,,
CG4,HMCG:167,1237665370120847399,2361062465875240960,2,0.031991918,-21.418979,10.48595,Spiral,Starforming,123.308,3.590441,38.70788,1,1,1,csv_specobjid_with_mpa,ok,3.407951,0.2414196,2.486926,3.259351,3.0351919515831285,0.1546697517911841,1.3552,1.923364,1.656797
CG4,HMCG:167,1237665370120782013,2361072911235704832,3,0.033145,-20.807041,10.1497,Spiral,Starforming,66.74586,7.768798,20.21189,1,1,1,csv_specobjid_with_mpa,ok,2.231692,0.4626049,2.605465,2.445304,2.390505174749605,0.3017803855411493,1.308552,4.570891,3.929898
CG4,HMCG:167,1237665370120847519,2361077034404308992,4,0.033401318,-20.331865,10.24132,Elliptical,Quenched,113.1189,4.26609,33.52238,1,1,1,csv_specobjid_with_mpa,ok,3.531643,0.2804998,2.876641,2.669294,3.1550327872225226,0.1780360693511828,1.873436,-1.00483,1.991582
CG4,HMCG:173,1237655108913594378,1074202834599176192,2,0.03298466,-21.543176,10.93887,Elliptical,Quenched,262.1904,5.449392,38.77579,1,1,1,csv_specobjid_with_mpa,ok,4.533003,0.235939,2.914478,2.387913,3.5416097631612944,0.1555026562999785,1.879524,-1.468896,2.053268
CG4,HMCG:173,1237658312939798811,1073142080856942592,3,0.033375824,-20.906373,10.3846,Spiral,Starforming,91.82923,7.848916,23.5409,1,1,1,csv_specobjid_with_mpa,ok,2.560188,0.4098409,2.046843,1.909058,2.267494508368565,0.2603543624694502,1.326138,3.769297,4.093297
CG4,HMCG:173,1237655108913594468,1074202284843362304,4,0.032708787,-20.220142,10.26546,Elliptical,Quenched,89.62922,4.416154,28.8776,1,1,1,csv_specobjid_with_mpa,ok,3.455463,0.3213628,3.16978,2.510926,3.2117902694147764,0.203311924877108,1.664328,0.9033909,2.769065
CG4,HMCG:175,1237648722841042953,320969741638330368,2,0.040517472,-21.155391,10.41704,NoGZ,Starforming,89.56194,8.028477,30.07813,1,1,1,csv_specobjid_with_mpa,ok,2.277923,0.3122833,1.755767,1.85538,2.015697655950594,0.2020803329239551,1.117094,5.60605,4.724537
CG4,HMCG:175,1237648722840977489,320971665783678976,3,0.040634543,-19.892806,9.788215,NoGZ,Starforming,48.91912,9.000632,25.67079,1,1,1,csv_specobjid_with_mpa,ok,2.186932,0.3586635,1.04309,1.167162,1.5352984294491805,0.2551418086749389,1.060341,4.690953,3.052146
CG4,HMCG:175,1237648722841043030,320970016516237312,4,0.040271532,-19.147988,9.325481,NoGZ,Starforming,17.06452,20.52041,11.39882,1,1,1,csv_specobjid_with_mpa,ok,0.8284055,0.8397245,2.526747,2.040045,1.4072238130743169,0.740042708473503,1.244323,1.698866,2.3841
CG4,HMCG:188,1237667781760319536,2978087517204539392,2,0.026455573,-20.145199,10.28206,Elliptical,Quenched,150.4954,3.719068,38.0925,1,1,1,csv_specobjid_with_mpa,ok,4.319264,0.2457864,2.938483,2.835289,3.5450361973231703,0.1594579082041585,2.024047,-2.148979,2.074162
CG4,HMCG:188,1237667781760319651,2978085318181283840,3,0.0261736,-19.767762,9.936863,Spiral,Quenched,76.91422,4.224147,28.65792,1,1,1,csv_specobjid_with_mpa,ok,2.999334,0.344933,3.126356,2.909503,3.0323043656024113,0.2181425200485415,1.752369,-0.09683875,2.268921
CG4,HMCG:188,1237667781760319656,2976895642120513536,4,0.024941282,-19.628557,9.626383,Elliptical,Starforming,51.04252,9.113333,22.27165,1,1,1,csv_specobjid_with_mpa,ok,2.455093,0.4186493,2.226538,1.66105,2.253358977510348,0.2691833058148896,1.218546,4.676116,3.968609
CG4,HMCG:197,1237657591934025805,1147416845058336768,2,0.034697482,-20.864451,10.20167,Spiral,Starforming,41.42033,9.084313,15.81587,1,1,1,csv_specobjid_with_mpa,ok,2.438665,0.6115511,2.616812,2.859804,2.558798378139708,0.3931466163219712,1.520767,0.3861747,2.032467
CG4,HMCG:197,1237657591934025877,1147436636267636736,3,0.034696108,-19.60988,9.790443,Elliptical,Starforming,45.84127,9.018308,20.52943,1,1,1,csv_specobjid_with_mpa,ok,2.681745,0.4519298,2.119596,2.326801,2.416568610112902,0.2906685169696277,1.238859,4.501138,4.031013
CG4,HMCG:197,1237657591934025822,1480591959427934208,4,0.034030274,-19.295424,9.866722,Elliptical,Quenched,96.59003,7.329336,17.1409,1,1,1,csv_specobjid_with_mpa,ok,3.430839,0.5643349,2.172674,2.443477,2.777451621851722,0.35897915452442,1.856411,-2.195881,1.839588
CG4,HMCG:204,1237657858222456920,995443166914045952,2,0.037683249,-20.529786,10.37391,Elliptical,Quenched,87.25538,5.404812,21.39657,1,1,1,csv_specobjid_with_mpa,ok,4.353629,0.4519055,3.148144,2.357288,3.569563671091647,0.2852032033864138,1.923767,-1.44021,2.214048
CG4,HMCG:204,1237657858222456990,995443716669859840,3,0.036981081,-20.445667,9.941386,Elliptical,Starforming,49.23409,10.14519,24.82604,1,1,1,csv_specobjid_with_mpa,ok,1.478778,0.3920008,1.682782,1.577293,1.5635800116758465,0.255691708149464,1.197651,5.737184,3.766376
CG4,HMCG:204,1237657858222391531,995442342280325120,4,0.035911751,-19.791243,9.54019,Spiral,Starforming,41.29658,11.58136,16.71826,1,1,1,csv_specobjid_with_mpa,ok,1.649541,0.5773008,1.571177,0.7543426,1.4881022701797373,0.3686847292777541,1.204592,6.094353,4.15923
CG4,HMCG:206,1237657627919319141,1093404159920596992,2,0.044653091,-21.643956,10.77621,Elliptical,Starforming,145.0976,6.183231,29.71149,1,1,1,csv_specobjid_with_mpa,ok,3.148797,0.3186889,2.22924,2.823645,2.7465413186223504,0.2034474663829829,1.474841,1.67451,3.064963
CG4,HMCG:206,1237657627919384583,995307102350108672,3,0.043070434,-20.947436,10.52393,Elliptical,Quenched,126.9254,6.242599,24.20564,1,1,1,csv_specobjid_with_mpa,ok,4.1711,0.3894609,2.722875,2.761368,3.37673513843535,0.2570588708717733,1.788637,-0.3661642,1.835518
CG4,HMCG:206,1237657627919319144,995309576251271168,4,0.04574445,-19.389491,9.692472,Spiral,Starforming,59.45331,11.75185,15.38044,1,1,1,csv_specobjid_with_mpa,ok,1.417378,0.6464455,2.141029,1.147719,1.6249420280218,0.4320496612467673,1.31434,4.35051,3.959449
CG4,HMCG:207,1237661152450248784,7514359714882541568,2,0.040405223,-21.688803,,NoGZ,NosSFR,175.7997,4.138175,,0,0,0,other_no_mpa,no_MPA_result(BOSS/not-run),,,,,,,,,
CG4,HMCG:207,1237661152450248713,1438990836539877376,3,0.040844712,-20.240916,10.09862,Elliptical,Quenched,63.98108,6.437654,18.8075,1,1,1,csv_specobjid_with_mpa,ok,3.024864,0.5005433,2.491421,4.137881,2.9884274484329043,0.3215045539636544,1.680458,-1.458586,3.059597
CG4,HMCG:207,1237661152450248875,1439001556778248192,4,0.040684315,-19.732235,10.02309,Elliptical,Quenched,41.60592,8.913649,12.99975,1,1,1,csv_specobjid_with_mpa,ok,3.242656,0.7005302,2.830768,0.07710531,2.584383137921059,0.4715641367213795,1.671333,-2.64552,2.010141
CG4,HMCG:214,1237661435920646302,1638296566466897920,2,0.040371084,-21.815583,10.60806,Spiral,Starforming,85.26818,8.615734,17.07784,0,0,0,csv_specobjid_with_mpa,core_index_missing_or_zeroed,2.753783,0.5550569,2.537796,,,,1.371627,3.502484,4.037938
CG4,HMCG:214,1237661435920646283,1638297116222711808,3,0.039822626,-20.097053,10.15932,Elliptical,Quenched,90.29958,5.63743,23.15452,1,1,1,csv_specobjid_with_mpa,ok,3.783044,0.4016949,3.584379,3.281783,3.6385901053365823,0.2545580408086643,1.843154,-0.8237882,1.652344
CG4,HMCG:214,1237661435920580738,1638294917199456256,4,0.040523412,-19.704084,9.824382,Spiral,Starforming,40.2443,11.18191,13.83988,0,0,0,csv_specobjid_with_mpa,core_index_missing_or_zeroed,1.480336,0.709689,2.799114,,,,1.399345,3.638663,3.859428
CG4,HMCG:229,1237665025446510739,2269826645437212672,2,0.037860529,-20.907945,10.62726,Spiral,Quenched,138.2038,6.652217,22.68668,1,1,1,csv_specobjid_with_mpa,ok,4.405943,0.4250694,3.312409,3.028579,3.774140217614311,0.2706451398575412,1.864359,-1.618693,1.804885
CG4,HMCG:229,1237665025446510775,2269815100565121024,3,0.036949344,-20.71021,10.46136,Spiral,Quenched,136.0862,5.036442,28.89235,1,1,1,csv_specobjid_with_mpa,ok,4.205607,0.3294347,2.908258,2.699465,3.4619534713724445,0.2129922277833341,1.919814,-2.154438,1.527405
CG4,HMCG:229,1237665025446510745,2356609999024711680,4,0.038178241,-18.891566,9.702918,Elliptical,Quenched,22.03349,16.05832,10.55581,1,1,1,csv_specobjid_with_mpa,ok,3.861515,0.8561401,3.590394,1.981425,3.482054575543037,0.538969862068095,1.698029,1.764042,2.214484
CG4,HMCG:231,1237661949186408622,1910724487515498496,2,0.031106989,-20.541847,10.28359,Elliptical,Quenched,134.3787,3.43419,37.69331,1,1,1,csv_specobjid_with_mpa,ok,3.497132,0.2519134,3.095872,2.998915,3.275932392381333,0.1599486765721992,1.962828,-1.933595,2.083622
CG4,HMCG:231,1237661949186408636,1910728335806195712,3,0.03296177,-20.255427,10.11996,Spiral,Starforming,67.00095,8.877081,16.16319,1,1,1,csv_specobjid_with_mpa,ok,3.138647,0.6087404,1.962407,1.554641,2.4085160273912316,0.3923017771359094,1.575809,0.1549776,1.932737
CG4,HMCG:231,1237661949186474090,1910724762393405440,4,0.031880888,-19.691295,9.885147,Elliptical,Quenched,58.53238,6.224586,23.43685,1,1,1,csv_specobjid_with_mpa,ok,3.26664,0.4063059,2.93978,3.034749,3.1128872785188992,0.2558125479685216,1.795467,-1.093219,2.248667
CG4,HMCG:239,1237661873482891502,1513328543772207104,2,0.034138858,-20.944325,10.53413,Spiral,Starforming,123.4585,8.066854,23.92834,1,1,1,csv_specobjid_with_mpa,ok,2.933057,0.4011283,2.365324,1.023252,2.415666675416722,0.2697007032751604,1.384436,3.972492,3.527572
CG4,HMCG:239,1237661873482956896,1513325520115230720,3,0.03518227,-20.505897,9.939357,Spiral,Starforming,60.1134,10.80834,15.44357,1,1,1,csv_specobjid_with_mpa,ok,2.71503,0.6097789,2.081423,1.433639,2.271271681130287,0.3902601629120244,1.332273,4.38398,3.338227
CG4,HMCG:239,1237661873482891322,1513325794993137664,4,0.035365357,-20.050049,9.557428,Uncertain,Starforming,93.51533,12.30332,21.3073,1,1,1,csv_specobjid_with_mpa,ok,1.730644,0.4400295,1.334684,0.4805419,1.3769395064244936,0.2917885195047069,1.114515,6.938723,4.916402
CG4,HMCG:25,1237655108898914500,858035272263165952,2,0.037864507,-20.729999,10.40786,Elliptical,Quenched,117.3581,4.98013,28.82646,1,1,1,csv_specobjid_with_mpa,ok,3.659058,0.3290052,3.195141,2.413588,3.3000722515116667,0.206640375331778,1.850285,-1.546489,1.462014
CG4,HMCG:25,1237655108898914492,858039945187584000,3,0.038568193,-19.424341,9.313793,Spiral,Starforming,,,10.74559,0,1,1,csv_specobjid_with_mpa,sigma_invalid,2.4333,0.8483132,1.844664,1.09234,1.9940021349597397,0.5558688193793303,1.183016,6.489912,4.092072
CG4,HMCG:25,1237655108898980064,858036371774793728,4,0.037563678,-19.032422,9.284696,Spiral,Starforming,119.6284,37.74908,6.948121,1,1,1,csv_specobjid_with_mpa,ok,0.5484943,1.404243,2.081974,2.59693,1.105005426393203,1.4408877884971898,1.265969,5.934091,3.401748
CG4,HMCG:259,1237661418747527234,1488586783351400448,2,0.035529209,-20.221243,9.993683,Spiral,Starforming,52.77829,11.36819,15.84804,1,1,1,csv_specobjid_with_mpa,ok,2.215501,0.6002051,2.712711,1.278943,2.2628720446892174,0.3872575140754201,1.371965,3.107293,2.72823
