outcome,variant,status,n,cg4_odds_ratio,cg4_ci95,cg4_p
elliptical,published_linear_fullpool,ok,5117,1.3931206638699014,"[1.0303720335802897, 1.8835771166629618]",0.031210125009132155
elliptical,trimmed_common_support,ok,2958,1.2196701702791013,"[0.8994886050055849, 1.6538234236546165]",0.20119431245980046
elliptical,spline_logT,ok,5117,1.3993815044273203,"[1.030911089879482, 1.8995513911507154]",0.03114479212221017
elliptical,dedup_control_pool,ok,3260,1.2672229121706329,"[0.9364782282263541, 1.7147797575301154]",0.12486280992746514
quenched,published_linear_fullpool,ok,5681,1.0157142964850954,"[0.7226746024906028, 1.4275796167855883]",0.9284622733714568
quenched,trimmed_common_support,ok,3278,0.8731454320695122,"[0.6195096635419408, 1.230623169274004]",0.4384850586318211
quenched,spline_logT,ok,5681,1.0245854702499018,"[0.7271340164996811, 1.4437165117108404]",0.8895971778305053
quenched,dedup_control_pool,ok,3608,0.8972307899001277,"[0.6387128786999061, 1.2603833697285451]",0.5317173015841626
