sample,n,dmag_mean,lgm_mean
CG4,186,1.8792041720430106,10.196261418079096
Control4B,2094,1.4197017975167143,10.406035021597187
Control4C,2109,1.875430280227596,10.188470844533601
RG4,168,1.8147816785714288,10.058126343373495
Control4C_defective,2112,2.4344269446022726,9.92732895017439
Control4C_defective_interlopers_only,669,3.6903551793721974,9.419192935937499
