Group,n_shipped,n_parent,bgg_matches,n_eligible_sat,max_dmag_shipped,n_dmag_gt3,expected_objids,shipped_objids,quartet_set_changed,not_3_nearest_eligible,n_ineligible_closer,dist2bgg_recompute_max_err
725,4,18,True,8,3.179109999999998,2,1237664814988263474;1237664814988263447;1237664814988263512,1237664814988263474;1237664814988263498;1237664814988329173,True,True,2,0.31729528806188867
726,4,18,True,8,3.607082000000002,1,1237654601571106889;1237654601571041490;1237654601571041343,1237654601571106889;1237654601571041490;1237654601571041486,True,True,1,0.15085171576454792
727,4,18,True,12,2.233172999999997,0,1237662264319279389;1237662264319279213;1237662264319279400,1237662264319279213;1237662264319279400;1237662264319279389,False,False,0,0.1265113243715148
774,4,17,True,8,3.75732,3,1237674649384124576;1237648720686153850;1237648720149217569,1237674649384124543;1237674649384124606;1237674649384059076,True,True,3,0.3115005119856429
780,4,17,True,9,3.0496409999999976,1,1237667210504896684;1237667210504897126;1237667210504896599,1237667210504896684;1237667210504897126;1237667210504896943,True,True,3,0.22622405484640673
784,4,17,True,11,3.547371000000002,1,1237665329323376833;1237665329323311234;1237665329323311205,1237665329323376833;1237665329323311234;1237665329323376878,True,True,2,0.3810790599322509
786,4,17,True,9,3.8702989999999993,2,1237667781239636222;1237667781239701680;1237667733987524662,1237667781239636222;1237667781239636278;1237667781239636094,True,True,4,0.2730812945376808
788,4,17,True,10,3.4426370000000013,2,1237667254008807579;1237667211596136520;1237667254008873043,1237667254008807579;1237667254008807460;1237667254008807543,True,True,4,0.2785195843235728
789,4,17,True,9,3.525164,1,1237662263783522502;1237662263783522538;1237662237482942641,1237662263783522502;1237662263783522538;1237662263783457059,True,True,4,0.14965044451294007
790,4,17,True,9,3.4565780000000004,1,1237660670888902772;1237660670888902789;1237661065489612923,1237660670888902789;1237660670888902772;1237660670888837322,True,True,2,0.18906755727424063
793,4,17,True,7,3.811609999999998,1,1237662662681559448;1237662225163420013;1237662662681624832,1237662225163420013;1237662662681559448;1237662662681559185,True,True,1,0.34616381246837413
795,4,17,True,10,3.655211999999999,1,1237655501884293573;1237655501884358970;1237655474505580845,1237655501884293573;1237655501884358970;1237655501884293516,True,True,2,0.16925503530715114
796,4,17,True,10,3.6172199999999997,1,1237670965383790750;1237670965383790831;1237670965383921837,1237670965383790750;1237670965383790831;1237670965383790814,True,True,1,0.38834069420818373
797,4,17,True,8,3.596159,1,1237668586504782055;1237668586504781975;1237668586504847567,1237668586504781975;1237668586504782055;1237668586504847532,True,True,3,0.0907941427343868
798,4,17,True,4,4.656274,1,1237662193461166177;1237662193461231736;1237662193998102638,1237662193461231736;1237662193461166177;1237662193461297250,True,True,1,0.6932023860821896
801,4,17,True,6,3.597594000000001,1,1237665024911998985;1237665024911999138;1237665024911933591,1237665024911998985;1237665024911999138;1237665024911999116,True,True,1,0.215059631092398
802,4,17,True,5,4.450704999999999,2,1237667550347460634;1237667911661191278;1237667550347526220,1237667550347460634;1237667911661256940;1237667911661256718,True,True,6,0.13281208249543708
803,4,17,True,12,3.566314000000002,1,1237655742409801806;1237655742409736258;1237655742409736462,1237655742409736258;1237655742409801806;1237655742409736259,True,True,1,0.660621237899365
804,4,17,True,8,4.017291999999998,2,1237658425165742187;1237658491735048241;1237658491734982745,1237658425165742187;1237671930134790456;1237671930134790392,True,True,2,0.38854027217484877
