control,model,full_cg4_odds_ratio,full_cg4_ci95,full_cg4_p,full_cg4_p_adj,full_n,full_n_clusters,excl_cg4_odds_ratio,excl_cg4_ci95,excl_cg4_p,excl_cg4_p_adj,excl_n,excl_n_clusters
Control4B,quenched_all,1.8030038182893915,"[1.2599178203575507, 2.5801863552049586]",0.0012665657286651743,0.0025331314573303486,2842,755,1.727891145670846,"[1.1597526965170315, 2.574348669551779]",0.007176499983892487,0.014352999967784974,2688,753
Control4B,quenched_satellites,2.1605832625720294,"[1.5129950565623458, 3.08535048694261]",2.256070205988096e-05,9.024280823952385e-05,2146,755,2.0983459785289464,"[1.4345437312485225, 3.0693075085110872]",0.0001336362499453131,0.00053454499978125,2038,751
Control4B,starforming_satellites,0.4628379832997351,"[0.3241122861833885, 0.6609406922135527]",2.256070205988096e-05,9.024280823952385e-05,2146,755,0.47656583339085656,"[0.3258063902776222, 0.69708575501541]",0.0001336362499453125,0.00053454499978125,2038,751
Control4B,elliptical_all,2.1400497065588597,"[1.5786057193129137, 2.901175822760872]",9.553097242993727e-07,5.731858345796236e-06,2582,738,2.155367562774454,"[1.5573890565369848, 2.982947203308518]",3.621202238217448e-06,2.1727213429304568e-05,2467,735
Control4B,elliptical_satellites,2.6329422557428486,"[1.8831238208263272, 3.6813218787887583]",1.5036813787072624e-08,1.202945102965766e-07,1929,735,2.559436185390985,"[1.8130793869018489, 3.613031858622846]",9.15752720863688e-08,7.326021766909504e-07,1853,729
Control4B,elliptical_bgg,0.7831032794008098,"[0.3980517560761843, 1.540630676406138]",0.4788519319082867,0.4788519319082867,653,651,0.8595330143514367,"[0.40616974948073664, 1.8189365498158696]",0.6922789871292792,0.6922789871292792,614,612
Control4B,spiral_all,0.4672788659698826,"[0.3446878304150367, 0.6334704022453767]",9.55309724299466e-07,5.731858345796236e-06,2582,738,0.4639579890089696,"[0.3352389203841274, 0.6421003125728922]",3.6212022382174283e-06,2.1727213429304568e-05,2467,735
Control4B,spiral_satellites,0.3798032402035579,"[0.2716415551060214, 0.5310325263482633]",1.5036813787072075e-08,1.202945102965766e-07,1929,735,0.3907110502336038,"[0.2767758600338397, 0.5515478291928403]",9.157527208637039e-08,7.326021766909504e-07,1853,729
Control4C,quenched_all,1.245295350163563,"[0.9082761392452099, 1.7073667821194713]",0.17305463316051417,0.34610926632102834,2851,758,1.2231972676921214,"[0.8613763228997419, 1.7370010248860994]",0.26017616152069234,0.5203523230413847,2611,754
Control4C,quenched_satellites,1.3751251874979524,"[0.9974024161316942, 1.8958940250267056]",0.05188457350944697,0.2075382940377871,2151,757,1.3617541732747784,"[0.968117292505709, 1.9154439681908066]",0.0760924438811561,0.3043697755246244,1982,752
Control4C,starforming_satellites,0.7272065184257913,"[0.5274556419290963, 1.0026043488829512]",0.05188457350944677,0.2075382940377871,2151,757,0.7343469325268732,"[0.5220721757496939, 1.0329326908434544]",0.07609244388115756,0.3043697755246244,1982,752
Control4C,elliptical_all,1.6706461703756417,"[1.2468499415757777, 2.238487995647205]",0.0005864042942453806,0.003518425765472283,2557,740,1.7059844711615602,"[1.251213501530884, 2.3260482821544666]",0.0007333809992715164,0.004400285995629099,2376,735
Control4C,elliptical_satellites,1.9320387373593795,"[1.4032726121748909, 2.660048838886629]",5.4226720085294193e-05,0.00043381376068234796,1901,734,1.894251081661929,"[1.3630072871028456, 2.6325517070450126]",0.00014227262574982003,0.0011381810059985602,1783,728
Control4C,elliptical_bgg,0.8748934735812663,"[0.43778109266542015, 1.7484505451223094]",0.7051789852751147,0.7051789852751147,656,651,0.9905523801601099,"[0.45642174751249026, 2.149752993121801]",0.9808436230379991,0.9808436230379991,593,589
Control4C,spiral_all,0.5985707911898258,"[0.44673011512437194, 0.802021130735422]",0.0005864042942453834,0.003518425765472283,2557,740,0.58617180689759,"[0.42991368995735835, 0.79922411225301]",0.0007333809992715332,0.004400285995629099,2376,735
Control4C,spiral_satellites,0.517587965843145,"[0.3759329473133104, 0.7126199081517945]",5.4226720085293496e-05,0.00043381376068234796,1901,734,0.5279131207477769,"[0.3798595854067691, 0.7336717928526715]",0.00014227262574982246,0.0011381810059985602,1783,728
RG4,quenched_all,1.4040766683135368,"[0.7989632956580507, 2.4674866808226907]",0.23809575079256584,0.4761915015851317,449,115,1.1948442167204947,"[0.6414304502754999, 2.2257326598966785]",0.5748817817284877,0.6428524154492457,402,115
RG4,quenched_satellites,1.85379947515056,"[0.9943159995810626, 3.4562176365626516]",0.052133559149246965,0.20853423659698786,340,115,1.6041206593129378,"[0.8288174368166333, 3.1046681396060767]",0.1607131038623122,0.6428524154492457,301,114
RG4,starforming_satellites,0.5394326697167627,"[0.28933363148813174, 1.0057164929673588]",0.05213355914924705,0.20853423659698786,340,115,0.6233945022741056,"[0.3220956169978541, 1.2065383226502244]",0.1607131038623114,0.6428524154492457,301,114
RG4,elliptical_all,2.8054220033141632,"[1.7948630047452372, 4.384954503976964]",5.986749710263143e-06,4.789399768210515e-05,399,113,2.7099433883402204,"[1.6964531349897476, 4.328910134056405]",3.024262418709426e-05,0.00024194099349675408,362,113
RG4,elliptical_satellites,3.0309818230595447,"[1.718967402388407, 5.344400829796283]",0.00012709680487124202,0.0007625808292274521,299,113,2.7338752639337325,"[1.5138029877206758, 4.937283133522153]",0.0008536529632080193,0.005121917779248072,269,111
RG4,elliptical_bgg,1.8700390270808254,"[0.6338196151573614, 5.517415174879325]",0.25682317033239666,0.4761915015851317,100,98,2.0509145316171167,"[0.6336731361875525, 6.637886594506516]",0.23066721050064998,0.6428524154492457,93,91
RG4,spiral_all,0.3564526116992951,"[0.22805253716841206, 0.5571455856832603]",5.986749710263275e-06,4.789399768210515e-05,399,113,0.3690113986523089,"[0.2310050264459873, 0.5894651490069279]",3.0242624187094883e-05,0.00024194099349675408,362,113
RG4,spiral_satellites,0.32992609602342543,"[0.18711171408116828, 0.5817445977221893]",0.00012709680487124294,0.0007625808292274521,299,113,0.36578113610096247,"[0.20254054162103938, 0.6605879418336288]",0.0008536529632080119,0.005121917779248072,269,111
