outcome,spec,estimator,status,n,odds_ratio,ci95,p,p_holm
elliptical,with_radius,conditional_logit,ok,791,1.4682395707223481,"[0.9188760270404845, 2.346048186694032]",0.10824075280729994,0.2164815056145999
quenched,with_radius,conditional_logit,ok,915,0.7517229237647886,"[0.45311395555236983, 1.2471197304541435]",0.2691839975724981,0.2691839975724981
elliptical,with_radius,fe_glm,ok,791,1.574331152941849,"[1.0179600928320518, 2.434789533082541]",0.04135245607739346,0.08270491215478692
quenched,with_radius,fe_glm,ok,915,0.7692369335696534,"[0.44646510043008103, 1.3253565830736436]",0.34457152824345727,0.34457152824345727
elliptical,without_radius,conditional_logit,ok,791,1.9015411473805761,"[1.2273270498426385, 2.946124861865502]",0.004015505679796536,0.008031011359593072
quenched,without_radius,conditional_logit,ok,915,1.2158682560837724,"[0.7621827672112256, 1.939607768306442]",0.41205856585369294,0.41205856585369294
elliptical,without_radius,fe_glm,ok,791,2.058082260798121,"[1.3596348662822777, 3.1153236043393124]",0.0006438610149975282,0.0012877220299950564
quenched,without_radius,fe_glm,ok,915,1.2736756394863704,"[0.7458825392126486, 2.1749398187192535]",0.37558176402033305,0.37558176402033305
