petroMag_r,fiberMag_r,modelMag_r,cModelMag_r,extinction_r,objid
14.25792,16.31977,14.19061,14.19063,0.02956736,1237651250968199288
17.17096,18.68876,16.93517,17.0494,0.02262872,1237651250958696543
17.23985,18.20161,17.19184,17.19184,0.1191779,1237651250945589513
14.99662,16.46063,14.90399,14.92176,0.1374182,1237651250945589506
16.02877,18.85521,15.95454,15.95453,0.1316743,1237651250945589502
14.5627,16.84173,14.4818,14.48181,0.1164966,1237651250945589326
16.18105,18.02966,15.91789,16.06285,0.1318802,1237651250945523962
16.86146,18.36274,16.95262,16.77514,0.04539669,1237651250439979264
15.93889,17.30341,15.85177,15.85177,0.04540391,1237651250439979263
15.14726,16.54427,14.99736,14.99736,0.04282897,1237651250439979238
15.60101,17.3316,15.43175,15.45697,0.04315149,1237651250439979082
14.08468,16.00281,14.06345,14.06347,0.03818247,1237651192433344532
16.39545,18.63348,16.39318,16.35781,0.03938488,1237651192433279182
15.40082,16.6861,15.42751,15.42751,0.03868539,1237651192433279109
16.59158,18.66976,16.20574,16.38653,0.06558371,1237651192431902951
16.07353,17.30792,15.98743,15.98742,0.06718332,1237651192431902942
15.31669,17.99276,15.01653,15.08558,0.07014447,1237651192431902934
13.60718,16.23475,13.47959,13.47957,0.06723538,1237651192431902873
17.11355,18.84389,17.14589,17.03495,0.1275143,1237651191354556696
16.02263,16.90556,15.93944,15.95365,0.09728407,1237651190815719626
14.95458,15.93244,14.84468,14.85262,0.09671278,1237651190815719612
14.11837,15.87949,14.01345,14.01345,0.09655505,1237651190815719555
14.04031,16.38188,13.99287,13.99287,0.03591777,1237651190285402240
16.95213,17.94651,17.0391,16.94317,0.04845116,1237651066815578363
16.20303,17.77456,15.95782,16.08589,0.04527488,1237651066815578330
17.11531,18.49547,17.19265,17.04428,0.1184744,1237650797288358106
14.93526,16.71839,14.86976,14.90473,0.1180877,1237650797288358041
14.49703,16.38577,14.43176,14.43177,0.1102928,1237650797288226901
14.21389,16.21854,14.12446,14.12447,0.09054894,1237650371552346155
14.75975,17.2662,14.55272,14.68565,0.08782724,1237650371552346120
17.222,18.97229,17.21437,17.20093,0.09285041,1237650371552280809
14.62088,16.41796,14.51591,14.51591,0.08666797,1237650371552280661
14.24938,16.61354,14.10337,14.17431,0.07511619,1237650371552215263
14.55584,16.64745,14.59294,14.55057,0.03577302,1237648722841043066
17.24829,19.07381,17.27196,17.19491,0.03567383,1237648722841043030
15.24422,17.38658,15.28501,15.22252,0.03619538,1237648722841042953
16.50858,17.91761,16.60313,16.4793,0.03668688,1237648722840977489
14.9748,17.30661,15.01428,14.95325,0.08122095,1237648722834751727
14.16474,15.91302,14.0408,14.04084,0.07162609,1237648722834686048
14.58934,17.78024,14.59491,14.52919,0.07198503,1237648722834686003
16.08588,17.86636,16.07551,16.07552,0.06877498,1237648722834620487
16.04846,17.76084,15.93629,15.93629,0.08782288,1237648722321342726
16.45122,17.71418,16.47628,16.46925,0.1519774,1237648722294669392
16.4574,17.59503,16.34389,16.34389,0.24594,1237648722289623248
17.29322,19.1981,17.19519,17.20258,0.2489483,1237648722289623239
14.44881,16.38063,14.35107,14.35107,0.2461619,1237648722289623054
16.51184,17.74269,16.49375,16.49375,0.2660433,1237648722289557692
16.67511,18.78196,16.64736,16.64735,0.1097136,1237648722284249438
17.49323,19.62663,17.47374,17.47375,0.1055524,1237648722284118374
