sample,n_star_forming,median,q10,q90,fraction_below_zero
CG4,84,0.01531909519263941,-0.5649801673714628,0.3517293485102483,0.44047619047619047
Control4B,1019,-0.040721743831086954,-0.6256616499705338,0.4030601279554453,0.5338567222767419
Control4C,1061,-0.04294123407626671,-0.6129724637428211,0.36855463794547205,0.5504241281809613
RG4,118,-0.030188587610208373,-0.5622264925714636,0.3609164072053813,0.5254237288135594
