class_a,class_b,n_class_a,n_class_b,median_class_a,median_class_b,alternative,wilcoxon_statistic,wilcoxon_p_value
Embedded,Isolated,18,14,0.11566629595230538,0.10012452958726836,greater,-0.4178554470186725,0.6619735957178273
Embedded,Predom,18,52,0.11566629595230538,-0.002256966909233604,greater,0.8465723381536733,0.1986167688429038
Isolated,Predom,14,52,0.10012452958726836,-0.002256966909233604,greater,1.3802895632198364,0.08374875355942285
