panel,sample,scope,value_column,statistic,bin_left,bin_right,bin_centre,mass_location,n_galaxies,n_groups,estimate,ci16,ci84,displayed,interval_method
spiral_vote,Control4B,all,p_S,median,11.0,12.5,11.75,11.144670000000001,616,471,0.0549999997019768,0.0484999995678663,0.0649999976158142,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_satellites,Control4B,satellites,is_quenched,fraction,7.0,10.0,8.5,9.738376500000001,394,279,0.17766497461928935,0.15632754342431762,0.19762217066900742,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_satellites,Control4B,satellites,is_quenched,fraction,10.0,10.5,10.25,10.28438,629,429,0.43084260731319557,0.41166936790923825,0.45149582803239896,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_satellites,Control4B,satellites,is_quenched,fraction,10.5,11.0,10.75,10.720525,780,469,0.732051282051282,0.714654718390127,0.75,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_satellites,Control4B,satellites,is_quenched,fraction,11.0,12.5,11.75,11.10478,169,125,0.8757396449704142,0.8508000287005812,0.9012475633528265,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_bggs,Control4B,bggs,is_quenched,fraction,7.0,10.0,8.5,8.512213,2,2,0.0,0.0,0.0,False,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_bggs,Control4B,bggs,is_quenched,fraction,10.0,10.5,10.25,10.37702,3,3,0.3333333333333333,0.0,0.6666666666666666,False,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_bggs,Control4B,bggs,is_quenched,fraction,10.5,11.0,10.75,10.92664,167,167,0.6526946107784432,0.6167664670658682,0.688622754491018,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_bggs,Control4B,bggs,is_quenched,fraction,11.0,12.5,11.75,11.15809,468,468,0.9038461538461539,0.8910256410256411,0.9166666666666666,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
elliptical_vote,Control4C,all,p_E,median,7.0,9.5,8.25,9.367187000000001,138,120,0.107500001788139,0.09200000017881385,0.1334999948740005,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
elliptical_vote,Control4C,all,p_E,median,9.5,10.0,9.75,9.802057,503,379,0.231000006198883,0.216999992728233,0.252999991178513,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
elliptical_vote,Control4C,all,p_E,median,10.0,10.5,10.25,10.24455,725,499,0.398999989032745,0.361999988555908,0.423000007867813,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
elliptical_vote,Control4C,all,p_E,median,10.5,11.0,10.75,10.75337,609,435,0.448000013828278,0.39300000667572,0.483999997377396,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
elliptical_vote,Control4C,all,p_E,median,11.0,12.5,11.75,11.152445,516,466,0.877499997615814,0.867000013589859,0.88400000333786,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
spiral_vote,Control4C,all,p_S,median,7.0,9.5,8.25,9.367187000000001,138,120,0.761000007390976,0.7390000224113464,0.7809999883174895,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
spiral_vote,Control4C,all,p_S,median,9.5,10.0,9.75,9.802057,503,379,0.669000029563904,0.643999993801117,0.6939999759197235,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
spiral_vote,Control4C,all,p_S,median,10.0,10.5,10.25,10.24455,725,499,0.541999995708466,0.505999982357025,0.577000021934509,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
spiral_vote,Control4C,all,p_S,median,10.5,11.0,10.75,10.75337,609,435,0.42399999499321,0.36583999633789077,0.4784999936819075,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
spiral_vote,Control4C,all,p_S,median,11.0,12.5,11.75,11.152445,516,466,0.0509999990463257,0.0430000014603138,0.0579999983310699,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_satellites,Control4C,satellites,is_quenched,fraction,7.0,10.0,8.5,9.7337945,676,458,0.26331360946745563,0.24456291198487987,0.28139770909876805,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_satellites,Control4C,satellites,is_quenched,fraction,10.0,10.5,10.25,10.2423,759,518,0.5691699604743083,0.5507786422114047,0.5874527219931188,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_satellites,Control4C,satellites,is_quenched,fraction,10.5,11.0,10.75,10.695910000000001,480,371,0.7479166666666667,0.7274633123689728,0.7689089378082522,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_satellites,Control4C,satellites,is_quenched,fraction,11.0,12.5,11.75,11.08281,62,58,0.8709677419354839,0.8305084745762712,0.9180327868852459,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_bggs,Control4C,bggs,is_quenched,fraction,7.0,10.0,8.5,8.512213,2,2,0.0,0.0,0.0,False,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_bggs,Control4C,bggs,is_quenched,fraction,10.0,10.5,10.25,10.37702,3,3,0.3333333333333333,0.0,0.6666666666666666,False,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_bggs,Control4C,bggs,is_quenched,fraction,10.5,11.0,10.75,10.92664,167,167,0.6526946107784432,0.6167664670658682,0.688622754491018,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_bggs,Control4C,bggs,is_quenched,fraction,11.0,12.5,11.75,11.160715,472,472,0.9046610169491526,0.8919491525423728,0.9173728813559322,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
elliptical_vote,RG4,all,p_E,median,7.0,9.5,8.25,9.347853,25,21,0.164000004529953,0.100000001490116,0.2174999937415125,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
elliptical_vote,RG4,all,p_E,median,9.5,10.0,9.75,9.747553,48,38,0.1730000004172325,0.125,0.228000000119209,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
elliptical_vote,RG4,all,p_E,median,10.0,10.5,10.25,10.262830000000001,54,37,0.2464999929070475,0.162000000476837,0.294999986886978,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
elliptical_vote,RG4,all,p_E,median,10.5,11.0,10.75,10.84702,55,38,0.48199999332428,0.244499996304512,0.6140000224113464,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
elliptical_vote,RG4,all,p_E,median,11.0,12.5,11.75,11.0992,22,21,0.446499988436699,0.264999985694885,0.773999989032745,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
spiral_vote,RG4,all,p_S,median,7.0,9.5,8.25,9.347853,25,21,0.689000010490417,0.650499999523163,0.7364999949932101,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
spiral_vote,RG4,all,p_S,median,9.5,10.0,9.75,9.747553,48,38,0.737500011920929,0.703000009059906,0.7805000245571141,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
spiral_vote,RG4,all,p_S,median,10.0,10.5,10.25,10.262830000000001,54,37,0.710500001907349,0.579999983310699,0.7414999902248385,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
spiral_vote,RG4,all,p_S,median,10.5,11.0,10.75,10.84702,55,38,0.51800000667572,0.351500004529953,0.7129999995231631,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
spiral_vote,RG4,all,p_S,median,11.0,12.5,11.75,11.0992,22,21,0.4294999986886975,0.101999998092651,0.637000024318695,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_satellites,RG4,satellites,is_quenched,fraction,7.0,10.0,8.5,9.630564,77,48,0.16883116883116883,0.125,0.2144303797468353,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_satellites,RG4,satellites,is_quenched,fraction,10.0,10.5,10.25,10.24989,57,40,0.45614035087719296,0.38181818181818183,0.5255664585191792,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_satellites,RG4,satellites,is_quenched,fraction,10.5,11.0,10.75,10.70973,31,25,0.7419354838709677,0.65625,0.8235294117647058,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_satellites,RG4,satellites,is_quenched,fraction,11.0,12.5,11.75,11.13752,1,1,1.0,1.0,1.0,False,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_bggs,RG4,bggs,is_quenched,fraction,7.0,10.0,8.5,9.250072,1,1,0.0,0.0,0.0,False,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_bggs,RG4,bggs,is_quenched,fraction,10.0,10.5,10.25,,0,0,,,,False,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_bggs,RG4,bggs,is_quenched,fraction,10.5,11.0,10.75,10.901489999999999,30,30,0.6,0.5,0.7,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
quenched_bggs,RG4,bggs,is_quenched,fraction,11.0,12.5,11.75,11.08952,22,22,0.9090909090909091,0.8636363636363636,0.9545454545454546,True,"2000-draw physical-group-blocked bootstrap, 16th--84th percentiles"
