Class,n_groups,mean_delta_u_minus_r,satellite_blue_fraction,colour_scatter
Embedded,33,-0.042652691946822564,0.5,0.17990788271389227
Isolated,5,-0.42168985286489447,1.0,0.3377110312166244
Predom,15,0.007351026561701908,0.3333333333333333,0.24348947824546932
