split_variable,split_value,colour,comparison,n_CG4,n_ordinary,median_CG4,median_ordinary,median_diff,ci68_low,ci68_high,ci95_low,ci95_high,mannwhitney_p,permutation_p,cliffs_delta,permutation_p_holm,permutation_p_holm_significant
sSFR_class,Passive,u_minus_r,Ordinary pooled,45,749,0.20884377479430505,0.23716119174805383,-0.028317416953748786,-0.07088659216861748,0.020848362138834453,-0.09482775552516087,0.06086643211547209,0.41501859211766257,0.3786213786213786,-0.07230381249072837,0.881118881118881,False
sSFR_class,Passive,u_minus_r,Control4B,45,235,0.20884377479430505,0.17639739351574146,0.032446381278563585,-0.013641560978173269,0.07586766674528445,-0.041380208115305406,0.11600550081551056,0.2019344086657363,0.33666333666333664,0.12018912529550829,0.6733266733266733,False
sSFR_class,Passive,u_minus_r,Control4C,45,497,0.20884377479430505,0.2654102419931712,-0.056566467198866155,-0.10062901859141515,-0.00733574524689562,-0.13025176082687584,0.033747638940073175,0.06461237939845119,0.13686313686313686,-0.16628660854012967,0.27372627372627373,False
sSFR_class,Passive,u_minus_r,RG4,45,17,0.20884377479430505,0.2558770024307475,-0.047033227636442465,-0.10851243156175672,0.0247480103666482,-0.16534067108283912,0.18348836185710082,0.937114672967148,0.6273726273726273,0.01437908496732021,1.0,False
sSFR_class,Passive,u_minus_g,Ordinary pooled,45,749,0.13083188211277608,0.14317876186182876,-0.012346879749052686,-0.025023146321596527,0.024853675672268937,-0.04286330755017249,0.050432951584209684,0.8787301729247758,0.6203796203796204,-0.013558819166295755,0.881118881118881,False
sSFR_class,Passive,u_minus_g,Control4B,45,235,0.13083188211277608,0.1288412019534393,0.0019906801593367884,-0.009680185007298725,0.040440948346405436,-0.029454629928297837,0.06824420702500861,0.5085227894244713,0.8651348651348651,0.06231678486997638,0.8651348651348651,False
sSFR_class,Passive,u_minus_g,Control4C,45,497,0.13083188211277608,0.15144799154742983,-0.02061610943465375,-0.037255424304111,0.016038060700648105,-0.056275870489526425,0.04212059238944571,0.5750418355504787,0.5014985014985015,-0.050480661748267375,0.5014985014985015,False
sSFR_class,Passive,u_minus_g,RG4,45,17,0.13083188211277608,0.16116946863398596,-0.03033758652120988,-0.07237340676608324,0.022657447190939095,-0.13042828825942654,0.12762054355347585,0.9245720118378405,0.5624375624375625,0.01699346405228752,1.0,False
sSFR_class,Passive,g_minus_r,Ordinary pooled,45,749,0.07583210940504614,0.10775628251792424,-0.031924173112878096,-0.042691862483448015,-0.01666736556327031,-0.05505223970143443,0.0028068176759529218,0.012066464380588122,0.03296703296703297,-0.2226079216733422,0.13186813186813187,False
sSFR_class,Passive,g_minus_r,Control4B,45,235,0.07583210940504614,0.05660491111181176,0.019227198293234382,0.0060892859974645,0.03508189612401014,-0.005479592877943672,0.05505793712611373,0.06866071020464742,0.15384615384615385,0.1714420803782506,0.46153846153846156,False
sSFR_class,Passive,g_minus_r,Control4C,45,497,0.07583210940504614,0.12918435218180546,-0.05335224277675932,-0.06467995447610153,-0.0366243732667182,-0.07667161737689367,-0.01809713284105532,5.846838424897752e-06,0.000999000999000999,-0.4077353006930472,0.003996003996003996,True
sSFR_class,Passive,g_minus_r,RG4,45,17,0.07583210940504614,0.11057734396340257,-0.03474523455835643,-0.04879593167838103,-0.009310747651577467,-0.06553584620994946,0.01304338503427227,0.1220132663791657,0.24375624375624375,-0.257516339869281,0.975024975024975,False
sSFR_class,Passive,r_minus_i,Ordinary pooled,45,749,0.026147161049195455,0.03577338286237913,-0.009626221813183677,-0.016101243402587048,-0.004325093373055311,-0.02606683705853758,-0.0012591008137962363,0.03112155492923855,0.2937062937062937,-0.19115858181278744,0.881118881118881,False
sSFR_class,Passive,r_minus_i,Control4B,45,235,0.026147161049195455,0.011761473860468996,0.01438568718872646,0.007988888474043054,0.019777204695378803,-0.003376814802970214,0.02434785550771329,0.05809254417707741,0.04795204795204795,0.1784397163120568,0.1918081918081918,False
sSFR_class,Passive,r_minus_i,Control4C,45,497,0.026147161049195455,0.04958001456438582,-0.023432853515190366,-0.029924675932514966,-0.01814220518071815,-0.03900324631036737,-0.014509176289028425,4.106014862437934e-05,0.01098901098901099,-0.3690140845070422,0.03296703296703297,True
sSFR_class,Passive,r_minus_i,RG4,45,17,0.026147161049195455,0.030387734982088688,-0.004240573932893232,-0.009458706119402027,0.010144752917666255,-0.026683529149470468,0.017206289031875655,0.5487621682165775,0.8051948051948052,-0.1006535947712418,1.0,False
