cat,dom,G_n_groups,G_med_fSp_sat_BGGSp,G_med_fSp_sat_BGGEll,G_OR,G_CI95,G_p,G_p_MWU,S_n_sat,S_n_groups,S_OR,S_CI95,S_p,error
CG4,dominated,32,0.6666666666666666,0.3333333333333333,1.274639608231518,"[0.43, 3.78]",0.6619642287372127,0.21670367604590057,88,32,1.2746396082314801,"[0.56, 2.90]",0.5629737446678893,
CG4,non_dominated,20,0.3333333333333333,0.5833333333333333,0.5334931048282965,"[0.18, 1.61]",0.26429835052986905,0.22940589672097156,52,20,0.5334931048282966,"[0.16, 1.74]",0.29656002085749067,
Control4B,dominated,165,1.0,0.6666666666666666,1.8418097322032754,"[1.15, 2.95]",0.01114676773235908,0.009792073213021734,437,165,1.8418097321998372,"[1.12, 3.04]",0.01658518511013354,
Control4B,non_dominated,432,0.6666666666666666,0.6666666666666666,0.9299918029511619,"[0.71, 1.21]",0.5929467866317775,0.9070252848437701,1144,432,0.9299918029511609,"[0.71, 1.22]",0.6007285310273779,
Control4C,dominated,452,0.6666666666666666,0.5,1.8400491076647838,"[1.39, 2.44]",2.0574536218409945e-05,1.0458573675033312e-06,1149,452,1.8400491076825167,"[1.38, 2.45]",2.6734802498286822e-05,
Control4C,non_dominated,182,0.6666666666666666,0.6666666666666666,0.8889619524094775,"[0.60, 1.33]",0.5642577910169309,0.9755537882276623,467,182,0.8889619524094683,"[0.57, 1.39]",0.6044716534120211,
RG4,dominated,22,1.0,0.6666666666666666,1.3609541756001582,"[0.34, 5.38]",0.6603497815529119,0.2937729650761186,57,22,1.3609541756511363,"[0.46, 4.02]",0.5768716062431511,
RG4,non_dominated,25,0.6666666666666666,0.6666666666666666,0.5939415349353958,"[0.21, 1.68]",0.32666658051695585,0.16295495760884504,68,25,0.5939415349370517,"[0.25, 1.43]",0.24382762326422613,
