term,coefficient,odds_ratio,ci_low,ci_high,p_value
Intercept,19.899620173592723,438828912.2678357,47649784.95457102,4041378453.7698865,4.4181684620788394e-69
C(sample)[T.Control4B],-0.32663295849914753,0.7213484592638385,0.5271894755931663,0.9870143919258819,0.041184880174544136
C(sample)[T.Control4C],-0.16308519345207895,0.8495188118914401,0.6218164053109067,1.160603363940848,0.3056426204734076
C(sample)[T.RG4],-0.5041836836054431,0.6039984280569405,0.3919234626896736,0.9308299599917451,0.022325319252344922
C(sSFR_class)[T.Quenched],-0.5426630178220625,0.5811984478865183,0.29948780726885915,1.127897789583308,0.10867475893475577
C(sSFR_class)[T.Starforming],1.141509213713055,3.131490889633384,2.6675933131463654,3.6760607936487344,2.9648734429641133e-44
C(morphology_harmonized)[T.Spiral],-0.3234522137356971,0.7236465374608632,0.6162304069991751,0.8497865493673983,7.966812303400725e-05
C(morphology_harmonized)[T.Uncertain],-1.902800480528254,0.1491503411799899,0.11129326757943162,0.19988472580545114,3.6500051698397124e-37
logM,-2.006385153036326,0.13447389970134166,0.11034404915938609,0.1638804252576071,5.573298943692584e-88
z_harmonized,22.013526092988705,3633732133.4451256,342305.90229228523,38573711785890.16,3.25074691738327e-06
is_satellite,-0.010593168185820658,0.9894627418247508,0.7844662062787456,1.2480289267062077,0.9287392134593081
