group_uid,sample,Group,Delta_m12,Delta_m12_source,f_L_BGG_raw,f_L_BGG_source,class_label,n_members,f_L_BGG
CG4:360,CG4,360,1.1146610000000017,rank_1_2_M_r,0.6204933523702146,Lum_BGG/Lum_group,Embedded,4,0.6204933523702146
CG4:368,CG4,368,1.5312379999999983,rank_1_2_M_r,0.713394787589407,Lum_BGG/Lum_group,Predominant,4,0.713394787589407
CG4:369,CG4,369,1.194658999999998,rank_1_2_M_r,0.552327016370066,Lum_BGG/Lum_group,Predominant,4,0.552327016370066
CG4:373,CG4,373,0.31777999999999906,rank_1_2_M_r,0.4897657728800232,Lum_BGG/Lum_group,Embedded,4,0.4897657728800232
CG4:374,CG4,374,0.9228110000000029,rank_1_2_M_r,0.5806587911481825,Lum_BGG/Lum_group,Embedded,4,0.5806587911481825
CG4:386,CG4,386,1.7969299999999997,rank_1_2_M_r,0.7200048563349646,Lum_BGG/Lum_group,Embedded,4,0.7200048563349646
CG4:393,CG4,393,1.155182,rank_1_2_M_r,0.5636956942789174,Lum_BGG/Lum_group,Predominant,4,0.5636956942789174
CG4:394,CG4,394,1.1854250000000022,rank_1_2_M_r,0.6519920509008149,Lum_BGG/Lum_group,Embedded,4,0.6519920509008149
CG4:405,CG4,405,0.8563310000000008,rank_1_2_M_r,0.5129459620546963,Lum_BGG/Lum_group,Embedded,4,0.5129459620546963
CG4:42,CG4,42,1.4481740000000016,rank_1_2_M_r,0.6214200150332467,Lum_BGG/Lum_group,Embedded,4,0.6214200150332467
CG4:52,CG4,52,1.4958479999999987,rank_1_2_M_r,0.6515966045493145,Lum_BGG/Lum_group,Predominant,4,0.6515966045493145
CG4:61,CG4,61,1.8374020000000009,rank_1_2_M_r,0.6844379245485942,Lum_BGG/Lum_group,Embedded,4,0.6844379245485942
CG4:63,CG4,63,1.9375299999999989,rank_1_2_M_r,0.7070569273986838,Lum_BGG/Lum_group,Embedded,4,0.7070569273986838
CG4:73,CG4,73,2.2735920000000007,rank_1_2_M_r,0.7856978292097174,Lum_BGG/Lum_group,Embedded,4,0.7856978292097174
CG4:80,CG4,80,0.48199400000000026,rank_1_2_M_r,0.4384131295387457,Lum_BGG/Lum_group,Embedded,4,0.4384131295387457
CG4:82,CG4,82,1.8063370000000027,rank_1_2_M_r,0.7186872216580186,Lum_BGG/Lum_group,Embedded,4,0.7186872216580186
