sample,n_starforming,median_sSFR_MS_offset,wilcoxon_statistic_vs_CG4,wilcoxon_p_value_vs_CG4,alternative
CG4,84,0.023946132607087556,,,
Control4B,1019,-0.022409301808252735,-0.7376488959751462,0.23036391713845378,less
Control4C,1061,-0.037744344950153774,-1.2295108225814426,0.10944017132080286,less
RG4,118,-0.010072985986507632,-0.06105229106708552,0.47565878222026875,less
