sample,group_id,n_satellites,mean_delta_u_minus_r,median_delta_u_minus_r,colour_scatter,satellite_blue_fraction,t_cr,Vdisp,Lum_group,M_virial,M_virial_over_L,is_dominated,Offset_Bary,Voffset,Class
CG4,25,2,-0.3954480939981584,-0.3954480939981584,0.3834438500394405,1.0,0.9683120181638932,138.73358378062295,61957048198.95252,5887096315725.472,95.01899278385896,True,0.2824384135974324,0.1629276382571697,Embedded
CG4,33,2,0.13523026546116856,0.13523026546116856,0.018627656160937815,0.0,1.231837376201855,65.212862961357,130127839490.13235,682118397318.5398,5.241909801862691,False,1.0459381755630708,1.465283826918233,Embedded
CG4,52,3,0.0053559688392207745,0.2444500057454233,0.602883467677046,0.3333333333333333,0.1824121595743693,376.10695801897606,115417905126.2303,23224389700899.586,201.21998987505037,True,0.8352094160873271,0.1700284027252094,Predom
CG4,61,2,0.44820141387157153,0.44820141387157153,0.05970080153556414,0.0,0.4306204533944396,114.38282225559918,62618337683.70095,713429164611.0309,11.393294536413904,True,1.2157693973902948,0.6787591938063231,Embedded
CG4,73,2,-0.3231544971410245,-0.3231544971410245,0.11597448395748733,1.0,0.9368450657864268,238.55179856135848,92669932515.58052,25888836687679.367,279.3660897867461,True,0.551942345180141,0.8811914794860968,Embedded
CG4,80,1,0.2181617055036682,0.2181617055036682,,0.0,1.2344789625335486,139.35060368873476,150944901427.27765,3324166687483.788,22.02238469833516,False,0.2639335431037262,0.7705293107588089,Embedded
CG4,82,2,-0.5157238480816853,-0.5157238480816853,0.10609209905242227,1.0,0.9792118579227184,175.61675796013438,94468468966.53082,9443233491836.14,99.96175014947872,True,0.177063139645677,0.7066526458030841,Embedded
CG4,84,3,0.12226403450437233,0.11660993414764143,0.31704504193853605,0.3333333333333333,0.7425451021386739,157.75382835927795,80129948726.12451,4570796132385.882,57.042294486027544,True,0.292480575115741,0.4421628849610492,Embedded
CG4,99,2,-0.17864620518616303,-0.17864620518616303,0.3878215694904942,0.5,0.8492051347493839,173.4668977380962,114862424207.06757,9079872966722.129,79.04998548832158,True,0.5515271890523968,0.0699420347567739,Embedded
CG4,101,1,0.7222959494893613,0.7222959494893613,,0.0,0.2356985323917886,225.54969362779747,95698010903.33968,3581048880854.0874,37.42030630575118,False,0.867188139415859,0.5120803766730322,Embedded
CG4,106,2,-0.595025384486189,-0.595025384486189,0.07095392555552255,1.0,6.131345339165436,36.747987982423375,82019641326.37619,503260939490.3304,6.135858818105924,True,0.6954272686734088,0.0708766413811161,Embedded
CG4,112,1,0.15915533191061915,0.15915533191061915,,0.0,0.2353785400984133,419.9583578978288,148469269357.46234,44931287421762.02,302.63021847021497,True,0.6475625479696887,0.2528804629871089,Predom
CG4,117,2,-0.04211338967589939,-0.04211338967589939,0.2465062317989415,0.5,0.5118502160813141,364.7625356723772,87958563130.61821,41360629729317.71,470.22857419688967,True,0.4459774354545165,0.3808038206613264,Embedded
CG4,128,1,0.13856590403796076,0.13856590403796076,,0.0,0.6927495262738582,187.3350918577178,122528236297.14688,3060935853639.6147,24.98147321909089,False,0.5787101046138088,0.8789401381018497,Embedded
CG4,131,1,0.18217729802282978,0.18217729802282978,,0.0,0.1204140613353423,418.0133653258581,151909250845.1165,13685282045601.16,90.08853621136208,True,0.8428284543570667,0.1207889664351188,Predom
CG4,142,2,-0.17934512411493264,-0.17934512411493264,0.5979310759846133,0.5,1.799881681933745,83.267087994249,74340006977.12505,1767971312236.7815,23.78223226130177,True,0.5997852789238215,0.1361472196904528,Embedded
CG4,147,1,-0.5940892064452545,-0.5940892064452545,,1.0,2.0572988784911677,65.7534465679738,117755732038.35728,674439708716.8683,5.727446953471267,False,0.5889618238622059,0.4765278341596985,Isolated
CG4,154,2,-0.001386800436222746,-0.001386800436222746,0.08500012498358032,0.0,0.2536278871382622,316.2831303017852,100115295691.8797,20238217251485.35,202.14910330756643,True,0.644932362291813,0.6484704812157813,Embedded
CG4,158,2,-0.06480244582822747,-0.06480244582822747,0.501170922920703,0.5,5.981836296253,32.42121263589201,75352720553.75392,359150986723.61237,4.766264364236285,True,0.5833920317253769,0.9263214293657408,Isolated
CG4,165,1,0.19556881592177433,0.19556881592177433,,0.0,0.907034263915888,108.01374748964204,162461413860.08884,1630087505112.8247,10.033690255315948,True,0.5123417593107297,0.5392532526244393,Predom
CG4,173,1,-0.48155602789114615,-0.48155602789114615,,1.0,1.4787758247143237,135.88160481824826,211266207343.07584,7059636865761.414,33.4158356631889,True,0.411806215385212,0.980362790020148,Embedded
CG4,188,3,0.03842439274750505,0.11023439903324972,0.3287885144913211,0.3333333333333333,0.3364600414954025,229.806244541614,73869400151.22598,7987462559994.214,108.12951700761371,True,0.688053397345873,0.4422991778606351,Embedded
CG4,197,3,-0.040384327579502756,-0.2809235426644525,0.6453302477517019,0.6666666666666666,1.5000593755481453,96.70629629831222,67655954157.43732,1656833494457.7407,24.489100997707347,True,0.4846670704823075,0.0811331456500598,Embedded
CG4,204,3,-0.002757898210269172,-0.6474375990915813,1.1686175447521852,0.6666666666666666,0.6212640696260697,230.8925162180898,94219098293.45493,8957153805430.758,95.0672843156787,True,0.5244799084763152,0.0285100954036706,Predom
CG4,206,2,-0.2155318460987934,-0.2155318460987934,0.037481206645574756,1.0,0.1567569343268401,340.09815527961393,98038136058.1271,11671212497844.39,119.04767845570314,False,0.3206131013896466,0.1033532834624391,Embedded
CG4,207,2,0.22261135774632623,0.22261135774632623,0.2327328741996756,0.0,1.553493928201798,87.17908109078253,137533797072.98215,2006396293706.2488,14.588387264852122,True,0.8811012761581076,0.9663547602424906,Predom
CG4,214,2,-0.418597600376571,-0.418597600376571,0.4547929343781817,0.5,1.74686458911894,104.38035055154089,95922460386.17969,4185543489966.7,43.634655252960385,False,0.667531707724943,0.4505522190929317,Isolated
CG4,229,1,-0.1463954962990459,-0.1463954962990459,,1.0,1.0931698651180832,167.90318381132158,79246010723.47154,7277937448550.904,91.83979587246633,False,0.5874162422476397,0.0645769890492167,Predom
CG4,231,2,0.09150108090766906,0.09150108090766906,0.2783696531025338,0.5,0.4351367242271554,246.898260881355,95428452339.42604,12284849048769.64,128.7336087676881,True,0.5700687194716964,0.0772450116997308,Embedded
CG4,239,3,-0.4363672524241271,-0.5453865196734236,0.22089069923998841,1.0,1.0263689468713446,163.05321918207693,77687930788.0159,7476129255630.096,96.23282767087623,False,0.4800634514844804,0.2070174516065573,Isolated
CG4,259,2,-0.1458565303964383,-0.1458565303964383,0.5016219821786252,0.5,1.4949839617386411,120.98538425149616,113383631149.41536,3726709821431.233,32.86814669500421,True,0.2113824549469466,0.4092892926054799,Predom
CG4,265,1,-0.46589524831668827,-0.46589524831668827,,1.0,3.325820581554628,38.97813511821061,81651920307.83456,484426125585.09625,5.932819751927074,False,0.9301667236194476,0.0691675358986789,Embedded
CG4,271,1,-0.27862175325241023,-0.27862175325241023,,1.0,0.9833374980724322,189.38378528984265,95971647051.80464,10819435523052.14,112.73574910318987,True,0.8798309262227344,0.3488599981813195,Embedded
CG4,293,3,0.287604359103077,0.2618785132561854,0.13465327302125563,0.0,0.3459631009656557,306.4772734670471,127415499344.07634,21694309988984.125,170.26429359586945,True,0.7773594695128785,0.6902768797666519,Predom
CG4,303,2,-0.10852793639566294,-0.10852793639566294,0.11802626538681629,0.5,1.8095165817591976,70.17724844656149,90334591400.76791,1166006255243.7302,12.907638559749085,False,0.2189965473593342,0.7493198121962101,Isolated
CG4,309,3,-0.10915770353327951,-0.09512572631916649,0.05483937417238254,0.3333333333333333,0.8239935694003608,164.51237404092095,126638441666.80344,8022290260098.862,63.34798623948796,False,0.5513160580272786,0.7497908922066113,Embedded
CG4,315,2,0.3219790368096971,0.3219790368096971,0.03507357870849211,0.0,0.4489174729993943,314.54953863969433,80853150030.71194,25338348651996.27,313.3872785707364,False,0.1587784500737883,0.4416732668422327,Embedded
CG4,316,2,-0.13488186456705575,-0.13488186456705575,0.24186558926370313,0.5,2.220938518207684,93.85765665159808,164847847143.90326,3391098874455.896,20.571083779429948,True,0.0977584170971173,0.5055592071067069,Embedded
CG4,322,2,0.089980312265727,0.089980312265727,0.4366126941497295,0.5,1.2013987648375395,106.331320893402,63373357347.206375,1647979728943.1416,26.004298934555152,True,1.022700944876745,0.8648000957303565,Embedded
CG4,323,1,-0.1337398028074781,-0.1337398028074781,,1.0,0.9833914910602806,174.85004040603656,113127230202.84122,8147250036944.936,72.01847002120198,False,0.4617500483314291,0.7261199003012373,Embedded
CG4,330,2,-0.08637812771583153,-0.08637812771583153,0.1399813042658112,0.5,0.9014445126899148,118.89191411626952,68853505729.34576,2701129243484.2983,39.23009024554376,True,0.2293111313324542,0.875246164131791,Predom
CG4,333,1,1.062543416863028,1.062543416863028,,0.0,0.2886597694728951,191.45852988394293,272377836440.2279,2580212911014.3047,9.47291800513483,False,0.4305730931557209,0.7896645394704077,Predom
CG4,337,2,-0.20890731841039778,-0.20890731841039778,0.42498676863191,0.5,0.4656688105403225,302.02408479186386,96511470175.82455,23015999173402.5,238.4794173321778,False,0.7230527642431988,1.4951078400482265,Predom
CG4,341,1,0.2806250127973957,0.2806250127973957,,0.0,0.8214365732074284,190.34792149633648,246418983319.83453,13063985754614.893,53.01533826092756,True,0.2160158286852694,0.4733262288100798,Predom
CG4,354,2,0.10332871102306496,0.10332871102306496,0.055402364716703296,0.0,2.3259530683226624,67.74026316036813,123640002861.19267,1111911880659.7915,8.993140204858339,True,0.2305408754648169,0.7687053160942038,Embedded
CG4,360,2,0.32507956378564207,0.32507956378564207,0.02054187379496984,0.0,0.7291876778510191,192.05501154968587,74681402780.2244,9489571073062.955,127.06739187785836,True,0.4294092754922224,0.261102896556154,Embedded
CG4,368,2,-0.48098631698155736,-0.48098631698155736,0.08025786753004516,1.0,0.3244225962593751,147.9159301546626,65226979540.27245,2245036424263.753,34.418831595254574,True,0.6513266324952741,0.5164661331975122,Predom
CG4,369,2,-0.21932134528820368,-0.21932134528820368,0.24268888712714354,0.5,1.024517996529736,119.85015443562612,111036691610.07748,3394834028602.6616,30.573983963104254,False,0.2934835645800978,1.1050572377554455,Predom
CG4,373,2,0.4949757689015952,0.4949757689015952,0.2662862131525982,0.0,1.2255281699727938,104.92174597508588,114336572387.81609,1104103036804.7505,9.65660430207549,False,0.5855785793739106,1.3347348149971316,Embedded
CG4,374,2,-0.011239408703633824,-0.011239408703633824,0.0719184969753901,0.0,0.3106896011962153,386.952851112569,156080912124.5191,35939440043679.92,230.26159672239712,False,1.0708977538936455,0.5535008192529338,Embedded
CG4,386,3,-0.38377854557890356,-0.5481240847524307,0.4741107154038585,0.6666666666666666,0.6814653948384446,246.69303772559584,87946421782.3012,20338148228652.96,231.2561195382928,True,0.4554288314224408,0.2669591596276799,Embedded
CG4,394,3,0.3074100641183031,0.09349619387791863,0.42995414133062726,0.0,0.6101439649073114,256.9512089223681,118076779429.65164,2778831469933.1543,23.534106226099603,True,0.203833496800719,1.0828488164552343,Embedded
CG4,405,2,-0.48867799815424484,-0.48867799815424484,0.031120747369655123,1.0,1.4152180567444332,139.6605782993902,81745148032.1259,3476391264688.904,42.52718783165797,False,0.6125523160020451,0.6637293077207226,Embedded
Control4B,3,1,0.2477777153716918,0.2477777153716918,,0.0,2.4782307564350408,424.2605156803372,379923749955.5245,232328927026731.7,611.5146185357696,False,0.4772632336194038,1.2168788770067571,
Control4B,27,1,0.04455596208351631,0.04455596208351631,,0.0,0.4387079109956248,800.1392614424472,290603261816.2432,453695309332110.1,1561.2189157704454,False,0.7038404829952023,0.8964478378551491,
Control4B,32,2,0.005804093936484733,0.005804093936484733,0.014356263964029567,0.0,3.307904759985533,177.98689914385025,270718565520.3726,26508427218158.504,97.91876359570784,False,0.3970452713173116,0.841309404277211,
Control4B,37,1,0.1511373091173316,0.1511373091173316,,0.0,2.027577411335679,245.49426652467733,288254678345.8259,40905276506132.07,141.90672200316223,False,0.1025100631715481,1.293574197785885,
Control4B,78,1,-0.12047628171251867,-0.12047628171251867,,1.0,2.497187906916637,347.2634270326139,311886155066.92786,174371340184055.53,559.0865043260322,False,0.5455889771337487,0.7982498574808696,
Control4B,95,2,-0.37932610428043056,-0.37932610428043056,0.15034796875113454,1.0,1.1882039895555192,398.37881474208234,228717030988.8112,181069950938684.62,791.6767289076192,True,0.4696925604289415,0.194104672669291,
Control4B,100,1,0.016216216119120386,0.016216216119120386,,0.0,0.8609277479857683,380.56688122655135,201119406338.7214,17608169850731.105,87.55082451404897,False,0.4040940943804362,0.665032672519449,
Control4B,112,1,0.42063825503152685,0.42063825503152685,,0.0,3.5560034335735695,63.04913440334216,236522800260.67593,1888917342981.3584,7.98619558410246,False,0.3380495358006952,1.0694167128667909,
Control4B,120,1,0.23733150862256203,0.23733150862256203,,0.0,1.994139602782776,302.396237809591,261551145601.34976,98076802585704.98,374.9813534947822,False,0.3877992546849174,0.2888152900164678,
Control4B,129,1,0.10337410416907122,0.10337410416907122,,0.0,0.8544628367971814,478.2731902740631,245387108545.05377,192487263996912.88,784.4228865086109,False,0.4357097860541087,1.1952079998603775,
Control4B,146,1,-0.2444648520699304,-0.2444648520699304,,1.0,4.111014189392703,236.1632597706069,190693903897.16135,122934950702948.28,644.6716344390611,False,0.3352584717350907,0.7494247268634583,
Control4B,152,2,0.05480188557734156,0.05480188557734156,0.13807266715561312,0.0,7.896432456059585,86.18952309477066,250714588095.18573,9396611854925.31,37.479318320949936,False,0.8317386700207398,0.4629935167328126,
Control4B,153,1,-0.5444499027551806,-0.5444499027551806,,1.0,11.734377834225226,110.46441506824004,162881811657.70538,30449207909121.465,186.94050366476887,True,0.3765048663318216,0.8238845074169902,
Control4B,157,3,-0.07544977273815616,-0.14116199981730837,0.2609523785020856,0.6666666666666666,0.9974816690129016,395.20427492205823,220591926906.70407,105253677074499.69,477.142017617966,True,0.2611693972997761,0.2126138186348247,
Control4B,174,1,-0.929226080526889,-0.929226080526889,,1.0,1.669936846138864,308.8070597687378,218974494337.24905,58266563210944.56,266.0883560311208,False,0.6131279759691308,0.4969774676270562,
Control4B,202,1,0.8008636858202873,0.8008636858202873,,0.0,8.564485971818128,91.475132837672,161252903692.47034,5459310440139.253,33.855579125265535,False,0.1731177655498988,1.3263523608419352,
Control4B,213,1,0.22052305797202276,0.22052305797202276,,0.0,5.529360004576338,76.24337637684205,228059670529.6586,2859337011148.896,12.537670533804643,False,1.33084715411469,0.5441244094087024,
Control4B,226,1,0.10948824238888744,0.10948824238888744,,0.0,4.298360280097678,214.2001567159638,195664039367.37573,60808613772970.38,310.78073400497004,False,0.7332669279607784,0.9761055941946468,
Control4B,229,1,0.020093735897094067,0.020093735897094067,,0.0,2.981395070513645,254.17510462859963,234777749638.44937,95969992655670.52,408.7695397177178,False,0.8684121881733724,1.0329264518581862,
Control4B,244,1,0.10769829229202088,0.10769829229202088,,0.0,3.858888372680169,152.5166800977517,133766156958.07126,26733744018805.152,199.85431761476704,False,0.3210582238504406,1.1449801842349143,
Control4B,260,3,-0.06958111551224189,-0.2231894333973159,0.37795365927961977,0.6666666666666666,10.861048492843764,89.9621523142201,206955301415.1007,4627077401252.077,22.357858772466592,False,0.3912770042324683,0.7396482078911714,
Control4B,288,1,0.14726543905577172,0.14726543905577172,,0.0,3.869888103429435,246.1382908145891,175719264989.2306,52577011799279.52,299.2102875145866,False,1.044986223770878,1.2238942841862062,
Control4B,292,1,0.17496231265548712,0.17496231265548712,,0.0,1.230299507314499,265.72211030466195,151383772998.33093,31607309143260.79,208.78928115769233,False,0.2364581821725972,0.6577703314235329,
Control4B,293,1,-0.4620953437921478,-0.4620953437921478,,1.0,2.7943457529662705,196.94114781645487,158440937004.5839,34442868393212.965,217.38616953657936,False,0.4226191995149352,0.8321345592123195,
Control4B,307,2,-0.4711186888875536,-0.4711186888875536,0.25901942026630187,1.0,9.0319284297932,132.3279679323582,169751563765.11035,20083439982009.08,118.31078039315771,True,0.3424020024242665,0.5259790591072439,
Control4B,313,1,-0.5580705057719082,-0.5580705057719082,,1.0,5.530511087259966,130.95670897136992,212851448527.96832,27417574271805.258,128.81084184025477,False,0.5679114069396387,0.3831799635251424,
Control4B,329,1,0.18419773976006582,0.18419773976006582,,0.0,9.441604745407064,127.3040234056116,275452457688.3487,36613134849309.24,132.91997884707175,False,0.2153625402133323,0.5166146454848619,
Control4B,336,2,-0.33158202940711745,-0.33158202940711745,0.07830523104887369,1.0,3.3593216083058115,143.92563436219865,150361445128.98813,15044929917528.107,100.05842857270864,False,1.0591971330692076,1.0777486319409617,
Control4B,351,1,0.10988631253737546,0.10988631253737546,,0.0,1.622665446812069,129.78474511632473,119174093975.89577,7900112678092.059,66.29052015020933,False,0.230606045464729,0.7459760420024356,
Control4B,387,1,-0.36446867588701526,-0.36446867588701526,,1.0,8.265236000943938,205.2405734827346,214230094346.15182,63051433915567.02,294.3164176256621,True,0.3024095343276403,1.3560437392190616,
Control4B,402,1,-0.0036240966105327566,-0.0036240966105327566,,0.0,3.21734279915392,367.7368362561796,269185486118.62665,232233791959547.9,862.7277618422763,False,0.4036817488695038,0.4988828187770722,
Control4B,407,2,-0.3860314853189082,-0.3860314853189082,0.04935199152241956,1.0,2.6841015906343166,134.7305041140649,226596796728.7262,9224682227124.22,40.70967621915542,False,0.6352059580825128,0.730542400575775,
Control4B,412,1,-0.5737011173279392,-0.5737011173279392,,1.0,5.21276508679406,138.8599098905228,136977626908.0296,21158921116471.473,154.46990573634432,False,0.0783395034806902,1.0835879860879551,
Control4B,436,1,0.2614225245944066,0.2614225245944066,,0.0,8.80922627219065,106.9006098245452,180196204608.7833,22632464658102.44,125.59900863194576,False,0.7866767851656562,0.2892755784762379,
Control4B,443,2,-0.30274615495681023,-0.30274615495681023,0.5321393799811015,0.5,2.854777625549646,220.84154919969177,218929822967.71,60017779743511.06,274.14163557042247,False,0.2375222877492869,0.4300842291927554,
Control4B,446,1,0.14532197724946405,0.14532197724946405,,0.0,0.8148412232125828,282.2472604877006,156350792243.05167,40401930472654.8,258.405665190675,False,0.5910410868025534,0.5674227008827839,
Control4B,470,1,-0.4807634697480938,-0.4807634697480938,,1.0,2.371452853686427,322.72536535489365,173958930489.35242,114788290921794.2,659.8585689098618,True,0.52080020525406,0.0324271215092492,
Control4B,477,1,-0.4555756206566004,-0.4555756206566004,,1.0,6.401533766406583,147.32229562792054,168175463029.65872,38554266514752.97,229.2502474511023,False,0.508274908485211,0.8155334174381299,
Control4B,479,1,-0.6446418101769491,-0.6446418101769491,,1.0,1.716992754251248,269.9246735461926,157967516838.9129,56496981743895.15,357.64936282126814,False,0.4429264896437636,0.7365950581955621,
Control4B,480,1,-0.5881950722527995,-0.5881950722527995,,1.0,2.6014186470339533,208.93429872963264,198010579705.78668,40323967995995.27,203.64552265798372,False,0.5526805840158819,1.1826990765559422,
Control4B,481,2,0.010433566360257718,0.010433566360257718,0.14829305703225823,0.0,2.338047859407289,244.7340419972546,154630736534.36484,41954500459369.12,271.32057571261214,False,0.545578434092016,1.084880304296811,
Control4B,483,1,0.2208655441451297,0.2208655441451297,,0.0,1.9609169695638853,180.52205723100192,189174321370.91205,21914484736667.21,115.84280878005488,False,0.0849240783374983,1.5139450235581686,
Control4B,484,2,0.14079300985067134,0.14079300985067134,0.10228865957091067,0.0,0.479294164073855,345.81737176807826,147070399798.5325,27142393454646.63,184.553747673415,False,1.0462633153686465,0.0416588849395247,
Control4B,510,2,-0.20221791199742278,-0.20221791199742278,0.274096709395067,0.5,3.569027418291317,265.5496817543295,269672906526.4217,73034780117613.44,270.82728131035935,False,0.3361264900591044,0.7648228282587112,
