class,n_groups,n_galaxies,elliptical_fraction,quenched_fraction
Embedded,19,76,0.6507936507936508,0.7230769230769231
Isolated,6,24,0.3888888888888889,0.391304347826087
Predominant,37,148,0.5891472868217055,0.6338028169014085
