product,role,control,covariate,n_CG4,n_control,additive_CG4,additive_cov,interaction_CG4_at_reference,interaction_cov,interaction_CG4_x_cov,add_CG4_beta,add_CG4_ci95_lo,add_CG4_ci95_hi,int_CG4_ref_beta,int_CG4_ref_ci95_lo,int_CG4_ref_ci95_hi,int_CG4xcov_beta,int_CG4xcov_se,int_CG4xcov_ci95_lo,int_CG4xcov_ci95_hi
FIREFLY ELODIE light-weighted,BGG,Control4C,SF,56,638,"-0.012 [-0.034, +0.010]","-0.112 [-0.132, -0.090]","-0.003 [-0.025, +0.020]","-0.108 [-0.129, -0.086]","-0.049 [-0.107, +0.012]",-0.012034863479308275,-0.03388627513955616,0.0096396615183266,-0.0025858165356860445,-0.025356296770647657,0.02007923681269494,-0.04886833937641239,0.02964388212057012,-0.10725233090750787,0.011754101589890816
FIREFLY ELODIE light-weighted,BGG,Control4C,Spiral,53,598,"-0.010 [-0.032, +0.013]","-0.075 [-0.089, -0.060]","-0.010 [-0.036, +0.014]","-0.075 [-0.089, -0.060]","+0.001 [-0.053, +0.056]",-0.009535803497797516,-0.03214548717192932,0.012734631693848508,-0.009855068259036981,-0.03596596476152534,0.014216730031366446,0.0009941996268372354,0.02743298338238104,-0.05342959114763978,0.05635361793363426
FIREFLY MILES mass-weighted,Satellite,RG4,SF,173,166,"+0.044 [-0.020, +0.109]","-0.234 [-0.305, -0.164]","+0.010 [-0.050, +0.064]","-0.267 [-0.368, -0.178]","+0.064 [-0.066, +0.190]",0.0435226555247198,-0.019800005308315546,0.10930982795743965,0.010287905646588925,-0.04966934759858286,0.06366575210293897,0.06373355883300698,0.06487143704593976,-0.06571456571640451,0.1895253981445092
FIREFLY MILES mass-weighted,Satellite,RG4,Spiral,156,142,"+0.057 [-0.002, +0.119]","-0.131 [-0.184, -0.076]","-0.011 [-0.090, +0.061]","-0.196 [-0.288, -0.109]","+0.112 [+0.011, +0.223]",0.05687746410885103,-0.0020586649945036153,0.1186628929296044,-0.010502445347587932,-0.08954870595202666,0.06121039490482958,0.11190712050304115,0.054020863227888814,0.010659890745435673,0.22309880516311598
FIREFLY MILES mass-weighted,Satellite,Control4C,SF,173,1961,"-0.000 [-0.046, +0.040]","-0.231 [-0.256, -0.205]","+0.002 [-0.027, +0.030]","-0.230 [-0.255, -0.205]","-0.004 [-0.097, +0.091]",-0.0003187899966495791,-0.04644069653944729,0.04035554672712451,0.0015532766018689953,-0.02663550734747419,0.030424884326370444,-0.004442707937116967,0.049320453535629916,-0.0970684000194891,0.0905992047529353
FIREFLY MILES mass-weighted,Satellite,Control4C,Spiral,156,1732,"+0.017 [-0.025, +0.055]","-0.144 [-0.166, -0.120]","-0.007 [-0.055, +0.038]","-0.149 [-0.175, -0.126]","+0.053 [-0.010, +0.118]",0.01686875407789713,-0.02490022996384358,0.05544633306419795,-0.006868424048781658,-0.05529324082813404,0.037830243474008284,0.05287492564733202,0.03246598174477999,-0.01039512991872699,0.1180926954044447
FIREFLY MILES mass-weighted,BGG,RG4,SF,56,53,"+0.019 [-0.033, +0.071]","-0.199 [-0.275, -0.123]","+0.059 [+0.013, +0.104]","-0.112 [-0.200, -0.029]","-0.184 [-0.329, -0.035]",0.01886197465528304,-0.032505554073608174,0.07058879477240532,0.05868804361776676,0.012706183075676529,0.10435109903291616,-0.18351843827921283,0.07400125676283983,-0.3294505306908436,-0.03455404912116412
FIREFLY MILES mass-weighted,BGG,RG4,Spiral,53,47,"-0.006 [-0.065, +0.056]","-0.123 [-0.184, -0.068]","+0.028 [-0.025, +0.091]","-0.087 [-0.154, -0.016]","-0.073 [-0.192, +0.036]",-0.005539641775320284,-0.06473155483769498,0.056357054357548,0.02771130639949982,-0.025450943340908586,0.09130539461904105,-0.07286887307712643,0.05956901664745401,-0.19156339510345982,0.03577200329263792
FIREFLY MILES mass-weighted,BGG,Control4C,SF,56,638,"-0.013 [-0.048, +0.018]","-0.171 [-0.206, -0.135]","+0.014 [-0.011, +0.038]","-0.158 [-0.194, -0.120]","-0.138 [-0.270, -0.013]",-0.01305411028766187,-0.04764017230120001,0.018126241776140826,0.013566796599955092,-0.010872168131725791,0.03806619563974719,-0.1376773255603333,0.06306269436350717,-0.27033654217204917,-0.012745616059614428
FIREFLY MILES mass-weighted,BGG,Control4C,Spiral,53,598,"-0.010 [-0.048, +0.024]","-0.110 [-0.132, -0.087]","+0.007 [-0.024, +0.038]","-0.106 [-0.130, -0.084]","-0.053 [-0.151, +0.044]",-0.010110301877379624,-0.047662454924199654,0.023510460460662522,0.006987549627513163,-0.024191176576556384,0.037548975454615524,-0.05324320015740982,0.049039431240448794,-0.15129503049085077,0.04427754601292331
FIREFLY ELODIE mass-weighted,Satellite,RG4,SF,173,166,"+0.046 [+0.005, +0.083]","-0.138 [-0.177, -0.100]","+0.008 [-0.030, +0.044]","-0.176 [-0.228, -0.126]","+0.072 [-0.007, +0.158]",0.04554109400677491,0.005409783175792916,0.0831778967421665,0.007988473121331406,-0.029732121860917962,0.04359111096382762,0.07201384639006729,0.041750749598704964,-0.006506021827553679,0.15756495084959282
FIREFLY ELODIE mass-weighted,Satellite,RG4,Spiral,156,142,"+0.066 [+0.030, +0.105]","-0.052 [-0.089, -0.016]","+0.025 [-0.029, +0.082]","-0.091 [-0.148, -0.030]","+0.068 [-0.013, +0.143]",0.06598618188857615,0.02970508703651001,0.10491948574953283,0.025000856773177996,-0.028576017377809314,0.08184631145428702,0.06806998931202728,0.03969510439915746,-0.012975915444224191,0.14292979114772592
FIREFLY ELODIE mass-weighted,Satellite,Control4C,SF,173,1961,"+0.009 [-0.015, +0.036]","-0.181 [-0.198, -0.164]","-0.010 [-0.034, +0.012]","-0.184 [-0.203, -0.166]","+0.046 [-0.010, +0.102]",0.008870879138288086,-0.014654742357236138,0.03574672118798535,-0.010481216263206136,-0.03370481963933228,0.011517494403932217,0.04592556050521804,0.02899811673276205,-0.009915634963706,0.10248936847852357
