age_product,role,sample,n,unit,median_log_age,median_age_Gyr,median_unc_dex,frac_gt_13.8Gyr,frac_at_grid_max,frac_lt_1Gyr
FIREFLY MILES light-weighted age,BGG,CG4,60,log10(age/yr),9.843761584967739,6.978492000000007,0.07082098354619415,0.0,0.0,0.016666666666666666
FIREFLY MILES light-weighted age,BGG,Control4B,674,log10(age/yr),9.862033711729138,7.2783630000000095,0.06854852533164513,0.00741839762611276,0.001483679525222552,0.0
FIREFLY MILES light-weighted age,BGG,Control4C,678,log10(age/yr),9.862033711729138,7.2783630000000095,0.0684766174294591,0.007374631268436578,0.0014749262536873156,0.0
FIREFLY MILES light-weighted age,BGG,RG4,55,log10(age/yr),9.811488473457837,6.478709000000009,0.08563540919469048,0.01818181818181818,0.01818181818181818,0.0
FIREFLY MILES light-weighted age,Satellite,CG4,180,log10(age/yr),9.870889317948683,7.428298000000011,0.09617021861740183,0.022222222222222223,0.0,0.011111111111111112
FIREFLY MILES light-weighted age,Satellite,Control4B,2031,log10(age/yr),9.840640098853877,6.928513999999987,0.09392623196449978,0.013786312161496799,0.0019694731659281144,0.012309207287050714
FIREFLY MILES light-weighted age,Satellite,Control4C,2042,log10(age/yr),9.82953171881691,6.753543768865281,0.10271923959699603,0.015670910871694418,0.002938295788442703,0.013712047012732615
FIREFLY MILES light-weighted age,Satellite,RG4,167,log10(age/yr),9.79787637292719,6.278796000000007,0.12987917984522923,0.0,0.0,0.005988023952095809
FIREFLY MILES mass-weighted age,BGG,CG4,60,log10(age/yr),9.963905593539609,9.202495071757436,0.06630173392650374,0.03333333333333333,0.0,0.0
FIREFLY MILES mass-weighted age,BGG,Control4B,674,log10(age/yr),9.96272628603807,9.177540000000004,0.06173049563273203,0.026706231454005934,0.0,0.0
FIREFLY MILES mass-weighted age,BGG,Control4C,678,log10(age/yr),9.961540515041907,9.152516385122732,0.06173049563273203,0.02654867256637168,0.0,0.0
FIREFLY MILES mass-weighted age,BGG,RG4,55,log10(age/yr),9.95797022853257,9.077583000000002,0.07137192350181554,0.03636363636363636,0.0,0.0
FIREFLY MILES mass-weighted age,Satellite,CG4,180,log10(age/yr),10.006555426806946,10.15208924282584,0.0866555149864956,0.08888888888888889,0.0,0.0
FIREFLY MILES mass-weighted age,Satellite,Control4B,2031,log10(age/yr),9.974393316391728,9.427429999999987,0.09165337932627171,0.04234367306745446,0.004923682914820286,0.0054160512063023145
FIREFLY MILES mass-weighted age,Satellite,Control4C,2042,log10(age/yr),9.980109945424909,9.552343813046189,0.09774192560390116,0.05533790401567091,0.0053868756121449556,0.005876591576885406
FIREFLY MILES mass-weighted age,Satellite,RG4,167,log10(age/yr),9.98350649011086,9.627344000000008,0.1231154305808122,0.041916167664670656,0.005988023952095809,0.0
FIREFLY ELODIE light-weighted age,BGG,CG4,60,log10(age/yr),9.954299460834198,9.001180296283385,0.03709991566497983,0.05,0.0,0.03333333333333333
FIREFLY ELODIE light-weighted age,BGG,Control4B,674,log10(age/yr),9.929484231316358,8.501278255603676,0.04181220203042679,0.017804154302670624,0.002967359050445104,0.01483679525222552
FIREFLY ELODIE light-weighted age,BGG,Control4C,678,log10(age/yr),9.92820734393433,8.476319999999996,0.04189682495212299,0.017699115044247787,0.0029498525073746312,0.014749262536873156
FIREFLY ELODIE light-weighted age,BGG,RG4,55,log10(age/yr),9.915208239010328,8.226370000000003,0.04857464868960193,0.0,0.0,0.0
FIREFLY ELODIE light-weighted age,Satellite,CG4,180,log10(age/yr),9.88516212276403,7.676479999999994,0.07585113883822725,0.011111111111111112,0.0,0.011111111111111112
FIREFLY ELODIE light-weighted age,Satellite,Control4B,2031,log10(age/yr),9.861926114738775,7.27656,0.07751041218252919,0.01674052191038897,0.0,0.010832102412604629
FIREFLY ELODIE light-weighted age,Satellite,Control4C,2042,log10(age/yr),9.845195459030682,7.001570385149306,0.09609417400877929,0.015181194906953967,0.0004897159647404506,0.011753183153770812
FIREFLY ELODIE light-weighted age,Satellite,RG4,167,log10(age/yr),9.814694316204822,6.52670999999999,0.1423517673145387,0.017964071856287425,0.0,0.011976047904191617
Gallazzi r-band light-weighted age,BGG,CG4,27,log10(age/yr),9.8438,6.979109301999336,0.08670000000000044,0.0,,0.0
Gallazzi r-band light-weighted age,BGG,Control4B,282,log10(age/yr),9.88425,7.660374466165295,0.08622500000000022,0.0,,0.0
Gallazzi r-band light-weighted age,BGG,Control4C,283,log10(age/yr),9.8837,7.650679341290911,0.0862500000000006,0.0,,0.0
Gallazzi r-band light-weighted age,BGG,RG4,30,log10(age/yr),9.85005,7.080272943466263,0.08602500000000024,0.0,,0.0
Gallazzi r-band light-weighted age,Satellite,CG4,63,log10(age/yr),9.8296,6.7546056663349985,0.10029999999999983,0.0,,0.031746031746031744
Gallazzi r-band light-weighted age,Satellite,Control4B,637,log10(age/yr),9.8164,6.55239394015981,0.10855000000000015,0.0,,0.009419152276295133
Gallazzi r-band light-weighted age,Satellite,Control4C,553,log10(age/yr),9.8077,6.42243917670432,0.11099999999999977,0.0,,0.018083182640144666
Gallazzi r-band light-weighted age,Satellite,RG4,43,log10(age/yr),9.7465,5.578276021411999,0.11934999999999985,0.0,,0.023255813953488372
