product,role,control,stratifier,n_CG4,n_control,total,total_ci95_lo,total_ci95_hi,within,within_ci95_lo,within_ci95_hi,composition,composition_ci95_lo,composition_ci95_hi,frac_Quenched_CG4,frac_Quenched_control,frac_Starforming_CG4,frac_Starforming_control,frac_Elliptical_CG4,frac_Elliptical_control,frac_Spiral_CG4,frac_Spiral_control,frac_Uncertain_CG4,frac_Uncertain_control,frac_NoGZ_CG4,frac_NoGZ_control
FIREFLY MILES light-weighted,Satellite,RG4,sf_state,173,166,0.028802187001422803,-0.0023712282456157334,0.05936158572609204,0.014916795443527614,-0.015927401983242346,0.04482998839510862,0.013885391557895185,0.0030096296959162853,0.02907781126440899,0.5838150289017341,0.3795180722891566,0.4161849710982659,0.6204819277108434,,,,,,,,
FIREFLY MILES light-weighted,Satellite,RG4,morphology4,176,166,0.031003715466407754,-0.000735327473209776,0.062038620869808006,0.006647038488073797,-0.025992417869781407,0.03641597897443609,0.02435667697833396,0.009049581644737958,0.04229354164322676,,,,,0.5,0.23493975903614459,0.38636363636363635,0.6204819277108434,0.03409090909090909,0.0783132530120482,0.07954545454545454,0.06626506024096386
FIREFLY MILES light-weighted,Satellite,Control4C,sf_state,173,1961,0.0007941413623393394,-0.019959572242751203,0.021313046030702956,-0.004398951916310938,-0.02508424287316532,0.016110930791604507,0.005193093278650282,-0.0005022460068184999,0.011515218365324903,0.5838150289017341,0.5165731769505354,0.4161849710982659,0.48342682304946455,,,,,,,,
FIREFLY MILES light-weighted,Satellite,Control4C,morphology4,176,1978,0.002724334035859554,-0.01914052818302789,0.02287037549896665,-0.006393108856231444,-0.02719526835094954,0.013568587445235094,0.009117442892091003,0.004277188512207167,0.014392378420802501,,,,,0.5,0.35591506572295245,0.38636363636363635,0.5197168857431749,0.03409090909090909,0.06319514661274014,0.07954545454545454,0.06117290192113246
