product,role,control,subset,n_CG4,n_control,groups_CG4,groups_control,degree,m0,is_CG4_beta,is_CG4_se,is_CG4_ci68_lo,is_CG4_ci68_hi,is_CG4_ci95_lo,is_CG4_ci95_hi,n_boot,beta,se,ci68_lo,ci68_hi,ci95_lo,ci95_hi
FIREFLY MILES light-weighted,Satellite,Control4C,all,176,1978,62.0,699.0,1.0,10.2,0.002711487495860417,0.010695332706432787,-0.00824114795719449,0.013213005260816783,-0.018261896006575035,0.023764477166360584,2000.0,0.002711487495860417,0.010695332706432787,-0.00824114795719449,0.013213005260816783,-0.018261896006575035,0.023764477166360584
FIREFLY MILES light-weighted,Satellite,Control4C,SF=Quenched,101,1013,57.0,576.0,1.0,10.2,-0.014041753560803671,0.013922153844765552,-0.028092389595248006,-0.0003703806099667455,-0.0424062950212619,0.011405243643312666,2000.0,-0.014041753560803671,0.013922153844765552,-0.028092389595248006,-0.0003703806099667455,-0.0424062950212619,0.011405243643312666
FIREFLY MILES light-weighted,Satellite,Control4C,SF=Starforming,72,948,47.0,539.0,1.0,10.2,0.007228880948573172,0.017380522034202487,-0.010465649757906188,0.02418294712128011,-0.02633797836225081,0.04201046492421796,2000.0,0.007228880948573172,0.017380522034202487,-0.010465649757906188,0.02418294712128011,-0.02633797836225081,0.04201046492421796
FIREFLY MILES light-weighted,Satellite,Control4C,morph=Elliptical,88,704,52.0,467.0,1.0,10.2,-0.02129837698588001,0.014606138307807002,-0.035754437599646235,-0.006673943000580841,-0.05075535141657328,0.007753495422346761,2000.0,-0.02129837698588001,0.014606138307807002,-0.035754437599646235,-0.006673943000580841,-0.05075535141657328,0.007753495422346761
FIREFLY MILES light-weighted,Satellite,Control4C,morph=Spiral,68,1028,46.0,572.0,1.0,10.2,0.018037077722443628,0.012635868159783775,0.005545937885969176,0.030866499925311826,-0.007353978069811072,0.04360863128507831,2000.0,0.018037077722443628,0.012635868159783775,0.005545937885969176,0.030866499925311826,-0.007353978069811072,0.04360863128507831
FIREFLY MILES light-weighted,Satellite,Control4C,morph=Uncertain,6,125,6.0,114.0,1.0,10.2,-0.05270305588183651,0.09651514873387865,-0.14979430041586272,0.04166791401562846,-0.24657662122867713,0.13066219019060768,2000.0,-0.05270305588183651,0.09651514873387865,-0.14979430041586272,0.04166791401562846,-0.24657662122867713,0.13066219019060768
FIREFLY MILES light-weighted,Satellite,Control4C,Quenched&Elliptical,74,589,48.0,415.0,1.0,10.2,-0.030588368371235245,0.015630525713494894,-0.04548393405044865,-0.01541818589328495,-0.061841987661886706,-0.00039526184939126733,2000.0,-0.030588368371235245,0.015630525713494894,-0.04548393405044865,-0.01541818589328495,-0.061841987661886706,-0.00039526184939126733
FIREFLY MILES light-weighted,Satellite,Control4C,Quenched&Spiral,20,287,16.0,244.0,1.0,10.2,0.014748714381615955,0.023024612404423196,-0.007870502666773905,0.03774000364471143,-0.033056354837445415,0.059207066884452195,2000.0,0.014748714381615955,0.023024612404423196,-0.007870502666773905,0.03774000364471143,-0.033056354837445415,0.059207066884452195
FIREFLY MILES light-weighted,Satellite,Control4C,Starforming&Elliptical,11,109,11.0,102.0,1.0,10.2,-0.01359921300180835,0.03908268830934884,-0.052071435269762725,0.027059974811737927,-0.08615777278724497,0.06581824316613677,2000.0,-0.01359921300180835,0.03908268830934884,-0.052071435269762725,0.027059974811737927,-0.08615777278724497,0.06581824316613677
FIREFLY MILES light-weighted,Satellite,Control4C,Starforming&Spiral,48,739,37.0,469.0,1.0,10.2,0.017175789074732998,0.016996228046906942,0.0006409945197593696,0.03375421181381124,-0.014447609453176895,0.049275599967306634,2000.0,0.017175789074732998,0.016996228046906942,0.0006409945197593696,0.03375421181381124,-0.014447609453176895,0.049275599967306634
FIREFLY MILES light-weighted,BGG,RG4,all,57,53,57.0,53.0,1.0,11.1,0.016469141966033118,0.0239090657880674,-0.011648795842912242,0.038426734404957745,-0.03358678214339208,0.062250528510942836,2000.0,0.016469141966033118,0.0239090657880674,-0.011648795842912242,0.038426734404957745,-0.03358678214339208,0.062250528510942836
FIREFLY MILES light-weighted,BGG,RG4,SF=Quenched,45,38,45.0,38.0,1.0,11.1,0.03944274116749269,0.020143657057716716,0.019446489943153025,0.059503233594066667,-5.815891405303594e-05,0.0775805851381451,2000.0,0.03944274116749269,0.020143657057716716,0.019446489943153025,0.059503233594066667,-5.815891405303594e-05,0.0775805851381451
FIREFLY MILES light-weighted,BGG,RG4,SF=Starforming,11,15,11.0,15.0,1.0,11.1,-0.029297411411472817,0.04998341125902824,-0.0792900388421905,0.016503611335803327,-0.12270502404402693,0.06316920123252473,2000.0,-0.029297411411472817,0.04998341125902824,-0.0792900388421905,0.016503611335803327,-0.12270502404402693,0.06316920123252473
FIREFLY MILES light-weighted,BGG,RG4,morph=Elliptical,36,21,36.0,21.0,1.0,11.1,0.03655584547595896,0.025311902245185418,0.013813022995942349,0.06350420561187381,-0.0086810752170249,0.08784570393191361,2000.0,0.03655584547595896,0.025311902245185418,0.013813022995942349,0.06350420561187381,-0.0086810752170249,0.08784570393191361
FIREFLY MILES light-weighted,BGG,RG4,morph=Spiral,17,26,17.0,26.0,1.0,11.1,-0.04453424618870854,0.03807647771388276,-0.08165742861077538,-0.006580569523188572,-0.11795459633553636,0.030527153314504635,2000.0,-0.04453424618870854,0.03807647771388276,-0.08165742861077538,-0.006580569523188572,-0.11795459633553636,0.030527153314504635
FIREFLY MILES light-weighted,BGG,RG4,morph=Uncertain,1,2,,,,,,,,,,,,,,,,,
