age_product,role,control,subset,n_CG4,n_control,groups_CG4,groups_control,degree,m0,is_CG4_beta,is_CG4_se,is_CG4_ci68_lo,is_CG4_ci68_hi,is_CG4_ci95_lo,is_CG4_ci95_hi,n_boot,beta,se,ci68_lo,ci68_hi,ci95_lo,ci95_hi,estimate,x_SF_beta,x_SF_se,x_SF_ci68_lo,x_SF_ci68_hi,x_SF_ci95_lo,x_SF_ci95_hi,D4000n_beta,D4000n_se,D4000n_ci68_lo,D4000n_ci68_hi,D4000n_ci95_lo,D4000n_ci95_hi,sSFR_beta,sSFR_se,sSFR_ci68_lo,sSFR_ci68_hi,sSFR_ci95_lo,sSFR_ci95_hi
FIREFLY MILES light-weighted age,Satellite,Control4C,all,176,1978,62,699,1,10.2,0.03536488646228666,0.01836887382089381,0.01810497750180274,0.05339979095080815,-5.688525636155173e-05,0.06885438649049963,2000,0.03536488646228666,0.01836887382089381,0.01810497750180274,0.05339979095080815,-5.688525636155173e-05,0.06885438649049963,"+0.035 [-0.000, +0.069]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,Satellite,Control4C,SF=Quenched,101,1013,57,576,1,10.2,0.036382025554956524,0.017635835699517925,0.01918844399628267,0.05315838952257575,5.1874855376319144e-05,0.06962540833224931,2000,0.036382025554956524,0.017635835699517925,0.01918844399628267,0.05315838952257575,5.1874855376319144e-05,0.06962540833224931,"+0.036 [+0.000, +0.070]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,Satellite,Control4C,SF=Starforming,72,948,47,539,1,10.2,0.01825774193897399,0.03508493820918098,-0.01670219135021232,0.05092990340623085,-0.05773028688889812,0.0785026785838586,2000,0.01825774193897399,0.03508493820918098,-0.01670219135021232,0.05092990340623085,-0.05773028688889812,0.0785026785838586,"+0.018 [-0.058, +0.079]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,Satellite,Control4C,morph=Elliptical,88,704,52,467,1,10.2,0.032582346676597304,0.021637691181233636,0.012030082117932708,0.05489709725347627,-0.01305433621389165,0.07430634972128208,2000,0.032582346676597304,0.021637691181233636,0.012030082117932708,0.05489709725347627,-0.01305433621389165,0.07430634972128208,"+0.033 [-0.013, +0.074]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,Satellite,Control4C,morph=Spiral,68,1028,46,572,1,10.2,0.01927494299274616,0.02707008552416093,-0.007086229505174106,0.044310257861317495,-0.03285476641082703,0.06886567389656469,2000,0.01927494299274616,0.02707008552416093,-0.007086229505174106,0.044310257861317495,-0.03285476641082703,0.06886567389656469,"+0.019 [-0.033, +0.069]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,Satellite,Control4C,all +SF state,173,1961,61,698,1,10.2,0.027232843826514787,0.017594090516424257,0.00961865437397234,0.04436711884454991,-0.007661554996716831,0.059674859631478595,2000,0.027232843826514787,0.017594090516424257,0.00961865437397234,0.04436711884454991,-0.007661554996716831,0.059674859631478595,"+0.027 [-0.008, +0.060]",-0.12294856761337013,0.01075756136936911,-0.133031530138681,-0.11212724386969398,-0.1425809306124167,-0.10255621306969506,,,,,,,,,,,,
FIREFLY MILES light-weighted age,Satellite,Control4C,all +D4000n,176,1978,62,699,1,10.2,0.02689289761520644,0.016739408055352942,0.010103362254939149,0.04438773766000671,-0.0064424440029487925,0.061013840724137486,2000,0.02689289761520644,0.016739408055352942,0.010103362254939149,0.04438773766000671,-0.0064424440029487925,0.061013840724137486,"+0.027 [-0.006, +0.061]",,,,,,,0.3455469137453939,0.02371914367485051,0.3222613545833149,0.36944524061802764,0.2992554704761242,0.3919729791464023,,,,,,
FIREFLY MILES light-weighted age,Satellite,Control4C,all +sSFR,173,1961,61,698,1,10.2,0.025888857107121147,0.01765646808131743,0.007011731117098962,0.04304461214582611,-0.01020087116136553,0.057990320151305876,2000,0.025888857107121147,0.01765646808131743,0.007011731117098962,0.04304461214582611,-0.01020087116136553,0.057990320151305876,"+0.026 [-0.010, +0.058]",,,,,,,,,,,,,-0.07948216524241628,0.006602390094395367,-0.08580662906887619,-0.07315360121994118,-0.09239690646209366,-0.06694362975663609
FIREFLY MILES light-weighted age,Satellite,RG4,all,176,166,62,56,1,10.2,0.04526562583526226,0.02551053962531578,0.020635474809295225,0.06928921087869612,-0.005583781741355597,0.09458517033099623,2000,0.04526562583526226,0.02551053962531578,0.020635474809295225,0.06928921087869612,-0.005583781741355597,0.09458517033099623,"+0.045 [-0.006, +0.095]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,Satellite,RG4,SF=Quenched,101,63,57,37,1,10.2,0.08451739402606011,0.03129785459650195,0.052440837220395706,0.11650075137589976,0.023410579107223443,0.1471470178880764,2000,0.08451739402606011,0.03129785459650195,0.052440837220395706,0.11650075137589976,0.023410579107223443,0.1471470178880764,"+0.085 [+0.023, +0.147]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,Satellite,RG4,SF=Starforming,72,103,47,52,1,10.2,-0.016308337929126573,0.041198989844298206,-0.05504091074590096,0.025612988643147202,-0.09695434248457682,0.06575390794265233,2000,-0.016308337929126573,0.041198989844298206,-0.05504091074590096,0.025612988643147202,-0.09695434248457682,0.06575390794265233,"-0.016 [-0.097, +0.066]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,Satellite,RG4,morph=Elliptical,88,39,52,31,1,10.2,0.0993046111204359,0.03714372490200606,0.06172481840788801,0.135835512799537,0.023820172161108117,0.16946430881291316,2000,0.0993046111204359,0.03714372490200606,0.06172481840788801,0.135835512799537,0.023820172161108117,0.16946430881291316,"+0.099 [+0.024, +0.169]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,Satellite,RG4,morph=Spiral,68,103,46,53,1,10.2,0.004768660579119219,0.03454550250789997,-0.030490156320575446,0.03677150357373179,-0.06328200303756382,0.0683675802008519,2000,0.004768660579119219,0.03454550250789997,-0.030490156320575446,0.03677150357373179,-0.06328200303756382,0.0683675802008519,"+0.005 [-0.063, +0.068]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,Satellite,RG4,all +SF state,173,166,61,56,1,10.2,0.03199734382233961,0.025996506548258774,0.0064082285183885,0.05975377038760535,-0.017572362900565283,0.08266455251815794,2000,0.03199734382233961,0.025996506548258774,0.0064082285183885,0.05975377038760535,-0.017572362900565283,0.08266455251815794,"+0.032 [-0.018, +0.083]",-0.10070075193635712,0.031003176462472058,-0.1307491319357174,-0.06879522491449143,-0.15845656074689368,-0.0401698138572423,,,,,,,,,,,,
FIREFLY MILES light-weighted age,Satellite,RG4,all +D4000n,176,166,62,56,1,10.2,0.029237039143802813,0.025257952577246893,0.004147919841808538,0.05376850684172926,-0.02117717510742594,0.07640922803753646,2000,0.029237039143802813,0.025257952577246893,0.004147919841808538,0.05376850684172926,-0.02117717510742594,0.07640922803753646,"+0.029 [-0.021, +0.076]",,,,,,,0.2865738813997372,0.06491149683788092,0.22568668202450726,0.3510147785674117,0.1636108541368148,0.41376097107746496,,,,,,
FIREFLY MILES light-weighted age,Satellite,RG4,all +sSFR,173,166,61,56,1,10.2,0.029038945700636965,0.0260873027178084,0.0020701928112754086,0.05395848829001313,-0.02323530056585361,0.07870215069652917,2000,0.029038945700636965,0.0260873027178084,0.0020701928112754086,0.05395848829001313,-0.02323530056585361,0.07870215069652917,"+0.029 [-0.023, +0.079]",,,,,,,,,,,,,-0.071557314038202,0.020424711723235886,-0.09257016865248989,-0.0514655365476225,-0.11091816217120659,-0.03076746351639302
FIREFLY MILES light-weighted age,BGG,Control4C,all,57,648,57,648,1,11.1,0.00858865536740434,0.019044219345097344,-0.01068505074936131,0.02721515744132393,-0.02864112799685088,0.0450728936463635,2000,0.00858865536740434,0.019044219345097344,-0.01068505074936131,0.02721515744132393,-0.02864112799685088,0.0450728936463635,"+0.009 [-0.029, +0.045]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,BGG,Control4C,SF=Quenched,45,532,45,532,1,11.1,0.012596514864046095,0.020519163012990484,-0.008016536925767644,0.03277026856921019,-0.026360579778669575,0.053184025939515746,2000,0.012596514864046095,0.020519163012990484,-0.008016536925767644,0.03277026856921019,-0.026360579778669575,0.053184025939515746,"+0.013 [-0.026, +0.053]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,BGG,Control4C,SF=Starforming,11,106,11,106,1,11.1,0.029603020747861485,0.04994830379097274,-0.01903963974616239,0.08084765902158869,-0.0661455374858541,0.12085901401951292,2000,0.029603020747861485,0.04994830379097274,-0.01903963974616239,0.08084765902158869,-0.0661455374858541,0.12085901401951292,"+0.030 [-0.066, +0.121]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,BGG,Control4C,morph=Elliptical,36,404,36,404,1,11.1,0.005719165550833968,0.02409870961469543,-0.018660619213186434,0.029798273303714134,-0.04233171774298482,0.05149392837073195,2000,0.005719165550833968,0.02409870961469543,-0.018660619213186434,0.029798273303714134,-0.04233171774298482,0.05149392837073195,"+0.006 [-0.042, +0.051]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,BGG,Control4C,morph=Spiral,17,194,17,194,1,11.1,0.04628747360510352,0.030515068785619055,0.014960995685797902,0.07648374669273661,-0.011133660627959717,0.10832071480088407,2000,0.04628747360510352,0.030515068785619055,0.014960995685797902,0.07648374669273661,-0.011133660627959717,0.10832071480088407,"+0.046 [-0.011, +0.108]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,BGG,Control4C,all +SF state,56,638,56,638,1,11.1,0.015989082434317344,0.01919349249823754,-0.0032697148838699923,0.0353243863154853,-0.0208429101064001,0.05293803591264161,2000,0.015989082434317344,0.01919349249823754,-0.0032697148838699923,0.0353243863154853,-0.0208429101064001,0.05293803591264161,"+0.016 [-0.021, +0.053]",-0.08952521436013382,0.019513192784740882,-0.10855859451153527,-0.0680761534890785,-0.12866952217240038,-0.05093676193648524,,,,,,,,,,,,
FIREFLY MILES light-weighted age,BGG,Control4C,all +D4000n,57,647,57,647,1,11.1,0.012028583710092055,0.018445546993446197,-0.006019695224044084,0.03070368229924178,-0.0233868847044964,0.04781271351829235,2000,0.012028583710092055,0.018445546993446197,-0.006019695224044084,0.03070368229924178,-0.0233868847044964,0.04781271351829235,"+0.012 [-0.023, +0.048]",,,,,,,0.33973168010930516,0.03832762318169552,0.3004541520059283,0.37761065560698853,0.26649276610588624,0.41266827200498724,,,,,,
FIREFLY MILES light-weighted age,BGG,Control4C,all +sSFR,56,638,56,638,1,11.1,0.01245453096232542,0.019414693485352942,-0.0068629853897211705,0.031967836186243215,-0.025960207329054786,0.04971803731437187,2000,0.01245453096232542,0.019414693485352942,-0.0068629853897211705,0.031967836186243215,-0.025960207329054786,0.04971803731437187,"+0.012 [-0.026, +0.050]",,,,,,,,,,,,,-0.0677395277850973,0.010868184313694343,-0.0780699250986649,-0.05594392401168518,-0.0899936449232892,-0.0459838042219592
FIREFLY MILES light-weighted age,BGG,RG4,all,57,53,57,53,1,11.1,-0.028003124535926315,0.0270772563782783,-0.05766943549922528,-0.004465583321816499,-0.08412298251724365,0.023099776262405013,2000,-0.028003124535926315,0.0270772563782783,-0.05766943549922528,-0.004465583321816499,-0.08412298251724365,0.023099776262405013,"-0.028 [-0.084, +0.023]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,BGG,RG4,SF=Quenched,45,38,45,38,1,11.1,-0.03203705420102164,0.03030893308693794,-0.0626723396639561,-0.0012955012419608258,-0.0929114530995737,0.026922013594705172,2000,-0.03203705420102164,0.03030893308693794,-0.0626723396639561,-0.0012955012419608258,-0.0929114530995737,0.026922013594705172,"-0.032 [-0.093, +0.027]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,BGG,RG4,SF=Starforming,11,15,11,15,1,11.1,-0.043091981074902835,0.07076169738427567,-0.11679812018142392,0.021013527079190263,-0.1759062181106108,0.09385632753729287,2000,-0.043091981074902835,0.07076169738427567,-0.11679812018142392,0.021013527079190263,-0.1759062181106108,0.09385632753729287,"-0.043 [-0.176, +0.094]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,BGG,RG4,morph=Elliptical,36,21,36,21,1,11.1,-0.03360708308512788,0.039016681981710974,-0.07024208868893442,0.004398059878788743,-0.1071587122385878,0.044613785909139385,2000,-0.03360708308512788,0.039016681981710974,-0.07024208868893442,0.004398059878788743,-0.1071587122385878,0.044613785909139385,"-0.034 [-0.107, +0.045]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,BGG,RG4,morph=Spiral,17,26,17,26,1,11.1,-0.007526205558943039,0.03720094851285927,-0.041829400607314986,0.02978437960634031,-0.08019914866257234,0.06341912136652385,2000,-0.007526205558943039,0.03720094851285927,-0.041829400607314986,0.02978437960634031,-0.08019914866257234,0.06341912136652385,"-0.008 [-0.080, +0.063]",,,,,,,,,,,,,,,,,,
FIREFLY MILES light-weighted age,BGG,RG4,all +SF state,56,53,56,53,1,11.1,-0.027496195602572198,0.028098010878536035,-0.057811282579992074,-0.0024692603560465686,-0.08492000095384729,0.02350588588221478,2000,-0.027496195602572198,0.028098010878536035,-0.057811282579992074,-0.0024692603560465686,-0.08492000095384729,0.02350588588221478,"-0.027 [-0.085, +0.024]",-0.014537633884167267,0.04081025419849715,-0.051223520319298096,0.02798631674157667,-0.09576534601886724,0.06794101173748152,,,,,,,,,,,,
FIREFLY MILES light-weighted age,BGG,RG4,all +D4000n,57,53,57,53,1,11.1,-0.028716625030868293,0.026508272455131317,-0.05564758058455128,-0.00434219308296318,-0.08217006736007372,0.0217419827205572,2000,-0.028716625030868293,0.026508272455131317,-0.05564758058455128,-0.00434219308296318,-0.08217006736007372,0.0217419827205572,"-0.029 [-0.082, +0.022]",,,,,,,0.18136002131308487,0.07573265511557314,0.10383075927065946,0.2555467802300314,0.0303014532783538,0.33335967859811183,,,,,,
FIREFLY MILES light-weighted age,BGG,RG4,all +sSFR,56,53,56,53,1,11.1,-0.03107929598964738,0.027204324322041267,-0.06188852093159727,-0.00759940017201681,-0.0876121243661513,0.02109792408639702,2000,-0.03107929598964738,0.027204324322041267,-0.06188852093159727,-0.00759940017201681,-0.0876121243661513,0.02109792408639702,"-0.031 [-0.088, +0.021]",,,,,,,,,,,,,-0.02904906960146668,0.019493625139236425,-0.04690876655918669,-0.0061925640360372975,-0.06722424153852478,0.015525962372271008
FIREFLY MILES mass-weighted age,Satellite,Control4C,all,176,1978,62,699,1,10.2,0.03601610801059557,0.01503973370025706,0.021855413571302065,0.05094687153626478,0.006611025665226573,0.06416494807164096,2000,0.03601610801059557,0.01503973370025706,0.021855413571302065,0.05094687153626478,0.006611025665226573,0.06416494807164096,"+0.036 [+0.007, +0.064]",,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,Satellite,Control4C,SF=Quenched,101,1013,57,576,1,10.2,0.027817907484603045,0.015439413929696793,0.012802628373227844,0.04253370512269826,-0.0025200770733576554,0.05685615439202152,2000,0.027817907484603045,0.015439413929696793,0.012802628373227844,0.04253370512269826,-0.0025200770733576554,0.05685615439202152,"+0.028 [-0.003, +0.057]",,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,Satellite,Control4C,SF=Starforming,72,948,47,539,1,10.2,0.041768632738997835,0.028619902547742083,0.01261066840222419,0.06770937484601632,-0.020231746274604064,0.09449936177013409,2000,0.041768632738997835,0.028619902547742083,0.01261066840222419,0.06770937484601632,-0.020231746274604064,0.09449936177013409,"+0.042 [-0.020, +0.094]",,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,Satellite,Control4C,morph=Elliptical,88,704,52,467,1,10.2,0.02908708341319477,0.017451211042269932,0.012329123989584778,0.046154359552975345,-0.006976931083258218,0.06247610456075875,2000,0.02908708341319477,0.017451211042269932,0.012329123989584778,0.046154359552975345,-0.006976931083258218,0.06247610456075875,"+0.029 [-0.007, +0.062]",,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,Satellite,Control4C,morph=Spiral,68,1028,46,572,1,10.2,0.020831361180576442,0.023399300864442415,-0.001168984468278645,0.043741413726021965,-0.024355366924324832,0.06531967670339969,2000,0.020831361180576442,0.023399300864442415,-0.001168984468278645,0.043741413726021965,-0.024355366924324832,0.06531967670339969,"+0.021 [-0.024, +0.065]",,,,,,,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,Satellite,Control4C,all +SF state,173,1961,61,698,1,10.2,0.03349591643394008,0.0150802744175152,0.01871924860180971,0.048944510389049796,0.0024334585074007463,0.06194989272344388,2000,0.03349591643394008,0.0150802744175152,0.01871924860180971,0.048944510389049796,0.0024334585074007463,0.06194989272344388,"+0.033 [+0.002, +0.062]",-0.047610971716340614,0.009427505873996522,-0.057044346259477914,-0.03835257275957081,-0.06636240303590335,-0.029980347843499795,,,,,,,,,,,,
FIREFLY MILES mass-weighted age,Satellite,Control4C,all +D4000n,176,1978,62,699,1,10.2,0.03239249030822335,0.014846324375737501,0.017995597284050185,0.046801112003934005,0.002859015574573547,0.060372559589921215,2000,0.03239249030822335,0.014846324375737501,0.017995597284050185,0.046801112003934005,0.002859015574573547,0.060372559589921215,"+0.032 [+0.003, +0.060]",,,,,,,0.14779645443933268,0.020283571683983613,0.12590222832009265,0.1682012886796556,0.10762006809881923,0.18817654262516045,,,,,,
