objid,sample,group_uid,role,lgm,ff_miles_lw_logz,resid_deg1,resid_deg2,sf_state,morphology4,control
1237668336860200991,Control4C,Lim:4816,BGG,11.12207,0.09524713375865783,-0.08815100087121912,-0.08672286781465179,Quenched,Elliptical,Control4C
1237671128591761538,Control4C,Lim:4850,BGG,11.20328,0.210659559924703,0.01769877091176944,0.01468281417688197,Quenched,Elliptical,Control4C
1237667783386399001,Control4C,Lim:4855,BGG,11.35344,0.3003078152646575,0.08966535918904922,0.07683097191872032,Quenched,Elliptical,Control4C
1237665532798763287,Control4C,Lim:4871,BGG,11.3109,0.18878060169439917,-0.01685267672506774,-0.026694533058945147,Quenched,Elliptical,Control4C
1237657401347407877,Control4C,Lim:4905,BGG,11.1873,0.21946008747208545,0.028380978265102386,0.026287541356565552,Starforming,Elliptical,Control4C
1237664130481651748,Control4C,Lim:4912,BGG,11.19802,0.12003830018504674,-0.07230311237110959,-0.07501281245339642,Quenched,Spiral,Control4C
1237657770705289289,Control4C,Lim:4953,BGG,11.10837,0.09292160846959709,-0.08886332132038481,-0.08674540198726578,Quenched,Elliptical,Control4C
1237667429548228801,Control4C,Lim:4956,BGG,11.10715,0.18313426568763896,0.0014929935549324036,0.003671500226783031,Quenched,Spiral,Control4C
1237654399152750671,Control4C,Lim:4961,BGG,11.00744,0.18878060169439917,0.018880399239498163,0.025546877463223455,NosSFR,Elliptical,Control4C
1237661136887939142,Control4C,Lim:4967,BGG,11.13398,0.19619691789081167,0.011396354819829035,0.012210769889565931,Quenched,Elliptical,Control4C
1237662262178807906,Control4C,Lim:4977,BGG,11.18784,0.05135398835050857,-0.13978870703264545,-0.14191293370224983,Quenched,Spiral,Control4C
1237662267539128450,Control4C,Lim:5025,BGG,11.07921,0.17741355266189243,-0.0009377236148528645,0.0025907843859968027,Quenched,Elliptical,Control4C
1237665023836815484,Control4C,Lim:5050,BGG,11.2948,0.17741355266189243,-0.02632391569025258,-0.0350767072705421,Quenched,Elliptical,Control4C
1237661388148244492,Control4C,Lim:5055,BGG,11.07534,0.20167700383058246,0.023781428483062916,0.02749125318495349,Quenched,Elliptical,Control4C
1237667431181713461,Control4C,Lim:5064,BGG,11.01335,0.210659559924703,0.04006344209726331,0.04648945817727723,Quenched,Elliptical,Control4C
