sample,n,groups,mean_residual_vs_C4C_env_model,ci95_lo,ci95_hi,median_core_size_kpc,median_group_Vdisp
CG4,176,62,-0.01315281553720853,-0.037501783665800856,0.011169720829888338,153.59603403805036,163.05321918207693
RG4,166,56,-0.02681694799949243,-0.053580238835550915,-0.0008538147560755378,458.8814823011243,98.46851953911724
Control4B,1976,695,0.0035249576492618674,-0.00744146326654187,0.014608700145931299,478.58838826074174,139.152936420662
Control4C,1978,699,-9.878627519414941e-18,-0.010304892641892873,0.010561663267126337,315.33121972646006,150.36805059179758
