dropped_objid,beta,se,ci95_lo,ci95_hi,n_CG4
none,-0.08275759333689992,0.03359943488732559,-0.14522681474394827,-0.020543906061067912,11
1237661382235652124,-0.06495487019570662,0.031364040755817606,-0.12059271251996054,-0.00979886942876593,10
1237665534931894451,-0.0704185928541446,0.03428454924052653,-0.13846967849471084,0.003902029009878762,10
1237655108898979844,-0.07469676027978765,0.0355843930228735,-0.14740382848572542,-0.0008908816887574758,10
1237661811196624933,-0.07559171457622642,0.03603674116774614,-0.1515655663052317,-0.0145244556609933,10
1237648722841043066,-0.07911445021873025,0.03640976539507816,-0.1475683521475965,-0.01085662576141284,10
1237653664714391702,-0.08291971188470615,0.0366476736885533,-0.15572433789830897,-0.018027351205674762,10
1237667783918026937,-0.08306594214467612,0.036617046063776665,-0.15321791177840138,-0.015181226804238933,10
1237662302453039177,-0.09213058613003224,0.035230924671165266,-0.16711467497167734,-0.028498077444650365,10
1237658312939798567,-0.09395048102993317,0.03462753795972486,-0.15819480977183706,-0.02159365710363797,10
1237664819818987529,-0.09622856991000907,0.033704947496607636,-0.16018170090392952,-0.02211613149816588,10
1237662198284157184,-0.09701232010795742,0.03333209321858773,-0.15979275164948123,-0.03196319454441011,10
two lowest residuals,-0.049278413304346465,0.030231508250460275,-0.10294026451495254,0.007852273139233583,9
