role,control,n_CG4,n_control,firefly_same_objects,gallazzi_same_objects,gallazzi_minus_firefly_same_objects,firefly_full_sample,firefly_not_in_gallazzi,ff_beta,ff_se,ff_ci95_lo,ff_ci95_hi,gal_beta,gal_se,gal_ci95_lo,gal_ci95_hi,diff_beta,diff_se,diff_ci95_lo,diff_ci95_hi,ff_full_beta,ff_notgal_beta
Satellite,Control4C,63,545,"-0.025 [-0.063, +0.010]","+0.014 [-0.051, +0.072]","+0.039 [-0.023, +0.097]","+0.003 [-0.018, +0.022] (N=176+1978)","+0.016 [-0.011, +0.043] (N=113+1433)",-0.02464890283807151,0.017934914252963344,-0.06275000862621333,0.009521577689039757,0.014369187980479267,0.0320457593801757,-0.05074700987270613,0.0724650731244444,0.0390180908185507,0.030996989857372387,-0.02319418428405688,0.09652509329606075,0.002711487495860389,0.01607954263910694
Satellite,RG4,63,43,"-0.015 [-0.056, +0.029]","+0.032 [-0.050, +0.123]","+0.048 [-0.042, +0.139]","+0.033 [+0.003, +0.064] (N=176+166)","+0.054 [+0.015, +0.094] (N=113+123)",-0.015252829717455044,0.021887527768614037,-0.055694791656251366,0.02887091036046415,0.03229680374525457,0.04655893887859923,-0.04999051409830893,0.12323549478633425,0.04754963346270962,0.047189446477480836,-0.04153020661444481,0.13860945382718842,0.03322450717764078,0.054351742670683253
Satellite,Control4B,63,626,"-0.025 [-0.063, +0.011]","+0.021 [-0.048, +0.080]","+0.046 [-0.019, +0.104]","+0.011 [-0.011, +0.032] (N=176+1976)","+0.028 [-0.001, +0.055] (N=113+1350)",-0.024875501367228228,0.018487573452877503,-0.06321250815200621,0.01140677521178167,0.02062993376282234,0.03293617617459837,-0.04788193053380094,0.08018788106619461,0.04550543513005039,0.03119737923909817,-0.019264691384103208,0.1043029251078268,0.011096128828485728,0.028153910395046455
BGG,Control4C,27,279,"-0.035 [-0.084, +0.013]","-0.067 [-0.154, +0.002]","-0.032 [-0.089, +0.019]","-0.015 [-0.045, +0.014] (N=57+648)","+0.000 [-0.032, +0.030] (N=30+369)",-0.03454040940645554,0.025055462589487813,-0.08375836702963228,0.013012525286059857,-0.06689308963618017,0.039001984771574516,-0.15412360058322455,0.002007928525911049,-0.03235268022972458,0.029053693770053565,-0.08862204152639236,0.01920392083677603,-0.015102067592141317,0.000193300739846569
BGG,RG4,27,30,"-0.002 [-0.066, +0.069]","-0.059 [-0.153, +0.028]","-0.057 [-0.130, +0.009]","+0.016 [-0.034, +0.063] (N=57+53)","+0.034 [-0.043, +0.102] (N=30+23)",-0.0021974144115510905,0.03399953349639158,-0.06594828435199039,0.06943659933485227,-0.0593166746220096,0.04700023563594425,-0.15275349102672453,0.027524710526862877,-0.05711926021045853,0.03467730067903825,-0.12950252583941538,0.008847444703014726,0.01646914196603313,0.034440681517207535
BGG,Control4B,27,278,"-0.035 [-0.084, +0.014]","-0.067 [-0.147, +0.000]","-0.032 [-0.091, +0.023]","-0.015 [-0.045, +0.012] (N=57+644)","+0.000 [-0.032, +0.030] (N=30+366)",-0.03459704262253999,0.025058822822806567,-0.08371138224854528,0.014064572837493594,-0.06693506376630165,0.03900539026492731,-0.1472273192664288,0.00014972961344496407,-0.03233802114376158,0.029059242134539694,-0.09133771345792047,0.022560437437343983,-0.014977809273766898,0.00038973125723205064
