control,match,covariate,before,after,median_cg4,median_control
Control4B,with_sigma_v,z_group,0.1422816662621913,-0.08359104780734963,0.036163902625,0.03823649775
Control4B,with_sigma_v,logMstar_bgg,0.11484770056933048,0.13334270760147698,11.11993,11.077639999999999
Control4B,with_sigma_v,log_group_luminosity,-0.41223393053972807,0.134928336737118,10.983360939761315,10.986726380927646
Control4B,with_sigma_v,velocity_dispersion,0.19617051277993816,0.17146781551430662,160.40352377067745,146.20698168202875
Control4B,with_sigma_v,mean_sat_logMstar,-0.6181699676547215,0.005460219242747405,10.208630666666666,10.251899333333334
Control4B,without_sigma_v,z_group,0.1422816662621913,0.24595730883919262,0.036163902625,0.0340888835
Control4B,without_sigma_v,logMstar_bgg,0.11484770056933048,0.033023212989211966,11.11993,11.11108
Control4B,without_sigma_v,log_group_luminosity,-0.41223393053972807,0.06429084904551237,10.983360939761315,10.961569443362327
Control4B,without_sigma_v,velocity_dispersion,0.19617051277993816,0.268895401595065,160.40352377067745,128.66849108966503
Control4B,without_sigma_v,mean_sat_logMstar,-0.6181699676547215,0.015517878880153638,10.208630666666666,10.248653166666667
Control4C,with_sigma_v,z_group,0.15144413497186435,-0.07654862956096087,0.036163902625,0.03656611037499995
Control4C,with_sigma_v,logMstar_bgg,0.11695569128951569,0.060981282116882765,11.11993,11.110365
Control4C,with_sigma_v,log_group_luminosity,0.02298126066488966,-0.06674792349755237,10.983360939761315,11.030400965361618
Control4C,with_sigma_v,velocity_dispersion,0.02861499468979612,-0.010408740322963458,160.40352377067745,151.2200943523215
Control4C,with_sigma_v,mean_sat_logMstar,0.055107707379132606,0.0865597253055219,10.208630666666666,10.203117666666667
Control4C,without_sigma_v,z_group,0.15144413497186435,0.05827915589431408,0.036163902625,0.0356919675
Control4C,without_sigma_v,logMstar_bgg,0.11695569128951569,-0.10526159408309337,11.11993,11.121
Control4C,without_sigma_v,log_group_luminosity,0.02298126066488966,-0.053408488041622106,10.983360939761315,11.027548180754955
Control4C,without_sigma_v,velocity_dispersion,0.02861499468979612,-0.10904249307427216,160.40352377067745,143.04038805903036
Control4C,without_sigma_v,mean_sat_logMstar,0.055107707379132606,-0.05072495470672657,10.208630666666666,10.26141
RG4,with_sigma_v,z_group,-0.5002199761697065,0.0696569110544369,0.03734792599999995,0.037927597874999996
RG4,with_sigma_v,logMstar_bgg,0.7256554032095724,0.009376801276291407,11.064015,11.042295
RG4,with_sigma_v,log_group_luminosity,0.6713058745090491,-0.24698597889552448,10.944248150260385,10.988717094492198
RG4,with_sigma_v,velocity_dispersion,0.7147166807070063,0.19896867503284102,129.85948401605955,106.82123704847253
RG4,with_sigma_v,mean_sat_logMstar,0.5373374609984787,-0.060132587158384855,10.120871000000001,10.192689166666666
RG4,without_sigma_v,z_group,-0.5002199761697065,-0.020456295877994735,0.037650195,0.03928745525
RG4,without_sigma_v,logMstar_bgg,0.7256554032095724,0.07738719142083413,11.07583,11.02857
RG4,without_sigma_v,log_group_luminosity,0.6713058745090491,-0.07617177050263384,10.944278126219213,10.970609357080415
RG4,without_sigma_v,velocity_dispersion,0.7147166807070063,0.5209872537930811,163.05321918207693,98.46851953911724
RG4,without_sigma_v,mean_sat_logMstar,0.5373374609984787,0.17758654592591214,10.163223333333333,10.108587333333334
