class_stored,n_groups,median_host_logM200c,q16_host_logM200c,q84_host_logM200c,median_host_richness,min_host_richness,max_host_richness,median_fL_cg_over_host,min_fL,max_fL
Embedded,37,13.134806937099691,12.870097190697242,13.427489379671101,8.0,5.0,24.0,0.8315278556235871,0.5149770839880735,0.9816392799469428
Isolated,6,12.863515744439251,12.808894825424945,12.962733123448324,4.0,4.0,4.0,1.0,0.9999999999999998,1.0
Predominant,19,13.825752463831812,13.543484880731999,14.069929612479168,26.0,13.0,93.0,0.30844076625421263,0.0638612190860448,0.4780105787862962
