threshold,gz1_class,n,n_total,fraction,wilson_lo,wilson_hi
P_S0>0.5,E,511,730,0.7,0.6657809503979888,0.7321251592803237
P_S0>0.5,S,137,730,0.18767123287671234,0.1610093526742428,0.217603023992502
P_S0>0.5,U,45,730,0.06164383561643835,0.04638680502049609,0.08149021486265448
P_S0>0.5,X,37,730,0.050684931506849315,0.0369930952465274,0.06908085013370194
P_S0>=0.8,E,270,429,0.6293706293706294,0.5827084631700251,0.673736472355391
P_S0>=0.8,S,105,429,0.24475524475524477,0.20645364836141133,0.2875874247911459
P_S0>=0.8,U,33,429,0.07692307692307693,0.05529531216264534,0.10606043922720977
P_S0>=0.8,X,21,429,0.04895104895104895,0.03223701256359725,0.07367118519914084
