specObjID,bestObjID,instrument,survey,programname,plate,mjd,fiberID,class,zWarning,snMedian_r,snMedian,run2d,sciencePrimary,extra_specObjID,sfr_tot_p50,lgm_tot_p50,specsfr_tot_p50,info_specObjID,info_sn_median,reliable
310834717979076608,1237674649384124427,SDSS,sdss,legacy,276,51909,314,GALAXY,0,61.63428,52.44617,26,1,310834717979076608,-0.9805743,11.32287,-12.33535,310834717979076608,52.34435,1
310868253083723776,1237648721759961197,SDSS,sdss,legacy,276,51909,436,GALAXY,0,56.85419,47.38388,26,1,310868253083723776,-1.606087,10.52482,-12.20447,310868253083723776,47.36262,1
310869352595351552,1237648721759961111,SDSS,sdss,legacy,276,51909,440,GALAXY,0,58.10788,48.99507,26,1,310869352595351552,-1.057247,11.34712,-12.46593,310869352595351552,49.02336,1
311963916404025344,1237648722834620487,SDSS,sdss,legacy,277,51908,326,GALAXY,0,26.08107,19.75253,26,1,311963916404025344,0.1212177,10.2752,-10.20353,311963916404025344,19.77378,1
311976011031930880,1237648722834686048,SDSS,sdss,legacy,277,51908,370,GALAXY,0,48.48426,42.55205,26,1,311976011031930880,-0.9876607,11.00532,-12.02353,311976011031930880,42.56728,1
311985082002860032,1237648722834751727,SDSS,sdss,legacy,277,51908,403,GALAXY,0,33.92256,26.69736,26,1,311985082002860032,0.53308,10.6867,-10.19129,311985082002860032,26.71419,1
313007627682473984,1237648721225646181,SDSS,sdss,legacy,278,51900,27,GALAXY,0,41.5773,32.492,26,1,313007627682473984,-1.83886,10.73731,-12.60818,313007627682473984,32.45575,1
313020546944100352,1237674650460422277,SDSS,sdss,legacy,278,51900,74,GALAXY,0,48.82126,41.91721,26,1,313020546944100352,-0.9738976,11.23772,-12.25187,313020546944100352,41.92391,1
313164857845245952,1237674650460422427,SDSS,sdss,legacy,278,51900,599,GALAXY,0,34.56093,26.72441,26,1,313164857845245952,-1.021856,10.70993,-11.76316,313164857845245952,26.70848,1
314223688952080384,1237674650460487907,SDSS,sdss,legacy,279,51984,355,GALAXY,0,16.18343,11.78348,26,1,314223688952080384,-0.2240445,9.792118,-10.06059,314223688952080384,11.90839,1
314224238707894272,1237648721225646275,SDSS,sdss,legacy,279,51984,357,GALAXY,0,27.94587,20.51148,26,1,314224238707894272,-1.632531,10.06055,-11.73125,314224238707894272,20.59302,1
314224513585801216,1237674650460422494,SDSS,sdss,legacy,279,51984,358,GALAXY,0,46.2247,36.71709,26,1,314224513585801216,-1.125936,10.82383,-11.9913,314224513585801216,36.72545,1
315253375350368256,1237674649388056620,SDSS,sdss,legacy,280,51612,5,GALAXY,0,60.13152,55.25,26,1,315253375350368256,-1.341963,11.14839,-12.51881,315253375350368256,55.24389,1
315253650228275200,1237648720153149538,SDSS,sdss,legacy,280,51612,6,GALAXY,0,52.29738,43.79681,26,1,315253650228275200,-1.579077,10.63393,-12.3025,315253650228275200,43.74685,1
315255849251530752,1237674649387991118,SDSS,sdss,legacy,280,51612,14,GALAXY,0,44.33038,36.10635,26,1,315255849251530752,-1.309208,9.810713,-11.18268,315255849251530752,35.99753,1
316448269645408256,1237674649388056846,SDSS,sdss,legacy,281,51614,256,GALAXY,0,16.52581,12.08527,26,1,316448269645408256,-0.4442022,10.06059,-10.5575,316448269645408256,12.09969,1
320969741638330368,1237648722841042953,SDSS,sdss,legacy,285,51930,321,GALAXY,0,38.44157,30.05305,26,1,320969741638330368,0.4585905,10.41704,-9.997869,320969741638330368,30.07813,1
320970016516237312,1237648722841043030,SDSS,sdss,legacy,285,51930,322,GALAXY,0,14.37207,11.29138,26,1,320970016516237312,-0.5592751,9.325481,-9.9433,320970016516237312,11.39882,1
320971665783678976,1237648722840977489,SDSS,sdss,legacy,285,51930,328,GALAXY,0,31.38552,25.64462,26,1,320971665783678976,-0.1778816,9.788215,-10.01645,320971665783678976,25.67079,1
320981561388328960,1237648722841043066,SDSS,sdss,legacy,285,51930,364,GALAXY,0,55.06108,44.62148,26,1,320981561388328960,-0.2493058,11.07703,-11.3854,320981561388328960,44.67402,1
325547834185115648,1237648705115848927,SDSS,sdss,legacy,289,51990,592,GALAXY,0,28.36328,21.05855,26,1,325547834185115648,-1.811003,9.747048,-11.6319,325547834185115648,21.09104,1
325550033208371200,1237648705115848766,SDSS,sdss,legacy,289,51990,600,GALAXY,0,49.28971,40.20932,26,1,325550033208371200,-2.09808,10.38304,-12.52245,325550033208371200,40.17689,1
325550857842092032,1237648705652654263,SDSS,sdss,legacy,289,51990,603,GALAXY,0,16.41528,12.3922,26,1,325550857842092032,-0.9299256,9.456736,-10.43582,325550857842092032,12.46658,1
325554156376975360,1237648722307842148,SDSS,sdss,legacy,289,51990,615,GALAXY,0,31.32921,23.58289,26,1,325554156376975360,-2.168485,9.86115,-12.08682,325554156376975360,23.60706,1
326605563548952576,1237648705115848765,SDSS,sdss,legacy,290,51941,344,GALAXY,0,50.91679,42.29752,26,1,326605563548952576,-1.602385,10.93675,-12.58708,326605563548952576,42.26436,1
326648719380342784,1237648721771823351,SDSS,sdss,legacy,290,51941,501,GALAXY,0,32.44207,25.26399,26,1,326648719380342784,-1.398573,10.27747,-11.7601,326648719380342784,25.26189,1
326659989374527488,1237648721771888672,SDSS,sdss,legacy,290,51941,542,GALAXY,0,58.79895,53.21343,26,1,326659989374527488,-1.479214,11.03809,-12.56406,326659989374527488,53.19734,1
326660539130341376,1237648705116766267,SDSS,sdss,legacy,290,51941,544,GALAXY,0,38.58052,30.282,26,1,326660539130341376,-0.9973779,10.3189,-11.36213,326660539130341376,30.24625,1
326662188397783040,1237648721771823374,SDSS,sdss,legacy,290,51941,550,GALAXY,0,35.04846,27.68139,26,1,326662188397783040,-1.909155,9.920454,-11.90272,326662188397783040,27.67188,1
326674008147781632,1237648704579960982,SDSS,sdss,legacy,290,51941,593,GALAXY,0,41.26815,32.6693,26,1,326674008147781632,-1.437991,10.09064,-11.55684,326674008147781632,32.65379,1
341175186659239936,1237674603216699610,SDSS,sdss,legacy,303,51615,100,GALAXY,0,13.4425,10.51876,26,1,341175186659239936,-0.5392457,10.21569,-10.79647,341175186659239936,10.59657,1
341182058606913536,1237674603216634080,SDSS,sdss,legacy,303,51615,125,GALAXY,0,15.49009,12.43025,26,1,341182058606913536,-0.1878108,9.557896,-9.810636,341182058606913536,12.50109,1
341183982752262144,1237674603216633993,SDSS,sdss,legacy,303,51615,132,GALAXY,0,48.27319,42.3376,26,1,341183982752262144,-1.254345,11.13641,-12.44063,341183982752262144,42.30542,1
342358810825877504,1237648720171696336,SDSS,sdss,legacy,304,51609,310,GALAXY,0,35.96199,27.76685,26,1,342358810825877504,-0.8761289,10.93987,-11.86618,342358810825877504,27.72182,1
343516596637034496,1237651735235919950,SDSS,sdss,legacy,305,51613,426,GALAXY,0,25.50305,19.96336,26,1,343516596637034496,-0.02117635,10.27859,-10.33333,343516596637034496,20.02178,1
343517971026569216,1237648722857033814,SDSS,sdss,legacy,305,51613,431,GALAXY,0,38.69371,30.66117,26,1,343517971026569216,-1.164048,10.35126,-11.58578,343517971026569216,30.63503,1
343519895171917824,1237651735235919946,SDSS,sdss,legacy,305,51613,438,GALAXY,0,51.74987,43.57998,26,1,343519895171917824,-0.7947621,11.12835,-11.97771,343519895171917824,43.48935,1
343539411503310848,1237651735235920177,SDSS,sdss,legacy,305,51613,509,GALAXY,0,41.83475,33.72974,26,1,343539411503310848,-1.56931,10.37909,-11.99625,343539411503310848,33.68753,1
343559202712610816,1237651752415854747,SDSS,sdss,legacy,305,51613,581,GALAXY,0,47.61059,39.67108,26,1,343559202712610816,-1.314641,11.08024,-12.45053,343559202712610816,39.60389,1
343563051003308032,1237651752415854874,SDSS,sdss,legacy,305,51613,595,GALAXY,0,22.49663,18.33973,26,1,343563051003308032,-0.2390186,9.421911,-9.71931,343563051003308032,18.38724,1
344614734277928960,1237651752415920197,SDSS,sdss,legacy,306,51637,325,GALAXY,0,43.25244,35.57343,26,1,344614734277928960,0.3121536,10.23991,-9.986461,344614734277928960,35.53949,1
344688126679083008,1237648705129349141,SDSS,sdss,legacy,306,51637,592,GALAXY,0,34.75025,27.12697,26,1,344688126679083008,-1.319584,10.17372,-11.55654,344688126679083008,27.13506,1
344688951312803840,1237648705129349140,SDSS,sdss,legacy,306,51637,595,GALAXY,0,58.75089,53.06292,26,1,344688951312803840,-1.226143,11.1686,-12.4538,344688951312803840,53.07236,1
344690050824431616,1237648705129480247,SDSS,sdss,legacy,306,51637,599,GALAXY,0,48.11537,40.86797,26,1,344690050824431616,0.2209152,10.15588,-9.972103,344690050824431616,40.84283,1
344692524725594112,1237648705666351360,SDSS,sdss,legacy,306,51637,608,GALAXY,0,14.21037,10.80814,26,1,344692524725594112,-0.2161649,9.890136,-10.16017,344692524725594112,10.90828,1
345746681934931968,1237648722321342726,SDSS,sdss,legacy,307,51663,347,GALAXY,0,32.9414,24.43883,26,1,345746681934931968,-1.375465,9.993007,-11.43462,345746681934931968,24.45911,1
345818425068644352,1237648705667137570,SDSS,sdss,legacy,307,51663,608,GALAXY,0,48.83671,39.47337,26,1,345818425068644352,-1.59418,10.70381,-12.34699,345818425068644352,39.47337,1
345818974824458240,1237648705667137705,SDSS,sdss,legacy,307,51663,610,GALAXY,0,49.40972,40.18627,26,1,345818974824458240,-1.097961,11.05283,-12.23088,345818974824458240,40.16312,1
345819799458179072,1237648705667072024,SDSS,sdss,legacy,307,51663,613,GALAXY,0,30.91632,25.50252,26,1,345819799458179072,-0.182327,9.578831,-9.805395,345819799458179072,25.51425,1
346783246505240576,1237648704057573499,SDSS,sdss,legacy,308,51662,22,GALAXY,0,50.89371,40.67673,26,1,346783246505240576,-1.088731,10.94819,-12.10865,346783246505240576,40.73542,1
346785995284310016,1237648704057573747,SDSS,sdss,legacy,308,51662,32,GALAXY,0,31.59957,24.02854,26,1,346785995284310016,-0.1556452,10.1377,-10.34161,346785995284310016,24.06282,1
346786545040123904,1237648704057573731,SDSS,sdss,legacy,308,51662,34,GALAXY,0,13.17208,9.85151,26,1,346786545040123904,-0.1229701,9.65169,-9.838906,346786545040123904,9.881937,1
346787094795937792,1237648704057573661,SDSS,sdss,legacy,308,51662,36,GALAXY,0,45.98234,33.30871,26,1,346787094795937792,-0.8092076,11.09869,-11.9561,346787094795937792,33.51292,1
346809085028493312,1237648721249501332,SDSS,sdss,legacy,308,51662,116,GALAXY,0,31.24384,24.40117,26,1,346809085028493312,-0.2493622,10.44216,-10.73721,346809085028493312,24.43595,1
346809909662214144,1237648721249435833,SDSS,sdss,legacy,308,51662,119,GALAXY,0,22.56346,16.91874,26,1,346809909662214144,-0.3610175,9.855238,-10.26207,346809909662214144,16.96841,1
346931130819176448,1237648705131053137,SDSS,sdss,legacy,308,51662,560,GALAXY,0,53.82212,46.32096,26,1,346931130819176448,-1.315105,10.88253,-12.29091,346931130819176448,46.2943,1
346937453011036160,1237648705131118796,SDSS,sdss,legacy,308,51662,583,GALAXY,0,29.71677,21.87704,26,1,346937453011036160,0.3221888,10.44133,-10.16487,346937453011036160,21.89723,1
346939377156384768,1237648705131118779,SDSS,sdss,legacy,308,51662,590,GALAXY,0,20.57878,14.89408,26,1,346939377156384768,-0.3649438,10.02839,-10.43193,346939377156384768,14.98981,1
346940476668012544,1237648704594313560,SDSS,sdss,legacy,308,51662,594,GALAXY,0,42.0984,33.19334,26,1,346940476668012544,-1.574981,10.33992,-11.98524,346940476668012544,33.11034,1
347956980737927168,1237648721249763542,SDSS,sdss,legacy,309,51994,196,GALAXY,0,27.91187,22.74208,26,1,347956980737927168,0.02892388,9.71757,-9.74923,347956980737927168,22.8844,1
347965501953042432,1237648704594575483,SDSS,sdss,legacy,309,51994,227,GALAXY,0,60.88843,48.61845,26,1,347965501953042432,-1.705437,10.89773,-12.65961,347965501953042432,48.89918,1
347965776830949376,1237648704594575487,SDSS,sdss,legacy,309,51994,228,GALAXY,0,21.87564,15.36439,26,1,347965776830949376,-1.803425,9.70014,-11.50989,347965776830949376,15.52256,1
347986667551877120,1237648721249435820,SDSS,sdss,legacy,309,51994,304,GALAXY,0,67.88342,54.44447,26,1,347986667551877120,-0.7933003,11.35226,-12.20494,347986667551877120,54.91104,1
347987492185597952,1237648704594313302,SDSS,sdss,legacy,309,51994,307,GALAXY,0,23.00323,16.26351,26,1,347987492185597952,-1.213605,10.05111,-11.32925,347987492185597952,16.28846,1
347996838034434048,1237648705131053204,SDSS,sdss,legacy,309,51994,341,GALAXY,0,63.085,51.61705,26,1,347996838034434048,-1.506484,10.68184,-12.25306,347996838034434048,51.62223,1
347998762179782656,1237648705131118799,SDSS,sdss,legacy,309,51994,348,GALAXY,0,11.37999,9.207876,26,1,347998762179782656,-0.4729916,9.116517,-9.65521,347998762179782656,9.299533,1
348000411447224320,1237648704594313500,SDSS,sdss,legacy,309,51994,354,GALAXY,0,59.9938,47.954,26,1,348000411447224320,-1.614082,10.78954,-12.42812,348000411447224320,48.0034,1
348024050947221504,1237648704594641215,SDSS,sdss,legacy,309,51994,440,GALAXY,0,57.84642,46.24271,26,1,348024050947221504,-1.574379,10.65442,-12.27079,348024050947221504,46.24092,1
349090577159055360,1237648673987232019,SDSS,sdss,legacy,310,51990,224,GALAXY,0,11.85249,9.256808,26,1,349090577159055360,-0.80644,9.564772,-10.41332,349090577159055360,9.397457,1
349091401792776192,1237648704595492963,SDSS,sdss,legacy,310,51990,227,GALAXY,0,45.03568,37.49372,26,1,349091401792776192,-1.370457,11.09604,-12.50583,349091401792776192,37.49359,1
349091676670683136,1237648704595493353,SDSS,sdss,legacy,310,51990,228,GALAXY,0,5.406793,3.799613,26,1,349091676670683136,-0.3820747,9.446967,-9.8775,349091676670683136,3.871073,1
