plate,mjd,fiberid,z_log_abs_p2p5,z_log_abs_p16,z_log_abs_median,z_log_abs_p84,z_log_abs_p97p5,z_log_abs_mode,dr4_index,age_logyr_rband_p2p5,age_logyr_rband_p16,age_logyr_rband_median,age_logyr_rband_p84,age_logyr_rband_p97p5,age_logyr_rband_mode
588,52045,461,-2.2687,-2.0998,-1.9636,-1.8225,-1.6701,-1.9706,136647,9.5316,9.7074,9.8213,9.9272,10.0021,9.8349
588,52045,462,-2.4637,-2.2631,-2.0916,-1.8861,-1.6733,-1.9957,136648,9.3539,9.5033,9.652,9.7961,9.8876,9.6101
588,52045,484,-1.5358,-1.4685,-1.3985,-1.3474,-1.3121,-1.426,136664,9.5896,9.7405,9.8374,9.9502,9.9857,9.9627
588,52045,486,-2.078,-1.9425,-1.7934,-1.6043,-1.4452,-1.883,136666,9.3924,9.5355,9.6783,9.821,9.8977,9.6583
588,52045,526,-1.627,-1.5573,-1.5221,-1.4798,-1.3838,-1.5449,136697,9.7395,9.768,9.8807,9.9821,10.033,9.9945
588,52045,531,-2.1892,-2.0102,-1.8669,-1.7091,-1.5313,-1.8454,136700,9.5394,9.7255,9.8419,9.9544,10.0257,9.8346
588,52045,622,-2.5963,-2.444,-2.2657,-2.0494,-1.7536,-2.3337,136767,9.2147,9.3206,9.4515,9.5995,9.7012,9.4988
588,52045,631,-1.7607,-1.5881,-1.4496,-1.3383,-1.3088,-1.3258,136774,9.3863,9.4918,9.6437,9.7656,9.8434,9.7062
589,52055,17,-1.8757,-1.7476,-1.588,-1.4458,-1.3299,-1.6827,136790,9.3674,9.4522,9.6014,9.7377,9.8274,9.7389
589,52055,43,-1.7469,-1.688,-1.6393,-1.6076,-1.5671,-1.6201,136809,9.8439,9.9291,9.9864,10.0381,10.0688,10.0426
589,52055,52,-2.2979,-2.1371,-1.9629,-1.7909,-1.6075,-2.0082,136817,9.541,9.7264,9.8568,9.9658,10.0363,9.8827
589,52055,56,-1.6257,-1.607,-1.5758,-1.5435,-1.4792,-1.5512,136821,9.8746,9.989,10.0362,10.0558,10.0714,10.0585
589,52055,57,-1.7572,-1.6692,-1.6075,-1.5568,-1.5107,-1.6013,136822,9.7839,9.8695,9.9449,10.0203,10.0553,9.9467
589,52055,60,-1.8615,-1.7493,-1.6463,-1.5569,-1.4817,-1.6201,136825,9.6827,9.8067,9.9256,10.0023,10.0551,10.011
589,52055,97,-1.9612,-1.8723,-1.7563,-1.6263,-1.4729,-1.7014,136856,9.6251,9.8054,9.9175,9.9995,10.0557,9.9626
589,52055,302,-1.6417,-1.6159,-1.5693,-1.5468,-1.5275,-1.5449,137009,9.9217,9.9704,9.9919,10.0493,10.0739,9.9943
589,52055,308,-2.6766,-2.4505,-2.1621,-1.7632,-1.4344,-2.1772,137013,9.3707,9.5429,9.7165,9.8741,9.9955,9.7224
589,52055,317,-1.6569,-1.6191,-1.5731,-1.5391,-1.4915,-1.5387,137021,9.8235,9.893,9.9452,10.0095,10.0462,9.9303
589,52055,319,-2.3461,-2.216,-2.073,-1.9529,-1.8239,-2.0332,137023,9.6139,9.7379,9.8431,9.9423,10.0108,9.834
589,52055,356,-1.6527,-1.5722,-1.5357,-1.3402,-1.3082,-1.5449,137049,9.4865,9.5095,9.7768,9.9178,9.9958,9.9304
589,52055,385,-2.4875,-2.0837,-1.6641,-1.4147,-1.3239,-1.4448,137073,8.7109,8.8103,8.9208,9.0523,9.2069,8.9227
590,52057,450,-1.6865,-1.6384,-1.599,-1.5763,-1.4965,-1.595,137625,9.7588,9.8893,9.9666,9.988,10.0348,9.9789
590,52057,532,-2.6881,-2.3929,-2.0428,-1.6739,-1.4012,-1.9393,137699,9.2985,9.456,9.6214,9.7702,9.8831,9.7061
590,52057,568,-1.7255,-1.6869,-1.6352,-1.5943,-1.5687,-1.5888,137730,9.8887,9.9239,9.9903,10.0495,10.069,10.0584
590,52057,603,-1.699,-1.6542,-1.6224,-1.5805,-1.5497,-1.5762,137761,9.8143,9.9029,9.958,10.0169,10.0521,9.9627
590,52057,607,-1.6113,-1.571,-1.5329,-1.4673,-1.311,-1.4823,137764,9.5912,9.8078,9.9185,9.9765,10.0072,9.9469
590,52057,611,-1.8877,-1.7746,-1.6639,-1.5467,-1.3412,-1.714,137767,9.2945,9.5131,9.6684,9.7861,9.9041,9.6909
590,52057,614,-1.7335,-1.6541,-1.5736,-1.5061,-1.4546,-1.5575,137770,9.7686,9.8552,9.9319,10.0014,10.0478,9.947
590,52057,616,-2.1066,-1.888,-1.6852,-1.4759,-1.3411,-1.5512,137772,9.4378,9.5976,9.7563,9.888,9.9726,9.8342
591,52022,208,-1.5786,-1.5362,-1.5137,-1.4235,-1.3344,-1.5262,137961,9.7069,9.748,9.9275,10.0049,10.0149,10.0102
591,52022,231,-1.7095,-1.5678,-1.4473,-1.346,-1.3103,-1.4072,137977,9.4517,9.5777,9.7085,9.8357,9.9123,9.7387
591,52022,236,-1.5602,-1.5415,-1.5064,-1.5025,-1.4967,-1.5011,137982,9.9785,9.9815,9.9899,10.0645,10.0728,9.9941
591,52022,238,-2.1682,-1.9383,-1.6598,-1.4297,-1.3194,-1.5262,137984,9.1824,9.2962,9.4481,9.5795,9.6814,9.5304
591,52022,263,-2.296,-1.9493,-1.6428,-1.4047,-1.319,-1.5387,138006,8.9534,9.1217,9.2707,9.4491,9.5814,9.2741
591,52022,277,-1.6831,-1.6539,-1.6073,-1.5483,-1.3412,-1.6514,138018,9.4894,9.7327,9.8513,9.9622,10.0078,10.0104
591,52022,450,-1.558,-1.5163,-1.4558,-1.3672,-1.364,-1.3634,138160,9.7874,9.7987,9.8335,9.9301,10.0165,9.8343
591,52022,467,-1.6365,-1.535,-1.4391,-1.3636,-1.3366,-1.4385,138174,9.482,9.6286,9.7699,9.8546,9.9531,9.8181
591,52022,553,-1.6573,-1.561,-1.4731,-1.3951,-1.3374,-1.4636,138250,9.606,9.7186,9.8256,9.9193,9.9759,9.8986
593,52026,248,-1.8403,-1.7369,-1.6276,-1.4812,-1.3157,-1.6701,139008,9.3685,9.5416,9.7221,9.8552,9.9492,9.7385
593,52026,365,-1.7435,-1.707,-1.7036,-1.6738,-1.6707,-1.7014,139102,9.7715,9.7801,9.8399,9.8491,9.8623,9.8503
593,52026,368,-1.5774,-1.4868,-1.4312,-1.3572,-1.3089,-1.4823,139105,9.6195,9.714,9.8402,9.9242,9.9751,9.9308
593,52026,369,-1.6226,-1.5262,-1.4325,-1.3548,-1.3152,-1.3258,139106,9.6069,9.7114,9.8231,9.9248,9.9847,9.722
593,52026,378,-1.7435,-1.6865,-1.6392,-1.5794,-1.3224,-1.6388,139113,9.5372,9.8155,9.8996,9.9752,10.0087,9.8668
593,52026,379,-1.616,-1.5995,-1.5694,-1.5442,-1.488,-1.5637,139114,9.9152,9.9967,10.0127,10.0509,10.0695,10.0107
595,52023,101,-1.9062,-1.8184,-1.7113,-1.6288,-1.5557,-1.7515,139798,9.7222,9.8378,9.9172,9.9976,10.0523,9.9143
595,52023,142,-1.5166,-1.4718,-1.4474,-1.3885,-1.3043,-1.4573,139820,9.6617,9.7858,9.9228,9.9704,9.9952,9.9784
595,52023,148,-1.6397,-1.6052,-1.5824,-1.5587,-1.5334,-1.5762,139826,9.901,9.9536,10.0016,10.0369,10.0559,10.0429
595,52023,172,-2.1099,-1.941,-1.7692,-1.5397,-1.3468,-1.8204,139844,9.1649,9.3878,9.5652,9.7183,9.8164,9.5621
596,52370,140,-2.5586,-2.2232,-1.8758,-1.5301,-1.3447,-2.0144,140217,9.2166,9.3961,9.5738,9.7463,9.866,9.6101
596,52370,163,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,140234,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
596,52370,165,-2.6079,-2.213,-1.708,-1.4225,-1.3218,-1.4823,140235,8.8804,8.9995,9.1319,9.2836,9.4357,9.1464
596,52370,166,-1.9106,-1.7633,-1.5938,-1.4334,-1.3355,-1.4886,140236,9.1621,9.3718,9.5228,9.6876,9.7994,9.5624
596,52370,168,-1.6751,-1.609,-1.5209,-1.4471,-1.3633,-1.5575,140237,9.6024,9.7527,9.8569,9.9494,9.9906,9.8823
596,52370,184,-1.8088,-1.6701,-1.5398,-1.4276,-1.329,-1.4385,140249,9.3646,9.4704,9.6215,9.7532,9.8395,9.7065
596,52370,233,-1.5982,-1.5548,-1.5217,-1.4244,-1.3692,-1.5512,140276,9.5762,9.6537,9.8308,9.9159,9.9403,9.9306
596,52370,234,-1.6896,-1.6588,-1.6107,-1.5575,-1.3404,-1.6075,140277,9.5927,9.731,9.8565,9.9193,9.9815,9.8829
596,52370,435,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,140400,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
598,52316,588,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,141315,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
598,52316,631,-1.6026,-1.5442,-1.5186,-1.4847,-1.4179,-1.5387,141343,9.7049,9.8274,9.8862,9.9724,10.026,9.8348
599,52317,383,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,141645,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
599,52317,387,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,141647,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
600,52317,15,-2.394,-2.211,-2.0229,-1.7861,-1.506,-2.0457,141830,9.2725,9.3921,9.5312,9.6592,9.7511,9.5943
600,52317,17,-1.6957,-1.5882,-1.4587,-1.3617,-1.3061,-1.4385,141832,9.2491,9.3305,9.496,9.5951,9.6672,9.5141
600,52317,19,-2.3628,-2.1918,-1.9707,-1.7055,-1.4395,-1.9581,141834,9.2474,9.3615,9.5085,9.633,9.7194,9.5302
600,52317,50,-2.7285,-2.5511,-2.3814,-2.1704,-1.8472,-2.365,141855,9.0639,9.1502,9.239,9.351,9.4816,9.2102
601,52316,223,-1.7203,-1.6503,-1.5354,-1.4455,-1.3577,-1.5011,142497,9.5809,9.6946,9.8283,9.9409,10.0046,9.8024
601,52316,226,-3.0197,-2.9559,-2.8493,-2.7218,-2.5874,-2.9159,142500,9.7592,9.8474,9.9333,9.992,10.0598,9.9463
601,52316,236,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,142509,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
601,52316,239,-2.4153,-2.1951,-1.9389,-1.6242,-1.3993,-1.9644,142512,9.2569,9.4271,9.5852,9.7391,9.8378,9.53
601,52316,271,-2.0437,-1.9136,-1.7791,-1.5606,-1.3588,-1.8266,142534,9.2249,9.374,9.5739,9.7111,9.8219,9.5948
606,52365,84,-2.572,-2.4253,-2.1564,-1.9201,-1.7393,-1.9706,144566,9.4386,9.591,9.7361,9.9053,10.0221,9.7061
606,52365,88,-1.7221,-1.6557,-1.5751,-1.5246,-1.3371,-1.5262,144568,9.6474,9.7988,9.8713,9.9569,10.0067,9.9465
606,52365,92,-1.6117,-1.5604,-1.4796,-1.3994,-1.3093,-1.451,144572,9.5429,9.6834,9.7945,9.9112,9.9705,9.7389
606,52365,98,-1.4235,-1.387,-1.3488,-1.3303,-1.3142,-1.3822,144576,9.4583,9.6299,9.6649,9.6739,9.705,9.6742
606,52365,100,-1.7718,-1.6894,-1.5855,-1.5052,-1.4145,-1.6263,144578,9.7023,9.8165,9.8973,9.9816,10.0316,9.9308
607,52368,359,-1.7736,-1.7324,-1.6743,-1.6415,-1.5711,-1.6639,145211,9.7779,9.9032,9.9644,10.0198,10.0537,10.027
609,52339,504,-1.6607,-1.5889,-1.4856,-1.382,-1.3294,-1.3822,146168,9.4414,9.5232,9.6592,9.7873,9.8523,9.7386
609,52339,552,-2.1318,-1.9991,-1.8443,-1.6376,-1.4463,-1.8266,146202,9.1636,9.2985,9.4293,9.5976,9.7124,9.3706
609,52339,614,-2.5135,-2.1255,-1.6965,-1.4127,-1.322,-1.3634,146251,8.9788,9.1575,9.3436,9.5234,9.6636,9.3546
609,52339,615,-2.6467,-2.4061,-2.0957,-1.7363,-1.4188,-2.0144,146252,9.2554,9.4132,9.5713,9.7213,9.8291,9.5949
612,52079,289,-2.2179,-2.0044,-1.7257,-1.4374,-1.3247,-1.7703,147146,9.0737,9.1831,9.3155,9.4616,9.5624,9.4348
619,52056,210,-1.7764,-1.6742,-1.5998,-1.5026,-1.3636,-1.5888,149832,9.3328,9.496,9.6346,9.7727,9.8617,9.7867
619,52056,213,-2.324,-2.0884,-1.8737,-1.7002,-1.469,-1.7766,149834,9.452,9.6615,9.8037,9.9216,10.0181,9.8665
619,52056,220,-1.707,-1.6726,-1.6199,-1.5871,-1.3904,-1.6138,149840,9.6474,9.7653,9.857,9.9338,9.9758,9.8662
619,52056,254,-2.2122,-1.9582,-1.6593,-1.4296,-1.3268,-1.6576,149866,8.9651,9.0683,9.1883,9.3339,9.4628,9.1784
622,52054,173,-1.6815,-1.5883,-1.51,-1.4415,-1.3337,-1.4636,151275,9.523,9.639,9.7801,9.9064,9.9728,9.7229
622,52054,201,-1.7198,-1.6275,-1.5623,-1.4997,-1.4397,-1.5575,151297,9.6352,9.7872,9.8779,9.9652,10.0025,9.9783
622,52054,205,-1.8753,-1.4806,-1.4062,-1.3049,-1.3014,-1.401,151300,9.1643,9.1726,9.2802,9.4028,9.5674,9.2909
622,52054,214,-2.6466,-2.4263,-2.1239,-1.8318,-1.5116,-2.1835,151305,9.3962,9.5744,9.7409,9.8887,10.0051,9.7542
622,52054,257,-1.6506,-1.6057,-1.5425,-1.5176,-1.4662,-1.5199,151338,9.8125,9.8953,9.9597,10.0342,10.0712,9.9462
625,52145,456,-2.4567,-2.2698,-2.0577,-1.7743,-1.4526,-2.1709,152961,9.1914,9.3082,9.4456,9.5854,9.678,9.4507
626,52057,11,-2.8085,-2.6613,-2.499,-2.3354,-1.9635,-2.4839,153120,9.6758,9.8288,9.9431,10.0238,10.0685,10.0102
626,52057,50,-1.5381,-1.4432,-1.377,-1.3405,-1.3193,-1.3884,153150,9.636,9.694,9.7673,9.8617,9.9298,9.7063
627,52144,149,-2.4367,-2.2829,-2.0596,-1.8294,-1.5501,-2.1835,153699,9.2761,9.4042,9.554,9.6696,9.7928,9.626
627,52144,203,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,153734,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
627,52144,265,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,153783,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
629,52051,303,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,154755,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
629,52051,310,-2.0676,-1.9855,-1.9134,-1.8379,-1.7388,-1.908,154761,9.6522,9.7566,9.835,9.9222,9.975,9.8669
629,52051,319,-2.1166,-2.001,-1.8547,-1.7159,-1.514,-1.7953,154769,9.3861,9.5317,9.6882,9.8213,9.9137,9.6906
629,52051,341,-1.8495,-1.6492,-1.4543,-1.3483,-1.3111,-1.3634,154784,9.1202,9.2172,9.3499,9.4823,9.5656,9.418
629,52051,343,-1.7179,-1.6238,-1.5183,-1.3423,-1.3099,-1.3384,154785,9.4199,9.4324,9.6773,9.8505,9.9337,9.4349
630,52050,347,-2.6601,-2.2269,-1.7147,-1.412,-1.3216,-1.3884,155272,8.8721,9.014,9.1818,9.3689,9.5215,9.1463
630,52050,349,-1.7665,-1.666,-1.5592,-1.4331,-1.3306,-1.5199,155274,9.3878,9.5483,9.6543,9.8182,9.92,9.6587
630,52050,350,-2.3429,-2.1614,-1.9397,-1.6944,-1.454,-1.9393,155275,9.3153,9.4545,9.6151,9.7557,9.8423,9.6265
630,52050,359,-1.5754,-1.5447,-1.5422,-1.5397,-1.5388,-1.5387,155283,9.9789,9.9809,9.9879,9.9934,10.0098,9.9947
631,52079,5,-1.68,-1.6554,-1.6392,-1.5889,-1.563,-1.6388,155496,9.8929,9.9407,10.03,10.0462,10.069,10.0426
631,52079,11,-2.1689,-2.0107,-1.8713,-1.6811,-1.5218,-1.8767,155502,9.4923,9.6588,9.8002,9.9112,9.9945,9.8827
631,52079,17,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,155507,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
632,52071,589,-1.8129,-1.6981,-1.593,-1.4672,-1.3577,-1.6013,156421,9.319,9.4671,9.6068,9.7508,9.818,9.4823
633,52079,163,-1.927,-1.8405,-1.728,-1.6216,-1.3424,-1.6701,156580,9.4216,9.5999,9.7455,9.8522,9.9465,9.7547
633,52079,170,-3.0147,-2.7753,-2.4987,-2.1708,-1.6612,-2.4464,156586,8.9579,9.0985,9.2566,9.4211,9.5714,9.3065
633,52079,180,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,156593,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
757,52238,389,-1.679,-1.637,-1.5806,-1.5679,-1.564,-1.5762,191189,9.8826,9.8866,9.8967,9.9897,10.0353,9.8981
758,52253,146,-2.5379,-2.4012,-2.2563,-2.1116,-1.9783,-2.1897,191468,9.5378,9.6736,9.7651,9.8798,9.9694,9.7709
758,52253,155,-1.506,-1.4606,-1.4123,-1.3853,-1.3825,-1.3822,191475,9.7632,9.8245,9.8789,9.9141,10.0052,9.8341
758,52253,167,-1.7808,-1.6765,-1.6087,-1.4876,-1.3296,-1.5637,191487,9.4535,9.5858,9.7418,9.8632,9.9619,9.7387
758,52253,169,-1.9526,-1.8172,-1.6521,-1.5012,-1.3267,-1.6263,191489,9.3093,9.5156,9.6646,9.7962,9.9011,9.6905
758,52253,179,-2.3779,-2.2219,-2.0748,-1.9224,-1.777,-2.0958,191497,9.5062,9.671,9.796,9.8971,9.9722,9.8023
758,52253,421,-1.8571,-1.7501,-1.63,-1.521,-1.339,-1.6263,191658,9.4179,9.5678,9.7184,9.8577,9.9368,9.722
758,52253,424,-1.8277,-1.6988,-1.6002,-1.4761,-1.3291,-1.6138,191660,9.366,9.5159,9.6696,9.8071,9.8965,9.7382
758,52253,434,-1.8331,-1.7548,-1.6252,-1.5211,-1.3424,-1.5762,191664,9.3358,9.579,9.7017,9.8696,9.9506,9.6585
758,52253,513,-1.9889,-1.9007,-1.804,-1.6392,-1.4964,-1.8266,191718,9.6827,9.8364,9.9534,10.011,10.0642,9.9629
762,52232,362,-2.0017,-1.9158,-1.8244,-1.7057,-1.6256,-1.8266,193385,9.7371,9.861,9.9506,10.0032,10.047,9.9624
762,52232,366,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,193387,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
762,52232,379,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,193397,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
762,52232,380,-2.3378,-2.157,-1.9733,-1.7607,-1.5258,-2.0457,193398,9.2529,9.3893,9.541,9.6824,9.7525,9.6267
765,52254,411,-1.7481,-1.6831,-1.5948,-1.5204,-1.4363,-1.6075,194777,9.7815,9.8863,9.9535,10.0094,10.0641,9.9626
765,52254,563,-1.405,-1.3841,-1.3321,-1.3156,-1.3136,-1.3133,194905,9.827,9.9161,9.9962,10.0062,10.0096,10.0101
765,52254,574,-1.5686,-1.495,-1.436,-1.3626,-1.3106,-1.426,194914,9.5932,9.7237,9.8164,9.9114,9.9812,9.8185
766,52247,271,-1.6056,-1.5663,-1.5222,-1.4898,-1.4639,-1.5136,195185,9.7721,9.8431,9.8805,9.9676,9.994,9.8823
766,52247,356,-2.0278,-1.9165,-1.8403,-1.7118,-1.4699,-1.8705,195249,9.4858,9.6979,9.8111,9.9257,9.9746,9.8027
771,52370,87,-1.4709,-1.4167,-1.3566,-1.3204,-1.3048,-1.3258,197229,9.6803,9.7328,9.8419,9.9403,9.9649,9.8506
771,52370,92,-1.6388,-1.6024,-1.556,-1.5224,-1.5023,-1.5449,197233,9.8067,9.8431,9.9272,9.998,10.02,9.9307
771,52370,93,-1.8694,-1.7693,-1.6635,-1.5685,-1.4361,-1.6201,197234,9.5881,9.7604,9.8807,9.9684,10.0198,9.9627
771,52370,95,-1.6116,-1.5876,-1.538,-1.5003,-1.4955,-1.5825,197235,9.8202,9.8329,9.9435,10.022,10.0498,10.0267
772,52375,64,-1.792,-1.7492,-1.7192,-1.6779,-1.6351,-1.714,197615,9.8576,9.9237,9.9675,9.9982,10.0216,9.9786
772,52375,65,-1.7014,-1.7005,-1.6983,-1.6962,-1.6953,-1.6952,197616,9.8351,9.8367,9.8425,9.8478,9.8497,9.851
772,52375,109,-2.2336,-1.9791,-1.7111,-1.4706,-1.3388,-1.6827,197639,9.2746,9.4152,9.561,9.7041,9.8195,9.5301
782,52320,186,-1.5544,-1.4908,-1.4139,-1.36,-1.3279,-1.4135,201715,9.6778,9.7646,9.8367,9.9387,10.0006,9.8824
782,52320,190,-1.9447,-1.8206,-1.6837,-1.527,-1.3704,-1.6263,201718,9.4335,9.6112,9.777,9.8863,9.966,9.8347
783,52325,349,-2.3863,-2.2537,-2.0979,-1.944,-1.8013,-2.0019,202275,9.4887,9.6259,9.7475,9.8614,9.9293,9.7224
783,52325,360,-1.382,-1.3812,-1.379,-1.3769,-1.376,-1.3759,202286,9.1463,9.149,9.1545,9.1595,9.1619,9.1627
783,52325,383,-1.5631,-1.5577,-1.5474,-1.5184,-1.4584,-1.5449,202301,9.9078,9.9767,10.0471,10.055,10.0578,10.0586
783,52325,510,-1.7497,-1.7322,-1.7299,-1.7275,-1.7266,-1.7265,202402,9.7234,9.7253,9.7316,9.7376,9.7812,9.739
783,52325,511,-1.5995,-1.5508,-1.4895,-1.436,-1.3725,-1.4886,202403,9.5053,9.5632,9.6518,9.8037,9.8853,9.5944
783,52325,514,-1.5321,-1.4622,-1.3811,-1.3114,-1.3029,-1.3759,202405,9.4198,9.4415,9.5797,9.6956,9.8102,9.5942
783,52325,520,-1.6912,-1.6377,-1.5994,-1.5707,-1.5276,-1.595,202409,9.8104,9.868,9.9496,10.0042,10.0393,9.9305
785,52339,543,-1.6087,-1.5706,-1.5349,-1.5217,-1.4825,-1.5199,203335,9.8243,9.9163,9.9435,9.9855,10.0097,9.9469
785,52339,550,-1.6865,-1.5911,-1.4956,-1.391,-1.339,-1.5199,203339,9.4735,9.54,9.634,9.7921,9.8834,9.6581
786,52319,323,-2.7068,-2.4908,-2.1709,-1.8357,-1.4801,-2.2836,203590,8.8528,8.9602,9.0673,9.1722,9.3532,9.034
786,52319,362,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,203614,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
786,52319,389,-1.9931,-1.8863,-1.7631,-1.6525,-1.4091,-1.7014,203632,9.4029,9.5705,9.7275,9.8275,9.9145,9.8341
787,52320,88,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,203828,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
787,52320,93,-2.1885,-2.0331,-1.9052,-1.7652,-1.6318,-1.8579,203832,9.688,9.8171,9.9202,9.9958,10.0568,9.9624
787,52320,97,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,203836,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
787,52320,100,-1.6459,-1.5716,-1.5013,-1.4312,-1.3952,-1.451,203839,9.6761,9.7611,9.8525,9.9361,9.9939,9.7864
788,52338,504,-1.719,-1.7072,-1.7024,-1.6973,-1.6952,-1.7014,204492,9.9468,9.9639,9.9772,10.0052,10.0092,10.0102
788,52338,512,-1.7889,-1.7273,-1.6681,-1.5891,-1.4327,-1.6701,204494,9.6138,9.783,9.8652,9.9337,9.9751,9.9462
788,52338,513,-1.7448,-1.6754,-1.625,-1.5626,-1.4959,-1.6201,204495,9.7078,9.7689,9.8833,9.964,10.0158,9.9623
788,52338,514,-1.6736,-1.6384,-1.6341,-1.615,-1.5962,-1.6326,204496,9.8863,9.9177,9.9665,9.998,10.0222,9.9783
788,52338,516,-1.8709,-1.7755,-1.6818,-1.5677,-1.4278,-1.5637,204498,9.5664,9.7401,9.86,9.9449,10.0037,9.8826
788,52338,535,-1.9684,-1.8336,-1.7129,-1.5596,-1.3443,-1.7703,204508,9.2521,9.504,9.6521,9.7834,9.8923,9.691
790,52441,207,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,205116,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
790,52441,210,-1.9449,-1.8213,-1.6744,-1.5326,-1.3898,-1.6263,205119,9.4877,9.6549,9.789,9.9045,9.9684,9.803
790,52441,218,-1.6051,-1.5034,-1.373,-1.3338,-1.3098,-1.3634,205126,9.289,9.4197,9.5281,9.6449,9.6819,9.6589
790,52441,256,-2.3459,-2.1058,-1.9332,-1.7798,-1.3877,-1.908,205155,9.2723,9.5057,9.6415,9.7339,9.8702,9.7066
792,52353,262,-1.7094,-1.6331,-1.541,-1.4519,-1.3758,-1.4761,206038,9.5582,9.6951,9.8093,9.9136,9.9854,9.8505
792,52353,263,-1.9885,-1.8241,-1.629,-1.4479,-1.3305,-1.6138,206039,9.3901,9.5608,9.7158,9.8549,9.9474,9.7547
792,52353,305,-1.7793,-1.7124,-1.6042,-1.5247,-1.4473,-1.5637,206068,9.7966,9.8855,9.9598,10.0262,10.0622,9.9307
792,52353,312,-2.1555,-2.004,-1.9192,-1.8,-1.6697,-1.9769,206072,9.8194,9.9204,9.9987,10.0495,10.0756,10.027
792,52353,318,-2.5372,-2.4199,-2.298,-2.0688,-1.8084,-2.34,206075,9.63,9.7997,9.9252,10.0105,10.0631,9.9628
792,52353,320,-1.6101,-1.5847,-1.5258,-1.4851,-1.4766,-1.5074,206076,9.8736,9.9154,9.9658,10.0228,10.0562,10.0262
792,52353,590,-1.9216,-1.8188,-1.725,-1.629,-1.5081,-1.7202,206259,9.5667,9.7851,9.8921,9.9702,10.0231,9.9143
792,52353,603,-1.8829,-1.8074,-1.7311,-1.6445,-1.5356,-1.7327,206267,9.8091,9.9141,9.9806,10.0316,10.0698,10.0109
792,52353,620,-2.5239,-2.3855,-2.2168,-2.0599,-1.8836,-2.3087,206272,9.2395,9.3264,9.4418,9.5498,9.6336,9.4822
812,52352,31,-1.6374,-1.5916,-1.5233,-1.4772,-1.3852,-1.5449,209553,9.7384,9.8034,9.8722,9.9771,10.0353,9.9788
812,52352,52,-1.539,-1.4505,-1.3852,-1.3484,-1.3056,-1.4135,209567,9.676,9.7546,9.8191,9.9288,9.9983,9.8187
812,52352,54,-1.519,-1.511,-1.4865,-1.4686,-1.3175,-1.4823,209569,9.7485,9.9424,9.9875,10.0321,10.0414,9.9946
812,52352,86,-1.5681,-1.5256,-1.4649,-1.4203,-1.3302,-1.426,209595,9.5921,9.7293,9.8407,9.9465,9.9787,9.8668
812,52352,105,-1.7968,-1.7209,-1.66,-1.5821,-1.4045,-1.6764,209610,9.5634,9.7205,9.8694,9.956,9.9967,9.9625
812,52352,152,-1.5326,-1.4764,-1.4119,-1.3456,-1.3136,-1.3759,209653,9.6694,9.7308,9.855,9.9351,10.0126,9.7869
812,52352,626,-3.1295,-2.7938,-2.2669,-1.762,-1.4238,-2.5215,209982,8.8002,8.9492,9.1622,9.3909,9.6005,9.0827
812,52352,629,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,209984,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
812,52352,636,-1.638,-1.6203,-1.5572,-1.523,-1.5073,-1.5199,209988,9.8199,9.8549,9.9204,9.9728,10.0236,9.9304
812,52352,640,-2.5179,-2.3164,-2.0861,-1.8317,-1.5248,-2.1584,209991,9.2164,9.3648,9.5195,9.6688,9.7783,9.53
813,52354,129,-2.1518,-1.9476,-1.775,-1.6095,-1.4168,-1.6263,210071,9.5174,9.719,9.8697,9.9728,10.0472,9.9145
