plate,mjd,fiberid,z_log_abs_p2p5,z_log_abs_p16,z_log_abs_median,z_log_abs_p84,z_log_abs_p97p5,z_log_abs_mode,dr4_index,age_logyr_rband_p2p5,age_logyr_rband_p16,age_logyr_rband_median,age_logyr_rband_p84,age_logyr_rband_p97p5,age_logyr_rband_mode
280,51612,6,-1.6315,-1.564,-1.5063,-1.4557,-1.409,-1.5199,7121,9.7232,9.7827,9.8638,9.9403,9.9942,9.8661
280,51612,14,-2.1472,-2.04,-1.9411,-1.8384,-1.7164,-1.9581,7128,9.4038,9.5231,9.6406,9.7876,9.8616,9.5786
281,51614,256,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,7832,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
285,51930,321,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,9770,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
285,51930,322,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,9771,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
285,51930,328,-3.2181,-3.0397,-2.8444,-2.6106,-2.3641,-2.7656,9773,9.2225,9.3448,9.4773,9.6,9.6997,9.5308
285,51930,364,-2.2042,-2.0063,-1.7922,-1.5494,-1.3684,-1.7953,9799,9.0821,9.1676,9.2759,9.4226,9.5025,9.2428
289,51990,592,-1.7162,-1.6361,-1.5726,-1.5208,-1.4103,-1.5575,11909,9.5789,9.672,9.7987,9.8765,9.9697,9.8024
289,51990,600,-1.5263,-1.4598,-1.3795,-1.3251,-1.3092,-1.3571,11913,9.6744,9.756,9.831,9.9474,9.991,9.8184
289,51990,603,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,11916,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
289,51990,615,-1.803,-1.7242,-1.6317,-1.5674,-1.4185,-1.6201,11922,9.5282,9.766,9.8525,9.9709,10.0188,9.8021
290,51941,344,-1.431,-1.379,-1.3336,-1.3191,-1.31,-1.3196,12195,9.8258,9.8811,9.9272,10.0132,10.0343,9.9304
290,51941,501,-2.035,-1.9185,-1.7671,-1.6266,-1.4492,-1.764,12314,9.5336,9.7081,9.8214,9.9405,9.9937,9.8022
290,51941,542,-1.5072,-1.5043,-1.4658,-1.4406,-1.4017,-1.5011,12341,9.7851,9.8806,9.9329,10.0177,10.0249,10.0261
290,51941,544,-2.0099,-1.9087,-1.7909,-1.66,-1.4404,-1.8016,12343,9.4194,9.5897,9.7338,9.8518,9.9531,9.7547
290,51941,550,-1.8707,-1.7516,-1.626,-1.5281,-1.4027,-1.6263,12348,9.516,9.6797,9.8086,9.9332,9.9836,9.9463
290,51941,593,-1.9816,-1.8842,-1.7927,-1.683,-1.4692,-1.8266,12379,9.4965,9.7151,9.8225,9.9119,9.9771,9.8189
303,51615,100,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,18288,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
303,51615,125,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,18309,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
