SPECOBJID,RUN2D,RUN1D,PLATE,MJD,FIBERID,RA,DEC,Z_NOQSO,Z_ERR_NOQSO,CLASS_NOQSO,Chabrier_MILES_age_lightW,Chabrier_MILES_age_lightW_up_1sig,Chabrier_MILES_age_lightW_low_1sig,Chabrier_MILES_age_lightW_up_2sig,Chabrier_MILES_age_lightW_low_2sig,Chabrier_MILES_metallicity_lightW,Chabrier_MILES_metallicity_lightW_up_1sig,Chabrier_MILES_metallicity_lightW_low_1sig,Chabrier_MILES_metallicity_lightW_up_2sig,Chabrier_MILES_metallicity_lightW_low_2sig,Chabrier_MILES_age_massW,Chabrier_MILES_age_massW_up_1sig,Chabrier_MILES_age_massW_low_1sig,Chabrier_MILES_age_massW_up_2sig,Chabrier_MILES_age_massW_low_2sig,Chabrier_MILES_metallicity_massW,Chabrier_MILES_metallicity_massW_up_1sig,Chabrier_MILES_metallicity_massW_low_1sig,Chabrier_MILES_metallicity_massW_up_2sig,Chabrier_MILES_metallicity_massW_low_2sig,Chabrier_MILES_total_mass,Chabrier_MILES_total_mass_up_1sig,Chabrier_MILES_total_mass_low_1sig,Chabrier_MILES_total_mass_up_2sig,Chabrier_MILES_total_mass_low_2sig,Chabrier_MILES_spm_EBV,Chabrier_MILES_nComponentsSSP,Chabrier_ELODIE_age_lightW,Chabrier_ELODIE_age_lightW_up_1sig,Chabrier_ELODIE_age_lightW_low_1sig,Chabrier_ELODIE_age_lightW_up_2sig,Chabrier_ELODIE_age_lightW_low_2sig,Chabrier_ELODIE_metallicity_lightW,Chabrier_ELODIE_metallicity_lightW_up_1sig,Chabrier_ELODIE_metallicity_lightW_low_1sig,Chabrier_ELODIE_metallicity_lightW_up_2sig,Chabrier_ELODIE_metallicity_lightW_low_2sig,Chabrier_ELODIE_age_massW,Chabrier_ELODIE_age_massW_up_1sig,Chabrier_ELODIE_age_massW_low_1sig,Chabrier_ELODIE_age_massW_up_2sig,Chabrier_ELODIE_age_massW_low_2sig,Chabrier_ELODIE_metallicity_massW,Chabrier_ELODIE_metallicity_massW_up_1sig,Chabrier_ELODIE_metallicity_massW_low_1sig,Chabrier_ELODIE_metallicity_massW_up_2sig,Chabrier_ELODIE_metallicity_massW_low_2sig,Chabrier_ELODIE_total_mass,Chabrier_ELODIE_total_mass_up_1sig,Chabrier_ELODIE_total_mass_low_1sig,Chabrier_ELODIE_total_mass_up_2sig,Chabrier_ELODIE_total_mass_low_2sig,Chabrier_ELODIE_spm_EBV,Chabrier_ELODIE_nComponentsSSP
1768861099790198784,26,,1571,53174,263,248.12673,22.411784,0.03680216,1.813648e-05,GALAXY,11076720000.0,13475680000.0,11026740000.0,13975460000.0,10227080000.0,0.8661706,0.8661706,0.7265199,0.8728207,0.5004186,11726430000.0,14275330000.0,11176670000.0,14975030000.0,10327040000.0,0.7863702,0.8994209,0.6201193,0.9725713,0.5004186,21015780000.0,25875450000.0,20868510000.0,26611770000.0,20132200000.0,0.2966667,3,11175780000.0,11375740000.0,10175980000.0,12975420000.0,9676080000.0,0.9991714,1.092272,0.9925213,1.092272,0.75312,12675480000.0,12925430000.0,11175780000.0,13875240000.0,10625890000.0,0.9991714,1.145472,0.9526212,1.165422,0.7398199,23167990000.0,23741160000.0,20302150000.0,24600910000.0,16863140000.0,0.2233333,3
1768897108796008448,26,,1571,53174,394,248.25674,22.797399,0.03632541,1.149154e-05,GALAXY,11126690000.0,12326170000.0,8377886000.0,12875940000.0,8127994000.0,1.258523,1.624275,1.092272,1.624275,0.9792213,11876370000.0,12726000000.0,9977192000.0,13325740000.0,9627344000.0,1.378224,1.624275,1.225273,1.624275,1.039072,50729860000.0,55781650000.0,40626270000.0,57564640000.0,37654620000.0,0.04666667,4,9476120000.0,10725870000.0,8626290000.0,11225770000.0,7476520000.0,1.497924,1.544474,1.451374,1.750626,1.378224,9726070000.0,12125590000.0,8976220000.0,13125390000.0,7726470000.0,1.571075,1.763926,1.265173,1.843726,1.158772,46663830000.0,53692660000.0,41163010000.0,57359870000.0,37801400000.0,0.0,4
1769916631003195392,26,,1572,53177,7,248.70524,22.669462,0.03672582,1.322375e-05,GALAXY,4779446000.0,7478276000.0,3430031000.0,8777713000.0,1980659000.0,0.7664201,0.8927708,0.5137187,1.132172,0.4671684,8977626000.0,12875940000.0,3230117000.0,14525220000.0,1980659000.0,0.7664201,1.152122,0.4937686,1.358273,0.4405683,4561191000.0,6623512000.0,2040577000.0,7310952000.0,1964195000.0,0.1466667,5,3027410000.0,5426930000.0,1827650000.0,6526710000.0,1427730000.0,0.8129703,1.032422,0.5336688,1.285123,0.4073181,5226970000.0,8776260000.0,5176980000.0,11125790000.0,2277560000.0,0.4937686,0.75977,0.2543672,0.8196204,0.1945169,2568280000.0,3783841000.0,2325168000.0,4107991000.0,1595831000.0,0.1166667,6
1769925976852031488,26,,1572,53177,41,248.18456,22.571313,0.03655429,2.098543e-05,GALAXY,5329207000.0,7628211000.0,3579966000.0,9977192000.0,1780746000.0,0.8395705,1.059022,0.6666695,1.497924,0.5004186,10926780000.0,12975890000.0,7278363000.0,14625180000.0,2430464000.0,0.74647,1.444724,0.5004186,1.943477,0.2809674,3109142000.0,4516058000.0,2317752000.0,5922974000.0,1394463000.0,0.1433333,6,6126790000.0,6876640000.0,3927230000.0,6876640000.0,2227570000.0,0.6666695,0.7863702,0.580219,0.9991714,0.5004186,8726270000.0,9576100000.0,5876840000.0,10026010000.0,2427530000.0,0.5336688,0.9991714,0.4671684,0.9991714,0.4671684,3443995000.0,3870370000.0,2212244000.0,3870370000.0,1406870000.0,0.0,4
1769930100020635648,26,,1572,53177,56,248.33954,22.814219,0.03442689,1.042122e-05,GALAXY,7428298000.0,8377886000.0,4979359000.0,9227518000.0,4979359000.0,1.318373,1.318373,1.178722,1.624275,0.9991714,9077583000.0,10277060000.0,5779013000.0,10826820000.0,5779013000.0,1.032422,1.477974,0.939321,1.504574,0.8129703,25506520000.0,28798810000.0,19681690000.0,33104110000.0,19681690000.0,0.04666667,3,11425730000.0,11675680000.0,10625890000.0,11675680000.0,9576100000.0,1.085622,1.172072,1.065672,1.331673,0.9991714,11775660000.0,12225570000.0,10925830000.0,12225570000.0,10675880000.0,1.165422,1.351623,1.019122,1.444724,0.9858713,44070950000.0,45115910000.0,38584900000.0,47205840000.0,36233740000.0,0.0,5
1769941919770634240,26,,1572,53177,99,248.06276,22.809861,0.03814136,1.555057e-05,GALAXY,12775980000.0,13725570000.0,11276630000.0,14675160000.0,10177110000.0,0.5469689,0.8861208,0.4937686,0.9526212,0.4605184,13825520000.0,14575200000.0,13175810000.0,14775110000.0,12775980000.0,0.6068192,1.052372,0.4937686,1.218623,0.4671684,14835240000.0,16264350000.0,13120320000.0,18265090000.0,11786480000.0,0.09,4,8926230000.0,9976020000.0,7926430000.0,10975820000.0,6476720000.0,0.75312,0.8661706,0.6267693,0.9991714,0.5004186,9026210000.0,11625690000.0,8276360000.0,12375540000.0,7426530000.0,0.7398199,0.8528706,0.5602689,0.9991714,0.5004186,11149590000.0,12257560000.0,9537990000.0,13869160000.0,7322039000.0,0.02333333,3
1769964734636910592,26,,1572,53177,182,247.50498,23.351333,0.03691935,2.511238e-05,GALAXY,4179706000.0,5179273000.0,2730334000.0,5179273000.0,1780746000.0,0.9991714,1.125522,0.9526212,1.251873,0.75312,6878536000.0,8377886000.0,3829858000.0,8877669000.0,2330508000.0,0.6201193,0.8728207,0.5137187,1.218623,0.5137187,2242214000.0,2545713000.0,1591858000.0,2892570000.0,1158288000.0,0.2866667,4,8726270000.0,10975820000.0,5576900000.0,12275560000.0,3977220000.0,0.7730702,1.012471,0.6267693,1.497924,0.4937686,8976220000.0,11075800000.0,5826850000.0,12325550000.0,4727070000.0,0.75977,1.078972,0.5004186,1.311723,0.4937686,4923715000.0,5956102000.0,3442463000.0,6270306000.0,2679395000.0,0.05,3
1769965834148538368,26,,1572,53177,186,247.43357,23.352887,0.0371897,1.261293e-05,GALAXY,9227518000.0,9977192000.0,7428298000.0,11226650000.0,6978492000.0,1.025771,1.258523,0.8728207,1.318373,0.7265199,10277060000.0,11476540000.0,8877669000.0,11826390000.0,7828124000.0,0.8262705,1.059022,0.7198699,1.152122,0.6001692,15869740000.0,18700930000.0,13577820000.0,20049120000.0,12768910000.0,0.1466667,2,9476120000.0,10475920000.0,7626490000.0,11475720000.0,7476520000.0,0.9991714,1.012471,0.9526212,1.092272,0.75312,9776060000.0,10775860000.0,7776460000.0,11475720000.0,7726470000.0,0.9991714,1.178722,0.932671,1.225273,0.7132198,18087100000.0,20163030000.0,14627220000.0,20578220000.0,13935240000.0,0.06333333,3
1771043356365842432,26,,1573,53226,10,247.5114,23.354417,0.03738237,1.135492e-05,GALAXY,9227518000.0,9827257000.0,7328341000.0,10676890000.0,7328341000.0,1.504574,1.750626,1.484624,1.750626,1.378224,10077150000.0,10826820000.0,8727734000.0,11426560000.0,8727734000.0,1.517874,1.743976,1.404824,1.996677,1.291773,79534620000.0,86084580000.0,66980540000.0,91542870000.0,66980540000.0,0.02666667,4,8176380000.0,8976220000.0,7826450000.0,9476120000.0,6726670000.0,1.544474,1.544474,1.477974,1.750626,1.411474,8226370000.0,9826050000.0,7826450000.0,10775860000.0,6826650000.0,1.564425,1.664175,1.404824,1.770576,1.331673,72439870000.0,82571670000.0,69625480000.0,87637570000.0,61745190000.0,0.0,3
1771054351482120192,26,,1573,53226,50,247.3617,23.118282,0.03775924,1.759915e-05,GALAXY,7828124000.0,9727301000.0,5329207000.0,11326610000.0,4479576000.0,0.926021,1.132172,0.6334193,1.205323,0.5469689,13975460000.0,14625180000.0,10676890000.0,14975030000.0,3130161000.0,0.566919,1.172072,0.4605184,1.624275,0.3740679,7106140000.0,8906738000.0,4855391000.0,10557290000.0,3354892000.0,0.1066667,5,2277560000.0,5626890000.0,1977620000.0,7726470000.0,1727670000.0,0.6666695,0.8329205,0.6267693,1.085622,0.4605184,2677480000.0,8526310000.0,2477520000.0,10625890000.0,2077600000.0,0.580219,1.012471,0.4472183,1.225273,0.3275176,2377052000.0,4618356000.0,2216959000.0,5979147000.0,1896773000.0,0.06,3
