SPECOBJID,RUN2D,RUN1D,PLATE,MJD,FIBERID,RA,DEC,Z_NOQSO,Z_ERR_NOQSO,CLASS_NOQSO,Chabrier_MILES_age_lightW,Chabrier_MILES_age_lightW_up_1sig,Chabrier_MILES_age_lightW_low_1sig,Chabrier_MILES_age_lightW_up_2sig,Chabrier_MILES_age_lightW_low_2sig,Chabrier_MILES_metallicity_lightW,Chabrier_MILES_metallicity_lightW_up_1sig,Chabrier_MILES_metallicity_lightW_low_1sig,Chabrier_MILES_metallicity_lightW_up_2sig,Chabrier_MILES_metallicity_lightW_low_2sig,Chabrier_MILES_age_massW,Chabrier_MILES_age_massW_up_1sig,Chabrier_MILES_age_massW_low_1sig,Chabrier_MILES_age_massW_up_2sig,Chabrier_MILES_age_massW_low_2sig,Chabrier_MILES_metallicity_massW,Chabrier_MILES_metallicity_massW_up_1sig,Chabrier_MILES_metallicity_massW_low_1sig,Chabrier_MILES_metallicity_massW_up_2sig,Chabrier_MILES_metallicity_massW_low_2sig,Chabrier_MILES_total_mass,Chabrier_MILES_total_mass_up_1sig,Chabrier_MILES_total_mass_low_1sig,Chabrier_MILES_total_mass_up_2sig,Chabrier_MILES_total_mass_low_2sig,Chabrier_MILES_spm_EBV,Chabrier_MILES_nComponentsSSP,Chabrier_ELODIE_age_lightW,Chabrier_ELODIE_age_lightW_up_1sig,Chabrier_ELODIE_age_lightW_low_1sig,Chabrier_ELODIE_age_lightW_up_2sig,Chabrier_ELODIE_age_lightW_low_2sig,Chabrier_ELODIE_metallicity_lightW,Chabrier_ELODIE_metallicity_lightW_up_1sig,Chabrier_ELODIE_metallicity_lightW_low_1sig,Chabrier_ELODIE_metallicity_lightW_up_2sig,Chabrier_ELODIE_metallicity_lightW_low_2sig,Chabrier_ELODIE_age_massW,Chabrier_ELODIE_age_massW_up_1sig,Chabrier_ELODIE_age_massW_low_1sig,Chabrier_ELODIE_age_massW_up_2sig,Chabrier_ELODIE_age_massW_low_2sig,Chabrier_ELODIE_metallicity_massW,Chabrier_ELODIE_metallicity_massW_up_1sig,Chabrier_ELODIE_metallicity_massW_low_1sig,Chabrier_ELODIE_metallicity_massW_up_2sig,Chabrier_ELODIE_metallicity_massW_low_2sig,Chabrier_ELODIE_total_mass,Chabrier_ELODIE_total_mass_up_1sig,Chabrier_ELODIE_total_mass_low_1sig,Chabrier_ELODIE_total_mass_up_2sig,Chabrier_ELODIE_total_mass_low_2sig,Chabrier_ELODIE_spm_EBV,Chabrier_ELODIE_nComponentsSSP
917629629504710656,26,,815,52374,77,246.85514,42.679712,0.03138418,1.164294e-05,GALAXY,13325740000.0,13425700000.0,11126690000.0,14225350000.0,10676890000.0,1.750626,1.996677,1.750626,1.996677,1.564425,14825090000.0,14825090000.0,13875500000.0,14825090000.0,13175810000.0,1.817126,1.996677,1.810476,1.996677,1.670825,59879270000.0,60364680000.0,53811660000.0,62791730000.0,51141910000.0,0.02,3,13475320000.0,14025210000.0,12975420000.0,14225170000.0,12675480000.0,1.497924,1.504574,1.451374,1.544474,1.451374,13475320000.0,14025210000.0,13125390000.0,14325150000.0,12775460000.0,1.551124,1.591025,1.477974,1.624275,1.458024,57133230000.0,59869270000.0,55143380000.0,61112930000.0,52904800000.0,0.0,3
917740405301209088,26,,815,52374,480,245.44212,43.355736,0.03191409,8.681825e-06,GALAXY,7928081000.0,9427430000.0,6278796000.0,10027170000.0,4479576000.0,1.045722,1.251873,0.8129703,1.265173,0.5004186,14175370000.0,14675160000.0,12076280000.0,14925050000.0,5878969000.0,1.218623,1.557775,0.7797202,1.750626,0.3208676,2993250000.0,3759786000.0,2226714000.0,4366628000.0,1492116000.0,0.14,6,9526110000.0,10076000000.0,5676880000.0,11025810000.0,3227370000.0,0.566919,0.7797202,0.5336688,1.032422,0.4073181,14425130000.0,14475120000.0,8826250000.0,14525110000.0,3477320000.0,0.387368,0.7730702,0.3275176,1.172072,0.2743174,3251336000.0,3354338000.0,2186979000.0,3663345000.0,1156956000.0,0.0,4
917742879202371584,26,,815,52374,489,245.62302,43.520778,0.03218745,7.970932e-06,GALAXY,8078016000.0,8927648000.0,5729034000.0,9777279000.0,4279663000.0,0.7730702,0.8661706,0.5602689,0.8994209,0.387368,11676460000.0,12226220000.0,8727734000.0,12526090000.0,7678189000.0,0.4206182,0.5868691,0.3541178,0.7797202,0.2277671,3196041000.0,3621061000.0,2230088000.0,3968804000.0,1920983000.0,0.1266667,5,7126590000.0,7926430000.0,3977220000.0,8826250000.0,3227370000.0,0.8395705,0.9991714,0.7797202,1.418124,0.5469689,10475920000.0,11125790000.0,6826650000.0,11725670000.0,4027210000.0,0.3341677,0.5403188,0.221117,0.9127209,0.221117,2500239000.0,2667769000.0,1620705000.0,3044712000.0,1159997000.0,0.04666667,4
917745353103534080,26,,815,52374,498,245.662,43.464641,0.03199966,1.042474e-05,GALAXY,7078449000.0,7628211000.0,5928948000.0,8177973000.0,5329207000.0,1.996677,1.996677,1.983377,1.996677,1.863676,8877669000.0,9377452000.0,7378319000.0,9927214000.0,5828991000.0,1.996677,1.996677,1.843726,1.996677,1.817126,57070090000.0,60940210000.0,47179800000.0,63520290000.0,42019640000.0,0.0,5,6676680000.0,7826450000.0,6226770000.0,8876240000.0,5226970000.0,1.737326,1.876976,1.624275,1.876976,1.497924,7526510000.0,9526110000.0,6326750000.0,10425930000.0,6226770000.0,1.903576,1.963427,1.630925,1.970077,1.504574,52423630000.0,60886160000.0,43515720000.0,64894720000.0,41734140000.0,0.0,3
918842940669847552,26,,816,52379,395,246.82355,42.695237,0.0313989,1.049917e-05,GALAXY,12226220000.0,13425700000.0,11476540000.0,14125390000.0,9927214000.0,0.9792213,1.085622,0.8395705,1.251873,0.75312,13225780000.0,13725570000.0,12326170000.0,14225350000.0,11576500000.0,1.072322,1.364923,0.932671,1.384874,0.7797202,17236420000.0,18913530000.0,15953920000.0,19308150000.0,14671420000.0,0.01,4,8476320000.0,9276160000.0,6926630000.0,9726070000.0,6476720000.0,0.7863702,0.8262705,0.6533695,0.939321,0.580219,9076200000.0,9526110000.0,7626490000.0,10125990000.0,7126590000.0,0.7863702,0.8661706,0.6334193,0.932671,0.5602689,11334120000.0,12057360000.0,9577661000.0,12470640000.0,8337811000.0,0.01,3
918850087495428096,26,,816,52379,421,246.9071,42.638218,0.03104621,8.550699e-06,GALAXY,7478276000.0,8477842000.0,6878536000.0,9577366000.0,5579099000.0,1.524524,1.591025,1.325023,1.777226,1.245223,8827691000.0,9927214000.0,8327907000.0,10926780000.0,7128428000.0,1.418124,1.557775,1.158772,1.704075,1.118872,40269740000.0,48273780000.0,37137720000.0,53145820000.0,32265690000.0,0.03,6,11325750000.0,11675680000.0,9176180000.0,11925630000.0,8976220000.0,0.8329205,1.165422,0.8063203,1.198673,0.7930202,11875640000.0,12425530000.0,11025810000.0,12775460000.0,10425930000.0,0.8861208,1.005821,0.8462206,1.012471,0.7930202,56617890000.0,57340530000.0,46500950000.0,58424480000.0,44694350000.0,0.0,4
918852011640776704,26,,816,52379,428,246.85105,42.593904,0.03279614,9.061992e-06,GALAXY,5279229000.0,7228384000.0,4429598000.0,8627778000.0,3679922000.0,1.258523,1.378224,0.9991714,1.438074,0.8728207,6228817000.0,9827257000.0,5029338000.0,11626480000.0,3929814000.0,1.138822,1.258523,0.8861208,1.458024,0.6932697,11152020000.0,14739440000.0,9717057000.0,16748400000.0,8569083000.0,0.04,5,7426530000.0,8076400000.0,3077400000.0,9126190000.0,2977420000.0,0.6334193,0.75312,0.4937686,1.092272,0.4937686,7826450000.0,8226370000.0,3127390000.0,9926030000.0,2977420000.0,0.5403188,1.298423,0.4937686,1.391524,0.4937686,13384760000.0,14605780000.0,6974433000.0,16284670000.0,6669180000.0,0.02333333,2
918872352605890560,26,,816,52379,502,247.21693,42.812007,0.03157634,1.108381e-05,GALAXY,9877236000.0,11676460000.0,9577366000.0,12676020000.0,8477842000.0,1.092272,1.092272,0.8329205,1.125522,0.6666695,11876370000.0,12825960000.0,10876800000.0,13775550000.0,10077150000.0,0.8063203,0.9592712,0.6267693,0.9858713,0.6201193,13142350000.0,17052670000.0,12730740000.0,17052670000.0,11907520000.0,0.08,3,10175980000.0,11375740000.0,9526110000.0,11375740000.0,8476320000.0,1.092272,1.092272,0.9526212,1.092272,0.9526212,10775860000.0,11425730000.0,9676080000.0,11525710000.0,8676280000.0,1.025771,1.132172,0.9459711,1.218623,0.9459711,15464530000.0,16747040000.0,14075130000.0,17281430000.0,12685740000.0,0.003333333,2
918886371379144704,26,,816,52379,553,247.57879,42.914871,0.03209873,9.75804e-06,GALAXY,10476980000.0,13075850000.0,9977192000.0,13475680000.0,9727301000.0,1.624275,1.624275,1.245223,1.624275,1.225273,12975890000.0,13675590000.0,11976330000.0,14125390000.0,11176670000.0,1.704075,1.717375,1.411474,1.724025,1.325023,34962800000.0,40987140000.0,31762380000.0,42116700000.0,30821080000.0,0.02333333,3,13175380000.0,13975220000.0,12925430000.0,14875040000.0,9476120000.0,1.092272,1.092272,0.9991714,1.497924,0.9925213,13275360000.0,14075200000.0,12825450000.0,14975020000.0,10175980000.0,1.138822,1.138822,0.9991714,1.464674,0.9592712,39096750000.0,41446080000.0,37922080000.0,44186980000.0,29112070000.0,0.0,2
919860538714908672,26,,817,52381,1,250.44853,39.607959,0.02958904,1.142863e-05,GALAXY,7728167000.0,8377886000.0,5828991000.0,8727734000.0,4979359000.0,1.012471,1.092272,0.9526212,1.251873,0.75312,11126690000.0,12026300000.0,8227951000.0,12676020000.0,7478276000.0,0.6467195,0.7664201,0.5868691,1.005821,0.5403188,8758283000.0,9564929000.0,6876109000.0,9744183000.0,5979835000.0,0.08,4,9426130000.0,10725870000.0,8826250000.0,11975620000.0,8326350000.0,0.75312,0.7730702,0.6267693,0.8661706,0.5004186,9576100000.0,11375740000.0,8976220000.0,12725470000.0,8476320000.0,0.7863702,0.8462206,0.6068192,0.9592712,0.5004186,11457500000.0,12681410000.0,10704320000.0,13340450000.0,9951134000.0,0.0,3
