SPECOBJID,RUN2D,RUN1D,PLATE,MJD,FIBERID,RA,DEC,Z_NOQSO,Z_ERR_NOQSO,CLASS_NOQSO,Chabrier_MILES_age_lightW,Chabrier_MILES_age_lightW_up_1sig,Chabrier_MILES_age_lightW_low_1sig,Chabrier_MILES_age_lightW_up_2sig,Chabrier_MILES_age_lightW_low_2sig,Chabrier_MILES_metallicity_lightW,Chabrier_MILES_metallicity_lightW_up_1sig,Chabrier_MILES_metallicity_lightW_low_1sig,Chabrier_MILES_metallicity_lightW_up_2sig,Chabrier_MILES_metallicity_lightW_low_2sig,Chabrier_MILES_age_massW,Chabrier_MILES_age_massW_up_1sig,Chabrier_MILES_age_massW_low_1sig,Chabrier_MILES_age_massW_up_2sig,Chabrier_MILES_age_massW_low_2sig,Chabrier_MILES_metallicity_massW,Chabrier_MILES_metallicity_massW_up_1sig,Chabrier_MILES_metallicity_massW_low_1sig,Chabrier_MILES_metallicity_massW_up_2sig,Chabrier_MILES_metallicity_massW_low_2sig,Chabrier_MILES_total_mass,Chabrier_MILES_total_mass_up_1sig,Chabrier_MILES_total_mass_low_1sig,Chabrier_MILES_total_mass_up_2sig,Chabrier_MILES_total_mass_low_2sig,Chabrier_MILES_spm_EBV,Chabrier_MILES_nComponentsSSP,Chabrier_ELODIE_age_lightW,Chabrier_ELODIE_age_lightW_up_1sig,Chabrier_ELODIE_age_lightW_low_1sig,Chabrier_ELODIE_age_lightW_up_2sig,Chabrier_ELODIE_age_lightW_low_2sig,Chabrier_ELODIE_metallicity_lightW,Chabrier_ELODIE_metallicity_lightW_up_1sig,Chabrier_ELODIE_metallicity_lightW_low_1sig,Chabrier_ELODIE_metallicity_lightW_up_2sig,Chabrier_ELODIE_metallicity_lightW_low_2sig,Chabrier_ELODIE_age_massW,Chabrier_ELODIE_age_massW_up_1sig,Chabrier_ELODIE_age_massW_low_1sig,Chabrier_ELODIE_age_massW_up_2sig,Chabrier_ELODIE_age_massW_low_2sig,Chabrier_ELODIE_metallicity_massW,Chabrier_ELODIE_metallicity_massW_up_1sig,Chabrier_ELODIE_metallicity_massW_low_1sig,Chabrier_ELODIE_metallicity_massW_up_2sig,Chabrier_ELODIE_metallicity_massW_low_2sig,Chabrier_ELODIE_total_mass,Chabrier_ELODIE_total_mass_up_1sig,Chabrier_ELODIE_total_mass_low_1sig,Chabrier_ELODIE_total_mass_up_2sig,Chabrier_ELODIE_total_mass_low_2sig,Chabrier_ELODIE_spm_EBV,Chabrier_ELODIE_nComponentsSSP
2007509277522028544,26,,1783,53386,108,129.09971,55.721287,0.04534833,1.296845e-05,GALAXY,7578232000.0,8977626000.0,6578666000.0,9577366000.0,5978926000.0,1.630925,1.750626,1.438074,1.810476,1.411474,8527821000.0,10077150000.0,7428298000.0,10726870000.0,6828557000.0,1.557775,1.670825,1.371573,1.777226,1.325023,41297250000.0,45819830000.0,37122550000.0,49298750000.0,34339420000.0,0.07,5,10325950000.0,11075800000.0,9226170000.0,11575700000.0,7976420000.0,1.331673,1.418124,1.291773,1.497924,1.165422,10825850000.0,12075600000.0,9676080000.0,12825450000.0,8476320000.0,1.464674,1.664175,1.338323,1.803826,1.218623,57260340000.0,63207000000.0,49564650000.0,66005430000.0,42918380000.0,0.003333333,4
2007516149469702144,26,,1783,53386,133,127.04059,54.821163,0.03067886,1.190049e-05,GALAXY,8577799000.0,9277496000.0,7728167000.0,10476980000.0,6228817000.0,1.258523,1.318373,1.178722,1.624275,0.8728207,10177110000.0,11476540000.0,8827691000.0,12176240000.0,7278363000.0,1.005821,1.418124,0.8595206,1.557775,0.8262705,13404590000.0,17079710000.0,12256110000.0,17539100000.0,10877940000.0,0.02666667,3,8026410000.0,8776260000.0,6976620000.0,9176180000.0,5976820000.0,0.9792213,1.092272,0.9526212,1.165422,0.75312,8026410000.0,9076200000.0,6926630000.0,9776060000.0,5976820000.0,1.118872,1.245223,0.8728207,1.404824,0.7797202,13074670000.0,14504950000.0,11286810000.0,15100910000.0,9737338000.0,0.0,3
2007537864824350720,26,,1783,53386,212,126.85428,54.876705,0.03080871,6.582528e-06,GALAXY,6728601000.0,8677756000.0,4429598000.0,9977192000.0,3979792000.0,0.5203687,0.6267693,0.3607678,0.6999197,0.2610173,10876800000.0,12775980000.0,6828557000.0,13575630000.0,6228817000.0,0.08146627,0.1546167,0.02826597,0.2809674,0.02826597,4337692000.0,5344160000.0,3163479000.0,6015139000.0,2911862000.0,0.0,7,3577300000.0,5276960000.0,2527510000.0,6276760000.0,2077600000.0,0.5868691,0.74647,0.5868691,0.8329205,0.5004186,11525710000.0,14825050000.0,9226170000.0,14875040000.0,5926830000.0,0.04156604,0.1745668,0.0149659,0.221117,0.0149659,2240433000.0,3238486000.0,1786773000.0,3692146000.0,1423845000.0,0.04,6
2007539514091792384,26,,1783,53386,218,126.87881,54.904674,0.03052484,1.169053e-05,GALAXY,10227080000.0,12726000000.0,9427430000.0,13175810000.0,8577799000.0,1.624275,1.697425,1.318373,1.830426,1.225273,12476110000.0,13425700000.0,12026300000.0,13625610000.0,11626480000.0,1.670825,1.710725,1.418124,1.763926,1.384874,47557530000.0,55947790000.0,44309700000.0,57301050000.0,42956430000.0,0.03666667,4,10225970000.0,10675880000.0,9626090000.0,11425730000.0,8976220000.0,1.331673,1.391524,1.305073,1.418124,1.165422,10875840000.0,11725670000.0,10275960000.0,12575500000.0,9476120000.0,1.305073,1.444724,1.172072,1.551124,1.085622,43022320000.0,46614540000.0,40535400000.0,50483070000.0,38324810000.0,0.0,4
2007571125051090944,26,,1783,53386,333,125.19064,56.490943,0.02922442,1.109021e-05,GALAXY,5729034000.0,5928948000.0,4979359000.0,7978059000.0,4929381000.0,1.863676,1.990027,1.863676,1.996677,1.863676,6178839000.0,6628644000.0,4979359000.0,8827691000.0,4929381000.0,1.783876,1.996677,1.757276,1.996677,1.364923,31821610000.0,32479650000.0,29518470000.0,41034170000.0,28202390000.0,0.1166667,2,12075600000.0,12875440000.0,11175780000.0,12975420000.0,10525910000.0,1.418124,1.484624,1.305073,1.544474,1.251873,12175580000.0,12975420000.0,11525710000.0,13275360000.0,10825850000.0,1.398174,1.504574,1.278473,1.617625,1.158772,62949280000.0,65889430000.0,57068990000.0,67196160000.0,54128840000.0,0.02666667,3
2008615403651098624,26,,1784,54425,36,132.48146,57.122006,0.04165288,1.059157e-05,GALAXY,10926780000.0,12875940000.0,8927648000.0,14975030000.0,7178406000.0,0.8927708,0.9792213,0.7996703,1.065672,0.573569,13125830000.0,14225350000.0,11876370000.0,14975030000.0,11226650000.0,1.404824,1.571075,1.092272,1.624275,0.8794707,16162950000.0,19212180000.0,11957120000.0,21315090000.0,10485080000.0,0.0,5,4127190000.0,5126990000.0,1527710000.0,7676480000.0,1177780000.0,0.8329205,1.085622,0.75312,1.165422,0.6666695,8726270000.0,10125990000.0,3277360000.0,12125590000.0,2377540000.0,0.580219,1.138822,0.4405683,1.837076,0.2344171,4472802000.0,5744289000.0,2623365000.0,7362547000.0,1583057000.0,0.01,6
2010981827971409920,26,,1786,54450,453,137.49195,62.247359,0.02624257,8.202468e-06,GALAXY,8627778000.0,9877236000.0,6678623000.0,10077150000.0,6628644000.0,1.065672,1.298423,0.75312,1.318373,0.6134692,10177110000.0,11226650000.0,8877669000.0,11526520000.0,8827691000.0,0.8329205,1.072322,0.580219,1.072322,0.5137187,17070160000.0,19169260000.0,14486650000.0,19492200000.0,13840780000.0,0.21,4,7826450000.0,8226370000.0,4127190000.0,8676280000.0,3527310000.0,1.418124,1.664175,1.351623,1.750626,1.258523,11075800000.0,11075800000.0,5476920000.0,11075800000.0,4527110000.0,1.172072,1.584375,1.172072,1.664175,1.098922,16186190000.0,16186190000.0,10178410000.0,16186190000.0,8392308000.0,0.2066667,4
2010982652605130752,26,,1786,54450,456,137.13287,62.142644,0.02635529,1.312578e-05,GALAXY,8028038000.0,9977192000.0,5629078000.0,12126260000.0,4329641000.0,0.926021,1.092272,0.6733196,1.338323,0.5602689,10976760000.0,12925910000.0,8327907000.0,14125390000.0,5329207000.0,0.6201193,1.185372,0.3740679,1.325023,0.3341677,6681610000.0,8662021000.0,4853538000.0,10413920000.0,3710993000.0,0.06333333,6,5426930000.0,6576700000.0,3827250000.0,7526510000.0,3127390000.0,0.75312,0.8462206,0.6533695,0.9991714,0.6533695,8526310000.0,9776060000.0,5926830000.0,10625890000.0,5126990000.0,0.573569,0.8329205,0.5270188,0.8794707,0.5203687,5238948000.0,6275654000.0,3963003000.0,7073120000.0,3165537000.0,0.0,5
2010997770890012672,26,,1786,54450,511,137.7102,61.986244,0.02630113,1.795042e-05,GALAXY,4879402000.0,7478276000.0,3130161000.0,10177110000.0,1930681000.0,0.6733196,0.8728207,0.4206182,1.045722,0.2011669,7178406000.0,11676460000.0,4979359000.0,14375290000.0,3529988000.0,0.4405683,0.6400694,0.1546167,0.8129703,0.1213665,1138631000.0,1622976000.0,830412200.0,1975226000.0,676302700.0,0.1333333,6,5676880000.0,8176380000.0,4327150000.0,11175780000.0,2627490000.0,0.6866196,0.8794707,0.5868691,1.331673,0.4605184,9376140000.0,12225570000.0,7276560000.0,14375140000.0,6226770000.0,0.4871185,0.7398199,0.2876174,1.105572,0.1679167,1201409000.0,1793914000.0,940707300.0,2054616000.0,680005300.0,0.09333333,5
2010999145279547392,26,,1786,54450,516,137.84533,62.016191,0.02565558,7.677062e-06,GALAXY,8327907000.0,9727301000.0,7528254000.0,10626910000.0,6678623000.0,1.750626,1.810476,1.517874,1.996677,1.438074,10177110000.0,11126690000.0,9227518000.0,11626480000.0,8527821000.0,1.750626,1.803826,1.551124,1.996677,1.464674,39914320000.0,44080250000.0,36581580000.0,47413000000.0,34915210000.0,0.07,5,6976620000.0,7926430000.0,6676680000.0,8976220000.0,6676680000.0,1.664175,1.697425,1.584375,1.830426,1.497924,7376540000.0,9376140000.0,6676680000.0,11275760000.0,6676680000.0,1.584375,1.704075,1.438074,1.830426,1.344973,31212470000.0,38261840000.0,30084570000.0,45311220000.0,28674690000.0,0.02666667,4
