SPECOBJID,RUN2D,RUN1D,PLATE,MJD,FIBERID,RA,DEC,Z_NOQSO,Z_ERR_NOQSO,CLASS_NOQSO,Chabrier_MILES_age_lightW,Chabrier_MILES_age_lightW_up_1sig,Chabrier_MILES_age_lightW_low_1sig,Chabrier_MILES_age_lightW_up_2sig,Chabrier_MILES_age_lightW_low_2sig,Chabrier_MILES_metallicity_lightW,Chabrier_MILES_metallicity_lightW_up_1sig,Chabrier_MILES_metallicity_lightW_low_1sig,Chabrier_MILES_metallicity_lightW_up_2sig,Chabrier_MILES_metallicity_lightW_low_2sig,Chabrier_MILES_age_massW,Chabrier_MILES_age_massW_up_1sig,Chabrier_MILES_age_massW_low_1sig,Chabrier_MILES_age_massW_up_2sig,Chabrier_MILES_age_massW_low_2sig,Chabrier_MILES_metallicity_massW,Chabrier_MILES_metallicity_massW_up_1sig,Chabrier_MILES_metallicity_massW_low_1sig,Chabrier_MILES_metallicity_massW_up_2sig,Chabrier_MILES_metallicity_massW_low_2sig,Chabrier_MILES_total_mass,Chabrier_MILES_total_mass_up_1sig,Chabrier_MILES_total_mass_low_1sig,Chabrier_MILES_total_mass_up_2sig,Chabrier_MILES_total_mass_low_2sig,Chabrier_MILES_spm_EBV,Chabrier_MILES_nComponentsSSP,Chabrier_ELODIE_age_lightW,Chabrier_ELODIE_age_lightW_up_1sig,Chabrier_ELODIE_age_lightW_low_1sig,Chabrier_ELODIE_age_lightW_up_2sig,Chabrier_ELODIE_age_lightW_low_2sig,Chabrier_ELODIE_metallicity_lightW,Chabrier_ELODIE_metallicity_lightW_up_1sig,Chabrier_ELODIE_metallicity_lightW_low_1sig,Chabrier_ELODIE_metallicity_lightW_up_2sig,Chabrier_ELODIE_metallicity_lightW_low_2sig,Chabrier_ELODIE_age_massW,Chabrier_ELODIE_age_massW_up_1sig,Chabrier_ELODIE_age_massW_low_1sig,Chabrier_ELODIE_age_massW_up_2sig,Chabrier_ELODIE_age_massW_low_2sig,Chabrier_ELODIE_metallicity_massW,Chabrier_ELODIE_metallicity_massW_up_1sig,Chabrier_ELODIE_metallicity_massW_low_1sig,Chabrier_ELODIE_metallicity_massW_up_2sig,Chabrier_ELODIE_metallicity_massW_low_2sig,Chabrier_ELODIE_total_mass,Chabrier_ELODIE_total_mass_up_1sig,Chabrier_ELODIE_total_mass_low_1sig,Chabrier_ELODIE_total_mass_up_2sig,Chabrier_ELODIE_total_mass_low_2sig,Chabrier_ELODIE_spm_EBV,Chabrier_ELODIE_nComponentsSSP
1787963736426833920,26,,1588,52965,126,131.70497,28.171317,0.02100472,6.795814e-06,GALAXY,6528688000.0,7878103000.0,5828991000.0,8827691000.0,5079316000.0,1.657525,1.750626,1.477974,1.850376,1.378224,8627778000.0,10027170000.0,7778146000.0,10626910000.0,6478709000.0,1.444724,1.537824,1.218623,1.730675,1.152122,25926620000.0,31126710000.0,23586580000.0,34766770000.0,21766550000.0,0.02666667,6,10225970000.0,11475720000.0,9676080000.0,11975620000.0,9576100000.0,1.331673,1.338323,1.251873,1.351623,1.165422,10575900000.0,11775660000.0,10325950000.0,12275560000.0,10026010000.0,1.338323,1.344973,1.172072,1.438074,1.078972,42168300000.0,45666700000.0,40284540000.0,46474020000.0,38400780000.0,0.0,4
1793565473728653312,26,,1593,52991,25,143.54741,33.935895,0.02846167,1.069367e-05,GALAXY,5679056000.0,8227951000.0,4379619000.0,9227518000.0,2980226000.0,0.9193709,1.105572,0.6866196,1.338323,0.5004186,6578666000.0,10826820000.0,5878969000.0,12126260000.0,3430031000.0,0.8661706,1.245223,0.4804685,1.398174,0.3208676,3958810000.0,5829501000.0,3081924000.0,6355633000.0,2263497000.0,0.1333333,5,4727070000.0,5976820000.0,3627290000.0,6426730000.0,2927430000.0,0.6999197,0.8329205,0.6533695,0.9991714,0.580219,7226570000.0,11075800000.0,5826850000.0,11425730000.0,4927030000.0,0.8329205,0.932671,0.6334193,0.9991714,0.5403188,3771475000.0,5116400000.0,2976746000.0,5177533000.0,2304284000.0,0.05,5
1793575919089117184,26,,1593,52991,63,143.31964,33.905696,0.02693793,1.039232e-05,GALAXY,9077583000.0,10277060000.0,7878103000.0,10277060000.0,6428731000.0,1.052372,1.158772,1.032422,1.278473,0.9991714,13175810000.0,14375290000.0,11626480000.0,14375290000.0,10427000000.0,0.5868691,0.7198699,0.580219,0.9858713,0.5403188,11115670000.0,11818440000.0,9810528000.0,12521210000.0,8103803000.0,0.1,3,4177180000.0,4477120000.0,2877440000.0,4727070000.0,2777460000.0,0.8661706,0.8661706,0.7265199,0.8728207,0.5137187,4777060000.0,4877040000.0,2927430000.0,5226970000.0,2927430000.0,0.7198699,0.8395705,0.6866196,0.9127209,0.5203687,5574141000.0,5891503000.0,4093119000.0,6103077000.0,3987332000.0,0.1,3
1793576468844931072,26,,1593,52991,65,143.39303,33.648626,0.02736097,5.989755e-06,GALAXY,5079316000.0,5579099000.0,4429598000.0,6428731000.0,3929814000.0,1.477974,1.544474,1.411474,1.544474,1.331673,6978492000.0,8677756000.0,5379186000.0,9077583000.0,5379186000.0,1.158772,1.325023,1.052372,1.325023,0.9592712,18770590000.0,21062190000.0,17242850000.0,23353800000.0,15460490000.0,0.02,4,5726870000.0,6326750000.0,4927030000.0,6826650000.0,4527110000.0,1.178722,1.265173,0.9991714,1.351623,0.926021,6776660000.0,7526510000.0,5576900000.0,7926430000.0,5176980000.0,0.9991714,1.078972,0.8661706,1.138822,0.8063203,20803440000.0,22677670000.0,18393710000.0,23748660000.0,17054980000.0,0.0,3
1793580592013535232,26,,1593,52991,80,143.50397,33.990716,0.02745581,8.268325e-06,GALAXY,10476980000.0,10976760000.0,9927214000.0,11376590000.0,9627344000.0,1.251873,1.318373,1.225273,1.318373,1.125522,10476980000.0,11776410000.0,9977192000.0,12126260000.0,9677322000.0,1.298423,1.524524,1.118872,1.577725,1.078972,44348670000.0,51140250000.0,41518850000.0,53121130000.0,40103940000.0,0.05,3,13925230000.0,14025210000.0,13275360000.0,14975020000.0,13075400000.0,1.092272,1.092272,0.9991714,1.092272,0.9925213,14725070000.0,14775060000.0,13625290000.0,14975020000.0,13625290000.0,1.025771,1.098922,0.9991714,1.105572,0.9592712,61374640000.0,61954470000.0,57315840000.0,65433440000.0,56446100000.0,0.0,2
1793687519519336448,26,,1593,52991,469,142.36568,34.32509,0.04160345,1.118306e-05,GALAXY,3729901000.0,5279229000.0,3380052000.0,6478709000.0,3330074000.0,1.318373,1.318373,1.178722,1.318373,0.8728207,3929814000.0,6928514000.0,3529988000.0,8177973000.0,3529988000.0,1.398174,1.557775,0.9526212,1.591025,0.8129703,8475470000.0,10929500000.0,8042406000.0,12950460000.0,7898052000.0,0.04333333,3,8976220000.0,11475720000.0,8376340000.0,12475520000.0,7626490000.0,0.9991714,1.092272,0.9526212,1.092272,0.75312,8976220000.0,12525510000.0,8176380000.0,12525510000.0,7726470000.0,0.9991714,1.078972,0.6932697,1.211973,0.6733196,18748700000.0,22357150000.0,17395530000.0,24161370000.0,16042370000.0,0.0,2
1793688344153057280,26,,1593,52991,472,142.27972,34.191094,0.04188369,1.167711e-05,GALAXY,14825090000.0,14975030000.0,14375290000.0,14975030000.0,13925480000.0,0.6334193,0.6334193,0.5469689,0.6334193,0.5070686,14775110000.0,14975030000.0,14475240000.0,14975030000.0,13875500000.0,0.6866196,0.7132198,0.5469689,0.7265199,0.5070686,34559070000.0,35299440000.0,32708150000.0,35299440000.0,31782680000.0,0.01,2,10875840000.0,11025810000.0,9726070000.0,11025810000.0,8976220000.0,0.5070686,0.5469689,0.5004186,0.6334193,0.4937686,11825650000.0,12125590000.0,10076000000.0,12425530000.0,9626090000.0,0.5004186,0.6533695,0.4937686,0.6799696,0.4937686,24523860000.0,24715910000.0,22219270000.0,24907960000.0,20682870000.0,0.003333333,3
1793692467321661440,26,,1593,52991,487,142.51484,34.223705,0.04207806,7.808997e-06,GALAXY,5978926000.0,7128428000.0,5079316000.0,7578232000.0,4729467000.0,1.624275,1.657525,1.438074,1.750626,1.378224,7228384000.0,8627778000.0,6178839000.0,8877669000.0,5729034000.0,1.411474,1.557775,1.165422,1.670825,1.118872,36797290000.0,41719580000.0,32695380000.0,46231680000.0,31464810000.0,0.13,5,9976020000.0,10225970000.0,8976220000.0,10725870000.0,8476320000.0,1.497924,1.544474,1.477974,1.544474,1.378224,10275960000.0,10775860000.0,8776260000.0,13125390000.0,7576500000.0,1.624275,1.690775,1.431424,1.803826,1.298423,67632180000.0,69274800000.0,57776460000.0,75845290000.0,48742040000.0,0.02333333,3
1793694391467010048,26,,1593,52991,494,142.54612,34.2267,0.04216657,1.216689e-05,GALAXY,1830724000.0,4379619000.0,1730767000.0,5878969000.0,1730767000.0,1.245223,1.271823,1.138822,1.378224,0.9991714,2380486000.0,7378319000.0,2280529000.0,10327040000.0,2280529000.0,0.8994209,1.052372,0.566919,1.517874,0.4538684,2772369000.0,5359907000.0,2664555000.0,6006792000.0,2664555000.0,0.25,3,8926230000.0,10225970000.0,8326350000.0,10975820000.0,7476520000.0,0.74647,0.7730702,0.7265199,0.8728207,0.6267693,8976220000.0,10425930000.0,8426330000.0,10975820000.0,7726470000.0,0.7730702,0.8528706,0.6134692,0.9991714,0.5004186,12412510000.0,13844390000.0,11531350000.0,14174820000.0,10319750000.0,0.02,3
1793694666344916992,26,,1593,52991,495,142.49911,34.120597,0.04263796,1.047741e-05,GALAXY,5978926000.0,7378319000.0,4779446000.0,8028038000.0,3779879000.0,0.8728207,1.045722,0.7797202,1.172072,0.5868691,8627778000.0,10576930000.0,7028471000.0,11126690000.0,6578666000.0,0.5602689,0.8196204,0.5070686,0.9592712,0.4272682,8606764000.0,10919600000.0,7024294000.0,11284790000.0,5807010000.0,0.3,4,4927030000.0,7226570000.0,4377140000.0,7976420000.0,4377140000.0,0.75312,0.9991714,0.7265199,1.125522,0.5004186,6876640000.0,11725670000.0,5976820000.0,12075600000.0,5976820000.0,0.9060709,1.032422,0.5868691,1.059022,0.5403188,7835796000.0,10137290000.0,7351272000.0,11348600000.0,6987879000.0,0.2366667,3
