cg4_group,lim_group,objid,cg4_rank_M,pc_rank_M,pc_rank_dist,cg4_class
293,310,1237661418750476312,2,8,2,Predom
293,310,1237661418750476491,4,12,3,Predom
303,10811,1237667912217985078,1,1,1,Isolated
303,10811,1237665567146115211,2,2,4,Isolated
303,10811,1237665567146115095,3,3,2,Isolated
303,10811,1237667912217919745,4,4,3,Isolated
309,3859,1237648704057573661,1,1,1,Embedded
309,3859,1237648704057573499,2,2,3,Embedded
309,3859,1237648704057573747,3,3,2,Embedded
309,3859,1237648704057573731,4,5,4,Embedded
315,5240,1237651735776460868,1,1,1,Embedded
315,5240,1237655468597182863,2,2,2,Embedded
315,5240,1237655468597182871,3,3,4,Embedded
316,1877,1237667733988573256,1,1,1,Embedded
316,1877,1237667733988573355,2,2,2,Embedded
322,7404,1237659131675213861,1,1,1,Embedded
322,7404,1237659131675148382,2,2,2,Embedded
322,7404,1237659131675148445,3,4,4,Embedded
322,7404,1237659131675148384,4,5,3,Embedded
323,1685,1237661950272471286,1,1,1,Embedded
323,1685,1237661950272471287,3,4,2,Embedded
323,1685,1237661950272471275,4,6,4,Embedded
333,30,1237665549969588378,1,1,1,Predom
333,30,1237665549969588377,2,3,3,Predom
333,30,1237665549969588379,3,8,2,Predom
341,76,1237662238560682244,1,1,1,Predom
341,76,1237662238560682390,4,22,3,Predom
354,1632,1237662697036251250,1,1,1,Embedded
354,1632,1237662697036251461,2,3,3,Embedded
354,1632,1237662697036251443,4,7,2,Embedded
360,2542,1237662306199666786,1,1,1,Embedded
360,2542,1237662306199666875,2,2,3,Embedded
360,2542,1237662306199666769,3,4,4,Embedded
360,2542,1237662306199667123,4,5,2,Embedded
369,721,1237665535468765463,1,1,1,Predom
369,721,1237665535468765571,2,4,4,Predom
369,721,1237665535468765464,3,5,2,Predom
373,3073,1237662504832270395,1,1,1,Embedded
373,3073,1237662504832270396,2,2,2,Embedded
374,2304,1237668272452862078,1,1,1,Embedded
374,2304,1237668272452862530,2,2,2,Embedded
374,2304,1237668272452862569,4,7,3,Embedded
386,3916,1237662225165516860,1,1,1,Embedded
386,3916,1237662225165451914,2,2,3,Embedded
386,3916,1237662225165517232,3,3,4,Embedded
386,3916,1237662225165517146,4,6,2,Embedded
391,2050,1237661464918753463,1,1,1,Split
391,2050,1237661464918753739,2,3,3,Split
391,2050,1237661464918753719,3,5,2,Split
393,369,1237659329780121695,1,1,1,Predom
393,369,1237659329780121629,3,5,3,Predom
393,369,1237659324957262004,4,8,2,Predom
394,5219,1237655473969299672,1,1,1,Embedded
394,5219,1237655473969299673,2,2,2,Embedded
394,5219,1237655473969299957,3,4,4,Embedded
405,3141,1237662302453039177,1,1,1,Embedded
405,3141,1237662302452974098,3,3,4,Embedded
405,3141,1237662302453039694,4,4,2,Embedded
