plate,mjd,fiberid,SPECOBJID,RUN2D,RUN1D,PLATE,MJD,FIBERID,RA,DEC,Z_NOQSO,Z_ERR_NOQSO,CLASS_NOQSO,Chabrier_MILES_age_lightW,Chabrier_MILES_age_lightW_up_1sig,Chabrier_MILES_age_lightW_low_1sig,Chabrier_MILES_age_lightW_up_2sig,Chabrier_MILES_age_lightW_low_2sig,Chabrier_MILES_metallicity_lightW,Chabrier_MILES_metallicity_lightW_up_1sig,Chabrier_MILES_metallicity_lightW_low_1sig,Chabrier_MILES_metallicity_lightW_up_2sig,Chabrier_MILES_metallicity_lightW_low_2sig,Chabrier_MILES_age_massW,Chabrier_MILES_age_massW_up_1sig,Chabrier_MILES_age_massW_low_1sig,Chabrier_MILES_age_massW_up_2sig,Chabrier_MILES_age_massW_low_2sig,Chabrier_MILES_metallicity_massW,Chabrier_MILES_metallicity_massW_up_1sig,Chabrier_MILES_metallicity_massW_low_1sig,Chabrier_MILES_metallicity_massW_up_2sig,Chabrier_MILES_metallicity_massW_low_2sig,Chabrier_MILES_total_mass,Chabrier_MILES_total_mass_up_1sig,Chabrier_MILES_total_mass_low_1sig,Chabrier_MILES_total_mass_up_2sig,Chabrier_MILES_total_mass_low_2sig,Chabrier_MILES_spm_EBV,Chabrier_MILES_nComponentsSSP,Chabrier_ELODIE_age_lightW,Chabrier_ELODIE_age_lightW_up_1sig,Chabrier_ELODIE_age_lightW_low_1sig,Chabrier_ELODIE_age_lightW_up_2sig,Chabrier_ELODIE_age_lightW_low_2sig,Chabrier_ELODIE_metallicity_lightW,Chabrier_ELODIE_metallicity_lightW_up_1sig,Chabrier_ELODIE_metallicity_lightW_low_1sig,Chabrier_ELODIE_metallicity_lightW_up_2sig,Chabrier_ELODIE_metallicity_lightW_low_2sig,Chabrier_ELODIE_age_massW,Chabrier_ELODIE_age_massW_up_1sig,Chabrier_ELODIE_age_massW_low_1sig,Chabrier_ELODIE_age_massW_up_2sig,Chabrier_ELODIE_age_massW_low_2sig,Chabrier_ELODIE_metallicity_massW,Chabrier_ELODIE_metallicity_massW_up_1sig,Chabrier_ELODIE_metallicity_massW_low_1sig,Chabrier_ELODIE_metallicity_massW_up_2sig,Chabrier_ELODIE_metallicity_massW_low_2sig,Chabrier_ELODIE_total_mass,Chabrier_ELODIE_total_mass_up_1sig,Chabrier_ELODIE_total_mass_low_1sig,Chabrier_ELODIE_total_mass_up_2sig,Chabrier_ELODIE_total_mass_low_2sig,Chabrier_ELODIE_spm_EBV,Chabrier_ELODIE_nComponentsSSP
2531,54572,318,2849740152098547712,26,,2531,54572,318,244.80364,10.711664,0.03644737,1.006865e-05,GALAXY,4479576000.0,5379186000.0,4129727000.0,6028904000.0,3679922000.0,1.990027,1.996677,1.823776,1.996677,1.730675,5079316000.0,7178406000.0,4629511000.0,7428298000.0,4279663000.0,1.996677,1.996677,1.717375,1.996677,1.551124,20040100000.0,22522860000.0,18550450000.0,25998730000.0,16812520000.0,0.09,4,10875840000.0,11375740000.0,9726070000.0,11975620000.0,9476120000.0,1.497924,1.504574,1.451374,1.544474,1.378224,10975820000.0,12575500000.0,9876040000.0,13125390000.0,9626090000.0,1.571075,1.610975,1.245223,1.717375,1.198673,46058990000.0,47340560000.0,39138500000.0,50672640000.0,37856940000.0,0.0,3
2532,54589,164,2850823721092933632,26,,2532,54589,164,246.55461,8.7230895,0.03400538,8.317794e-06,GALAXY,4579532000.0,9227518000.0,3979792000.0,10077150000.0,3729901000.0,0.2942674,0.5336688,0.2410672,0.6999197,0.1546167,5679056000.0,13125830000.0,5379186000.0,14625180000.0,5029338000.0,0.1014164,0.2277671,0.0881163,0.2477172,0.04156604,1835238000.0,3199015000.0,1703260000.0,3638943000.0,1527289000.0,0.0,3,9026210000.0,10225970000.0,6276760000.0,12075600000.0,3777260000.0,0.2942674,0.4538684,0.2277671,0.6533695,0.1546167,14475120000.0,14725070000.0,10525910000.0,14875040000.0,5276960000.0,0.2344171,0.3208676,0.1147165,0.387368,0.0681662,3614504000.0,4521783000.0,2468468000.0,4521783000.0,1704444000.0,0.0,5
2532,54589,360,2850877597162694656,26,,2532,54589,360,245.93763,9.788105,0.0344203,8.088334e-06,GALAXY,4379619000.0,5629078000.0,3330074000.0,6528688000.0,2980226000.0,1.863676,1.996677,1.684125,1.996677,1.591025,5828991000.0,7728167000.0,3729901000.0,9327474000.0,3230117000.0,1.704075,1.996677,1.424774,1.996677,1.258523,20429330000.0,26411620000.0,17295750000.0,28975460000.0,15871400000.0,0.06333333,5,5476920000.0,6176780000.0,4727070000.0,6976620000.0,4277160000.0,1.305073,1.451374,1.165422,1.544474,0.9991714,6276760000.0,7026610000.0,5776860000.0,7826450000.0,5376940000.0,1.145472,1.271823,1.052372,1.364923,0.9991714,22607120000.0,24965320000.0,19954140000.0,27913080000.0,18480270000.0,0.0,2
2532,54589,452,2850902885930133504,26,,2532,54589,452,246.5724,8.9892957,0.03419507,9.376754e-06,GALAXY,7128428000.0,7728167000.0,5229251000.0,8577799000.0,4279663000.0,0.6533695,0.7930202,0.6068192,0.8794707,0.4006681,13275760000.0,13725570000.0,10976760000.0,14375290000.0,9827257000.0,0.3740679,0.6733196,0.2543672,0.7132198,0.2543672,5456044000.0,5912504000.0,4010585000.0,6673272000.0,3173741000.0,0.03333334,6,6626690000.0,7526510000.0,5176980000.0,10275960000.0,4327150000.0,0.6999197,0.7730702,0.5868691,0.8794707,0.5868691,10975820000.0,12375540000.0,8576300000.0,13625290000.0,6976620000.0,0.1945169,0.3142176,0.1413166,0.3607678,0.07481623,4018111000.0,4760691000.0,3275532000.0,6328359000.0,2862988000.0,0.0,4
2532,54589,453,2850903160808040448,26,,2532,54589,453,246.75119,9.0510085,0.03410644,1.003012e-05,GALAXY,11476540000.0,13475680000.0,10227080000.0,13625610000.0,9977192000.0,1.810476,1.996677,1.564425,1.996677,1.564425,12676020000.0,13825520000.0,12576070000.0,14075420000.0,11326610000.0,1.876976,1.996677,1.677475,1.996677,1.610975,63004680000.0,70409630000.0,61819880000.0,71890620000.0,57080710000.0,0.04666667,3,9826050000.0,10375940000.0,8926230000.0,10475920000.0,8626290000.0,1.451374,1.504574,1.451374,1.544474,1.411474,9926030000.0,11375740000.0,9326150000.0,12325550000.0,9226170000.0,1.424774,1.571075,1.298423,1.677475,1.258523,45597600000.0,48583860000.0,41416840000.0,52466000000.0,39923710000.0,0.01333333,3
2582,54139,4,2907074728420206592,26,,2582,54139,4,147.97252,12.944709,0.04140409,1.32767e-05,GALAXY,3979792000.0,4629511000.0,3779879000.0,5978926000.0,3729901000.0,1.990027,1.996677,1.983377,1.996677,1.863676,3979792000.0,4929381000.0,3929814000.0,6378753000.0,3879836000.0,1.996677,1.996677,1.810476,1.996677,1.398174,35455810000.0,40894390000.0,33972560000.0,44849730000.0,33478140000.0,0.1033333,2,11575700000.0,11975620000.0,10475920000.0,12575500000.0,9676080000.0,1.331673,1.497924,1.305073,1.664175,1.258523,12075600000.0,13325350000.0,11575700000.0,13975220000.0,10725870000.0,1.411474,1.724025,1.311723,1.930177,1.138822,93065540000.0,98608260000.0,87018950000.0,102639300000.0,81476250000.0,0.0,4
2582,54139,7,2907075553053927424,26,,2582,54139,7,147.93567,12.987133,0.0426951,1.605363e-05,GALAXY,12476110000.0,13125830000.0,11726430000.0,13975460000.0,9977192000.0,1.251873,1.318373,1.225273,1.624275,1.125522,12476110000.0,13425700000.0,11626480000.0,14175370000.0,10177110000.0,1.398174,1.564425,1.211973,1.677475,1.152122,40030640000.0,43337020000.0,37344210000.0,45196860000.0,33004590000.0,0.02333333,3,5976820000.0,7726470000.0,4827050000.0,8476320000.0,3977220000.0,1.497924,1.544474,1.378224,1.750626,1.251873,7276560000.0,9926030000.0,4977020000.0,10675880000.0,4327150000.0,1.384874,1.757276,1.178722,1.850376,1.039072,19590940000.0,27282380000.0,16172520000.0,31982700000.0,14036010000.0,0.01,4
2582,54139,10,2907076377687648256,26,,2582,54139,10,147.83992,13.09005,0.04188035,2.3465e-05,GALAXY,4229684000.0,11476540000.0,1430898000.0,11476540000.0,1230984000.0,1.138822,1.318373,0.4605184,1.378224,0.4605184,7178406000.0,14725130000.0,1580833000.0,14725130000.0,1430898000.0,0.8728207,1.916877,0.4472183,1.916877,0.4472183,3268189000.0,11144910000.0,1692844000.0,11144910000.0,1487365000.0,0.05,3,2327550000.0,4227170000.0,1577700000.0,5576900000.0,1127790000.0,0.9526212,1.092272,0.8329205,1.251873,0.6267693,3677280000.0,7426530000.0,2527510000.0,10125990000.0,1927630000.0,0.6400694,0.8794707,0.3208676,1.205323,0.3009175,2164089000.0,2965793000.0,1508149000.0,3621733000.0,1289503000.0,0.1533333,3
2582,54139,46,2907086273292298240,26,,2582,54139,46,147.57424,13.369676,0.0416683,1.424662e-05,GALAXY,2680356000.0,3879836000.0,1730767000.0,5429164000.0,1530854000.0,1.265173,1.564425,1.092272,1.604325,0.926021,4429598000.0,7378319000.0,3579966000.0,10277060000.0,3529988000.0,1.078972,1.338323,0.8661706,1.338323,0.5536189,3712672000.0,4575799000.0,2561835000.0,5247120000.0,1890514000.0,0.2366667,6,10026010000.0,10525910000.0,5976820000.0,11375740000.0,3477320000.0,0.5469689,0.8661706,0.5004186,1.251873,0.4538684,10925830000.0,10975820000.0,6526710000.0,11275760000.0,3877240000.0,0.5004186,0.8728207,0.4804685,0.9991714,0.4671684,11520480000.0,11814130000.0,7115690000.0,12303550000.0,4864355000.0,0.0,2
2586,54169,142,2911616261702051840,26,,2586,54169,142,151.60181,14.288267,0.02904325,1.521486e-05,GALAXY,8028038000.0,10476980000.0,6978492000.0,11976330000.0,4729467000.0,1.092272,1.318373,0.75312,1.497924,0.5004186,9327474000.0,11376590000.0,8727734000.0,12326170000.0,6978492000.0,0.8528706,0.9925213,0.6068192,1.218623,0.5004186,7813907000.0,9571194000.0,7008484000.0,10669500000.0,5104756000.0,0.003333333,4,12475520000.0,13175380000.0,11575700000.0,13975220000.0,10475920000.0,0.8462206,0.939321,0.75312,0.9991714,0.6666695,13125390000.0,13575300000.0,12025610000.0,14075200000.0,10975820000.0,0.8395705,0.9792213,0.7863702,1.012471,0.6600195,13001200000.0,14003100000.0,12076380000.0,14465510000.0,9378977000.0,0.0,3
