#angDist,_RAJ2000,_DEJ2000,CG,Gal,Morph,PS,PE,PS0,Kmag,Kcorr,RV,e_RV,r_RV,objID,2MASX,SDSS9,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,objID,cl,q_mode,flags,Q,ObsDate,pmRA,e_pmRA,pmDE,e_pmDE,SpObjID,zsp,e_zsp,f_zsp,spType,spCl,subClass
0.495217,14.42662,-4.94864,6,3,S,1,0,0,10.96,-0.03,5375,45,1,0,00574239-0456548,J005742.39-045655.6,14.426633,-4.948777,0.002,0.002,90,16.007,14.549,13.699,13.303,12.961,0.010,0.002,0.002,0.002,0.003,1237679254125870000,3,1,201090021210,3,2008.9751,-4,2,1,2,0,,,,,,
0.421980,14.44946,-5.11209,6,4,S,1,0,0,11.16,-0.03,5454,36,1,0,00574786-0506435,J005747.89-050643.8,14.449542,-5.112174,0.019,0.006,90,16.954,15.089,14.156,13.639,13.176,0.025,0.003,0.003,0.003,0.005,1237679254125870000,3,1,201810021310,3,2008.9751,,,,,0,,,,,,
0.307446,14.4135,-5.08609,6,5,S,1,0,0,11.6,-0.03,4845,45,1,0,00573925-0505098,J005739.23-050510.2,14.413476,-5.086172,0.002,0.002,90,17.036,15.297,14.450,14.050,13.731,0.012,0.002,0.002,0.002,0.003,1237679254125870000,3,1,201010021010,3,2008.9751,-4,2,0,2,0,,,,,,
0.160516,14.39621,-5.0025,6,6,S,1,0,0,11.73,-0.04,5675,45,1,0,00573510-0500088,J005735.08-050009.1,14.396203,-5.002544,0.015,0.008,0,15.725,14.551,13.979,13.727,13.542,0.009,0.002,0.002,0.002,0.006,1237679254125870000,3,1,201010061010,3,2008.9751,4,2,8,2,0,,,,,,
0.208383,21.41787,34.71297,9,1,E,0,0.8,0.2,9.21,-0.04,4822,18,1,758877278694081000,01254030+3442465,J012540.28+344246.8,21.417839,+34.713022,0.002,0.002,90,14.834,12.898,12.006,11.562,11.289,0.004,0.002,0.001,0.001,0.002,1237666214078910000,3,1,201010121010,3,2004.7075,-6,3,-5,3,0,,,,,,
0.313211,21.59075,34.70302,9,2,S,1,0,0,9.34,-0.03,5188,5,1,758877153601913000,01262177+3442107,J012621.78+344211.1,21.590749,+34.703107,0.076,0.066,90,15.467,13.373,12.425,11.930,11.562,0.008,0.002,0.002,0.002,0.002,1237678808531010000,3,0,00042008100E1014,2,2008.8197,24,3,4,3,0,,,,,,
0.307868,21.57846,34.75415,9,3,S,1,0,0,10.62,-0.03,4660,32,1,758877153601978000,01261884+3445147,J012618.80+344514.9,21.578356,+34.754146,0.004,0.004,90,16.354,14.481,13.529,13.038,12.603,0.016,0.002,0.002,0.002,0.003,1237678894963230000,3,1,201810121010,3,2008.8334,-5,2,5,2,0,,,,,,
0.301753,21.62854,34.67549,9,4,S,1,0,0,11.64,-0.02,4662,0,1,758877153601913000,01263085+3440318,J012630.82+344031.7,21.628439,+34.675479,0.011,0.011,90,16.834,15.312,14.516,14.112,13.780,0.016,0.003,0.003,0.003,0.005,1237678808531080000,3,0,201810021058,3,2008.8197,3,2,-6,2,0,,,,,,
0.392817,31.97117,2.1676,11,1,S,1,0,0,10.4,-0.05,6966,30,1,0,02075306+0210034,J020753.09+021003.0,31.971218,+2.167502,0.001,0.001,90,16.215,14.336,13.461,12.983,12.652,0.009,0.002,0.002,0.002,0.003,1237680100240850000,3,1,201090021010,3,2009.7397,,,,,0,,,,,,
0.429480,31.89221,2.11532,11,2,E,0,0.8,0.2,11.01,-0.05,7117,36,1,0,02073411+0206554,J020734.12+020654.7,31.892178,+2.115205,0.002,0.002,90,16.210,14.427,13.622,13.216,12.934,0.009,0.002,0.002,0.002,0.003,1237680100240850000,3,1,201010021010,3,2009.7397,2,2,3,2,0,,,,,,
0.094225,31.90633,2.18073,11,3,E,0,0.8,0.2,11.5,-0.04,6243,36,1,0,02073751+0210504,J020737.51+021050.5,31.906327,+2.180704,0.003,0.002,90,16.579,14.786,13.961,13.521,13.263,0.013,0.002,0.002,0.002,0.003,1237680100240850000,3,0,200810021058,3,2009.7397,-2,2,-3,2,0,,,,,,
0.134827,31.85537,2.11613,11,4,E,0.1,0.45,0.45,11.76,-0.05,7196,0,2,0,02072527+0206579,J020725.29+020658.1,31.855404,+2.116146,0.003,0.002,90,16.736,14.928,14.160,13.757,13.494,0.014,0.002,0.002,0.002,0.004,1237680100240850000,3,1,201010021014,3,2009.7397,1,2,3,2,0,,,,,,
0.093355,39.31033,7.30563,13,1,E,0,0.8,0.2,9.48,-0.04,6498,61,1,587744296044987000,02371447+0718201,J023714.47+071820.2,39.310308,+7.305616,0.109,0.109,90,15.809,13.680,12.705,12.163,11.755,0.010,0.002,0.002,0.002,0.002,1237680002529430000,3,0,0000A008101E1058,3,2009.7096,-9,2,-13,2,0,,,,,,
0.717921,39.13175,7.30951,13,2,S,1,0,0,10.77,-0.02,6122,3,1,587744296044921000,02363162+0718342,J023631.66+071833.8,39.131925,+7.309412,0.077,0.033,0,17.798,15.604,14.640,14.017,13.613,0.052,0.005,0.004,0.003,0.006,1237670017269830000,3,0,0000A00890021058,3,2005.7808,151,6,105,6,0,,,,,,
0.357220,39.31875,7.33582,13,3,S,1,0,0,11.46,-0.05,6546,49,1,587744296044987000,02371649+0720091,J023716.49+072008.5,39.318743,+7.335721,0.003,0.003,90,16.970,14.917,14.043,13.571,13.260,0.023,0.003,0.002,0.002,0.004,1237680002529430000,3,0,00002008101A1058,3,2009.7096,-5,2,-6,2,0,,,,,,
0.478774,39.33442,7.43981,13,4,S,1,0,0,11.52,-0.03,5931,0,1,587744296044987000,02372026+0726231,J023720.22+072623.3,39.334286,+7.439815,0.006,0.004,90,16.963,15.243,14.386,13.918,13.518,0.020,0.003,0.002,0.002,0.004,1237670017269890000,3,1,201010021010,3,2005.7808,,,,,0,,,,,,
0.090226,50.18921,-1.04469,20,1,S,1,0,0,10.52,-0.04,6413,3,1,587731511545758000,03204541-0102407,J032045.41-010240.9,50.189211,-1.044715,0.003,0.002,0,16.671,14.566,13.443,12.898,12.545,0.012,0.002,0.002,0.002,0.002,1237666299481820000,3,0,0000A008900A105C,3,2004.7267,-11,3,-7,3,800515145586469000,0.02140,0.00001,0,NONLEGACY,GALAXY,
0.095936,50.17892,-1.10858,20,2,S,1,0,0,11.66,-0.03,6268,2,1,588015507680723000,03204294-0106307,J032042.93-010630.9,50.178914,-1.108606,0.014,0.014,90,16.181,14.639,14.061,13.768,13.574,0.010,0.002,0.002,0.002,0.005,1237663237128390000,3,0,4301010021058,3,2003.7384,-8,2,4,2,800517069731817000,0.02091,0.00001,0,NONLEGACY,GALAXY,STARFORMING
0.057849,50.16063,-1.03501,20,3,S,1,0,0,12.41,-0.05,6307,2,2,587731511545758000,03203854-0102057,J032038.55-010206.0,50.160628,-1.035026,0.003,0.002,90,17.291,15.670,14.944,14.583,14.331,0.012,0.003,0.002,0.002,0.004,1237666299481820000,3,1,201010020010,3,2004.7267,-4,2,3,2,465018958999742000,0.02104,0.00001,0,GALAXY,GALAXY,
0.275370,50.18892,-1.05391,20,4,E,0,0.5,0.5,12.51,-0.03,6229,0,2,588015507680723000,03204534-0103137,J032045.32-010314.2,50.188853,-1.053947,0.003,0.003,90,17.694,15.900,15.113,14.734,14.420,0.017,0.003,0.003,0.003,0.005,1237663237128390000,3,0,0000B008100A105C,3,2003.7384,,,,,465008513639279000,0.02078,0.00001,0,GALAXY,GALAXY,
0.295262,51.29825,-6.18088,21,1,S,1,0,0,10.44,-0.05,10092,2,1,587724242304565000,03251157-0610510,J032511.57-061051.4,51.298247,-6.180962,0.005,0.004,90,15.573,14.149,13.398,12.997,12.722,0.007,0.002,0.002,0.002,0.003,1237649963529470000,3,0,00042018100A1014,3,1999.7850,5,6,-22,6,518072868857211000,0.03367,0.00001,0,GALAXY,GALAXY,STARFORMING
0.145211,51.35571,-6.14389,21,2,S,1,0,0,10.82,-0.05,10316,3,1,587724242304631000,03252538-0608380,J032525.36-060837.8,51.355688,-6.143856,0.002,0.001,90,15.419,14.286,13.698,13.321,13.082,0.005,0.002,0.002,0.002,0.003,1237649963529540000,3,1,0000B01010021010,3,1999.7850,-3,3,17,3,518083314217675000,0.03441,0.00001,0,GALAXY,GALAXY,AGN
0.166059,51.38079,-6.12888,21,3,S,1,0,0,11.93,-0.05,10435,2,2,587724242304631000,03253137-0607438,J032531.40-060744.0,51.380835,-6.128891,0.005,0.005,90,16.533,15.373,14.848,14.511,14.305,0.009,0.003,0.002,0.003,0.005,1237649963529540000,3,1,4201010021010,3,1999.7850,,,,,518084138851396000,0.03481,0.00001,0,GALAXY,GALAXY,STARFORMING
0.090075,51.33071,-6.20584,21,4,S,1,0,0,13.01,-0.04,10353,0,2,587724242304631000,03251935-0612210,J032519.37-061220.9,51.330722,-6.205818,0.004,0.003,90,18.215,16.620,15.856,15.434,15.113,0.022,0.004,0.003,0.003,0.006,1237649963529540000,3,1,201010061210,3,1999.7850,-1,3,1,3,518070394956048000,0.03454,0.00001,0,GALAXY,GALAXY,STARFORMING
0.140168,72.92296,-3.80936,23,1,S0,0,0.2,0.8,10.14,-0.02,4764,30,1,758885351078232000,04514150-0348335,J045141.52-034833.7,72.922999,-3.809363,0.059,0.056,90,15.791,14.059,13.200,12.840,12.537,0.007,0.002,0.002,0.002,0.002,1237674286463060000,3,0,201010061010,3,2007.1022,-10,2,-13,2,0,,,,,,
0.060780,72.98312,-3.92991,23,2,S0,0,0.2,0.8,11.48,-0.03,4607,23,1,758887369173828000,04515593-0355475,J045155.95-035547.6,72.983137,-3.929911,0.003,0.003,90,16.759,15.073,14.287,13.869,13.545,0.010,0.002,0.002,0.002,0.003,1237676304558650000,3,1,201090021210,1,2007.8834,-5,2,3,2,0,,,,,,
0.208991,72.92396,-3.84154,23,3,S,1,0,0,11.95,-0.03,4578,45,2,758885351078232000,04514177-0350295,J045141.73-035029.5,72.923902,-3.841535,0.011,0.010,0,17.697,15.629,14.758,14.319,13.993,0.029,0.003,0.002,0.002,0.004,1237674286463060000,3,1,700010021010,3,2007.1022,-5,2,6,2,0,,,,,,
0.259076,72.86838,-3.87015,23,4,S,1,0,0,12.09,-0.02,4659,45,2,758885351078167000,04512841-0352124,J045128.42-035212.5,72.868451,-3.870162,0.010,0.010,90,17.434,15.741,14.944,14.543,14.259,0.020,0.003,0.003,0.003,0.005,1237674286462990000,3,0,4200890021058,3,2007.1022,-2,2,2,2,0,,,,,,
0.263195,136.33883,18.31311,30,1,E,0,0.8,0.2,9.01,-0.03,4189,21,1,587741708330074000,09052131+1818472,J090521.33+181847.2,136.338907,+18.313111,0.003,0.003,90,14.674,12.760,11.895,11.427,11.118,0.005,0.002,0.002,0.002,0.002,1237667429554980000,3,0,00002008100A1014,3,2005.0470,-40,3,17,3,0,,,,,,
0.357133,136.16258,18.46442,30,2,S,1,0,0,11.08,-0.02,3423,5,1,587741708330009000,09043901+1827521,J090438.99+182751.9,136.162476,+18.464431,0.062,0.059,0,14.528,13.501,12.938,12.680,12.463,0.005,0.002,0.002,0.002,0.003,1237667429554910000,3,0,00042010100E1014,3,2005.0470,,,,,0,,,,,,
0.267099,136.38496,18.26235,30,3,S,1,0,0,11.45,-0.04,4250,2,1,588023045866193000,09053239+1815445,J090532.39+181544.2,136.384974,+18.262277,0.058,0.051,90,16.499,14.619,13.789,13.378,13.066,0.013,0.002,0.002,0.002,0.003,1237667292114390000,3,0,201810061010,3,2004.9705,-3,2,5,2,2572705263589030000,0.01418,0.00001,0,GALAXY,GALAXY,
0.265162,136.16383,18.25731,30,4,S,1,0,0,11.94,-0.03,3635,2,2,587741708329943000,09043929+1815261,J090439.32+181526.5,136.163857,+18.257379,0.002,0.001,0,17.193,15.376,14.583,14.176,13.905,0.011,0.003,0.002,0.002,0.003,1237667429554850000,3,1,200090021030,3,2005.0470,-5,2,1,2,2572737699182040000,0.01213,0.00001,0,GALAXY,GALAXY,
0.269815,136.32646,18.44226,30,5,S,1,0,0,11.95,-0.03,4188,2,2,587741708330074000,09051836+1826322,J090518.33+182631.9,136.326414,+18.442199,0.005,0.004,0,16.856,15.215,14.469,14.111,13.804,0.013,0.003,0.002,0.002,0.004,1237667429554980000,3,1,201010021030,3,2005.0470,-4,2,1,2,2572708837001820000,0.01397,0.00001,0,GALAXY,GALAXY,BROADLINE
0.216177,139.17437,30.91537,31,1,S,1,0,0,9.82,-0.04,6949,2,1,588017979413299000,09164185+3054551,J091641.85+305455.5,139.174412,+30.915418,0.002,0.002,90,15.824,13.797,12.816,12.328,12.014,0.007,0.002,0.002,0.002,0.002,1237664093977180000,3,1,201810021210,3,2003.9708,,,,,2182114747552390000,0.02319,0.00001,0,GALAXY,GALAXY,BROADLINE
0.151906,139.06517,30.82398,31,2,S,1,0,0,11.6,-0.05,6812,2,1,588017979413234000,09161561+3049261,J091615.64+304926.4,139.065189,+30.824019,0.002,0.002,90,16.896,15.085,14.280,13.898,13.626,0.010,0.002,0.002,0.002,0.003,1237664093977120000,3,0,201810021058,3,2003.9708,0,3,-1,3,2182100728779140000,0.02272,0.00001,0,GALAXY,GALAXY,AGN_BROADLINE
0.329776,139.15692,30.90537,31,3,S0,0,0.2,0.8,11.65,-0.05,6958,2,1,588017979413299000,09163765+3054191,J091637.68+305419.4,139.157022,+30.905397,0.002,0.002,90,17.052,15.247,14.430,14.028,13.738,0.010,0.002,0.002,0.002,0.003,1237664093977180000,3,1,201010021010,3,2003.9708,1,3,0,3,2182111998773320000,0.02321,0.00001,0,GALAXY,GALAXY,BROADLINE
0.083715,139.19246,30.9109,31,4,E,0,0.8,0.2,12.32,-0.02,6974,2,2,588017979413299000,09164620+3054391,J091646.19+305439.2,139.192484,+30.910911,0.002,0.002,90,17.755,15.917,15.123,14.736,14.474,0.017,0.003,0.003,0.003,0.004,1237664093977180000,3,1,200810021210,3,2003.9708,-2,3,7,3,2182113373162860000,0.02326,0.00001,0,GALAXY,GALAXY,
0.102322,141.97008,29.98573,32,1,S,1,0,0,10.24,-0.04,7993,2,1,587739158725001000,09275281+2959085,J092752.82+295908.7,141.970102,+29.985751,0.012,0.008,0,15.469,13.487,12.628,12.228,11.927,0.010,0.002,0.002,0.002,0.002,1237664879949910000,3,0,00002010100A1014,3,2004.2116,-6,3,-2,3,2183255216156080000,0.02666,0.00001,0,GALAXY,GALAXY,
0.273132,142.00383,30.03704,32,2,E,0,0.8,0.2,11.81,-0.06,7993,2,2,587739158725001000,09280090+3002135,J092800.92+300213.0,142.003854,+30.036967,0.002,0.002,90,17.055,15.159,14.358,13.971,13.693,0.013,0.002,0.002,0.002,0.003,1237664879949910000,3,0,00002010100A1014,3,2004.2116,-5,3,3,3,2183242022016540000,0.02667,0.00001,0,GALAXY,GALAXY,
0.394785,142.01692,29.99147,32,3,S,1,0,0,12.3,-0.05,8296,1,2,587739115781948000,09280405+2959294,J092804.09+295929.1,142.017040,+29.991435,0.005,0.004,0,16.472,15.352,14.833,14.549,14.344,0.009,0.003,0.002,0.003,0.004,1237664837006850000,3,1,201090021010,3,2004.2089,-8,4,13,4,2183259889080490000,0.02768,0.00001,0,GALAXY,GALAXY,STARBURST
0.207663,141.9905,30.01101,32,4,E,0,0.8,0.2,12.97,-0.01,7424,0,2,587739158725002000,09275774+3000395,J092757.70+300039.7,141.990439,+30.011033,0.005,0.005,90,17.838,16.027,15.279,14.914,14.694,0.032,0.004,0.003,0.003,0.007,1237664879949910000,3,0,00002010100A1014,3,2004.2116,-1,3,0,3,2183245045673520000,0.02477,0.00002,0,GALAXY,GALAXY,
0.054293,143.44204,10.15252,33,1,S,1,0,0,8.86,-0.02,3231,2,3,587735344799351000,09334609+1009093,J093346.08+100909.0,143.442038,+10.152505,0.002,0.002,90,15.137,12.980,12.037,11.542,11.183,0.006,0.002,0.001,0.001,0.002,1237661066024260000,3,1,201810161210,3,2003.0753,,,,,1467169400699250000,0.01078,0.00001,0,GALAXY,GALAXY,AGN_BROADLINE
0.205520,143.51158,10.10875,33,2,S0_pec,0,0.2,0.8,9.99,-0.02,3144,1,1,587735344799351000,09340276+1006315,J093402.78+100631.3,143.511617,+10.108706,0.002,0.002,90,15.380,13.582,12.730,12.366,12.026,0.005,0.002,0.002,0.002,0.002,1237661068171670000,3,1,0000B01010021010,3,2003.0756,-8,3,-3,3,1468284854289330000,0.01049,0.00001,0,GALAXY,GALAXY,BROADLINE
0.286936,143.69808,10.28373,33,3,S,1,0,0,10.15,-0.01,2432,8,1,587735344799482000,09344754+1017014,J093447.52+101701.4,143.697999,+10.283731,0.006,0.004,0,14.947,13.576,12.885,12.508,12.267,0.005,0.002,0.002,0.002,0.003,1237661068171740000,3,1,4301810021010,3,2003.0756,,,,,1468283479899790000,0.00766,0.00001,0,GALAXY,GALAXY,STARFORMING
0.737011,143.50075,10.02959,33,4,S0,0,0.5,0.5,11.37,-0.02,3136,5,1,587734949661770000,09340019+1001465,J093400.13+100146.3,143.500550,+10.029534,0.037,0.022,0,16.029,14.673,13.975,13.604,13.299,0.009,0.003,0.002,0.003,0.005,1237660670886670000,3,0,200810021058,3,2002.9526,-17,3,-1,3,1467193864832970000,0.01047,0.00002,0,GALAXY,GALAXY,STARFORMING
0.245249,156.24717,28.02389,36,1,E,0,0.8,0.2,10.14,-0.05,6417,27,1,587741566050304000,10245932+2801259,J102459.30+280125.9,156.247093,+28.023886,0.003,0.002,90,15.513,13.617,12.725,12.280,11.977,0.007,0.002,0.002,0.002,0.002,1237667255615420000,3,1,201010021010,3,2004.9566,1,4,0,4,2649333529040680000,0.02102,0.00013,4,QSO,GALAXY,
0.192461,156.28033,28.09473,36,2,S,1,0,0,11.6,-0.04,6130,2,1,587741566050370000,10250725+2805409,J102507.27+280541.2,156.280301,+28.094777,0.003,0.002,90,16.598,15.039,14.212,13.767,13.406,0.013,0.003,0.002,0.002,0.004,1237667255615420000,3,1,201810021010,3,2004.9566,-9,3,-1,3,2649342050255790000,0.02045,0.00001,0,GALAXY,GALAXY,STARFORMING
0.423085,156.30658,28.0162,36,3,S,1,0,0,12.26,-0.04,6520,2,2,587741534390518000,10251359+2800584,J102513.55+280058.1,156.306458,+28.016153,0.004,0.003,0,17.527,15.773,14.948,14.523,14.191,0.017,0.003,0.002,0.003,0.004,1237667255615420000,3,1,201010021010,3,2004.9566,-5,3,0,3,2649346173424400000,0.02175,0.00001,0,GALAXY,GALAXY,BROADLINE
0.203535,156.328,28.05566,36,4,S,1,0,0,12.43,-0.04,6304,0,2,587741566050370000,10251872+2803204,J102518.70+280320.3,156.327936,+28.055660,0.008,0.006,0,17.071,15.560,14.825,14.445,14.152,0.016,0.003,0.003,0.003,0.005,1237667255615490000,3,1,201010021010,3,2004.9566,-7,3,4,3,2649344524156950000,0.02103,0.00001,0,GALAXY,GALAXY,STARFORMING
0.364745,162.93196,51.02216,39,1,E,0,0.8,0.2,10.08,-0.05,7491,3,1,588013383811924000,10514368+5101195,J105143.63+510119.7,162.931799,+51.022161,0.002,0.001,90,15.937,14.004,13.160,12.757,12.488,0.008,0.002,0.002,0.002,0.002,1237657630060120000,3,1,201090021010,3,2001.9696,,,,,986412333108587000,0.02499,0.00001,0,GALAXY,GALAXY,
