objid,specobjid,Group,RA,Dec,M_r,z,Lum,rank_M,RA_BGG,Dec_BGG,M_BGG,dist2BGG,lgm,sfr,sSFR,rank_dist,rank_M_parent
1237665016314593453,2364517959767975936,99,170.768831672,34.132990561,-20.32949,0.04184055,10087789237.092373,4,170.735308598,34.111490506,-23.100093,2.2057617805359913,10.21694,-1.818986,-12.035926,3,20
1237661949737435267,6181241166815227904,100,230.772090356,8.609218112,-22.766863,0.034642624,95223732372.17609,1,230.772090356,8.609218112,-22.766863,0.0,,,,1,1
1237661949737435262,1937801622612633600,100,230.769029428,8.612252455,-21.820536,0.037498264,39830375433.01081,2,230.772090356,8.609218112,-22.766863,0.2692731121200969,10.64009,-1.393458,-12.033548,2,2
1237661949737435261,1937809319194028032,100,230.808310842,8.645445454,-21.440367,0.03562865,28063820894.923992,3,230.772090356,8.609218112,-22.766863,3.200617119907706,10.84218,-1.529691,-12.371871,4,7
1237661949737435263,6181231271210577920,100,230.795276038,8.63435137,-21.410411,0.035468161,27300110192.245033,4,230.772090356,8.609218112,-22.766863,2.1373687454219676,,,,3,8
1237654654171938965,612524495743248384,102,119.617121024,37.78661714,-23.372858,0.041382305,166396121816.63455,1,119.617121024,37.78661714,-23.372858,0.0,11.61971,-0.7749161,-12.3946261,1,1
1237653587406684481,611534932191242240,102,119.491353572,37.866115598,-20.629339,0.04353087,13296446791.84635,2,119.617121024,37.78661714,-23.372858,7.994348801114707,10.4023,0.1627968,-10.2395032,2,9
1237653587406684570,611535481947056128,102,119.500212056,37.919694786,-20.48259,0.041128143,11615448938.642809,3,119.617121024,37.78661714,-23.372858,10.176185878838483,10.42575,-1.587674,-12.013424,3,12
1237654654172070143,612512126237435904,102,119.855342258,37.871127818,-20.399787,0.041332051,10762540531.286308,4,119.617121024,37.78661714,-23.372858,12.9600485238916,10.45582,0.04416413,-10.41165587,4,14
1237674371291414552,2169662502516844544,106,125.148698328,21.067794201,-22.774681,0.015831291,95911879155.8458,1,125.148698328,21.067794201,-22.774681,0.0,11.09763,-1.355743,-12.453373,1,1
1237664836462248240,2169660303493588992,106,125.098568086,21.131483026,-21.817997,0.017675331,39737340707.6646,2,125.148698328,21.067794201,-22.774681,4.964763560566134,10.9556,-1.126556,-12.082156,2,2
1237664836462182453,2169673222755215360,106,124.966213678,20.984977986,-21.52648,0.01707702,30380295933.76876,3,125.148698328,21.067794201,-22.774681,11.90032209064731,10.77991,-1.212959,-11.992869,4,6
1237664836462248406,2169670473976145920,106,125.045073335,21.068969029,-20.203581,0.018141573,8983227534.819933,4,125.148698328,21.067794201,-22.774681,6.076154978865999,10.2449,-1.412227,-11.657127,3,17
1237661139033784336,1606768893613860864,112,153.460530226,38.764911915,-23.1631,0.023917658,137163955279.03188,1,153.460530226,38.764911915,-23.1631,0.0,11.46054,-0.9952266,-12.4557666,1,1
1237661139033784476,1606766144834791424,112,153.479661108,38.842936742,-21.537483,0.023716402,30689739353.14252,2,153.460530226,38.764911915,-23.1631,4.991135534040166,10.8829,-1.211267,-12.094167,3,3
1237661139033718922,1606765045323163648,112,153.449541569,38.675514885,-20.38652,0.021506168,10631829418.769424,3,153.460530226,38.764911915,-23.1631,5.642752771712417,10.25096,0.3709802,-9.8799798,4,18
1237661139033718842,1606752950695258112,112,153.414661115,38.74539351,-20.229992,0.022104655,9204427896.550774,4,153.460530226,38.764911915,-23.1631,2.560321160438538,10.23854,-1.932555,-12.171095,2,19
1237667734492086324,2667290202166290432,120,144.63695777,17.031291227,-23.280003,0.029075583,152757027906.4908,1,144.63695777,17.031291227,-23.280003,0.0,11.51206,-1.191276,-12.703336,1,1
1237667734492151849,5986602319881105408,120,144.756544408,17.025326614,-21.717035,0.030937653,36208788990.30263,2,144.63695777,17.031291227,-23.280003,7.194212148212327,,,,3,3
1237667782281068583,5986580329648549888,120,144.469470636,17.112918346,-20.4371,0.030724032,11138840879.261011,3,144.63695777,17.031291227,-23.280003,11.29178219515184,,,,4,10
1237667782281134188,2667307794352334848,120,144.656957753,17.130974571,-20.300057,0.029877846,9817994850.994003,4,144.63695777,17.031291227,-23.280003,6.37743570094267,10.30175,-1.612206,-11.913956,2,11
1237661386003382291,1502002748902631424,125,238.758029329,41.578336722,-22.775447,0.033755466,95979570020.03883,1,238.758029329,41.578336722,-22.775447,0.0,11.33993,-1.039382,-12.379312,1,1
1237661386003382586,1502002474024724480,125,238.807627941,41.58178291,-20.901326,0.033272194,17081672851.709976,2,238.758029329,41.578336722,-22.775447,2.341172191628188,10.58334,-1.501071,-12.084411,2,5
1237661386003317042,1186819765180590080,125,238.67565029,41.556255037,-20.486588,0.029891264,11658299282.880592,3,238.758029329,41.578336722,-22.775447,4.113621267099643,10.20257,-0.192013,-10.394583,4,8
1237661386003382392,1186821964203845632,125,238.72535946,41.521031078,-20.076012,0.030655297,7987388340.503633,4,238.758029329,41.578336722,-22.775447,3.914638715320161,9.722244,0.1190693,-9.6031747,3,16
1237658300056666239,1334320076794390528,129,125.840271997,4.372479421,-22.949388,0.031963093,112656226463.14844,1,125.840271997,4.372479421,-22.949388,0.0,11.35128,-1.228337,-12.579617,1,1
1237658300056666563,1334321451183925248,129,125.874472041,4.39249173,-20.436782,0.031723619,11135578914.976835,2,125.840271997,4.372479421,-22.949388,2.4842874105665373,10.33882,-1.164179,-11.502999,3,11
1237658300056601430,1334311005823461376,129,125.772300912,4.363388658,-20.370169,0.02756159,10472915512.714443,3,125.840271997,4.372479421,-22.949388,4.296482198724069,10.0274,-0.09271174,-10.12011174,4,13
1237658300056666431,1334280769253697536,129,125.844267775,4.400775532,-20.235947,0.031416249,9255050653.12396,4,125.840271997,4.372479421,-22.949388,1.7954335144362634,10.24264,-1.59721,-11.83985,2,14
1237665128538832901,2364494045390071808,131,170.72310273,34.340923831,-22.522203,0.036433037,76011832032.94553,1,170.72310273,34.340923831,-22.522203,0.0,11.10472,-0.8361344,-11.9408544,1,1
1237665025436811331,2376791803941644288,131,170.64954723,34.393450917,-20.720573,0.035687611,14462028065.326471,2,170.72310273,34.340923831,-22.522203,5.044367503078982,10.26061,-0.03882892,-10.29943892,4,10
1237665128538833047,2376782458092808192,131,170.773261139,34.350518927,-20.272672,0.036391121,9573457199.374727,3,170.72310273,34.340923831,-22.522203,2.6709964588195043,10.40073,-1.747814,-12.148544,2,14
1237665025436811410,2376795652232341504,131,170.753355726,34.393923301,-19.539234,0.037048559,4871846541.723972,4,170.72310273,34.340923831,-22.522203,3.681184145166269,10.16609,-0.2513465,-10.4174365,3,28
1237664132091871249,1969315266743527424,143,161.086403897,14.084465099,-23.339556,0.033732815,161369851743.81393,1,161.086403897,14.084465099,-23.339556,0.0,11.41464,-1.056117,-12.470757,1,1
1237661070326890555,1969316641133062144,143,161.203262998,14.230395725,-21.401221,0.033781945,27070008989.96698,2,161.086403897,14.084465099,-23.339556,11.60857300582634,10.76078,-1.247231,-12.008011,3,3
1237664132091871251,1969316091377248256,143,161.060224647,14.104778782,-21.144669,0.03581341,21373104048.7641,3,161.086403897,14.084465099,-23.339556,2.043102804650458,10.68836,-1.45891,-12.14727,2,5
1237661070326890677,1969327911127246848,143,161.219763361,14.30748492,-21.013575,0.033921035,18942181778.522972,4,161.086403897,14.084465099,-23.339556,16.197089707928065,10.6484,0.07336847,-10.57503153,4,8
1237661434849132659,1645045368385202176,146,198.15662788,47.063290904,-22.892388,0.029605784,106894460568.61185,1,198.15662788,47.063290904,-22.892388,0.0,11.35297,-1.178981,-12.531951,1,1
1237661361833574526,1642846346052397056,146,198.189114389,46.934975998,-20.776001,0.028287912,15219500526.708103,2,198.15662788,47.063290904,-22.892388,8.181567948701346,10.46379,0.3066607,-10.1571293,4,6
1237661434849132772,1645046193018923008,146,198.211260903,47.05480766,-20.378864,0.029178465,10557123449.551186,3,198.15662788,47.063290904,-22.892388,2.3984796847433745,10.3408,-1.738337,-12.079137,2,11
1237661434849198303,1642846071174490112,146,198.319249867,47.087547562,-19.958525,0.027275053,7168198117.121573,4,198.15662788,47.063290904,-22.892388,7.123654198121217,9.901207,-0.5664505,-10.4676575,3,17
1237665129099624455,2437674519100418048,152,233.843550295,25.297130482,-22.913294,0.035004658,108972672027.89758,1,233.843550295,25.297130482,-22.913294,0.0,11.4028,-1.210835,-12.613635,1,1
1237662695961788698,2435471096221296640,152,233.942507178,25.345886184,-21.048766,0.034126402,19566196015.345016,2,233.843550295,25.297130482,-22.913294,6.400927388513284,10.4814,-0.1129926,-10.5943926,3,7
1237665129099624698,4450713207363530752,152,233.94891252,25.247075745,-20.901261,0.035467406,17080650250.183365,3,233.843550295,25.297130482,-22.913294,6.7623492911147185,,,,4,9
1237665129099559164,2435475494267807744,152,233.756471125,25.327606221,-20.136154,0.035167086,8442315922.697817,4,233.843550295,25.297130482,-22.913294,5.30377049236606,10.16135,-1.307499,-11.468849,2,21
