source_specobjid,source_objid,plate,mjd,fiberid,run2d,scienceprimary,extra_specobjid,source_sfr,source_specsfr,source_lgm,info_specobjid,sn_median,reliable,n_spectra_for_objid
315253650228275200,1237648720153149538,280,51612,6,26,1,315253650228275200,-1.579077,-12.3025,10.63393,315253650228275200,43.74685,1,1
315255849251530752,1237674649387991118,280,51612,14,26,1,315255849251530752,-1.309208,-11.18268,9.810713,315255849251530752,35.99753,1,1
316448269645408256,1237674649388056846,281,51614,256,26,1,316448269645408256,-0.4442022,-10.5575,10.06059,316448269645408256,12.09969,1,1
320969741638330368,1237648722841042953,285,51930,321,26,1,320969741638330368,0.4585905,-9.997869,10.41704,320969741638330368,30.07813,1,2
320970016516237312,1237648722841043030,285,51930,322,26,1,320970016516237312,-0.5592751,-9.9433,9.325481,320970016516237312,11.39882,1,2
320971665783678976,1237648722840977489,285,51930,328,26,1,320971665783678976,-0.1778816,-10.01645,9.788215,320971665783678976,25.67079,1,2
320981561388328960,1237648722841043066,285,51930,364,26,1,320981561388328960,-0.2493058,-11.3854,11.07703,320981561388328960,44.67402,1,2
325547834185115648,1237648705115848927,289,51990,592,26,1,325547834185115648,-1.811003,-11.6319,9.747048,325547834185115648,21.09104,1,1
325550033208371200,1237648705115848766,289,51990,600,26,1,325550033208371200,-2.09808,-12.52245,10.38304,325550033208371200,40.17689,1,1
325550857842092032,1237648705652654263,289,51990,603,26,1,325550857842092032,-0.9299256,-10.43582,9.456736,325550857842092032,12.46658,1,1
325554156376975360,1237648722307842148,289,51990,615,26,1,325554156376975360,-2.168485,-12.08682,9.86115,325554156376975360,23.60706,1,1
326605563548952576,1237648705115848765,290,51941,344,26,1,326605563548952576,-1.602385,-12.58708,10.93675,326605563548952576,42.26436,1,1
326648719380342784,1237648721771823351,290,51941,501,26,1,326648719380342784,-1.398573,-11.7601,10.27747,326648719380342784,25.26189,1,1
326659989374527488,1237648721771888672,290,51941,542,26,1,326659989374527488,-1.479214,-12.56406,11.03809,326659989374527488,53.19734,1,1
326660539130341376,1237648705116766267,290,51941,544,26,1,326660539130341376,-0.9973779,-11.36213,10.3189,326660539130341376,30.24625,1,1
326662188397783040,1237648721771823374,290,51941,550,26,1,326662188397783040,-1.909155,-11.90272,9.920454,326662188397783040,27.67188,1,1
326674008147781632,1237648704579960982,290,51941,593,26,1,326674008147781632,-1.437991,-11.55684,10.09064,326674008147781632,32.65379,1,1
341175186659239936,1237674603216699610,303,51615,100,26,1,341175186659239936,-0.5392457,-10.79647,10.21569,341175186659239936,10.59657,1,1
341182058606913536,1237674603216634080,303,51615,125,26,1,341182058606913536,-0.1878108,-9.810636,9.557896,341182058606913536,12.50109,1,1
341183982752262144,1237674603216633993,303,51615,132,26,1,341183982752262144,-1.254345,-12.44063,11.13641,341183982752262144,42.30542,1,1
342358810825877504,1237648720171696336,304,51609,310,26,1,342358810825877504,-0.8761289,-11.86618,10.93987,342358810825877504,27.72182,1,2
343516596637034496,1237651735235919950,305,51613,426,26,1,343516596637034496,-0.02117635,-10.33333,10.27859,343516596637034496,20.02178,1,2
343517971026569216,1237648722857033814,305,51613,431,26,1,343517971026569216,-1.164048,-11.58578,10.35126,343517971026569216,30.63503,1,2
343519895171917824,1237651735235919946,305,51613,438,26,1,343519895171917824,-0.7947621,-11.97771,11.12835,343519895171917824,43.48935,1,2
343539411503310848,1237651735235920177,305,51613,509,26,1,343539411503310848,-1.56931,-11.99625,10.37909,343539411503310848,33.68753,1,2
343559202712610816,1237651752415854747,305,51613,581,26,1,343559202712610816,-1.314641,-12.45053,11.08024,343559202712610816,39.60389,1,1
343563051003308032,1237651752415854874,305,51613,595,26,1,343563051003308032,-0.2390186,-9.71931,9.421911,343563051003308032,18.38724,1,1
344614734277928960,1237651752415920197,306,51637,325,26,1,344614734277928960,0.3121536,-9.986461,10.23991,344614734277928960,35.53949,1,2
344688126679083008,1237648705129349141,306,51637,592,26,1,344688126679083008,-1.319584,-11.55654,10.17372,344688126679083008,27.13506,1,2
344688951312803840,1237648705129349140,306,51637,595,26,1,344688951312803840,-1.226143,-12.4538,11.1686,344688951312803840,53.07236,1,2
344690050824431616,1237648705129480247,306,51637,599,26,1,344690050824431616,0.2209152,-9.972103,10.15588,344690050824431616,40.84283,1,2
344692524725594112,1237648705666351360,306,51637,608,26,1,344692524725594112,-0.2161649,-10.16017,9.890136,344692524725594112,10.90828,1,2
345746681934931968,1237648722321342726,307,51663,347,26,1,345746681934931968,-1.375465,-11.43462,9.993007,345746681934931968,24.45911,1,1
345818425068644352,1237648705667137570,307,51663,608,26,1,345818425068644352,-1.59418,-12.34699,10.70381,345818425068644352,39.47337,1,2
