dr7objid,z,Sp,Scale,Rhlr,Rchl_r,e,ng,e_ng,rg2d,PpS
587724649790898229,0.0406000018119812,2.0,0.8019999861717224,3.5399999618530273,2.4,0.6600000262260437,5.130000114440918,0.050000000745058,15.710000038146973,0.0
587724649790898256,0.0408999994397163,2.0,0.8069999814033508,3.4600000381469727,3.0,0.270000010728836,3.4800000190734863,0.0299999993294477,15.479999542236328,0.0199999995529651
587724649790898268,0.0408999994397163,2.0,0.8080000281333923,2.440000057220459,1.56,0.7300000190734863,4.900000095367432,0.0599999986588954,15.279999732971191,0.8299999833106995
587724649790898308,0.0417000018060207,2.0,0.8230000138282776,2.950000047683716,2.41,0.3700000047683716,2.140000104904175,0.0099999997764825,14.739999771118164,0.9300000071525574
587725470127685799,0.0436999984085559,2.0,0.8610000014305115,10.65999984741211,9.44,0.2300000041723251,2.3499999046325684,0.0199999995529651,14.75,0.0
587725470127685853,0.0438000001013278,2.0,0.8629999756813049,2.2200000286102295,1.7,0.4699999988079071,2.0799999237060547,0.0799999982118606,16.8799991607666,0.1400000005960464
587725470127685903,0.0441000014543533,2.0,0.8679999709129333,4.760000228881836,3.59,0.4799999892711639,1.0099999904632568,0.0199999995529651,15.960000038146973,0.3100000023841858
587725470127685921,0.0434999987483024,2.0,0.8579999804496765,2.759999990463257,1.9,0.6100000143051147,0.6600000262260437,0.0299999993294477,17.34000015258789,0.7200000286102295
587725550135410783,0.032600000500679,2.0,0.6510000228881836,3.049999952316284,2.65,0.2599999904632568,1.2100000381469729,0.0599999986588954,16.790000915527344,0.4799999892711639
587725993574858982,0.0340999998152256,2.0,0.6800000071525574,3.0799999237060547,1.85,0.800000011920929,1.149999976158142,0.0099999997764825,15.5,0.0
587725993574859084,0.0340999998152256,2.0,0.6790000200271606,2.4800000190734863,1.8,0.5400000214576721,1.100000023841858,0.0299999993294477,16.729999542236328,0.4699999988079071
587725993574924431,0.033900000154972,2.0,0.675000011920929,8.170000076293945,7.19,0.2399999946355819,4.269999980926514,0.0199999995529651,13.960000038146973,0.0
587725993574924673,0.0340000018477439,2.0,0.6769999861717224,7.039999961853027,4.53,0.699999988079071,1.7000000476837158,0.0599999986588954,16.84000015258789,0.5400000214576721
587725994113433955,0.0308999996632337,2.0,0.6190000176429749,4.050000190734863,2.47,0.7699999809265137,0.6499999761581421,0.0299999993294477,16.93000030517578,0.6899999976158142
587725994113499530,0.0299999993294477,2.0,0.6000000238418579,5.570000171661377,4.39,0.4199999868869781,1.6200000047683716,0.1000000014901161,17.100000381469727,0.4799999892711639
587726014551556317,0.0427000001072883,2.0,0.8420000076293945,3.380000114440918,2.74,0.3899999856948852,3.200000047683716,0.2000000029802322,17.540000915527344,0.4300000071525574
587726032764534897,0.0425999984145164,2.0,0.8399999737739563,4.289999961853027,3.37,0.4300000071525574,4.400000095367432,0.0199999995529651,14.619999885559082,0.6000000238418579
587726032764535084,0.0425000004470348,2.0,0.8379999995231628,1.3799999952316284,1.23,0.25,4.139999866485596,0.1700000017881393,16.65999984741211,0.4799999892711639
587726032764535245,0.0648000016808509,-1.0,1.2450000047683716,7.480000019073486,4.59,0.8500000238418579,0.5,0.0099999997764825,17.690000534057617,0.2599999904632568
587726032764535253,0.0417000018060207,2.0,0.8240000009536743,4.909999847412109,4.85,0.0299999993294477,1.899999976158142,0.1800000071525573,17.360000610351562,0.4900000095367431
587726032797564993,0.0331000015139579,2.0,0.6610000133514404,5.239999771118164,3.08,0.8299999833106995,1.2599999904632568,0.0299999993294477,16.09000015258789,0.0
587726032797565040,0.0324999988079071,2.0,0.6480000019073486,5.699999809265137,4.82,0.3100000023841858,5.739999771118164,0.0299999993294477,15.470000267028809,0.0099999997764825
587726033853284403,0.0313000008463859,2.0,0.625,3.1600000858306885,3.02,0.1000000014901161,3.859999895095825,0.0199999995529651,14.470000267028809,0.0299999993294477
587726033853284486,0.0307999998331069,2.0,0.6150000095367432,3.2699999809265137,2.35,0.550000011920929,0.959999978542328,0.0099999997764825,15.880000114440918,0.4199999868869781
587726033853284489,0.031199999153614,2.0,0.6240000128746033,5.659999847412109,4.83,0.2899999916553497,4.730000019073486,0.0599999986588954,13.989999771118164,0.0
587726033853350030,0.031599998474121,2.0,0.6320000290870667,5.449999809265137,3.89,0.5600000023841858,1.5399999618530271,0.1099999994039535,17.1200008392334,0.4600000083446502
587727866719568186,0.0401999987661838,2.0,0.7950000166893005,3.9800000190734863,2.88,0.5400000214576721,0.7799999713897705,0.0199999995529651,16.389999389648438,0.4900000095367431
587727866719633470,0.0414000004529953,2.0,0.8169999718666077,3.4600000381469727,2.45,0.5799999833106995,1.399999976158142,0.0299999993294477,17.020000457763672,0.4300000071525574
587727866719633493,0.0410000011324882,2.0,0.8100000023841858,2.0299999713897705,1.61,0.4099999964237213,2.819999933242798,0.0199999995529651,15.0,0.2899999916553497
587728879807430742,0.0419000014662742,2.0,0.828000009059906,2.9100000858306885,1.93,0.6700000166893005,0.949999988079071,0.0599999986588954,17.399999618530273,0.5099999904632568
587728879807430754,0.0412000007927417,2.0,0.8149999976158142,2.4100000858306885,1.55,0.7099999785423279,1.3200000524520874,0.0799999982118606,17.190000534057617,0.4600000083446502
587728880876781605,0.0313999988138675,2.0,0.628000020980835,4.829999923706055,3.74,0.449999988079071,2.930000066757202,0.0199999995529651,14.390000343322754,0.0
587728880876781673,0.0324999988079071,2.0,0.6480000019073486,5.28000020980835,4.45,0.3100000023841858,1.5399999618530271,0.0299999993294477,16.110000610351562,0.1099999994039535
587728880876781695,0.031700000166893,2.0,0.6330000162124634,4.360000133514404,2.79,0.7099999785423279,1.1200000047683716,0.0199999995529651,16.100000381469727,0.6299999952316284
587728906639442202,0.0397000014781951,2.0,0.7850000262260437,1.9900000095367432,1.68,0.3300000131130218,3.4800000190734863,0.209999993443489,17.639999389648438,0.5099999904632568
587728931874210106,0.0401000007987022,2.0,0.7929999828338623,6.28000020980835,4.28,0.6299999952316284,1.950000047683716,0.0199999995529651,14.81999969482422,0.0
587728931874275353,0.0406000018119812,2.0,0.8029999732971191,4.599999904632568,4.36,0.1099999994039535,4.940000057220459,0.0399999991059303,15.06999969482422,0.0
587728949584461915,0.032600000500679,2.0,0.6499999761581421,3.859999895095825,3.66,0.1099999994039535,4.949999809265137,0.0199999995529651,14.460000038146973,0.1199999973177909
