specobjid,d4000_n,d4000_n_err,lick_hd_a,lick_hd_a_err
367196241592870912,1.928433,0.01402038,-2.34469,0.4003848
385088582836054016,1.846143,0.02686307,-1.499759,0.686845
385206505458132992,1.915145,0.02304653,-1.586691,0.5608882
385208979359295488,1.770075,0.02796771,-0.9662558,0.7643704
385209254237202432,1.671607,0.015497,0.1967616,0.4646094
385222723254642688,1.889163,0.01418873,-1.714159,0.3807354
408841887286323200,1.951023,0.02241571,-2.305384,0.5642501
408848759233996800,1.897523,0.01351483,-2.000411,0.3770859
486543547625924608,1.633477,0.03632246,-0.5127276,1.105199
486547121038714880,1.274023,0.02751517,2.584272,1.182399
486547670794528768,1.801914,0.01794825,-1.336281,0.5040009
486553992986388480,1.950495,0.01632246,-2.82721,0.4306351
487680442464495616,1.849197,0.01655005,-1.845518,0.4560958
488674126299424768,1.924927,0.01400744,-2.577022,0.3578452
488675500688959488,2.028938,0.009864756,-2.466672,0.2542061
488676325322680320,1.390247,0.02597154,1.039339,0.922911
488729101880813568,1.82682,0.01976779,-1.520179,0.5370756
488730201392441344,1.972645,0.009166179,-2.458815,0.2552377
488732400415696896,1.862082,0.0100746,-1.487378,0.2859057
488732950171510784,1.490306,0.01371184,0.8976952,0.4868094
488739822119184384,1.439274,0.008661116,2.649274,0.3220192
488743395531974656,1.907615,0.01656928,-1.617682,0.435726
488746968944764928,1.404992,0.01512295,2.030593,0.576494
488751641869182976,2.013836,0.008325555,-2.337775,0.2291416
489793703964076032,1.533303,0.008328645,1.680762,0.2952232
492032859293378560,1.955649,0.01192946,-2.143894,0.3348857
492041105630586880,1.962706,0.01271082,-2.468717,0.3519272
492043304653842432,1.668548,0.01667761,-2.865851,0.5462446
492045228799191040,1.779031,0.01023223,-0.8472401,0.3216308
494435292216846336,1.251344,0.02410991,4.621097,1.026668
494435841972660224,1.446625,0.01919281,-0.7871093,0.7633558
496593908269082624,1.939149,0.02323605,-2.024397,0.568812
496595282658617344,1.293602,0.0430944,-0.2295539,1.81284
496595832414431232,1.883511,0.05788054,-2.314184,1.378631
496596107292338176,1.972578,0.01895433,-3.071139,0.4810436
499938622892435456,1.684872,0.02137947,-1.48798,0.6343562
500037578938935296,1.789479,0.01525232,-1.581399,0.4649002
500038678450563072,1.941228,0.01534429,-2.951257,0.4401885
500051597712189440,1.660968,0.01338669,0.4074609,0.4374788
500065341607536640,1.769591,0.02703055,-0.4961015,0.7455227
500066990874978304,1.342355,0.03304818,5.739319,1.198476
500071114043582464,1.860627,0.01579729,-1.620667,0.4578237
500074137700558848,1.332909,0.04095536,1.717177,1.621211
500074962334279680,1.892867,0.01669018,-1.898388,0.474905
500075512090093568,1.282155,0.03812464,2.527751,1.556186
502209939305949184,1.766654,0.008765591,-0.2250136,0.2634149
502212138329204736,1.465267,0.02407446,0.4562973,0.8269039
502229455637342208,1.643689,0.02136179,0.9862273,0.6036147
502231104904783872,1.218035,0.03159634,3.772443,1.291829
502233303928039424,1.943812,0.01168898,-1.987315,0.3092086
502237152218736640,1.14794,0.01179981,3.030668,0.5725828
502245398555944960,2.006103,0.01255332,-2.402392,0.32683
502247872457107456,1.751233,0.02482389,-1.607435,0.6737224
502248697090828288,1.872096,0.01177422,-1.456481,0.3297772
502258867573385216,1.880594,0.02095124,-2.404926,0.5450861
502260791718733824,1.862695,0.02546465,-1.433263,0.6348427
502297900236171264,1.926269,0.01314777,-2.480909,0.3613536
502298449991985152,1.999046,0.007481046,-2.559622,0.218899
502298999747799040,1.543578,0.0286841,-0.05906269,0.9460292
502299274625705984,1.836983,0.009332025,-1.442257,0.2799569
502299549503612928,1.786556,0.01228872,-1.406856,0.3637408
502318790957099008,1.935844,0.01848851,-2.478293,0.4812212
503368549314619392,1.877107,0.02518887,-1.257229,0.6638551
503368824192526336,1.9101,0.01367564,-1.767967,0.3894989
503369373948340224,1.201497,0.0175655,3.845274,0.808794
503370198582061056,1.664415,0.03255181,-0.3544649,0.9913846
503422150506473472,1.704544,0.01184148,-1.236877,0.3961752
504415559648045056,1.274089,0.02642216,4.446717,1.020659
504416659159672832,1.835763,0.01688623,-2.21736,0.4772493
504419682816649216,1.93822,0.01328097,-2.641098,0.3755461
504466412060829696,1.923728,0.01307147,-2.335322,0.373536
504469985473619968,1.763111,0.02460018,-1.057792,0.6723744
504473009130596352,1.934783,0.01117556,-2.162649,0.3295183
504482080101525504,1.525538,0.01529349,1.09879,0.5077448
504494724485244928,1.268027,0.01779069,2.094158,0.7644089
504504070334081024,1.77415,0.01273887,-2.061931,0.4083731
504507093991057408,1.85221,0.01823876,-2.410841,0.5209424
505541734432794624,1.820141,0.02921915,-1.376249,0.7653749
505552179793258496,1.197057,0.01865893,3.458938,0.8097245
505557127595583488,1.876204,0.013323,-2.405364,0.3958625
505604406595577856,1.983273,0.01207304,-2.070538,0.3355635
505605780985112576,1.952465,0.01726344,-2.149937,0.4713669
505612927810693120,1.944584,0.02284962,-2.271813,0.5836591
505623373171156992,1.356611,0.02896925,3.17638,1.093069
505654709252548608,1.389342,0.02973111,1.854066,1.085475
525968461470394368,1.647066,0.01764337,0.1180115,0.5544098
525971210249463808,1.882745,0.01857834,-2.05384,0.5118368
526952799439710208,1.869892,0.01516377,-1.897303,0.4216309
526970391625754624,1.948816,0.01543049,-1.888448,0.3993534
526973690160637952,1.485932,0.02018469,1.914158,0.6759489
526973965038544896,1.786963,0.01942537,-1.092266,0.5352613
526975064550172672,1.207022,0.04062003,1.438676,1.951938
526976164061800448,1.209875,0.02471587,3.603598,1.083604
527027291352492032,1.606103,0.01137169,1.444743,0.3663584
527027841108305920,1.818369,0.01279039,-0.8128828,0.3657176
528110035444721664,1.190222,0.01956278,3.383986,0.877054
528110310322628608,1.551572,0.01423728,0.5377092,0.4777388
528111684712163328,1.265834,0.02238093,2.509205,0.9275455
528111959590070272,1.403698,0.008860005,1.97582,0.343879
532573228288206848,1.766948,0.0106008,0.0,-1.0
532574327799834624,1.947671,0.009698253,-2.751176,0.2675535
532575427311462400,1.900862,0.009336605,-1.815964,0.2585541
532590820474251264,1.85475,0.0193441,-2.001034,0.4990667
543902596016924672,1.923001,0.01552604,-2.137959,0.4335498
549484541505464320,1.746079,0.01900853,-0.3054242,0.5233916
549486465650812928,1.558378,0.03405901,1.248272,1.002279
549487015406626816,1.957939,0.009978526,-2.096453,0.2764774
549487840040347648,1.144913,0.007975192,2.817165,0.3972895
549488664674068480,1.36331,0.01172007,3.062676,0.4453754
551806710314985472,1.805808,0.0195868,-1.614788,0.5176166
551808909338241024,1.872475,0.02032948,-2.147456,0.5147917
551809733971961856,1.553776,0.01358105,0.4909854,0.4475208
551811932995217408,1.336486,0.01826684,2.155072,0.6945277
560770204905269248,1.36766,0.02474798,3.345647,0.8794129
560771304416897024,2.025604,0.01906655,-2.761435,0.454452
560772678806431744,2.019501,0.01176706,-2.195246,0.3052786
560785323190151168,1.636834,0.05207381,0.7089902,1.439289
560807313422706688,1.465366,0.02242392,1.116065,0.7815255
560822981463402496,1.57795,0.01932546,0.7765518,0.6194898
560823806097123328,1.817569,0.01336606,-1.191388,0.3810533
560834526335494144,1.984214,0.0142782,-2.160409,0.3745545
564241092447332352,1.276899,0.008381306,3.267496,0.3662085
564244940738029568,1.966038,0.008571141,-2.142875,0.249392
564245490493843456,1.183171,0.01115763,2.463454,0.536891
571992651620968448,1.90231,0.0740226,3.003232,1.466418
572012717708175360,1.539779,0.06984814,0.148974,2.207896
572013267463989248,1.818706,0.02753163,-2.225725,0.7113895
572015741365151744,1.93924,0.01700355,-2.7215,0.4504993
572017115754686464,1.447975,0.02532949,0.9811889,0.8676155
572017390632593408,1.235608,0.04124524,5.632815,1.655354
572019039900035072,1.878179,0.02054543,-2.804878,0.5502183
572023987702360064,1.838692,0.04072158,-1.22724,0.9971288
572028385748871168,2.016584,0.01675884,-2.456623,0.4252006
572031409405847552,1.892368,0.02126722,-2.065511,0.5557048
572040755254683648,1.198912,0.02209689,4.002162,0.9398908
573227678191085568,1.353238,0.01296928,1.763264,0.5290093
573238673307363328,1.813794,0.02003962,-1.831699,0.5627649
573239772818991104,1.287324,0.01411442,2.496692,0.59843
573249118667827200,1.97051,0.01075857,-2.058403,0.3141911
573251317691082752,1.946774,0.01766333,-2.00699,0.4697818
574301076535142400,1.876869,0.01447296,-1.636135,0.4204755
574302176046770176,1.858756,0.01304675,-1.847727,0.3966028
575447596563195904,1.209832,0.01784042,4.609288,0.7771957
575480307034122240,1.628801,0.03672428,1.094007,1.039475
590132663646447616,1.137625,0.03583397,5.939115,1.715088
590139535594121216,1.71304,0.02168426,-0.251002,0.6238686
590141184861562880,1.167145,0.007432452,2.530296,0.3750455
591186275160057856,1.746228,0.0146036,-0.3670223,0.440578
591189023939127296,1.170209,0.01459978,4.785951,0.6856166
594476559125997568,1.166773,0.01532853,4.785718,0.6766351
594585685655054336,1.350164,0.0114002,2.71331,0.4607964
594596955649239040,1.955101,0.008325081,-2.517149,0.2386365
594597780282959872,1.241771,0.01731947,3.254087,0.76958
594618945881794560,1.255405,0.00742441,1.619567,0.3448334
594619220759701504,1.511412,0.02221642,1.323051,0.7584421
594622519294584832,1.394807,0.03682978,3.271021,1.397341
594633239532955648,1.594846,0.02130323,1.531461,0.658276
595637093699446784,1.921866,0.01799316,-2.102823,0.4564345
595653586373863424,1.848706,0.01607298,-2.240594,0.4467397
595671728315721728,1.056547,0.004304184,1.079131,0.2616813
596744851681208320,1.124667,0.01199748,5.394174,0.5723007
596745401437022208,1.449702,0.008143216,2.656032,0.3071263
596759145332369408,1.275981,0.01730246,2.500225,0.7189165
596829239198640128,1.776431,0.009027763,-1.85437,0.3087738
596830613588174848,1.51461,0.02558175,0.7450911,0.8971692
596839684559104000,1.565514,0.01341453,1.608721,0.4502857
598979608511014912,1.55719,0.01424958,1.437311,0.4722881
598979883388921856,1.985988,0.02721819,-2.097192,0.631372
598980158266828800,1.866807,0.01482628,-1.821792,0.4146717
598983731679619072,1.914784,0.01336451,-2.229399,0.3773628
600172578643929088,1.850159,0.01540436,-0.9202595,0.4327028
600183573760206848,1.904362,0.01441155,-1.997748,0.4073477
600228653736945664,1.628302,0.01911831,0.08814517,0.617058
600229478370666496,1.671566,0.01008461,0.5346715,0.3387514
600248170068338688,1.883337,0.03346442,-0.3162153,0.8080297
600252293236942848,1.875775,0.008814878,-1.507418,0.2798391
601233332537157632,1.161041,0.01204781,3.64813,0.5625658
603484857925920768,1.493447,0.02968732,2.061991,0.9447666
603628344193345536,1.95596,0.01091284,-2.776225,0.3155632
605763320980465664,1.927953,0.02062571,-1.945861,0.5298699
605765520003721216,1.445512,0.03867986,1.894289,1.292503
605766069759535104,1.805417,0.0408898,-0.7677546,1.012853
606934025784813568,1.837681,0.02592974,-2.255605,0.6286111
608017044385851392,1.775973,0.02737859,-1.561178,0.7568366
608026665112594432,1.86326,0.01561453,-1.227288,0.4314941
608118749211420672,1.164263,0.01803065,4.876147,0.8382591
608127820182349824,1.573507,0.03301914,1.575976,1.002407
608128095060256768,2.006172,0.02553673,-2.684443,0.6178741
608128919693977600,1.852652,0.03215391,-0.8705176,0.8116097
608135241885837312,2.008025,0.01763947,-2.039022,0.4456917
608139639932348416,1.762588,0.0147926,0.08491053,0.4378285
608148436025370624,1.666823,0.02906964,-0.7973911,0.867966
608150635048626176,1.852253,0.066495,-1.324247,1.616969
608150909926533120,1.98799,0.02421623,-1.707848,0.5867848
611534932191242240,1.426772,0.01402186,1.853916,0.5282012
611535481947056128,1.894084,0.02913156,-0.8875547,0.7226329
611536306580776960,1.944095,0.01540036,-1.697975,0.4062031
