objid,specObjID,dr7objid,petroR50_r,petroR50Err_r,petroR90_r,petroR90Err_r,petroRad_r,psfWidth_r
1237664289399439485,1998510332338792448,587738568174534766,2.317031,0.01892347,5.494444,0.1403089,4.887637,1.312869
1237664289399439413,1998510882094606336,587738568174534706,4.046624,0.0532397,12.50545,0.3749018,9.074826,1.312869
1237664131554541630,1968237191482075136,587738410329636918,7.403197,0.08051678,24.11964,0.5152251,17.91363,1.439909
1237664131554541772,1968222897830914048,587738410329637017,2.481442,0.02824886,6.272327,0.2124352,5.390248,1.439909
1237664131554541775,1968223722464634880,587738410329637020,5.221741,0.03957648,15.58296,0.1365188,14.34358,1.439909
1237664131554541838,1968234717580912640,587738410329637065,1.35252,0.01199433,3.606349,0.1122078,2.776883,1.439909
1237664132091871249,1969315266743527424,587738410866966577,14.53648,0.06871358,46.94582,0.3735279,39.913,1.256628
1237664132091871251,1969316091377248256,587738410866966557,3.401592,0.0570811,11.12786,0.3751979,8.058306,1.256628
1237664132091871427,1969315541621434368,587738410866966670,1.769035,0.04347558,4.363291,0.2984741,3.904603,1.256628
1237664132091871442,1969316366255155200,587738410866966692,1.589975,0.008775814,4.201705,0.07001107,3.442019,1.256628
1237664289928773726,1989515770572335104,587738568703869023,7.294183,0.03067465,17.18475,0.2153979,15.49869,1.013381
1237664289928773832,1989516045450242048,587738568703869158,3.428854,0.03331769,7.133783,0.194381,7.006907,1.013381
1237664289935130687,1997421264595085312,587738568710225955,12.31124,0.113724,31.26674,1.034946,25.40617,1.193605
1237664289935196412,1997401198507878400,587738568710291707,3.114983,0.03003868,8.264495,0.2036831,7.070359,1.203922
1237664289935261729,1997399824118343680,587738568710357008,14.72255,0.2541572,49.67816,1.560525,37.14723,1.311073
1237664289935261751,1997400923629971456,587738568710357058,5.010053,-1000.0,14.24434,-1000.0,11.53825,1.311073
1237664289935261940,1997398999484622848,587738568710357209,2.43062,0.03865335,6.386424,0.3570133,5.045132,1.311073
1237664289936113828,1998522701844604928,587738568711209134,2.805444,0.0116098,5.382232,0.06375518,5.6724,1.141559
1237664289936507011,1998501261367863296,587738568711602293,3.920426,0.03597847,9.123782,0.3103747,7.983171,1.115037
1237664290472919101,1998536995495766016,587738569248014386,3.404005,0.121257,11.06706,0.7951245,8.290166,1.129369
1237664290472919102,6116114344407486464,,5.803859,0.05151657,12.96789,0.312677,12.53203,1.129369
1237664294761529400,2289098879829829632,587738573536624714,7.110194,0.02488433,22.65611,0.152019,18.07567,1.122911
1237664294761594986,2289099704463550464,587738573536690243,3.706133,0.1186896,13.49087,0.7273539,9.783448,1.059496
1237663916267536476,2107740207754274816,587738195042631777,1.700841,0.01567278,5.060083,0.1195676,3.879745,1.268213
1237663916267536477,5799642746596904960,,12.81966,1.028891,37.01727,7.30257,30.13768,1.268213
1237663916267536572,2107741582143809536,587738195042631818,2.13918,0.8621505,6.04552,-1000.0,5.455783,1.268213
