product,control,degree,control_cv_rmse_linear,control_cv_rmse_quadratic,objid,sample,group_uid,role,lgm,z,ff_miles_lw_logz,predicted_control_logz,delta_logz,gallazzi_logz_solar
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237655108898979844,CG4,HMCG:25,BGG,11.13696,0.038103145,-0.07594282963262874,0.18515146456170442,-0.26109429419433317,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237651533872496853,CG4,HMCG:27,BGG,10.94254,0.044700583,0.24319337424724807,0.16225808609656586,0.08093528815068221,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237651192431902873,CG4,HMCG:28,BGG,11.56605,0.045092908,0.12003830018504674,0.23567774666028624,-0.1156394464752395,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237653664714391702,CG4,HMCG:33,BGG,10.91266,0.043605956,-0.00036000557862243517,0.15873965101510149,-0.1590996565937239,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237664093977182232,CG4,HMCG:42,BGG,11.30246,0.024032534,0.17741355266189243,0.20463945003634904,-0.027225897374456604,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237664879949906003,CG4,HMCG:52,BGG,11.26873,0.027544551,0.21946008747208545,0.20066766906922054,0.018792418402864913,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661382235652124,CG4,HMCG:61,BGG,11.04974,0.04172448,-0.17608941330805536,0.1748811195882995,-0.3509705328963548,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661381699174422,CG4,HMCG:63,BGG,11.46481,0.039612044,0.17548977917257252,0.22375651614999595,-0.048266736977423425,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237664336632741928,CG4,HMCG:73,BGG,11.06783,0.021581224,0.21243398995807833,0.17701125649002963,0.035422733468048695,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237671260670525453,CG4,HMCG:80,BGG,11.12167,0.03098687,0.24319337424724807,0.18335103375863904,0.059842340488609036,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237664670045765663,CG4,HMCG:82,BGG,11.14766,0.045040485,0.2365435592168414,0.18641141286731588,0.05013214634952551,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237671125379842213,CG4,HMCG:84,BGG,11.08672,0.029707897,0.16966679416987027,0.1792355951342352,-0.009568800964364937,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237667536399761464,CG4,HMCG:99,BGG,11.236,0.04339918,0.24319337424724807,0.1968136402801867,0.04637973396706138,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237654398613913710,CG4,HMCG:101,BGG,11.07611,0.031583981,0.23318020207101983,0.17798624452465225,0.05519395754636758,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237648721221910580,CG4,HMCG:106,BGG,10.88227,0.019912633,0.23148870508405484,0.15516116232280866,0.07632754276124618,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237648721759961111,CG4,HMCG:112,BGG,11.34712,0.040214827,0.09756027280667182,0.2098982623100508,-0.11233798950337898,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237654602106732592,CG4,HMCG:117,BGG,11.07583,0.036521896,0.12003830018504674,0.17795327391478577,-0.05791497372973903,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237654604791545887,CG4,HMCG:121,BGG,10.94604,0.026316276,0.09524713375865783,0.1626702187198968,-0.06742308496123896,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237664819818987529,CG4,HMCG:128,BGG,10.76637,0.031113712,0.12656094167438622,0.14151368488165267,-0.014952743207266445,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237667431715766291,CG4,HMCG:131,BGG,11.29346,0.036009084,0.29154133501529506,0.20357968043349825,0.0879616545817968,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237662223525871655,CG4,HMCG:142,BGG,11.0522,0.036453983,0.29885896880742735,0.17517078994641194,0.12368817886101541,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237657628452388926,CG4,HMCG:154,BGG,11.10226,0.027616057,0.21420119955862366,0.18106546398182416,0.0331357355767995,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237661811196624933,CG4,HMCG:158,BGG,10.55154,0.036883403,-0.08287775240623109,0.11621698446160475,-0.19909473686783585,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665126930055238,CG4,HMCG:165,BGG,11.34673,0.032671117,0.27037041250145794,0.209852338960594,0.06051807354086394,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237665370120847454,CG4,HMCG:167,BGG,11.12404,0.031989543,0.19619691789081167,0.18363010642072317,0.012566811470088507,
FIREFLY MILES light-weighted,Control4C,1,0.09457519007965189,0.09482349728872029,1237658312939798567,CG4,HMCG:173,BGG,11.21403,0.033635215,0.12003830018504674,0.19422662492744971,-0.07418832474240297,
